,mots,poids,serie
0,etre,53556.19022254713,greysanatomy
1,le,41125.29678236259,greysanatomy
2,je,39736.79841618764,greysanatomy
3,avoir,32868.5658572412,greysanatomy
4,de,28113.43314236892,greysanatomy
5,ce,27083.10608776676,greysanatomy
6,que,23574.89357841362,greysanatomy
7,un,21298.05662498703,greysanatomy
8,pas,20885.361067854956,greysanatomy
9,vous,19059.08404001836,greysanatomy
10,ne,18487.03306624929,greysanatomy
11,il,13502.182862151863,greysanatomy
12,et,13459.22296009854,greysanatomy
13,aller,11328.369315311973,greysanatomy
14,tu,10792.170676877166,greysanatomy
15,pouvoir,10570.118415756362,greysanatomy
16,faire,9874.985889425994,greysanatomy
17,cela,9410.371820276485,greysanatomy
18,lui,9032.937939983227,greysanatomy
19,en,7011.444899721374,greysanatomy
20,me,6866.597230856473,greysanatomy
21,mon,6663.191353851654,greysanatomy
22,on,6554.0,greysanatomy
23,dire,6090.760574117858,greysanatomy
24,tout,5830.007298236874,greysanatomy
25,vouloir,5670.547155029287,greysanatomy
26,pour,5560.30286368369,greysanatomy
27,mais,5536.148775089192,greysanatomy
28,te,5469.157963822749,greysanatomy
29,devoir,5423.928184330963,greysanatomy
30,bien,5407.469319163223,greysanatomy
31,se,5222.415680495516,greysanatomy
32,savoir,5139.081035576563,greysanatomy
33,qui,5051.724528206584,greysanatomy
34,avec,4875.257988033804,greysanatomy
35,moi,4692.413807142211,greysanatomy
36,dans,4692.408680258455,greysanatomy
37,taire,4342.709697454857,greysanatomy
38,si,4341.7434223850305,greysanatomy
39,voir,3704.3845493287286,greysanatomy
40,non,3654.6627711310653,greysanatomy
41,votre,3589.1924711517277,greysanatomy
42,son,3545.0958271027366,greysanatomy
43,nous,3428.1373997754727,greysanatomy
44,quoi,3190.12175279451,greysanatomy
45,sur,3154.803650817851,greysanatomy
46,luire,3141.8581198553693,greysanatomy
47,quelque,3018.8545060827487,greysanatomy
48,oui,2896.5834048902007,greysanatomy
49,juste,2782.076642107638,greysanatomy
50,ou,2742.3600633139304,greysanatomy
51,plus,2689.8275059856296,greysanatomy
52,comme,2663.4780700707706,greysanatomy
53,penser,2650.3093494909,greysanatomy
54,au,2633.2048937380487,greysanatomy
55,alors,2622.253332057465,greysanatomy
56,parler,2595.8744765274096,greysanatomy
57,toi,2570.8000971127967,greysanatomy
58,dr,2523.3708404592862,greysanatomy
59,chose,2505.7919344517204,greysanatomy
60,quand,2456.8197887859146,greysanatomy
61,besoin,2424.7894563824293,greysanatomy
62,izzie,2381.6007734743794,greysanatomy
63,passer,2130.518368459401,greysanatomy
64,bon,2126.6637568335514,greysanatomy
65,vraiment,2067.0599036497088,greysanatomy
66,karev,2049.978266132934,greysanatomy
67,rien,2025.9763931623183,greysanatomy
68,ici,2004.4234528095276,greysanatomy
69,parce,1987.2562378597138,greysanatomy
70,autre,1925.4804581942492,greysanatomy
71,pourquoi,1905.4927717770079,greysanatomy
72,maintenant,1874.6903796971983,greysanatomy
73,la,1851.0459142159411,greysanatomy
74,meredith,1800.8929137229318,greysanatomy
75,tres,1781.3734721139392,greysanatomy
76,peu,1750.4001182719262,greysanatomy
77,aimer,1746.8352209274472,greysanatomy
78,prendre,1731.7038282533886,greysanatomy
79,ton,1684.1314385135277,greysanatomy
80,meme,1638.3740185318502,greysanatomy
81,ca,1594.5829737244344,greysanatomy
82,venir,1524.4880571182837,greysanatomy
83,arriver,1521.9430999944557,greysanatomy
84,cristina,1519.2081549902432,greysanatomy
85,temps,1519.064167710342,greysanatomy
86,croire,1508.4297317370133,greysanatomy
87,bailey,1507.9159450592558,greysanatomy
88,malley,1477.7206211610928,greysanatomy
89,ok,1467.9544007815944,greysanatomy
90,vie,1445.7156694378148,greysanatomy
91,grey,1434.6236832512443,greysanatomy
92,oh,1421.652702117665,greysanatomy
93,yang,1388.316093782511,greysanatomy
94,jamais,1333.406537671951,greysanatomy
95,personne,1332.0444494688845,greysanatomy
96,shepherd,1331.0667975181145,greysanatomy
97,essayer,1324.3100892293598,greysanatomy
98,toujours,1324.3100892293598,greysanatomy
99,aussi,1297.5339765859171,greysanatomy
100,burke,1280.7021078822938,greysanatomy
101,mourir,1263.4341197851859,greysanatomy
102,fait,1259.913329690332,greysanatomy
103,comment,1254.0625351996,greysanatomy
104,falloir,1216.2031431698204,greysanatomy
105,patient,1204.360554446853,greysanatomy
106,femme,1186.2740768753372,greysanatomy
107,merci,1186.2316982170048,greysanatomy
108,veux,1179.273498617239,greysanatomy
109,petit,1121.3378456979156,greysanatomy
110,trouver,1119.9203943355428,greysanatomy
111,avant,1106.9652799860905,greysanatomy
112,deux,1102.1084410787773,greysanatomy
113,bebe,1100.1009711107877,greysanatomy
114,encore,1100.076249445801,greysanatomy
115,par,1087.1729052014077,greysanatomy
116,sai,1080.864368886882,greysanatomy
117,desoler,1079.3802895632155,greysanatomy
118,notre,1072.319850044736,greysanatomy
119,donc,1067.6436667853623,greysanatomy
120,est,1065.1618913720697,greysanatomy
121,fois,1064.3836697301213,greysanatomy
122,appeler,1037.151013758708,greysanatomy
123,aujourd,1032.6971315574692,greysanatomy
124,hui,1029.5673814679212,greysanatomy
125,laisser,1020.528372572628,greysanatomy
126,seul,1017.1658408672816,greysanatomy
127,sortir,1013.8033091619352,greysanatomy
128,chef,1001.2528635773991,greysanatomy
129,chirurgie,988.6682582161579,greysanatomy
130,euh,984.405101800461,greysanatomy
131,jour,984.1554277196379,greysanatomy
132,chirurgien,969.42861826166,greysanatomy
133,operation,966.3913212622627,greysanatomy
134,dieu,960.9508446790667,greysanatomy
135,partir,946.5526750550075,greysanatomy
136,heure,936.0899805408028,greysanatomy
137,attendre,935.8007518278895,greysanatomy
138,donner,929.9822642379854,greysanatomy
139,ouai,923.4517666462986,greysanatomy
140,interne,916.9595626994518,greysanatomy
141,nouveau,900.1727570668864,greysanatomy
142,as,898.0,greysanatomy
143,derek,896.7720457181044,greysanatomy
144,sloan,888.0613584150688,greysanatomy
145,regarder,874.9905946693984,greysanatomy
146,trop,871.3349652113739,greysanatomy
147,homme,871.1299996847684,greysanatomy
148,hopital,864.1588109880607,greysanatomy
149,operer,862.8588907817458,greysanatomy
150,apres,855.8211796201603,greysanatomy
151,fille,851.1423132675271,greysanatomy
152,demander,844.585516090153,greysanatomy
153,mal,827.9714724563913,greysanatomy
154,beaucoup,826.7490896247343,greysanatomy
155,stevens,824.8847164324288,greysanatomy
156,mettre,817.5587795752681,greysanatomy
157,arreter,817.5587795752681,greysanatomy
158,hahn,813.1288602676823,greysanatomy
159,meilleur,804.0454113178256,greysanatomy
160,probleme,802.4325485192816,greysanatomy
161,sans,799.1580513378083,greysanatomy
162,mieux,794.5105350853433,greysanatomy
163,rester,783.4698873457078,greysanatomy
164,mere,778.5626296863081,greysanatomy
165,depuis,758.4377934489573,greysanatomy
166,fai,754.5351622508606,greysanatomy
167,monde,749.8445702922439,greysanatomy
168,tumeur,748.0479188004388,greysanatomy
169,ami,742.6224259629529,greysanatomy
170,aider,741.438241028878,greysanatomy
171,pere,741.3262451189898,greysanatomy
172,coeur,729.6693800601656,greysanatomy
173,allez,729.4129822413395,greysanatomy
174,entrer,728.0327148697119,greysanatomy
175,vrai,726.3068483548193,greysanatomy
176,occuper,719.5868597088104,greysanatomy
177,sentir,714.5193466122694,greysanatomy
178,sang,712.9105411807093,greysanatomy
179,finir,704.3843204191876,greysanatomy
180,gens,694.2492942261058,greysanatomy
181,accord,689.1884754103921,greysanatomy
182,entendre,683.5975184559663,greysanatomy
183,quel,682.9126192557458,greysanatomy
184,perdre,677.5501386272966,greysanatomy
185,mort,669.4818295476258,greysanatomy
186,enfant,654.8778030270996,greysanatomy
187,pendant,651.204839003747,greysanatomy
188,george,649.0148423543762,greysanatomy
189,monsieur,647.778588692986,greysanatomy
190,cas,643.7942773347673,greysanatomy
191,biper,639.6747147019581,greysanatomy
192,bloc,636.9745987024746,greysanatomy
193,commencer,635.5184923104669,greysanatomy
194,an,629.0,greysanatomy
195,aucun,628.3716239710739,greysanatomy
196,truc,623.7496313417545,greysanatomy
197,dernier,618.236597777992,greysanatomy
198,sauver,613.1690846814511,greysanatomy
199,moins,606.4124005527299,greysanatomy
200,comprendre,601.3448874561889,greysanatomy
201,alex,598.6803752454973,greysanatomy
202,travailler,590.1243142882906,greysanatomy
203,connaitre,588.4430484356175,greysanatomy
204,revenir,587.8315191987465,greysanatomy
205,mari,587.3713589994704,greysanatomy
206,raison,586.5044941709942,greysanatomy
207,denny,584.5864578894036,greysanatomy
208,pret,580.2714710366705,greysanatomy
209,chez,566.4093724349436,greysanatomy
210,addison,565.7382294403346,greysanatomy
211,salle,560.0559366037294,greysanatomy
212,deja,557.3538141791514,greysanatomy
213,reste,553.1364655294805,greysanatomy
214,docteur,547.3600109020858,greysanatomy
215,journee,536.2959877781166,greysanatomy
216,maison,524.0056742779868,greysanatomy
217,lexie,521.230471325348,greysanatomy
218,celui,517.8298826233433,greysanatomy
219,callie,515.1777142084375,greysanatomy
220,premier,513.4348237020081,greysanatomy
221,travail,511.35164417442434,greysanatomy
222,enlever,506.7513096540918,greysanatomy
223,medecin,499.4502215617928,greysanatomy
224,sou,498.37719601105096,greysanatomy
225,vivre,493.65968918758915,greysanatomy
226,nuit,493.0295982919531,greysanatomy
227,moment,482.9201622306475,greysanatomy
228,tenir,481.4137441713872,greysanatomy
229,famille,480.8420338645331,greysanatomy
230,main,466.05167787261036,greysanatomy
231,op,461.33664402012414,greysanatomy
232,assez,461.14369178522355,greysanatomy
233,devenir,461.14369178522355,greysanatomy
234,soir,459.71678759655083,greysanatomy
235,peur,456.8443903329215,greysanatomy
236,tete,455.4705499968545,greysanatomy
237,tuer,453.94178022176203,greysanatomy
238,pler,449.3461642356241,greysanatomy
239,semaine,448.47727695686063,greysanatomy
240,jusque,442.56281043124017,greysanatomy
241,air,441.9881020891559,greysanatomy
242,voila,437.71946893824764,greysanatomy
243,douleur,437.24370117722594,greysanatomy
244,importer,435.45547441684766,greysanatomy
245,laisse,435.44785584235694,greysanatomy
246,rendre,427.04152657899095,greysanatomy
247,tomber,423.9819290772568,greysanatomy
248,bonjour,420.4402771199421,greysanatomy
249,cerveau,419.66040303149856,greysanatomy
250,salut,419.32749388289034,greysanatomy
251,apprendre,418.9144159807159,greysanatomy
252,mec,416.58651844444364,greysanatomy
253,coucher,412.15773185199464,greysanatomy
254,infirmier,411.6065536925926,greysanatomy
255,chercher,410.46856081981434,greysanatomy
256,trois,409.02010311980786,greysanatomy
257,choisir,409.0105476409054,greysanatomy
258,mauvais,407.09021875545375,greysanatomy
259,cote,406.6417100765565,greysanatomy
260,heureux,404.12561552583907,greysanatomy
261,demande,398.0880878100567,greysanatomy
262,boulot,397.30493003173206,greysanatomy
263,arrete,393.5768504980113,greysanatomy
264,oeil,391.7349436728539,greysanatomy
265,hein,391.26876332758354,greysanatomy
266,tant,388.50933740147036,greysanatomy
267,rentrer,385.0098802621611,greysanatomy
268,mois,384.7629635318958,greysanatomy
269,aide,383.0723178077383,greysanatomy
270,amie,376.8428735494111,greysanatomy
271,mme,376.7649028061452,greysanatomy
272,idee,374.84667924752534,greysanatomy
273,qu,373.9093702613921,greysanatomy
274,maman,373.3706244024862,greysanatomy
275,annee,373.103479788505,greysanatomy
276,marier,370.1857348224942,greysanatomy
277,donne,369.59647872271796,greysanatomy
278,iz,368.7011270023263,greysanatomy
279,chance,366.0,greysanatomy
280,mariage,364.90667393472387,greysanatomy
281,matin,361.4826008865855,greysanatomy
