,mots,poids,serie
0,be,28256.757979831007,heroes
1,you,18518.70292586133,heroes
2,to,10371.39271572801,heroes
3,not,9269.861525339431,heroes
4,do,7610.490852297571,heroes
5,the,6890.872729910954,heroes
6,it,6680.58633194991,heroes
7,that,5834.539946813062,heroes
8,we,5038.8872245475995,heroes
9,have,4864.525131470977,heroes
10,what,4849.845311468405,heroes
11,this,4115.439843019586,heroes
12,he,3946.1675733911607,heroes
13,and,3890.0848438193907,heroes
14,go,3622.554769216135,heroes
15,know,3455.2703742195777,heroes
16,can,3283.582097709174,heroes
17,your,3201.9946499654325,heroes
18,of,3182.2109240231475,heroes
19,my,3150.483304380807,heroes
20,get,3093.186071702712,heroes
21,in,2693.5079596596393,heroes
22,they,2610.030802396215,heroes
23,just,2450.069884989057,heroes
24,for,2278.241863539082,heroes
25,will,2146.6966753857273,heroes
26,she,2139.6700945230705,heroes
27,here,2000.781222640017,heroes
28,no,1915.9387189055672,heroes
29,think,1915.7577866769207,heroes
30,all,1879.5230553258125,heroes
31,want,1802.1138936624777,heroes
32,about,1790.0983976642979,heroes
33,with,1767.768663154076,heroes
34,so,1764.5994891993305,heroes
35,right,1710.1013045464213,heroes
36,like,1686.605796373996,heroes
37,there,1645.2091522029646,heroes
38,how,1591.1226229442868,heroes
39,would,1575.116355704862,heroes
40,come,1574.9467627941171,heroes
41,on,1561.0,heroes
42,need,1559.4830922541328,heroes
43,ve,1490.9199891458125,heroes
44,if,1437.8566038994,heroes
45,tell,1436.3673674145437,heroes
46,see,1434.5323098486451,heroes
47,now,1432.4961855541421,heroes
48,sylar,1430.5603727690261,heroes
49,but,1404.1440594352373,heroes
50,hiro,1391.6015674024598,heroes
51,out,1382.708532147113,heroes
52,make,1339.4025971106726,heroes
53,take,1288.7029452913184,heroes
54,say,1278.7357837148538,heroes
55,who,1260.2925586673248,heroes
56,why,1202.5094413766203,heroes
57,one,1182.2931560704424,heroes
58,find,1153.6750229249344,heroes
59,could,1101.8773688344272,heroes
60,well,1082.8875580482104,heroes
61,help,1057.961035713676,heroes
62,claire,1047.2860399517897,heroes
63,back,1023.5139187693054,heroes
64,let,1004.9376795078974,heroes
65,his,986.7816431510064,heroes
66,parkman,982.258157733925,heroes
67,good,963.3103361416646,heroes
68,look,962.2252156728965,heroes
69,where,957.6899199712059,heroes
70,petrelli,933.6623934649091,heroes
71,okay,931.4999205271915,heroes
72,up,927.0406723467808,heroes
73,kill,923.565944136645,heroes
74,thing,891.8468247171206,heroes
75,from,889.9454894276133,heroes
76,nathan,888.8614375324084,heroes
77,at,878.7335777497851,heroes
78,happen,868.9623877525236,heroes
79,people,860.5142212733143,heroes
