,mots,poids,serie
0,etre,23883.961365962812,heroes
1,je,17821.256977856126,heroes
2,le,17561.853970266748,heroes
3,avoir,15291.570462028774,heroes
4,ce,12660.621675549677,heroes
5,de,11308.08298182073,heroes
6,que,10645.33106550969,heroes
7,pas,8381.848344097178,heroes
8,un,8126.262027813588,heroes
9,ne,8025.143088729946,heroes
10,tu,7051.013451682898,heroes
11,il,6926.314666679699,heroes
12,vous,6363.72726239172,heroes
13,pouvoir,5872.661623387462,heroes
14,cela,4667.179561914186,heroes
15,faire,4619.127936136753,heroes
16,te,4315.055092246101,heroes
17,et,4290.06596175278,heroes
18,aller,4130.870200018035,heroes
19,mon,3518.3475099071206,heroes
20,me,3486.3104923240403,heroes
21,tout,3409.2802025761184,heroes
22,en,3123.94681006279,heroes
23,taire,2992.653217758283,heroes
24,devoir,2851.3207023203563,heroes
25,nous,2766.482908629997,heroes
26,moi,2680.306766639631,heroes
27,savoir,2644.007826835223,heroes
28,qui,2577.893134712161,heroes
29,pour,2547.298857690697,heroes
30,on,2430.0,heroes
31,mais,2412.4452812724044,heroes
32,lui,2348.9909536599407,heroes
33,dire,2348.01983416772,heroes
34,vouloir,2182.4089735769553,heroes
35,dans,2159.8426356930177,heroes
36,se,2083.251925830395,heroes
37,toi,1843.4281750313216,heroes
38,si,1816.3768135905984,heroes
39,bien,1795.5130363049575,heroes
40,voir,1662.3092537005716,heroes
41,ou,1575.4564788245948,heroes
42,comme,1510.749164518743,heroes
43,quoi,1508.7973800206687,heroes
44,ton,1508.5612951890762,heroes
45,sylar,1440.3924028224214,heroes
46,quelque,1435.7966553320389,heroes
47,hiro,1422.7236471846234,heroes
48,sur,1418.9859352798046,heroes
49,avec,1373.4226463392076,heroes
50,ici,1326.3347909409613,heroes
51,votre,1307.550209170149,heroes
52,chose,1296.6478898908902,heroes
53,plus,1231.1700683231013,heroes
54,pourquoi,1220.914511986492,heroes
55,non,1188.4993778179871,heroes
56,son,1175.6746569066283,heroes
57,luire,1104.71785504592,heroes
58,penser,1065.866921305773,heroes
59,trouver,1042.2185268552487,heroes
60,pere,1012.4207185033608,heroes
61,croire,1010.1242772438229,heroes
62,rien,1001.3827671604257,heroes
63,tuer,985.221789666491,heroes
64,parler,936.4650799389683,heroes
65,au,929.2899797742866,heroes
66,petrelli,924.7703706700053,heroes
67,juste,899.9413137948185,heroes
68,alors,895.2811312385091,heroes
69,la,893.6083723801096,heroes
70,parkman,890.0018666760426,heroes
71,oui,885.7067433077084,heroes
72,linderman,868.2945040741879,heroes
73,arriver,854.7205422832349,heroes
74,notre,851.1737682105843,heroes
75,vie,839.0041252868501,heroes
76,besoin,836.7113376060832,heroes
77,comment,835.2871398712138,heroes
78,venir,823.3239562043859,heroes
79,autre,817.8295025721249,heroes
80,monde,815.4139385464985,heroes
81,quand,812.8325809678146,heroes
82,maintenant,805.3247405741486,heroes
83,sauver,797.2887271891044,heroes
84,bon,784.8401959742868,heroes
85,aider,776.744823935015,heroes
86,passer,775.331279809435,heroes
87,jamais,745.9155384006458,heroes
88,temps,741.2100379726998,heroes
89,vraiment,729.550554229309,heroes
90,claire,717.8976886766301,heroes
91,meme,717.8105729895033,heroes
92,as,713.0,heroes
93,personne,692.7969875378369,heroes
94,nathan,691.3366736363176,heroes
95,peu,677.7361834609275,heroes
96,arreter,675.6684128721224,heroes
97,prendre,674.1876069219503,heroes
98,gens,660.4658735824996,heroes
99,aussi,637.9403248169529,heroes
100,aimer,608.6182386676958,heroes
101,veux,607.9587951910908,heroes
102,toujours,603.0340584883692,heroes
103,par,593.2507968308057,heroes
104,suresh,589.9218032037221,heroes
105,seul,586.7617825829443,heroes
106,ando,570.2577430969313,heroes
107,fai,564.6521412870679,heroes
108,homme,564.6521412870679,heroes
109,partir,553.1364655294805,heroes
110,essayer,550.6697564907797,heroes
111,laisser,548.0926679714609,heroes
112,tres,545.350299796285,heroes
113,appeler,543.9130723620585,heroes
114,connaitre,531.2800094447289,heroes
115,falloir,527.0213620402554,heroes
116,mourir,522.1078746661959,heroes
117,merci,521.9419472154822,heroes
118,kensei,499.26933984265804,heroes
119,fille,491.36395775718296,heroes
120,dieu,481.29674784780605,heroes
121,sai,478.0114458147152,heroes
122,famille,472.4357046011672,heroes
123,fois,462.5592583406602,heroes
124,micah,458.0883285635489,heroes
125,deux,457.24098413854847,heroes
126,fait,456.6569825996248,heroes
127,encore,450.03119295510044,heroes
128,peter,448.5112240775291,heroes
129,bennet,443.8615316249646,heroes
130,maman,425.9819396592002,heroes
131,mal,419.38219833917776,heroes
132,sans,416.6689636303033,heroes
133,mohinder,412.43988943523925,heroes
134,mort,402.97347533921845,heroes
135,nakamura,402.5252376469875,heroes
136,nouveau,399.16419702053537,heroes
137,allez,397.7116034392824,heroes
138,avant,387.51960318567717,heroes
139,trop,386.15981412776796,heroes
140,pom,381.4496774182228,heroes
141,comprendre,378.3743112083885,heroes
142,sortir,376.6035509987952,heroes
143,vrai,374.92228514612196,heroes
144,heroes,374.63546448278476,heroes
145,entrer,373.3067981118476,heroes
146,celui,369.8784875881024,heroes
147,apres,367.95382770617255,heroes
148,parce,366.51595588275603,heroes
149,petit,362.6926082836478,heroes
150,jour,362.5835786335508,heroes
151,ami,361.06270816457794,heroes
152,mere,355.7670294593064,heroes
153,frere,351.5473193456565,heroes
154,donc,349.7453391193428,heroes
155,quel,346.45323123218327,heroes
156,peur,344.72507109370633,heroes
157,futur,344.11631687724815,heroes
158,changer,343.8317287854288,heroes
159,raison,343.4777700669911,heroes
160,depuis,331.07752230733996,heroes
161,laisse,329.5281071239458,heroes
162,papa,317.05035900888186,heroes
163,donner,315.9347413352041,heroes
164,desole,314.80606107155114,heroes
165,niki,311.2207978216364,heroes
166,devenir,307.4291278568157,heroes
167,mettre,305.7399568246354,heroes
168,ouai,303.2485393254079,heroes
169,est,301.77290324771445,heroes
170,matt,300.67244372809444,heroes
171,revenir,300.67244372809444,heroes
172,deja,299.7887939903011,heroes
173,heros,298.3106134932403,heroes
174,perdre,297.5840559231551,heroes
175,rester,295.9027900704819,heroes
176,danko,293.0493951250384,heroes
177,voler,287.159075470652,heroes
178,tete,287.14447717193,heroes
179,aucun,285.4699044384717,heroes
180,entendre,281.57707307829094,heroes
181,attendre,280.4023913419308,heroes
182,dernier,280.4023913419308,heroes
183,accord,280.33070145180415,heroes
184,chercher,277.02404927757016,heroes
185,probleme,275.2144691202495,heroes
186,celer,273.23941149454674,heroes
187,finir,271.95653618102926,heroes
188,beaucoup,267.6639772922991,heroes
189,maison,266.10946468035695,heroes
190,desoler,265.199852052308,heroes
191,samuel,262.24591613071243,heroes
192,aide,262.17877264407946,heroes
193,souvenir,262.082816825095,heroes
194,nom,261.27328465010856,heroes
195,reste,260.5962071643449,heroes
196,fils,258.4431679235868,heroes
197,femme,258.16111419316417,heroes
198,ca,255.93847549409318,heroes
199,rendre,253.8711437536521,heroes
200,demander,249.99731276268528,heroes
201,mieux,249.84608021551676,heroes
202,chez,249.02481029467347,heroes
203,vivre,247.66655593140067,heroes
204,proteger,243.83950641432483,heroes
205,oh,241.96207712595853,heroes
206,verite,236.48394450524285,heroes
207,sou,232.68604184621915,heroes
208,confiance,230.3334218162274,heroes
209,commencer,228.6521559635542,heroes
210,takezo,227.92730731947432,heroes
211,isaac,226.84329701891795,heroes
212,travailler,221.92709255286144,heroes
213,truc,221.92709255286144,heroes
214,rentrer,221.92709255286144,heroes
215,heure,221.53019112442487,heroes
216,compagnie,219.66712397895043,heroes
217,euh,215.22164773203994,heroes
218,ecoute,211.14637902253824,heroes
219,histoire,211.14637902253824,heroes
220,utiliser,209.45720799035794,heroes
221,tant,209.45720799035794,heroes
222,suivre,209.45720799035794,heroes
223,securite,208.03090757026314,heroes
224,mentir,206.3257361967364,heroes
225,primatech,206.21994471761963,heroes
226,importer,203.21255472786223,heroes
227,arrete,202.70052386163673,heroes
228,clair,202.26605561849658,heroes
229,meilleur,201.0113528294564,heroes
230,oublier,200.26242581587897,heroes
231,an,200.0,heroes
232,idee,197.46387567503567,heroes
233,kaito,195.36626341669228,heroes
234,travail,194.87994256810308,heroes
235,rencontrer,190.97919383499567,heroes
236,apprendre,190.87632663637459,heroes
237,dont,190.66062619776318,heroes
238,grand,189.57280778285565,heroes
239,premier,188.1052507256606,heroes
240,formule,184.5280575713233,heroes
241,monsieur,184.2024422823657,heroes
242,sentir,184.11964250765334,heroes
243,enfant,184.02895224305837,heroes
244,daphne,183.58302217992343,heroes
245,reponse,183.29103379758413,heroes
246,pense,181.55481828994218,heroes
247,jusque,180.74130044329274,heroes
248,soir,179.88917775517206,heroes
249,muggles,179.87055023041628,heroes
250,semaine,179.05622624770183,heroes
251,lire,178.21418038335844,heroes
252,retrouver,177.36295837893212,heroes
253,regarde,177.36295837893212,heroes
254,aujourd,174.89225615086173,heroes
255,sang,174.12100775381379,heroes
256,hui,174.08144131100116,heroes
257,cacher,173.10819858660724,heroes
258,combien,170.689112871641,heroes
259,detruire,170.5171373526747,heroes
260,voiture,170.4217575454542,heroes
261,dangereux,170.4217575454542,heroes
262,helixteam,169.13686699858334,heroes
263,reve,168.0167809811188,heroes
264,argent,167.34226752121666,heroes
265,comprend,165.79184886762016,heroes
266,pret,165.79184886762016,heroes
267,facon,165.6688448460045,heroes
268,haitien,165.12602554324812,heroes
269,moins,163.84959012148968,heroes
270,parle,163.23277240747095,heroes
271,envoyer,163.0827877092997,heroes
272,salut,162.89260339296894,heroes
273,destin,161.66923589756195,heroes
274,moment,160.638723403126,heroes
275,pendant,159.7581964845641,heroes
276,tirer,159.7202560039533,heroes
277,tomber,158.78207702494876,heroes
278,regarder,158.78207702494876,heroes
279,bas,158.4245391293407,heroes
280,chaque,158.0389901512801,heroes
281,retourner,157.8339457701419,heroes
282,bebe,157.15728158725537,heroes
283,erreur,157.09290599276846,heroes
284,molly,156.83487584377258,heroes
285,pensee,156.43166547649156,heroes
286,viens,156.3577242986069,heroes
287,assez,155.40373496058814,heroes
288,vite,153.4271283815596,heroes
289,controler,152.74252816465346,heroes
290,longtemps,151.31392674058733,heroes
291,hein,150.87058246953433,heroes
292,dis,150.5108870519892,heroes
293,annee,149.90764812931005,heroes
294,nuit,149.90764812931005,heroes
295,ok,148.9701873385766,heroes
296,www,148.86593842030206,heroes
297,marche,148.37742091240733,heroes
298,gabriel,147.70372918989557,heroes
299,exactement,146.95787979968662,heroes
300,montrer,146.95787979968662,heroes
301,ville,146.8851810339564,heroes
302,disparaitre,146.64473812330024,heroes
303,decouvrir,146.27012918256776,heroes
304,endroit,145.95397135733552,heroes
305,cote,145.5877727434585,heroes
306,noah,145.4355857865365,heroes
307,occuper,145.26870876750633,heroes
308,esperer,145.26870876750633,heroes
309,porte,144.23890851482952,heroes
310,plait,143.83793285771213,heroes
311,avai,143.579537735326,heroes
312,corps,143.3076800811064,heroes
313,garcon,143.22995624791676,heroes
314,va,142.7599802282993,heroes
315,forain,142.36043275026927,heroes
316,esprit,141.8903667031457,heroes
317,voila,139.9604571526685,heroes
318,reparer,139.2990413423882,heroes
319,chance,139.0,heroes
320,leur,138.51202463878508,heroes
321,moyen,138.51202463878508,heroes
322,virus,138.15183171177426,heroes
323,tellement,138.1188812556665,heroes
324,heroe,137.64842074753514,heroes
325,choix,137.46827534818812,heroes
326,york,137.4229744094904,heroes
327,tard,137.34872011644254,heroes
328,rebel,136.7041575829415,heroes
329,bonjour,136.6430900639812,heroes
330,attend,136.45036204206573,heroes
331,new,135.90674161930846,heroes
332,seulement,135.13368257442448,heroes
333,part,135.0,heroes
334,propre,134.5012682138554,heroes
335,lyle,134.34298897119402,heroes
336,senateur,134.3058390288548,heroes
337,djoach,134.1430324471523,heroes
338,dur,133.44451154224416,heroes
339,mauvais,133.44451154224416,heroes
340,sembler,133.44451154224416,heroes
341,main,132.70264176327174,heroes
342,allon,132.44340868371245,heroes
343,ecouter,130.67971854087017,heroes
344,blesser,130.67971854087017,heroes
345,reussir,130.67971854087017,heroes
346,emmener,130.06616947788356,heroes
347,tenir,130.06616947788356,heroes
348,jouer,130.06616947788356,heroes
349,type,129.5569379579343,heroes
350,garder,129.3176421167437,heroes
351,cheri,129.02384427165856,heroes
352,enlever,128.37699844570326,heroes
353,question,128.0,heroes
354,sens,127.77620480316264,heroes
355,empecher,126.68782741352295,heroes
356,enfin,126.68782741352295,heroes
357,arme,126.09493895048945,heroes
358,rappeler,126.09493895048945,heroes
359,peindre,125.43168830593585,heroes
360,monstre,125.24781435161017,heroes
361,ecole,125.06860661443375,heroes
362,pinehearst,124.81733496066451,heroes
363,boulot,124.47751026745253,heroes
364,partie,123.67019438998248,heroes
365,compte,123.30948534916233,heroes
366,passe,123.25739957298828,heroes
367,demande,123.25739957298828,heroes
368,mois,123.25739957298828,heroes
369,contre,122.19402253172277,heroes
370,cas,122.01587301107809,heroes
371,aurai,121.62031431698203,heroes
372,faute,121.62031431698203,heroes
373,japon,121.14710148697324,heroes
374,ouvrir,121.05114139246987,heroes
375,special,120.43087896304942,heroes
376,gagner,119.93114328480172,heroes
377,recherche,119.93114328480172,heroes
378,ainsi,119.92880086315564,heroes
379,oeil,119.36987553979668,heroes
380,mechant,118.75040232937731,heroes
381,revoir,118.19656713118465,heroes
382,plaire,117.65682477334555,heroes
383,ensuite,117.10260492623432,heroes
384,hier,117.10260492623432,heroes
385,shaffe,116.64611517143678,heroes
386,donne,116.62822217472433,heroes
387,sorte,115.40546572440483,heroes
388,amour,114.98557115817891,heroes
389,vien,114.8636301882608,heroes
390,continuer,114.24648202629206,heroes
391,desolee,114.24648202629206,heroes
392,guerir,113.71451352796369,heroes
393,ur,113.4124712485348,heroes
394,prend,112.64481212910391,heroes
395,ensembl,112.5413106527653,heroes
396,fete,112.01118732074588,heroes
397,tueur,111.88040847106106,heroes
398,trois,111.7002691250881,heroes
399,propos,111.48528812390019,heroes
400,marcher,111.48528812390019,heroes
401,docteur,110.83613927923857,heroes
402,angela,110.17415197711162,heroes
403,garde,109.87381170713661,heroes
404,promettre,109.13096790571181,heroes
405,important,109.0,heroes
406,bombe,108.95536426916699,heroes
407,mendez,108.83306228986808,heroes
408,teleporter,108.57044658452371,heroes
409,fort,108.32948651402154,heroes
410,cherche,108.10694605953958,heroes
411,maya,107.94176736555497,heroes
412,charlie,107.7763932038402,heroes
413,girl,107.45263213059351,heroes
414,abandonner,107.42579653218506,heroes
415,boussole,106.92377559512533,heroes
416,destiner,106.72670032536666,heroes
417,coup,106.55178246244256,heroes
418,voici,106.41777502735927,heroes
419,heureux,105.72062515865832,heroes
420,suite,105.38675579011384,heroes
421,supposer,105.22263051342793,heroes
422,choisir,105.22263051342793,heroes
423,ni,105.16493406254504,heroes
424,memoire,104.27767178098429,heroes
425,vieux,104.23848286573795,heroes
426,precedemment,104.19054682830266,heroes
427,ramener,104.01545378513157,heroes
428,imaginer,104.01545378513157,heroes
429,adam,103.86291133344201,heroes
430,cours,103.52549131159846,heroes
431,exploser,103.28591366391164,heroes
432,plan,103.22646768261379,heroes
433,amener,103.03943296299866,heroes
434,ignorer,102.79611502556199,heroes
435,derriere,102.79094629792449,heroes
436,car,102.41947285870569,heroes
437,battre,101.82835210976897,heroes
438,air,101.60646025038066,heroes
439,espoir,100.9961766374489,heroes
440,fou,100.91201462921408,heroes
441,facile,100.2017120092702,heroes
442,reveiller,100.13121290793949,heroes
443,terre,99.9384320862067,heroes
444,genial,98.12161798071607,heroes
445,loin,98.00529729201435,heroes
446,matin,97.97191986645774,heroes
447,presque,97.97191986645774,heroes
448,sauf,97.97191986645774,heroes
449,yaeko,97.68313170834614,heroes
450,recuperer,97.65630927428388,heroes
451,catalyseur,97.07457415473131,heroes
452,voyage,96.9676708297094,heroes
453,ted,96.8610940379624,heroes
454,plutot,96.73693450428053,heroes
455,normal,96.6587631008267,heroes
456,mec,96.40018608631753,heroes
457,equipe,96.40018608631753,heroes
458,bientot,95.83215360237199,heroes
459,toucher,95.83215360237199,heroes
460,agent,95.45602158248377,heroes
461,verde,95.43506845073935,heroes
462,genre,95.43351163723827,heroes
463,offrir,95.03979530245104,heroes
464,numero,95.02863099134878,heroes
465,expliquer,94.59357780209713,heroes
466,affaire,94.59357780209713,heroes
467,fuir,94.30179008509374,heroes
468,cense,93.7844255439711,heroes
469,liste,93.7844255439711,heroes
470,tracy,93.66411196099081,heroes
471,controle,93.34265610062155,heroes
472,train,93.20172030142218,heroes
473,assurer,92.90440676991683,heroes
474,parent,92.61838450206048,heroes
475,incroyable,92.51650352300578,heroes
476,titre,92.51077904540685,heroes
477,minute,91.72800388270394,heroes
478,journee,91.64551689879207,heroes
479,accepter,91.64551689879207,heroes
480,point,91.0,heroes
481,super,90.97690674471947,heroes
482,gros,90.78835604435241,heroes
483,jeu,90.78835604435241,heroes
484,police,90.23779639902477,heroes
485,cheerleader,89.98350355266356,heroes
486,chemin,89.9483776969626,heroes
487,montre,89.9483776969626,heroes
488,attendez,89.52606470555621,heroes
489,compris,89.10709019167922,heroes
490,attraper,89.08996635548705,heroes
