,mots,poids,serie
0,be,32783.130568906316,howimetyourmother
1,you,15930.674003282205,howimetyourmother
2,to,10233.96974131852,howimetyourmother
3,not,9256.920815904336,howimetyourmother
4,the,9176.023357629992,howimetyourmother
5,it,8718.327982134106,howimetyourmother
6,that,7348.962279089866,howimetyourmother
7,do,6951.2500535422605,howimetyourmother
8,and,6016.533025563436,howimetyourmother
9,have,5436.550115235076,howimetyourmother
10,we,5382.131886561736,howimetyourmother
11,this,4640.752350769666,howimetyourmother
12,what,4527.6627599128915,howimetyourmother
13,go,4444.191272699529,howimetyourmother
14,of,4016.058057673959,howimetyourmother
15,get,4005.145232523714,howimetyourmother
16,my,3581.6434571018076,howimetyourmother
17,in,3547.7094130937094,howimetyourmother
18,just,3426.6910210681244,howimetyourmother
19,she,3309.2787302630472,howimetyourmother
20,so,3293.187227121612,howimetyourmother
21,know,3209.5102459939685,howimetyourmother
22,with,2743.137837967591,howimetyourmother
23,your,2642.6825882497824,howimetyourmother
24,for,2633.100520488382,howimetyourmother
25,no,2489.811229609785,howimetyourmother
26,like,2368.1498266223116,howimetyourmother
27,ted,2329.855244091703,howimetyourmother
28,can,2268.1827026800106,howimetyourmother
29,on,2266.0,howimetyourmother
30,right,2176.2147074835602,howimetyourmother
31,he,2135.4261235755966,howimetyourmother
32,marshall,2112.3774907919283,howimetyourmother
33,but,2086.560088320848,howimetyourmother
34,want,2069.207434971908,howimetyourmother
35,think,2061.0803594020053,howimetyourmother
36,barney,2051.1993229781947,howimetyourmother
37,lily,2034.1115629305493,howimetyourmother
38,all,2014.9282192587361,howimetyourmother
39,about,1943.0360150400109,howimetyourmother
40,there,1937.6276900405924,howimetyourmother
41,will,1875.202684086944,howimetyourmother
42,say,1858.989369269161,howimetyourmother
43,they,1849.59234458838,howimetyourmother
44,guy,1830.8817622978213,howimetyourmother
45,out,1818.56230858479,howimetyourmother
46,at,1816.3296918081683,howimetyourmother
47,well,1792.3117302760425,howimetyourmother
48,would,1753.2826702140205,howimetyourmother
49,yeah,1734.8503806405442,howimetyourmother
50,oh,1710.802404243292,howimetyourmother
51,here,1708.6519490682426,howimetyourmother
52,up,1690.7565612279998,howimetyourmother
53,one,1622.6042880271868,howimetyourmother
54,how,1606.2043539674555,howimetyourmother
55,okay,1555.7151039573955,howimetyourmother
56,robin,1544.196116906185,howimetyourmother
57,really,1542.262280085469,howimetyourmother
58,if,1509.74943409437,howimetyourmother
59,see,1466.3434803943912,howimetyourmother
60,come,1462.350032656915,howimetyourmother
61,good,1418.3207502341106,howimetyourmother
62,now,1403.6152140711959,howimetyourmother
63,tell,1302.3484582704864,howimetyourmother
64,make,1285.3459900523944,howimetyourmother
65,ve,1273.0618992805694,howimetyourmother
66,look,1262.7627502268983,howimetyourmother
67,thing,1214.2010987112606,howimetyourmother
68,why,1166.7297296668373,howimetyourmother
69,mean,1121.9358762901547,howimetyourmother
70,when,1068.327456697254,howimetyourmother
71,who,1052.9026439499169,howimetyourmother
72,let,1049.0138935214018,howimetyourmother
73,take,1046.5105124175439,howimetyourmother
74,love,1002.5322824725603,howimetyourmother
75,time,982.395898314588,howimetyourmother
76,back,961.919611237734,howimetyourmother
77,some,956.7183783268067,howimetyourmother
78,hey,951.3959635882443,howimetyourmother
79,wait,931.7501906360252,howimetyourmother
80,then,920.3762939255353,howimetyourmother
81,could,919.8007665768865,howimetyourmother
82,sorry,909.2908443777784,howimetyourmother
83,great,905.8609517312459,howimetyourmother
84,should,886.2262655132364,howimetyourmother
85,call,858.4681220243201,howimetyourmother
86,never,856.4417157812987,howimetyourmother
87,work,846.0837510110283,howimetyourmother
88,her,828.8398617164353,howimetyourmother
89,god,819.2724550602297,howimetyourmother
90,because,807.2961170337127,howimetyourmother
91,kid,799.2698679872908,howimetyourmother
92,need,787.5545876714258,howimetyourmother
93,from,786.2353064077025,howimetyourmother
94,two,775.314690235553,howimetyourmother
95,year,758.0150850959941,howimetyourmother
96,thank,753.5848834407439,howimetyourmother
97,something,745.3641633318852,howimetyourmother
98,night,738.2028328858318,howimetyourmother
99,give,729.8760349116932,howimetyourmother
100,girl,726.8144330631158,howimetyourmother
101,talk,723.2295772397181,howimetyourmother
102,our,713.6883907267013,howimetyourmother
103,happen,712.9105411807093,howimetyourmother
104,too,711.7453262673306,howimetyourmother
105,even,695.2928167533686,howimetyourmother
106,way,688.0693414939348,howimetyourmother
107,mosby,672.9282406574956,howimetyourmother
108,yes,672.7044433919074,howimetyourmother
109,friend,665.3596505130153,howimetyourmother
110,little,649.6615320561247,howimetyourmother
111,where,630.4163567684474,howimetyourmother
112,an,624.0,howimetyourmother
113,day,623.7226309699546,howimetyourmother
114,his,619.8222196042259,howimetyourmother
115,first,618.7888942823377,howimetyourmother
116,ever,612.5269173104205,howimetyourmother
117,only,602.8426363708527,howimetyourmother
118,maybe,593.542683360341,howimetyourmother
119,as,586.0,howimetyourmother
120,still,584.4155075180818,howimetyourmother
121,off,573.7047849558605,howimetyourmother
122,over,567.7188864751523,howimetyourmother
123,more,561.9973463081809,howimetyourmother
124,or,546.8373619485561,howimetyourmother
125,new,538.2763073583635,howimetyourmother
126,uh,536.5071783343253,howimetyourmother
127,by,527.0412096693408,howimetyourmother
128,try,519.4147575417383,howimetyourmother
129,leave,517.068176950355,howimetyourmother
130,dude,512.7899935013377,howimetyourmother
131,down,507.33900342172603,howimetyourmother
132,find,506.98915973435896,howimetyourmother
133,again,502.09718895148717,howimetyourmother
134,last,500.83003094268173,howimetyourmother
135,meet,493.2034918603386,howimetyourmother
136,other,491.61251285433747,howimetyourmother
137,life,489.8401074749772,howimetyourmother
138,bad,485.71007330282254,howimetyourmother
139,us,482.7199143217902,howimetyourmother
140,marry,481.4137441713872,howimetyourmother
141,awesome,475.1200314618782,howimetyourmother
142,feel,474.88866576642187,howimetyourmother
143,any,473.63542350163385,howimetyourmother
144,into,469.8545285285774,howimetyourmother
145,story,466.09559581169674,howimetyourmother
146,kind,465.0759829066026,howimetyourmother
147,three,456.45198995589743,howimetyourmother
148,guess,453.0542254574704,howimetyourmother
149,actually,452.61174740860304,howimetyourmother
150,nice,450.4826279992601,howimetyourmother
151,those,448.869527533132,howimetyourmother
152,big,447.2753046999056,howimetyourmother
153,man,433.2708791506534,howimetyourmother
154,totally,431.01437669473506,howimetyourmother
155,tonight,427.2838162122298,howimetyourmother
156,always,426.4039769011486,howimetyourmother
157,much,417.8403520217543,howimetyourmother
158,wedding,414.3705660184965,howimetyourmother
159,people,412.03775416018635,howimetyourmother
160,please,407.03930274627726,howimetyourmother
161,start,400.39905432632924,howimetyourmother
162,believe,398.9653298620474,howimetyourmother
163,break,389.52616874194746,howimetyourmother
164,name,385.9642522913535,howimetyourmother
165,move,380.979187942037,howimetyourmother
166,than,377.06202442225884,howimetyourmother
167,anything,376.8296386521141,howimetyourmother
168,put,373.89153215309136,howimetyourmother
169,stella,368.9410180231211,howimetyourmother
170,keep,365.86022931669277,howimetyourmother
171,woman,362.09537457807255,howimetyourmother
172,date,359.8033598096937,howimetyourmother
173,together,359.7228384002066,howimetyourmother
174,before,359.3527567373859,howimetyourmother
175,next,359.0755654319726,howimetyourmother
176,these,357.94296587097875,howimetyourmother
177,crazy,356.24147745827435,howimetyourmother
178,very,354.815571747061,howimetyourmother
179,hear,354.80931494010866,howimetyourmother
180,every,354.7559359695635,howimetyourmother
181,pretty,353.0828066899695,howimetyourmother
182,baby,352.99773266685094,howimetyourmother
183,stuff,343.37180029110635,howimetyourmother
184,um,340.8155941160199,howimetyourmother
185,old,340.51523070692537,howimetyourmother
186,after,337.92017631021275,howimetyourmother
187,use,336.9159198104406,howimetyourmother
188,apartment,335.6412254131832,howimetyourmother
189,whole,335.54365078046476,howimetyourmother
190,ask,335.1962812365562,howimetyourmother
191,five,334.3981780985816,howimetyourmother
192,sex,332.1647468641016,howimetyourmother
193,weird,326.9061923781231,howimetyourmother
194,live,324.9109291831472,howimetyourmother
195,bring,322.55961067914643,howimetyourmother
196,their,320.4803469383659,howimetyourmother
197,play,319.78485995423523,howimetyourmother
198,hi,315.6378548208859,howimetyourmother
199,sleep,308.2506265543025,howimetyourmother
200,remember,307.0589481582108,howimetyourmother
201,fine,306.8048804874156,howimetyourmother
202,someone,303.8769901462086,howimetyourmother
203,hot,301.8733616586887,howimetyourmother
204,watch,299.4808176092805,howimetyourmother
205,sure,297.32875078787583,howimetyourmother
206,nothing,297.1271711551546,howimetyourmother
207,exactly,294.22152421780874,howimetyourmother
208,long,292.0,howimetyourmother
209,got,291.95948097586984,howimetyourmother
210,eriksen,287.6225544745747,howimetyourmother
211,number,286.8198985409829,howimetyourmother
212,around,286.2376936782641,howimetyourmother
213,drink,284.50806309834525,howimetyourmother
214,home,284.3822283904472,howimetyourmother
215,relationship,282.5176986612452,howimetyourmother
216,happy,282.2934038101018,howimetyourmother
217,wrong,280.01230505619225,howimetyourmother
218,turn,279.6848694455514,howimetyourmother
219,through,272.5745786211728,howimetyourmother
220,month,272.29217662855433,howimetyourmother
221,place,272.0,howimetyourmother
222,stinson,270.7166013860335,howimetyourmother
223,idea,268.99166539669307,howimetyourmother
224,today,266.0143783640389,howimetyourmother
225,listen,265.7092183537101,howimetyourmother
226,funny,263.9587388696913,howimetyourmother
