,mots,poids,serie
0,etre,24900.99593634885,howimetyourmother
1,le,19796.211720904415,howimetyourmother
2,je,17953.836523407732,howimetyourmother
3,avoir,14292.695928294663,howimetyourmother
4,ce,14248.363974254975,howimetyourmother
5,de,13240.741055556722,howimetyourmother
6,un,10103.56533202218,howimetyourmother
7,que,9402.960777426078,howimetyourmother
8,pas,8241.915294170429,howimetyourmother
9,tu,5995.497269547057,howimetyourmother
10,cela,5822.572547925514,howimetyourmother
11,et,5733.177395111266,howimetyourmother
12,ne,5605.575001217261,howimetyourmother
13,aller,4645.337550936031,howimetyourmother
14,il,4522.4917234919,howimetyourmother
15,faire,4248.107137337975,howimetyourmother
16,te,4057.125602133189,howimetyourmother
17,mon,3787.7833605442543,howimetyourmother
18,on,3732.0,howimetyourmother
19,vous,3469.347801382854,howimetyourmother
20,en,3384.8769323813526,howimetyourmother
21,pouvoir,3347.400312672327,howimetyourmother
22,lui,3211.3827373462827,howimetyourmother
23,mais,3117.2227811740136,howimetyourmother
24,me,2959.9337382057056,howimetyourmother
25,dire,2799.5068077921314,howimetyourmother
26,tout,2790.66700057784,howimetyourmother
27,pour,2511.5586951465675,howimetyourmother
28,avec,2461.17338223986,howimetyourmother
29,taire,2446.2418156394956,howimetyourmother
30,dans,2330.7420153070093,howimetyourmother
31,se,2224.8683358152875,howimetyourmother
32,qui,2210.523654352569,howimetyourmother
33,devoir,2168.895605319513,howimetyourmother
34,moi,2165.267427167702,howimetyourmother
35,quoi,2115.897080935134,howimetyourmother
36,ted,2099.8101457515418,howimetyourmother
37,savoir,2078.390962613511,howimetyourmother
38,si,2003.7807705483585,howimetyourmother
39,sur,1970.0630127905858,howimetyourmother
40,vouloir,1966.195081457876,howimetyourmother
41,bien,1919.5992827773234,howimetyourmother
42,marshall,1790.3299696280637,howimetyourmother
43,lily,1742.6055855242746,howimetyourmother
44,au,1693.5172638404133,howimetyourmother
45,barney,1671.4293729757733,howimetyourmother
46,voir,1545.7144162666636,howimetyourmother
47,non,1444.0321809170052,howimetyourmother
48,toi,1414.423892828057,howimetyourmother
49,comme,1409.6044276806126,howimetyourmother
50,robin,1338.888224090249,howimetyourmother
51,plus,1330.1692012763704,howimetyourmother
52,ou,1270.749805123047,howimetyourmother
53,vraiment,1267.552446960055,howimetyourmother
54,aimer,1234.0491358621234,howimetyourmother
55,oui,1229.551302234791,howimetyourmother
56,ton,1201.0339740793684,howimetyourmother
57,bon,1136.6191632700622,howimetyourmother
58,quand,1109.3165961568943,howimetyourmother
59,son,1102.3832393539521,howimetyourmother
60,alors,1076.010780161423,howimetyourmother
61,pourquoi,1074.3381449267222,howimetyourmother
62,nous,1072.3916994169426,howimetyourmother
63,jamais,978.601580246865,howimetyourmother
64,quelque,972.2585742982687,howimetyourmother
65,passer,960.9508446790667,howimetyourmother
66,juste,932.1972748627331,howimetyourmother
67,luire,913.8415284095455,howimetyourmother
68,penser,910.4631863451849,howimetyourmother
69,fille,902.7771698454005,howimetyourmother
70,la,901.3118928316622,howimetyourmother
71,venir,895.2811312385091,howimetyourmother
72,chose,857.5376842345887,howimetyourmother
73,peu,856.7924097086293,howimetyourmother
74,croire,847.9638581545136,howimetyourmother
75,meme,835.5380473750255,howimetyourmother
76,rien,805.7483854966339,howimetyourmother
77,autre,802.8387377591939,howimetyourmother
78,arriver,797.2887271891044,howimetyourmother
79,oh,796.1656728667432,howimetyourmother
80,deux,783.6164452305469,howimetyourmother
81,veux,781.1854108071824,howimetyourmother
82,parler,768.3384946716491,howimetyourmother
83,fait,749.0488635447084,howimetyourmother
84,notre,719.1225107124936,howimetyourmother
85,ici,716.220787108119,howimetyourmother
86,prendre,712.8567215334338,howimetyourmother
87,appeler,701.005978354827,howimetyourmother
88,dieu,691.5560779656189,howimetyourmother
89,votre,689.9134269490735,howimetyourmother
90,soir,687.9095408600562,howimetyourmother
91,aussi,674.5844165818953,howimetyourmother
92,fois,669.7990694251854,howimetyourmother
93,mec,659.308415554636,howimetyourmother
94,ami,651.1742291352432,howimetyourmother
95,truc,645.6060874265061,howimetyourmother
96,ouai,630.4828388234469,howimetyourmother
97,toujours,626.6824529388936,howimetyourmother
98,tres,615.6676736955194,howimetyourmother
99,petit,614.5184804107221,howimetyourmother
100,merci,613.9647698650438,howimetyourmother
101,mosby,607.8061528519315,howimetyourmother
102,parce,596.8493776989834,howimetyourmother
103,salut,596.7352797564208,howimetyourmother
104,as,586.0,howimetyourmother
105,temps,582.9741871695392,howimetyourmother
106,sai,579.8558088405308,howimetyourmother
107,maintenant,577.5894655757213,howimetyourmother
108,heure,574.6459844956886,howimetyourmother
109,comment,571.5718233536084,howimetyourmother
110,sortir,564.9053264981927,howimetyourmother
111,jour,555.6475620618052,howimetyourmother
112,genial,552.5796381019273,howimetyourmother
113,trop,544.5843532571087,howimetyourmother
114,par,526.5781155356004,howimetyourmother
115,encore,517.2233502365912,howimetyourmother
116,vie,513.4888635635367,howimetyourmother
117,donc,505.3736479140743,howimetyourmother
118,fai,501.3578009658036,howimetyourmother
119,enfant,499.03346509153664,howimetyourmother
120,trouver,493.2379413966493,howimetyourmother
121,nouveau,491.15265394707853,howimetyourmother
122,monde,490.92962898057226,howimetyourmother
123,vrai,485.8858314225527,howimetyourmother
124,histoire,481.4137441713872,howimetyourmother
125,meilleur,471.27871797830534,howimetyourmother
126,apres,463.2275866658065,howimetyourmother
127,falloir,462.83286281740385,howimetyourmother
128,avant,462.73437848753855,howimetyourmother
129,femme,456.13742875847413,howimetyourmother
130,super,450.500104482888,howimetyourmother
131,premier,437.8843541482591,howimetyourmother
132,mariage,431.408357502267,howimetyourmother
133,sans,429.6898687437503,howimetyourmother
134,seul,410.22886805225903,howimetyourmother
135,an,408.0,howimetyourmother
136,regarder,407.09021875545375,howimetyourmother
137,marier,406.6829199458387,howimetyourmother
138,laisser,401.82253878889304,howimetyourmother
139,allez,399.361859055213,howimetyourmother
140,chez,397.1376059601329,howimetyourmother
141,besoin,396.60117402528346,howimetyourmother
142,mettre,393.5768504980113,howimetyourmother
143,partir,391.7349436728539,howimetyourmother
144,personne,389.9074833244348,howimetyourmother
145,depuis,388.50933740147036,howimetyourmother
146,accord,376.4729997836503,howimetyourmother
147,quel,371.4378392537349,howimetyourmother
148,voila,364.99491767264533,howimetyourmother
149,entrer,361.4826008865855,howimetyourmother
150,desole,361.44399604511426,howimetyourmother
151,dernier,353.03674572568394,howimetyourmother
152,connaitre,348.0220315033509,howimetyourmother
153,raison,343.4777700669911,howimetyourmother
154,finir,341.2125485004218,howimetyourmother
155,gars,339.4278403658966,howimetyourmother
156,essayer,326.01000921079907,howimetyourmother
157,fete,324.1535875494312,howimetyourmother
158,arreter,322.6316671464384,howimetyourmother
159,coucher,319.2533250820778,howimetyourmother
160,ecoute,315.8749830177172,howimetyourmother
161,trois,315.38899517671933,howimetyourmother
162,semaine,314.6034629398873,howimetyourmother
163,bebe,312.6943850138174,howimetyourmother
164,mal,311.4529561195364,howimetyourmother
165,deja,308.2335487505913,howimetyourmother
166,celui,307.6716510391943,howimetyourmother
167,stella,305.2389717457477,howimetyourmother
168,commencer,304.3091193338479,howimetyourmother
169,nuit,301.48093679339024,howimetyourmother
170,donner,293.2522470854971,howimetyourmother
171,eriksen,293.0493951250384,howimetyourmother
172,vieux,289.17772665978913,howimetyourmother
173,moins,287.159075470652,howimetyourmother
174,annee,279.8276098413788,howimetyourmother
175,adorer,278.3308291000352,howimetyourmother
176,jouer,277.02404927757016,howimetyourmother
177,attendre,277.02404927757016,howimetyourmother
178,probleme,276.87238760892564,howimetyourmother
179,beaucoup,275.58302987491146,howimetyourmother
180,entendre,273.43900738238654,howimetyourmother
181,scherbatsky,271.3420325231837,howimetyourmother
182,desoler,270.26736514884897,howimetyourmother
183,attend,267.35396139949466,howimetyourmother
184,okay,265.9459832274378,howimetyourmother
185,amour,262.8241626472661,howimetyourmother
186,boulot,260.8912201495923,howimetyourmother
187,stinson,258.59496251800215,howimetyourmother
188,gens,258.4431679235868,howimetyourmother
189,grand,256.97647277231545,howimetyourmother
190,mieux,254.8430018198271,howimetyourmother
191,nom,253.20929438312993,howimetyourmother
192,mois,253.17736128505697,howimetyourmother
193,pendant,252.57010110892992,howimetyourmother
194,moment,252.0019973386539,howimetyourmother
195,devenir,251.68648379486558,howimetyourmother
196,manger,250.91728287400895,howimetyourmother
197,perdre,250.5086120483057,howimetyourmother
198,tard,250.17088306923463,howimetyourmother
199,gros,248.82734619563251,howimetyourmother
200,laisse,247.14608034295932,howimetyourmother
201,jusque,246.61897069832466,howimetyourmother
202,hein,243.71401783540162,howimetyourmother
203,oublier,242.69090586161605,howimetyourmother
204,sou,242.58757554180295,howimetyourmother
205,ensembl,242.13433504079808,howimetyourmother
206,rencontrer,240.42916366727133,howimetyourmother
207,sentir,239.86228656960344,howimetyourmother
208,homme,238.18659647212598,howimetyourmother
209,rendre,237.05848522692017,howimetyourmother
210,soiree,236.53348958823773,howimetyourmother
211,idee,235.9525972049155,howimetyourmother
212,shalimarfox,235.63860406495326,howimetyourmother
213,rester,232.0146876689006,howimetyourmother
214,pote,230.5154868746736,howimetyourmother
215,mere,229.44395378172658,howimetyourmother
216,chaque,226.97089011088102,howimetyourmother
217,numero,226.4849038627146,howimetyourmother
218,enfin,226.348918312161,howimetyourmother
219,tant,226.348918312161,howimetyourmother
220,pere,225.9120611536425,howimetyourmother
221,eh,224.52889477589957,howimetyourmother
222,jeu,223.60835840553463,howimetyourmother
223,changer,223.5677160263999,howimetyourmother
224,aucun,221.28140521562008,howimetyourmother
225,reste,220.24582670018825,howimetyourmother
226,air,218.45388953831844,howimetyourmother
227,gagner,217.90306315125946,howimetyourmother
228,vivre,217.54494777758165,howimetyourmother
229,new,215.09649657859057,howimetyourmother
230,chercher,214.52472108689886,howimetyourmother
231,porte,212.2135665505538,howimetyourmother
232,maison,208.61667910126747,howimetyourmother
233,regarde,207.76803695817765,howimetyourmother
234,architecte,207.65448878348704,howimetyourmother
235,cote,205.83098905109648,howimetyourmother
236,pret,205.58189259584898,howimetyourmother
237,hey,204.13567489214603,howimetyourmother
238,type,202.6939190632198,howimetyourmother
239,souvenir,201.70771766119876,howimetyourmother
240,fou,200.1964161192473,howimetyourmother
241,bizarre,198.0346813084112,howimetyourmother
242,ok,196.8146270677545,howimetyourmother
243,mot,194.5773534982936,howimetyourmother
244,aujourd,193.21430203333296,howimetyourmother
245,bas,193.07990706388398,howimetyourmother
246,tellement,192.68436520852242,howimetyourmother
247,serieux,192.56549766855488,howimetyourmother
248,hui,192.31854468643937,howimetyourmother
249,bar,192.1446446616478,howimetyourmother
250,drole,190.07959060490208,howimetyourmother
251,voici,189.18715560419426,howimetyourmother
252,revenir,189.18715560419426,howimetyourmother
253,donne,187.2622158861771,howimetyourmother
254,tomber,185.80881353983366,howimetyourmother
255,apprendre,185.80881353983366,howimetyourmother
256,travailler,184.9392437940512,howimetyourmother
257,heureux,182.45333696736193,howimetyourmother
258,acheter,180.74130044329274,howimetyourmother
259,decider,179.8614192001033,howimetyourmother
260,demain,179.05212941111242,howimetyourmother
261,cheri,179.02058392692626,howimetyourmother
262,payer,178.21418038335844,howimetyourmother
263,cinq,178.1996161920957,howimetyourmother
264,plutot,178.1996161920957,howimetyourmother
265,hier,178.1996161920957,howimetyourmother
266,appartement,176.27156026608483,howimetyourmother
267,aider,174.85164867801205,howimetyourmother
268,marche,174.18218976673904,howimetyourmother
269,comprendre,173.98461631457153,howimetyourmother
270,tete,173.2768396727164,howimetyourmother
271,fin,173.0487238018801,howimetyourmother
272,allon,171.68590014555318,howimetyourmother
273,dingue,171.14028570998494,howimetyourmother
274,tactactac,170.30165401182063,howimetyourmother
275,demander,168.9171032180306,howimetyourmother
276,stupide,168.81196597914797,howimetyourmother
277,travail,168.22969401178128,howimetyourmother
278,oeil,168.12658526731929,howimetyourmother
279,exactement,167.22793218585028,howimetyourmother
280,assez,167.22793218585028,howimetyourmother
281,costume,166.8817701293784,howimetyourmother
282,endroit,166.31964177928933,howimetyourmother
283,peur,165.6688448460045,howimetyourmother
284,merde,163.99542217079232,howimetyourmother
285,genre,163.60030566383705,howimetyourmother
286,car,162.84696184534207,howimetyourmother
287,detester,162.7605154571398,howimetyourmother
288,relation,162.5456881326702,howimetyourmother
289,minute,162.28800686939928,howimetyourmother
290,compte,162.16041908930936,howimetyourmother
291,boire,160.28610911151424,howimetyourmother
292,imaginer,160.28610911151424,howimetyourmother
293,famille,159.7202560039533,howimetyourmother
294,rentrer,159.7202560039533,howimetyourmother
295,venusia,159.3139159183687,howimetyourmother
296,porter,158.93702919823755,howimetyourmother
297,biere,158.15446886782618,howimetyourmother
298,longtemps,158.0389901512801,howimetyourmother
299,contre,157.8339457701419,howimetyourmother
300,legen,157.37837886344656,howimetyourmother
301,dur,157.09290599276846,howimetyourmother
302,verre,155.17059499093398,howimetyourmother
303,argent,153.95488611951933,howimetyourmother
304,combien,153.95488611951933,howimetyourmother
305,partie,153.83365643631967,howimetyourmother
306,york,153.5903831635481,howimetyourmother
307,revoir,153.50203523530473,howimetyourmother
308,nul,152.99519259326053,howimetyourmother
309,chambre,152.74252816465346,howimetyourmother
310,dessus,152.02539289622754,howimetyourmother
311,arrete,152.02539289622754,howimetyourmother
312,monsieur,151.9670148829517,howimetyourmother
313,pire,150.33622186404722,howimetyourmother
314,pense,149.90764812931005,howimetyourmother
315,copine,148.50812273119493,howimetyourmother
316,lire,147.95139503524095,howimetyourmother
317,plein,147.95139503524095,howimetyourmother
318,jeune,147.651110559165,howimetyourmother
319,oncle,146.72840455221123,howimetyourmother
320,rappeler,146.27012918256776,howimetyourmother
321,matin,145.26870876750633,howimetyourmother
322,inviter,144.94534401968113,howimetyourmother
323,droit,144.58886332989456,howimetyourmother
324,reve,144.25683215550603,howimetyourmother
325,mauvais,143.579537735326,howimetyourmother
326,dis,143.13290239257793,howimetyourmother
327,celibataire,142.84464858579236,howimetyourmother
328,coup,142.5303064107998,howimetyourmother
329,tenir,141.8903667031457,howimetyourmother
330,faux,141.76827161778482,howimetyourmother
331,regle,141.52922400272,howimetyourmother
332,zek,141.09785691205553,howimetyourmother
333,sexy,140.8634535841054,howimetyourmother
334,marcher,140.2011956709654,howimetyourmother
335,va,139.93304992674882,howimetyourmother
336,pleurer,139.43598344628072,howimetyourmother
337,erreur,138.51202463878508,howimetyourmother
338,lit,137.83600850729763,howimetyourmother
339,rompre,137.78902453145903,howimetyourmother
340,quatre,137.22065936739767,howimetyourmother
341,importer,137.08783453863722,howimetyourmother
342,chien,136.41370988213976,howimetyourmother
343,envoyer,136.1825340665286,howimetyourmother
344,amoureux,135.77248333372012,howimetyourmother
345,dary,135.67101626159186,howimetyourmother
346,rencard,135.3162275888124,howimetyourmother
347,point,134.0,howimetyourmother
348,parfois,132.37685774269966,howimetyourmother
349,mourir,132.20039134176116,howimetyourmother
350,ouais,132.0850509225801,howimetyourmother
351,amie,131.29819576155953,howimetyourmother
352,dont,130.97556060541993,howimetyourmother
353,prochain,130.06616947788356,howimetyourmother
354,fiero,128.47896445029733,howimetyourmother
355,cas,128.43776106429272,howimetyourmother
356,esperer,128.37699844570326,howimetyourmother
357,chance,128.0,howimetyourmother
358,ranjit,127.81639069413978,howimetyourmother
359,bois,127.48204955947858,howimetyourmother
360,maman,127.28544013721121,howimetyourmother
361,incroyable,126.78187519819312,howimetyourmother
362,victoria,126.33744421557485,howimetyourmother
363,preferer,126.18268164097928,howimetyourmother
364,desolee,126.18268164097928,howimetyourmother
365,sexe,125.86455842936104,howimetyourmother
366,amuser,125.6645282910925,howimetyourmother
367,facon,125.5067006409125,howimetyourmother
368,beau,125.44625493360795,howimetyourmother
369,question,125.0,howimetyourmother
370,devant,124.99865638134264,howimetyourmother
371,parle,124.92304010775838,howimetyourmother
372,swarley,124.81733496066451,howimetyourmother
373,continuer,124.47751026745253,howimetyourmother
374,garder,124.3438866507151,howimetyourmother
375,cours,123.89116173355225,howimetyourmother
376,prend,122.73240724514307,howimetyourmother
377,ville,121.88344809200638,howimetyourmother
378,demande,121.59175903821816,howimetyourmother
379,remettre,121.06716752039904,howimetyourmother
380,important,121.0,howimetyourmother
381,voiture,120.50023260789692,howimetyourmother
382,aldrin,119.06811254198823,howimetyourmother
383,choisir,118.7997441280638,howimetyourmother
384,toilette,118.71480411770308,howimetyourmother
385,suite,118.56010026387807,howimetyourmother
386,pantalon,118.5069085193959,howimetyourmother
387,dormir,118.24197225262142,howimetyourmother
388,affaire,118.24197225262142,howimetyourmother
389,anniversaire,118.18136135178219,howimetyourmother
390,liste,117.65682477334555,howimetyourmother
391,raconter,117.10260492623432,howimetyourmother
392,suivre,116.55280122044111,howimetyourmother
393,casser,116.50226369563691,howimetyourmother
394,groupe,116.50226369563691,howimetyourmother
395,journee,115.40546572440483,howimetyourmother
396,vers,114.8636301882608,howimetyourmother
397,utiliser,114.8636301882608,howimetyourmother
398,seulement,114.8636301882608,howimetyourmother
399,appart,114.74478443941508,howimetyourmother
400,voyon,114.24648202629206,howimetyourmother
401,plaire,114.24648202629206,howimetyourmother
402,salle,113.70832652257535,howimetyourmother
403,aurai,111.48528812390019,howimetyourmother
404,asseoir,111.48528812390019,howimetyourmother
405,avai,111.48528812390019,howimetyourmother
406,sein,110.98266035943426,howimetyourmother
407,nosvosperso,110.81380941286494,howimetyourmother
408,epouser,110.77128700698644,howimetyourmother
409,parfaire,109.64918936059945,howimetyourmother
410,coeur,109.28228042375753,howimetyourmother
411,part,109.0,howimetyourmother
412,ensemble,108.67754927027138,howimetyourmother
413,h3av3n,108.15233058734904,howimetyourmother
414,retrouver,108.10694605953958,howimetyourmother
415,sembler,108.10694605953958,howimetyourmother
416,ecole,107.93592077684008,howimetyourmother
417,chanson,107.67338182702268,howimetyourmother
418,occuper,106.41777502735927,howimetyourmother
419,main,106.1621134106174,howimetyourmother
420,tuer,105.91974871841114,howimetyourmother
421,embrasser,105.79674026004166,howimetyourmother
422,maclaren,105.3294841717588,howimetyourmother
423,facile,105.12966505890644,howimetyourmother
424,copain,104.80333593452798,howimetyourmother
425,film,104.77446960801228,howimetyourmother
426,expliquer,104.72860399517897,howimetyourmother
427,joli,104.01545378513157,howimetyourmother
428,mignon,103.75220586315433,howimetyourmother
429,tante,103.62837919088345,howimetyourmother
430,ensuite,103.52549131159846,howimetyourmother
431,bilson,103.23631556065136,howimetyourmother
432,attendez,103.03943296299866,howimetyourmother
433,thanksgiving,102.53971058463455,howimetyourmother
434,virer,102.05008121856753,howimetyourmother
435,ni,102.025682299484,howimetyourmother
436,regardez,101.82835210976897,howimetyourmother
437,parfait,101.77656225063492,howimetyourmother
438,canadien,100.86157327250793,howimetyourmother
439,couple,100.70298117122621,howimetyourmother
440,mentir,100.60511103807808,howimetyourmother
441,realiser,100.32041882503248,howimetyourmother
442,tot,100.2200106325241,howimetyourmother
443,soeur,99.84304987511459,howimetyourmother
444,baffe,99.59790408743056,howimetyourmother
445,bonjour,99.10377960684349,howimetyourmother
446,ecrire,98.59075643149744,howimetyourmother
447,sors,98.43407370611001,howimetyourmother
448,presque,97.97191986645774,howimetyourmother
449,ressembler,97.97191986645774,howimetyourmother
450,canon,97.79444897713425,howimetyourmother
451,thiste,97.64401298222597,howimetyourmother
452,ah,97.43243001965915,howimetyourmother
453,moyen,96.28274883427744,howimetyourmother
454,garcon,96.02917521167147,howimetyourmother
455,he,95.74035251898385,howimetyourmother
456,cheveux,95.5878657992356,howimetyourmother
457,est,95.07913389996482,howimetyourmother
458,offrir,95.03979530245104,howimetyourmother
459,serieusement,94.75748899197043,howimetyourmother
460,gentil,94.59357780209713,howimetyourmother
461,cher,94.33341125755213,howimetyourmother
462,arrow,94.3107573961477,howimetyourmother
463,vite,94.29375598450018,howimetyourmother
464,canada,93.96161152750784,howimetyourmother
465,cool,93.73322162596752,howimetyourmother
466,blogspot,93.40428550725599,howimetyourmother
467,ecouter,93.34265610062155,howimetyourmother
468,loin,93.338378373347,howimetyourmother
469,marrant,93.00272067730432,howimetyourmother
470,vien,92.90440676991683,howimetyourmother
471,jeter,92.84343536586728,howimetyourmother
472,sympa,92.55546063907349,howimetyourmother
473,titou,92.50485440421409,howimetyourmother
474,ouvrir,92.4696218970256,howimetyourmother
475,gateau,92.15465745967116,howimetyourmother
476,noel,91.69050822536944,howimetyourmother
477,lequel,91.21523573773652,howimetyourmother
478,dehors,91.21523573773652,howimetyourmother
479,plait,91.09735747655103,howimetyourmother
480,compris,90.78835604435241,howimetyourmother
481,content,90.07170788806285,howimetyourmother
482,battre,89.9483776969626,howimetyourmother
483,mort,89.9064327450049,howimetyourmother
484,montrer,89.52606470555621,howimetyourmother
485,verite,89.52606470555621,howimetyourmother
486,blague,89.08996635548705,howimetyourmother
487,plan,89.05812898107857,howimetyourmother
488,photo,88.80888874601919,howimetyourmother
489,sang,88.70315489345231,howimetyourmother
490,poil,88.33300664460985,howimetyourmother
491,the,88.04610478811176,howimetyourmother
492,rupture,87.86967989983869,howimetyourmother
493,repondre,87.83689367337591,howimetyourmother
494,abord,87.83689367337591,howimetyourmother
495,crier,87.42582433900603,howimetyourmother
496,completement,87.42582433900603,howimetyourmother
497,toucher,87.42582433900603,howimetyourmother
498,gael,87.01131301145293,howimetyourmother
499,excuser,86.9637400498641,howimetyourmother
500,boite,86.48311967675214,howimetyourmother
501,fac,86.20293767442409,howimetyourmother
502,porno,86.07159471992637,howimetyourmother
503,dedans,85.74455848633283,howimetyourmother
504,peine,85.25856867633735,howimetyourmother
505,manque,85.25856867633735,howimetyourmother
506,fort,85.20296692114053,howimetyourmother
507,leur,84.4585516090153,howimetyourmother
508,pres,84.16303641246225,howimetyourmother
509,terminer,84.06329263365964,howimetyourmother
510,decouvrir,84.06329263365964,howimetyourmother
511,peinture,84.05462658078308,howimetyourmother
512,jersey,83.42213742478742,howimetyourmother
513,frere,83.39029435641154,howimetyourmother
514,bel,83.25970114086617,howimetyourmother
515,monter,83.15982088964466,howimetyourmother
516,place,83.0,howimetyourmother
517,carriere,82.94947704034038,howimetyourmother
518,autant,82.76938057683499,howimetyourmother
519,propos,82.76938057683499,howimetyourmother
520,bureau,82.65310558971156,howimetyourmother
521,sens,82.38202678098645,howimetyourmother
522,quell,82.35814685916894,howimetyourmother
523,druther,82.2265372481903,howimetyourmother
524,diner,82.22111818536793,howimetyourmother
525,ca,81.9578264222658,howimetyourmother
526,avocat,81.68417622843769,howimetyourmother
527,nu,81.50568640916929,howimetyourmother
528,dejeuner,81.46268168781518,howimetyourmother
529,metro,80.88566771958769,howimetyourmother
530,propre,80.70076092831326,howimetyourmother
531,relecture,80.58373730459735,howimetyourmother
532,neuf,80.3311545169317,howimetyourmother
533,burger,80.27360066518295,howimetyourmother
534,surement,79.76554248598569,howimetyourmother
535,absolument,79.39103851247438,howimetyourmother
536,vraie,79.18586714233226,howimetyourmother
537,tableau,79.11486529845551,howimetyourmother
538,claudia,78.84492303148245,howimetyourmother
539,aide,78.65363179322382,howimetyourmother
540,haut,78.65086573497183,howimetyourmother
541,retourner,78.0684032841562,howimetyourmother
542,retour,78.0684032841562,howimetyourmother
543,sauf,77.70186748029407,howimetyourmother
544,argentine,77.51078575505892,howimetyourmother
545,sauter,77.46443524793374,howimetyourmother
546,fiancer,77.30416811760942,howimetyourmother
547,faut,77.20980584530925,howimetyourmother
548,suffire,77.09708626917148,howimetyourmother
549,ainsi,77.09708626917148,howimetyourmother
550,moitie,76.73271180870361,howimetyourmother
551,vendre,76.73271180870361,howimetyourmother
552,ramener,76.73271180870361,howimetyourmother
553,toit,76.56239486304695,howimetyourmother
554,allo,76.47029263938848,howimetyourmother
555,cafe,76.32607360484106,howimetyourmother
556,enorme,76.10514531554189,howimetyourmother
557,debile,76.07893646450765,howimetyourmother
558,emmener,76.01269644811377,howimetyourmother
559,voler,76.01269644811377,howimetyourmother
560,equipe,75.7430033535352,howimetyourmother
561,20,75.60000320003073,howimetyourmother
562,jaloux,75.57619019231012,howimetyourmother
563,lendemain,75.28299047089057,howimetyourmother
564,difficile,75.02754043517687,howimetyourmother
565,recevoir,74.32352541593346,howimetyourmother
566,carte,74.18871045620367,howimetyourmother
567,moby,74.01410924076512,howimetyourmother
