,mots,poids,serie
0,be,12054.989767092567,invasion
1,you,6590.945160347306,invasion
2,to,4030.3040394043824,invasion
3,not,3762.8707324047296,invasion
4,the,3324.4994738959444,invasion
5,do,3074.119327529199,invasion
6,that,2375.724521253639,invasion
7,it,2364.631982512454,invasion
8,what,2326.5571864539793,invasion
9,we,2133.1196606951366,invasion
10,have,2050.6556021731853,invasion
11,know,1730.5609029219986,invasion
12,go,1692.7233520838433,invasion
13,they,1669.329044829152,invasion
14,this,1657.0953545037632,invasion
15,he,1620.3014007832378,invasion
16,and,1606.893316719985,invasion
17,of,1394.7792287328577,invasion
18,she,1372.0689101706823,invasion
19,here,1287.1946116756308,invasion
20,get,1242.3574797413985,invasion
21,mariel,1236.4765533206469,invasion
22,in,1224.7252007678096,invasion
23,no,1046.6070937793756,invasion
24,just,1036.2404496187783,invasion
25,yeah,1034.106893558285,invasion
26,right,1025.4494864617056,invasion
27,want,957.8526998683017,invasion
28,your,954.0418660365036,invasion
29,my,952.7459909670744,invasion
30,think,951.6284601029728,invasion
31,all,946.5938983200721,invasion
32,about,885.5816320422239,invasion
33,with,852.9202307893074,invasion
34,will,817.0074993968033,invasion
35,for,811.9856073944051,invasion
36,there,810.538762647017,invasion
37,see,804.3681695138655,invasion
38,but,794.3040336216561,invasion
39,if,789.3832755407706,invasion
40,kira,771.7443412646627,invasion
41,okay,770.2787804359469,invasion
42,can,769.7825143396768,invasion
43,larkin,744.7710604369144,invasion
44,underlay,738.0503284630597,invasion
45,szura,738.0503284630597,invasion
46,well,735.9885134786539,invasion
47,come,734.693664145245,invasion
48,so,712.1517378650486,invasion
49,tell,707.9351788903733,invasion
50,on,700.0,invasion
51,why,692.2596396023235,invasion
52,like,691.6090264756114,invasion
53,out,675.072372126172,invasion
54,hey,630.9648133029968,invasion
55,how,622.875491256863,invasion
56,would,614.9102890139101,invasion
57,at,569.0045176497812,invasion
58,hurricane,556.5044656117482,invasion
59,now,545.8503610276873,invasion
60,russell,539.7363557406936,invasion
61,ve,539.4581272853635,invasion
62,take,526.2452862442507,invasion
63,say,516.47236033252,invasion
64,where,514.2870278900491,invasion
65,russ,491.54401486438195,invasion
66,who,490.1943438775095,invasion
67,talk,484.62309786349965,invasion
68,find,456.7611315253822,invasion
69,happen,456.6569825996248,invasion
70,one,454.4318971215381,invasion
71,jesse,453.90380608984054,invasion
72,could,428.5078656578328,invasion
73,really,425.1210015572381,invasion
74,look,416.71170757487647,invasion
75,tom,416.3505453454926,invasion
76,up,407.16178413245706,invasion
77,people,392.416908723987,invasion
78,his,383.91973303843844,invasion
79,back,377.4289482785659,invasion
80,some,371.7978738538322,invasion
81,because,371.0957957332389,invasion
82,when,370.96700380604517,invasion
83,need,370.33816920263473,invasion
84,good,370.29376041757604,invasion
85,dad,361.3832236399909,invasion
86,guy,353.94134306950724,invasion
87,let,351.1405049742507,invasion
88,sorry,335.00189003391836,invasion
89,our,333.1564650501518,invasion
90,call,330.71003095639935,invasion
91,from,325.1454386570178,invasion
92,water,322.92324383169927,invasion
93,thing,322.35427399414,invasion
94,maybe,304.1293088292656,invasion
95,lewis,303.28398874545275,invasion
96,too,292.80662156567394,invasion
97,give,291.9504139646773,invasion
98,leave,291.14915809819985,invasion
99,thank,289.7151387741953,invasion
100,then,289.08253714129717,invasion
101,mean,287.67586571542427,invasion
102,oh,287.1417180830877,invasion
103,kid,285.78100442375404,invasion
104,something,284.39471221468153,invasion
105,down,281.6992809054335,invasion
106,should,281.23785547652517,invasion
107,make,273.2861801279624,invasion
108,her,268.64087683896753,invasion
109,uh,253.71768039455782,invasion
110,dave,246.82679847562395,invasion
111,sir,245.87347926679737,invasion
112,any,244.14197087713086,invasion
113,way,235.8745699970327,invasion
114,honey,233.30565513984303,invasion
115,night,230.52182326579222,invasion
116,god,229.21044111325898,invasion
117,help,227.04379902052062,invasion
118,try,223.7478955564411,invasion
119,sure,221.96417159511563,invasion
120,sheriff,221.60527758764272,invasion
121,work,218.34419380929762,invasion
122,stay,217.35509854054277,invasion
123,more,216.61892324008053,invasion
124,mom,211.53634791580419,invasion
125,as,211.0,invasion
126,time,210.42751799884076,invasion
127,home,209.68274904364773,invasion
128,wait,208.8977295732014,invasion
129,feel,203.52371389989509,invasion
130,wife,202.26605561849658,invasion
131,an,200.0,invasion
132,these,198.71098472984482,invasion
133,by,198.4011944020844,invasion
134,still,196.88864691785645,invasion
135,very,196.7613625142793,invasion
136,hear,194.26211360974276,invasion
137,kill,192.73078967793094,invasion
138,keep,190.05726198269755,invasion
139,anything,189.20316585043386,invasion
140,morning,180.45419818847085,invasion
141,hospital,179.8128654900098,invasion
142,after,177.00580663868286,invasion
143,may,175.9323908393786,invasion
144,little,174.0164818007477,invasion
145,man,173.75387441517205,invasion
146,even,172.6353463009503,invasion
147,off,172.542792467928,invasion
148,family,169.65957624397916,invasion
149,house,169.5801641271515,invasion
150,rose,169.081206376685,invasion
151,everything,168.64377463611578,invasion
152,their,166.7805887128231,invasion
153,ask,165.14548490191305,invasion
154,lot,160.87506056432,invasion
155,yes,160.6682487565493,invasion
156,ever,159.09790060010923,invasion
157,through,157.96935806454334,invasion
158,hybrid,157.50637864898798,invasion
159,um,156.63014538097937,invasion
160,into,156.09261182660794,invasion
161,other,155.91594258810704,invasion
162,or,151.9587189759197,invasion
163,baby,151.95266637977028,invasion
164,lose,151.6030170191988,invasion
165,than,149.55202656410268,invasion
166,only,147.36153333509733,invasion
167,please,145.71056752006814,invasion
168,anymore,144.91072652499972,invasion
169,might,144.85756938709764,invasion
170,live,142.96080884058475,invasion
171,child,141.5971315340972,invasion
172,paxton,140.3051046128716,invasion
173,those,140.27172735410375,invasion
174,healy,139.35463892254538,invasion
175,two,138.97150107995762,invasion
176,deputy,138.71287448493266,invasion
177,care,137.79151493745573,invasion
178,believe,134.0785124946225,invasion
179,homestead,132.4975165187177,invasion
180,again,130.84957045402393,invasion
181,wrong,130.46027849208957,invasion
182,never,130.0924125237416,invasion
183,daddy,128.28865183832085,invasion
184,wanna,127.41104621826283,invasion
185,jess,126.95754613875192,invasion
186,stop,126.47901980214559,invasion
187,pretty,124.88955171129925,invasion
188,understand,124.3438866507151,invasion
189,father,124.18545011147137,invasion
190,last,124.08624647236591,invasion
191,christina,123.98652722239383,invasion
192,use,123.6985985777463,invasion
193,varon,123.33980587228544,invasion
194,town,122.97146811744594,invasion
195,great,122.70022924787779,invasion
196,yet,120.48643261527599,invasion
197,love,120.08798538365797,invasion
198,story,119.4369964267473,invasion
199,mother,118.75823147426262,invasion
200,over,118.50442775937644,invasion
201,day,117.60871643289398,invasion
202,military,116.530277759722,invasion
203,light,116.28727018083899,invasion
204,since,115.51789311514426,invasion
205,kind,115.07034628616971,invasion
206,listen,115.03264940922816,invasion
207,away,114.11950378969857,invasion
208,put,114.11950378969857,invasion
209,first,114.10291667617572,invasion
210,around,113.56169368757217,invasion
