,mots,poids,serie
0,etre,20980.0169977866,invasion
1,le,15153.053006539423,invasion
2,avoir,13308.205187846323,invasion
3,je,13205.207854242164,invasion
4,ce,11043.367438206735,invasion
5,que,10540.489690987866,invasion
6,de,9110.032215788764,invasion
7,pas,7034.816055408373,invasion
8,il,6410.63868053021,invasion
9,un,6161.458916907464,invasion
10,ne,6140.760733299532,invasion
11,tu,4861.437455059071,invasion
12,aller,4465.4421047,invasion
13,vous,4397.391360481646,invasion
14,et,3677.7253110334905,invasion
15,pouvoir,3438.1886687166793,invasion
16,cela,3315.8427361699405,invasion
17,lui,2918.990856401199,invasion
18,faire,2734.8607352503823,invasion
19,savoir,2714.291579194134,invasion
20,te,2652.989041161372,invasion
21,qui,2530.592343249553,invasion
22,tout,2486.732970811937,invasion
23,mais,2467.531338735979,invasion
24,dire,2360.9605436028146,invasion
25,mariel,2340.146365729076,invasion
26,bien,2339.6985027620804,invasion
27,me,2337.5119365349738,invasion
28,en,2277.4269662274537,invasion
29,dans,2250.9889714871465,invasion
30,mon,2195.4032274136816,invasion
31,on,2139.0,invasion
32,vouloir,2104.7071060966614,invasion
33,taire,2093.175986578125,invasion
34,se,1908.0947871648698,invasion
35,non,1834.3993141618885,invasion
36,nous,1823.545348784995,invasion
37,voir,1807.2199802255714,invasion
38,devoir,1739.846163145715,invasion
39,pour,1730.6902953187644,invasion
40,si,1660.4252689893854,invasion
41,sur,1605.1809151472075,invasion
42,oui,1602.5612478565815,invasion
43,moi,1584.1589012912104,invasion
44,quoi,1582.039971283808,invasion
45,quelque,1557.956510622527,invasion
46,larkin,1528.3690481951844,invasion
47,kira,1474.799395610481,invasion
48,pourquoi,1467.4293111324685,invasion
49,penser,1454.3762587072433,invasion
50,ou,1427.8855337135312,invasion
51,underlay,1421.8322504214827,invasion
52,avec,1414.2329192590014,invasion
53,ici,1351.2035682711041,invasion
54,szura,1264.453871558036,invasion
55,la,1236.9652839350285,invasion
56,chose,1201.1891495308246,invasion
57,parler,1161.7547041971761,invasion
58,rus,1105.1265437640589,invasion
59,luire,1099.6503419493793,invasion
60,ouragan,1095.3820929462013,invasion
61,son,1069.2515026520573,invasion
62,toi,1014.4499755859155,invasion
