,mots,poids,serie
0,be,4570.946143796192,jake
1,you,2466.5425008933316,jake
2,the,1523.0964104150369,jake
3,to,1481.6275308182874,jake
4,not,1250.9352453924778,jake
5,do,1056.6554646716334,jake
6,it,1054.5657464382873,jake
7,that,983.7622158455791,jake
8,we,892.1581903363373,jake
9,have,848.0154745828962,jake
10,what,728.4747072781762,jake
11,and,716.8541808559823,jake
12,this,661.0674254832466,jake
13,of,660.17392728887,jake
14,in,632.3309460485974,jake
15,he,611.9057313169839,jake
16,get,609.9661272376542,jake
17,jake,578.3554533195783,jake
18,go,517.326687378433,jake
19,know,507.6116934183715,jake
20,yeah,489.8401074749772,jake
21,they,474.1379228961203,jake
22,no,435.2340031677534,jake
23,your,432.19568405300237,jake
24,can,419.88137145800556,jake
25,foley,396.22384875468254,jake
26,on,393.0,jake
27,just,371.9109558905752,jake
28,well,357.83730273165975,jake
29,right,356.0800750306668,jake
30,my,352.52912182963274,jake
31,for,352.39436072048534,jake
32,all,346.5875296998689,jake
33,so,340.29601346923323,jake
34,with,336.38273128489186,jake
35,uh,331.6830092658021,jake
36,okay,311.41861248394275,jake
37,there,300.9355826290151,jake
38,here,290.60776693858804,jake
39,like,290.44703398767876,jake
40,will,281.59609330059834,jake
41,want,277.8386837759016,jake
42,out,275.53974372496816,jake
43,think,273.4564540525784,jake
44,she,257.8091264333448,jake
45,oh,256.01796542373205,jake
46,come,247.71280630184506,jake
47,about,246.15673653805234,jake
48,now,242.6001604567499,jake
49,see,240.85600556064898,jake
50,one,236.20189002927404,jake
51,at,235.45014523439218,jake
52,his,228.19325497867024,jake
53,would,227.04379902052062,jake
54,ve,223.7862011540931,jake
55,how,220.19327293826152,jake
56,tell,201.81671024046278,jake
57,up,197.83001940899044,jake
58,good,192.66206722833294,jake
59,if,185.48350190302259,jake
60,let,183.65089172293446,jake
61,but,182.4480077227408,jake
62,really,182.19471495310205,jake
63,say,178.89855854891508,jake
64,hey,176.91758490652657,jake
65,take,171.92672704002507,jake
66,guy,170.41620221865162,jake
67,our,169.63471385581124,jake
68,nanite,169.22986431966993,jake
69,thank,167.64415333562985,jake
70,need,164.07387243154704,jake
71,agent,163.63889414140075,jake
72,who,159.53070362877529,jake
73,work,158.94172931706225,jake
74,carano,157.47225548143965,jake
75,look,155.3198182779085,jake
76,make,154.66195908340728,jake
77,thing,151.9670148829517,jake
78,from,149.95931869095216,jake
79,give,145.97520698233865,jake
80,sorry,145.22249420189564,jake
81,why,140.00756756002048,jake
82,nsa,139.1024761370282,jake
83,man,135.88444024776277,jake
84,an,132.0,jake
85,something,131.2590979452376,jake
86,some,129.11809008313,jake
87,could,128.70932228550288,jake
88,mean,126.25774106399176,jake
89,never,125.44625493360795,jake
90,any,125.32621171692718,jake
91,where,125.17836749229934,jake
92,kyle,124.84748548021767,jake
93,yes,120.12579346284059,jake
94,two,118.49149039449019,jake
95,duarte,118.20064729427355,jake
96,find,117.72194111478923,jake
97,diane,116.21253300079913,jake
98,dumont,115.59629633375066,jake
99,or,115.57423696760091,jake
100,down,113.52060573801052,jake
101,talk,111.15208666594029,jake
102,when,103.52567548075679,jake
103,time,103.4100945594303,jake
104,dankova,99.14919789572126,jake
105,as,97.0,jake
106,happen,96.91640997617938,jake
107,call,96.45709236228315,jake
108,nothing,96.44965765245855,jake
109,beckett,94.91884424967375,jake
110,um,94.26814305336721,jake
111,back,93.04671988811867,jake
112,little,92.8087902937321,jake
113,try,89.49915822257644,jake
114,by,88.85452264633227,jake
115,malik,88.21862282997814,jake
116,sarah,87.85942341206064,jake
117,then,87.50606529682508,jake
118,kembu,87.48458637857759,jake
119,vasily,87.36569582620218,jake
120,us,87.31367959308866,jake
121,way,84.32821414401687,jake
122,guess,83.28202673850559,jake
123,kind,83.10636120667812,jake
124,very,82.25270072318233,jake
125,baako,81.65228062000574,jake
126,people,81.28635966425445,jake
127,put,81.0849105874174,jake
128,wait,79.58008745645768,jake
129,year,79.02710461639087,jake
130,into,78.83465243768077,jake
131,kill,78.63416218859582,jake
132,anything,77.25795938892716,jake
133,more,77.25569989681193,jake
134,over,75.78771542750819,jake
135,life,74.83668308645484,jake
136,these,73.69414003226032,jake
137,leave,73.18503427605025,jake
138,day,72.67954386302436,jake
139,too,72.07547607770437,jake
140,lou,71.742724055227,jake
141,help,70.9511871939127,jake
142,hear,70.640768585361,jake
143,varcon,69.98766910286207,jake
144,order,69.63257652440046,jake
145,computer,69.10264717299135,jake
146,off,69.01711698717119,jake
147,still,68.75476559036257,jake
148,only,68.47101548903512,jake
149,three,68.4677984933846,jake
150,around,68.44814414045446,jake
151,every,67.79780109640546,jake
152,her,67.47851408751316,jake
153,should,67.03925624731124,jake
154,believe,67.03925624731124,jake
155,because,66.73213870641577,jake
156,even,66.52004169394414,jake
157,name,65.6295489726188,jake
158,maybe,65.4041524364012,jake
159,their,65.4041524364012,jake
160,keep,64.93623117742166,jake
161,listen,64.80712642773418,jake
162,than,63.63916024004369,jake
163,use,63.47691242805402,jake
164,sure,62.97588124326536,jake
165,first,62.90288996250713,jake
166,ask,62.13394481458115,jake
167,move,62.13394481458115,jake
168,hand,58.76828535133903,jake
169,last,58.30558569183459,jake
170,nice,58.07615761662935,jake
171,weapon,57.70273286220242,jake
172,please,57.017178594809266,jake
173,those,56.1086909416415,jake
174,other,55.68426521003823,jake
175,feel,55.50646742724411,jake
176,security,54.33877463513569,jake
177,everything,54.093286204037135,jake
178,friend,53.58601212185357,jake
179,run,53.42979724345087,jake
180,great,53.018617576243486,jake
181,dead,52.89145681620513,jake
182,meet,52.50230719803604,jake
183,watch,52.083620453787915,jake
184,hour,51.64589261587864,jake
185,fulton,51.48654656171321,jake
186,yourself,50.688218138210935,jake
187,trust,50.43194195713307,jake
188,kid,50.43194195713307,jake
189,bring,49.99673965526769,jake
190,understand,48.07963617160984,jake
191,real,47.84048056765915,jake
192,hi,47.82391739710392,jake
193,pretty,47.79723584012687,jake
194,someone,47.72937018003277,jake
195,ever,47.72937018003277,jake
196,start,47.37546062639773,jake
197,hades,47.25605535606305,jake
198,before,46.6691891866735,jake
199,freewald,46.65844606857471,jake
200,hergott,46.65844606857471,jake
201,open,46.209554372714265,jake
202,field,45.84721996103006,jake
203,hoo,45.83562925750614,jake
204,always,44.972294438793014,jake
205,god,44.91285670462507,jake
206,wolf,44.6883322804732,jake
207,caleb,44.069463401634245,jake
208,send,43.712912169503014,jake
209,phone,42.57071231634762,jake
210,mission,42.49468437152327,jake
211,word,42.379898801324124,jake
212,same,42.31794161870268,jake
213,prince,42.05809459304076,jake
214,pack,41.76310764971069,jake
215,sir,41.697841513082594,jake
216,huh,41.68963506244567,jake
217,human,41.641013369252796,jake
218,actually,41.44796221690504,jake
219,country,41.33875386954992,jake
220,control,41.26249796492706,jake
221,most,41.06627541363533,jake
222,inside,40.87759527275075,jake
223,interface,40.58350228108015,jake
224,much,40.088004253009636,jake
225,ago,39.606134782335175,jake
226,after,39.49716346483006,jake
227,director,39.431520950624865,jake
228,enough,39.42362439708992,jake
229,clemens,39.32812021358147,jake
230,away,39.04088287542319,jake
231,else,38.8842758566405,jake
232,lot,38.792567795651635,jake
233,whoa,38.65597393477558,jake
234,minute,38.3040016213489,jake
235,enhance,37.7717963084897,jake
236,exactly,36.98784875881024,jake
237,fine,36.964443432218744,jake
238,turn,36.758582841415326,jake
239,may,36.593937294590745,jake
240,another,36.59251713802512,jake
241,technology,36.48537230973016,jake
242,until,36.30562355047391,jake
243,problem,36.08898397609312,jake
244,might,35.80748906197919,jake
245,shoot,35.724008081235716,jake
246,world,35.67904880548469,jake
247,job,35.17362502459162,jake
248,hello,35.06869465590504,jake
249,again,34.99465256328547,jake
250,lafortunata,34.993834551431036,jake
251,worry,34.81628826220023,jake
252,own,34.68724707257954,jake
253,government,34.67447889344798,jake
254,night,34.644898294280914,jake
255,tech,34.37738279518128,jake
256,ah,34.205002028178214,jake
257,through,34.0718223276466,jake
258,head,33.93872943329168,jake
259,darin,33.78294276910191,jake
260,aubrey,33.77577795202802,jake
261,room,33.49330138100905,jake
262,sound,33.47314593009914,jake
263,wrong,33.41055912602294,jake
264,big,33.396556084259615,jake
265,hold,33.351708049956535,jake
266,copy,33.18025947438483,jake
267,research,32.86358547716581,jake
268,car,32.77423131478582,jake
269,line,32.604612088675815,jake
270,steve,32.182873934305974,jake
271,vial,31.851023138686713,jake
272,bad,31.827155800469853,jake
273,angela,31.781005378012964,jake
274,already,31.647170160632122,jake
275,ready,31.500451284847827,jake
276,number,31.500451284847827,jake
277,woman,31.42714571809686,jake
278,half,31.392517630610463,jake
279,girl,31.390656577476758,jake
280,idea,31.354856702682014,jake
281,since,31.354856702682014,jake
282,dad,31.21036931436285,jake
283,gant,31.179785967344884,jake
284,alonzo,31.0911648761322,jake
285,buy,31.066972407290574,jake
286,shut,30.924649644436574,jake
287,once,30.90439594331307,jake
288,father,30.64316301451891,jake
289,jerry,30.64316301451891,jake
290,lose,30.64316301451891,jake
291,brother,30.5875234751426,jake
292,sandstorm,30.53922190423659,jake
293,whole,30.50396825276952,jake
294,money,30.430132663726496,jake
295,costa,30.365376562369658,jake
296,target,30.121666716432127,jake
297,mr,30.06107399983439,jake
298,romanov,30.022913735136022,jake
299,cause,30.0,jake
300,check,29.937316737459295,jake
301,hope,29.809656769855266,jake
302,team,29.784445225374434,jake
303,follow,29.70460108675138,jake
304,five,29.689557868565654,jake
305,show,29.66490478491007,jake
306,semtex,29.56007492296417,jake
307,today,29.55715315155988,jake
308,namir,29.496090160186103,jake
309,plane,29.1653866947079,jake
310,banatech,29.161528792859194,jake
311,anyone,29.030364961123176,jake
312,break,28.951269298387984,jake
313,stand,28.92467994157448,jake
314,next,28.90862603054017,jake
315,lie,28.880971482946414,jake
316,home,28.83137799350156,jake
317,low,28.767586571542427,jake
318,cut,28.63762210801966,jake
319,deal,28.571731839057296,jake
320,wear,28.184614307495426,jake
321,mei,28.118300017226655,jake
322,old,27.91108448417421,jake
323,mind,27.876945540801767,jake
324,fire,27.753233713622055,jake
325,cover,27.66942336607483,jake
326,hmm,27.635302512097624,jake
327,system,27.417566907727444,jake
328,gas,27.412297340149863,jake
329,stay,27.169387317567846,jake
330,million,27.16516441053461,jake
331,close,27.147115841703474,jake
332,die,27.147115841703474,jake
333,later,26.900253642771084,jake
334,tonight,26.803781828811463,jake
335,stop,26.73540255980313,jake
336,lab,26.707812161528008,jake
337,hard,26.628290234841973,jake
338,intelligence,26.515530259965498,jake
339,berlin,26.49557790714568,jake
340,morning,26.445873872448313,jake
341,clear,26.161660974560483,jake
342,ten,26.161660974560483,jake
343,together,26.161660974560483,jake
344,paint,26.069417945246073,jake
345,terrorist,26.024929349306305,jake
346,live,25.992874334651773,jake
347,ling,25.757021637019236,jake
348,family,25.75189996560398,jake
349,new,25.683163770577977,jake
350,play,25.636760924601138,jake
351,love,25.636760924601138,jake
352,soledad,25.33720707682643,jake
353,track,25.21898779009789,jake
354,place,25.0,jake
355,general,24.909810258029776,jake
356,figure,24.900158641147293,jake
357,must,24.89023423289253,jake
358,whatever,24.868777330143022,jake
359,catch,24.868584403781888,jake
360,bomb,24.685906060676388,jake
361,seem,24.639765248181195,jake
362,six,24.580673486089367,jake
363,eye,24.548825760504453,jake
364,stuff,24.526557163650452,jake
365,hit,24.4518506458827,jake
366,upgrade,24.435266305203754,jake
367,death,24.23708232056845,jake
368,dick,24.100046521579383,jake
369,son,24.0958085104689,jake
370,long,24.0,jake
371,intel,23.82318212740251,jake
372,its,23.75994882561276,jake
373,war,23.757157747837194,jake
374,under,23.757157747837194,jake
375,microscopic,23.72971106241844,jake
376,body,23.712445155400594,jake
377,clearance,23.66569855772112,jake
378,guard,23.648394450524282,jake
379,matter,23.33459459333675,jake
380,juhuara,23.329223034287356,jake
381,damn,23.318967486781563,jake
382,alan,23.260308379584746,jake
383,far,23.127694761351712,jake
384,behind,23.103578623028852,jake
385,along,23.103578623028852,jake
386,four,23.003490628952378,jake
387,soon,22.997114231635784,jake
388,gun,22.92360998051503,jake
389,ow,22.92262705634236,jake
390,while,22.891453352740424,jake
391,traitor,22.76957697082425,jake
392,nervous,22.702282798263308,jake
393,agency,22.68868741082578,jake
394,without,22.68249424970696,jake
395,hughes,22.66307778509382,jake
396,beautiful,22.579172747540248,jake
397,change,22.35342125508375,jake
398,ops,22.352739002696058,jake
399,enemy,22.272491588871763,jake
400,hundred,22.272491588871763,jake
401,excuse,22.264532245269642,jake
402,end,22.205248757929706,jake
403,antonio,21.87997539218715,jake
404,theresa,21.87997539218715,jake
405,secure,21.7910728538334,jake
406,alone,21.778954953780964,jake
407,yet,21.754494777758165,jake
408,able,21.754494777758165,jake
409,full,21.754186858469357,jake
410,unit,21.683448814040272,jake
411,afraid,21.653326952011454,jake
412,somebody,21.653326952011454,jake
413,glad,21.653326952011454,jake
414,probably,21.653326952011454,jake
415,sixty,21.57449234114151,jake
416,sell,21.55294035279062,jake
417,strong,21.45332300709822,jake
418,dude,21.366249729222403,jake
419,program,21.26235297630503,jake
420,georgetown,21.234015425791142,jake
421,brain,21.15897080935134,jake
422,support,20.968274904364772,jake
423,louise,20.9463614028847,jake
424,pick,20.933313363130658,jake
425,hurt,20.77659030166953,jake
426,ordinary,20.71105642878276,jake
427,remember,20.6827270780142,jake
428,tomorrow,20.6827270780142,jake
429,sit,20.6827270780142,jake
430,care,20.589536714792235,jake
431,skerritt,20.556634312047574,jake
432,crimean,20.556634312047574,jake
433,fly,20.462056482320964,jake
434,embassy,20.401745185412917,jake
435,fun,20.370872177362465,jake
436,list,20.313908015334395,jake
437,fox,20.276538832083205,jake
438,marry,20.27005238616367,jake
439,fast,20.23954809836932,jake
440,steal,20.175190232078315,jake
441,power,20.129992454591598,jake
442,code,20.090463161936402,jake
443,militia,20.08439465270303,jake
444,cell,20.071006999365434,jake
445,date,19.93079835680519,jake
446,both,19.89502186411442,jake
447,game,19.873104513236846,jake
448,restoration,19.8394626855815,jake
449,answer,19.803067391167588,jake
450,speak,19.803067391167588,jake
451,month,19.803067391167588,jake
452,safe,19.621245730920364,jake
453,late,19.621245730920364,jake
454,which,19.53135767017047,jake
455,device,19.50741960628401,jake
456,biochemistry,19.431978047582625,jake
457,board,19.353576640748784,jake
458,sleep,19.265664159643908,jake
459,spy,19.202827531436924,jake
460,santa,19.17839104769495,jake
461,welcome,19.091748072013107,jake
462,tracey,19.08701369014787,jake
463,record,19.006637750887453,jake
464,result,18.9357508383838,jake
465,grasso,18.934773879614916,jake
466,initiation,18.932558846176896,jake
467,op,18.90723950902148,jake
468,easy,18.835510578366275,jake
469,deputy,18.808525353889173,jake
470,king,18.786800708520556,jake
471,heathrow,18.764321084460015,jake
472,agents,18.745533344817773,jake
473,sat,18.686385576842866,jake
474,less,18.66853122012431,jake
475,handle,18.66853122012431,jake
