,mots,poids,serie
0,etre,2050.420178881178,jekyll
1,le,1521.738667377816,jekyll
2,je,1344.328080163053,jekyll
3,avoir,1318.514384529028,jekyll
4,ce,1077.1857602740401,jekyll
5,vous,1060.62121039862,jekyll
6,de,902.1211274415515,jekyll
7,un,811.3761834511121,jekyll
8,que,798.1049635473842,jekyll
9,il,764.8527546506632,jekyll
10,pas,730.7614829507994,jekyll
11,ne,728.1168848822987,jekyll
12,jackman,472.6066681696727,jekyll
13,cela,471.27871797830534,jekyll
14,tu,358.269200202766,jekyll
15,aller,332.8906388292922,jekyll
16,me,314.3292465351192,jekyll
17,hyde,305.90742628059354,jekyll
18,moi,300.3144836571015,jekyll
19,en,286.1814244784234,jekyll
20,qui,283.8047487756508,jekyll
21,et,283.4683172668456,jekyll
22,pouvoir,272.3650681330572,jekyll
23,faire,268.9495746750968,jekyll
24,mon,268.01026412582604,jekyll
25,savoir,240.97286523055197,jekyll
26,tout,216.4378696817797,jekyll
27,votre,210.25933011781288,jekyll
28,dans,209.96209495433254,jekyll
29,te,198.71098472984482,jekyll
30,mais,197.6617356045892,jekyll
31,se,188.8218799798569,jekyll
32,nous,186.9893127150258,jekyll
33,on,186.0,jekyll
34,taire,181.57671208870482,jekyll
35,dire,181.16993209132437,jekyll
36,jekyll,180.85850009513746,jekyll
37,vouloir,180.74130044329274,jekyll
38,bien,177.90678711098246,jekyll
39,lui,174.12100775381379,jekyll
40,quoi,170.89937961399158,jekyll
41,ou,161.23492151023606,jekyll
42,pour,153.79100246261862,jekyll
43,voir,144.91072652499972,jekyll
44,toi,140.3134306454287,jekyll
45,tom,137.9241744642963,jekyll
46,si,136.293786878371,jekyll
47,luire,135.13368257442448,jekyll
48,devoir,133.44451154224416,jekyll
49,avec,133.41819993009446,jekyll
50,croire,126.68782741352295,jekyll
51,syme,124.81733496066451,jekyll
52,rien,124.3438866507151,jekyll
53,oui,122.8016281882438,jekyll
54,pourquoi,119.92611850344805,jekyll
55,plus,119.00959599701493,jekyll
56,au,114.37415135683528,jekyll
57,sur,111.11635895312756,jekyll
58,la,104.54777755678622,jekyll
59,son,102.40718616949282,jekyll
60,bon,99.93720661811801,jekyll
61,non,98.95100034898154,jekyll
62,alors,98.73193783751783,jekyll
63,dr,97.3819959634415,jekyll
64,enfant,92.84343536586728,jekyll
65,comment,92.80968220791263,jekyll
66,quelque,88.69140178624482,jekyll
67,jamais,87.46354764432351,jekyll
68,passer,85.41785286036148,jekyll
69,parler,79.01949507564005,jekyll
70,ton,76.04311940167322,jekyll
71,prendre,75.65696337029367,jekyll
72,mari,75.3040203845475,jekyll
73,autre,73.28818352988492,jekyll
74,papa,71.59201655039267,jekyll
75,mme,71.27984647683829,jekyll
76,comme,70.640768585361,jekyll
77,meme,70.30946386913129,jekyll
78,ici,69.63257652440046,jekyll
79,arriver,65.87767025503193,jekyll
80,tuer,65.56936825425451,jekyll
81,seul,63.88810240158132,jekyll
82,mourir,63.59006165806233,jekyll
83,fois,61.34298408101946,jekyll
84,utterson,59.69524715510042,jekyll
85,partir,58.844304843561744,jekyll
86,homme,58.29741871695391,jekyll
87,personne,56.89637095721366,jekyll
88,fait,55.85013456254405,jekyll
89,falloir,55.742644061950095,jekyll
90,quand,54.96613764741369,jekyll
91,par,54.426678608330796,jekyll
92,claire,54.05347302976979,jekyll
93,aussi,53.300497112643576,jekyll
94,chose,52.50230719803604,jekyll
95,femme,52.265747045241824,jekyll
96,famille,52.119241432868975,jekyll
97,venir,51.876102931577165,jekyll
98,encore,51.56607419277192,jekyll
99,appeler,50.67513096540918,jekyll
100,parce,50.43797558019578,jekyll
101,deux,48.87748451136208,jekyll
102,peu,46.85583490594067,jekyll
103,peur,46.85583490594067,jekyll
104,temps,46.63793497356313,jekyll
105,tete,46.207157246057704,jekyll
106,dieu,45.99422846327157,jekyll
107,besoin,45.182412230728495,jekyll
108,boite,44.97122223191111,jekyll
109,notre,44.54741216803058,jekyll
110,petit,44.34669446262943,jekyll
111,toujours,43.918446836687956,jekyll
112,quel,43.30665390402291,jekyll
113,katherine,42.72694958219884,jekyll
114,ami,42.57071231634762,jekyll
115,laisser,42.03164631682982,jekyll
116,laisse,42.03164631682982,jekyll
117,vraiment,41.641013369252796,jekyll
118,entendre,40.69032847952181,jekyll
119,tres,40.62781603066879,jekyll
120,depuis,40.54010477232734,jekyll
121,sortir,40.35038046415663,jekyll
122,aimer,40.35038046415663,jekyll
123,mettre,38.850933740147035,jekyll
124,merci,38.8221283052838,jekyll
125,connaitre,38.66911461148343,jekyll
126,fai,38.30973229971257,jekyll
127,soir,38.30973229971257,jekyll
128,eddie,38.132125239552636,jekyll
129,appleyard,37.98788455324572,jekyll
130,allez,37.95587916640454,jekyll
131,maintenant,37.95587916640454,jekyll
132,vie,36.67777596882405,jekyll
133,heure,36.64409176494246,jekyll
134,maman,35.639923238419144,jekyll
135,aucun,35.472591675786425,jekyll
136,oh,35.13972074443381,jekyll
137,potion,34.753623398161274,jekyll
138,ni,34.53176939367151,jekyll
139,reimer,34.412105186883785,jekyll
140,lion,33.93872943329168,jekyll
141,mal,33.92061898331585,jekyll
142,revenir,33.78342064360612,jekyll
143,sai,32.853020330908265,jekyll
144,penser,32.094249611425816,jekyll
145,sentir,32.094249611425816,jekyll
146,suivre,32.094249611425816,jekyll
147,monde,31.94405120079066,jekyll
148,billy,31.25850707108125,jekyll
149,hardcastle,30.83495146807136,jekyll
150,monsieur,30.70040704706095,jekyll
151,nom,30.64316301451891,jekyll
152,rester,30.26278534811747,jekyll
153,rentrer,30.26278534811747,jekyll
154,donc,30.121608153818997,jekyll
155,as,30.0,jekyll
156,veux,29.981529625862013,jekyll
157,hein,29.84253279617163,jekyll
158,nouveau,29.567718297817436,jekyll
159,sans,29.297036505255704,jekyll
160,juste,29.030364961123176,jekyll
161,edimbourg,28.89290366433389,jekyll
162,trouver,28.7159075470652,jekyll
163,apres,27.925067281272025,jekyll
164,cas,27.293024226162203,jekyll
165,callendar,27.134203252318372,jekyll
166,attendre,27.026736514884895,jekyll
167,histoire,27.026736514884895,jekyll
168,entrer,27.026736514884895,jekyll
169,arreter,27.026736514884895,jekyll
170,oeil,26.900253642771084,jekyll
171,nuit,26.650248556321788,jekyll
172,probleme,26.526695818819224,jekyll
173,sou,26.404089854890117,jekyll
174,trois,26.28241626472661,jekyll
175,minute,26.208001109343986,jekyll
176,garcon,26.041810226893958,jekyll
177,nathbot,25.969370170773388,jekyll
178,cheri,25.804768854331712,jekyll
179,benjamin,25.768056039203138,jekyll
180,ramener,25.577570602901208,jekyll
181,reveiller,25.457088027442243,jekyll
182,finir,25.33756548270459,jekyll
183,devenir,25.33756548270459,jekyll
184,surhomme,25.33720707682643,jekyll
185,deja,25.334264280870517,jekyll
186,gros,25.21898779009789,jekyll
187,jour,25.11401410448837,jekyll
188,combien,25.1013401281825,jekyll
189,voila,24.69890420341209,jekyll
190,sang,24.639765248181195,jekyll
191,klein,24.2713038837842,jekyll
192,lumiere,24.100046521579383,jekyll
193,essayer,23.648394450524282,jekyll
194,vrai,23.5377219374247,jekyll
195,cote,23.427917452970334,jekyll
196,desole,23.318967486781563,jekyll
197,enfermer,23.03421572433045,jekyll
198,maison,22.997114231635784,jekyll
199,peter,22.846416239874138,jekyll
200,pardon,22.834846234380354,jekyll
201,siecle,22.68868741082578,jekyll
202,ordre,22.378614627180855,jekyll
203,question,22.0,jekyll
204,ecoute,21.959223418343978,jekyll
205,chercher,21.959223418343978,jekyll
206,esperer,21.959223418343978,jekyll
207,dormir,21.959223418343978,jekyll
208,rendre,21.856456084751507,jekyll
209,commencer,21.856456084751507,jekyll
210,changer,21.585848443928267,jekyll
211,a6,21.584866986780234,jekyll
212,trop,21.45332300709822,jekyll
213,donner,21.062316089013606,jekyll
214,alice,20.48215229521688,jekyll
215,prie,20.462056482320964,jekyll
