,mots,poids,serie
0,be,30821.894161187534,jericho
1,you,16189.599609097377,jericho
2,to,11790.660241352076,jericho
3,the,9765.021437936672,jericho
4,not,9596.254974424595,jericho
5,we,8921.581903363372,jericho
6,do,7817.380251906951,jericho
7,it,7703.840743873996,jericho
8,get,5978.5650559396545,jericho
9,that,5865.835287012852,jericho
10,go,5414.1788115340905,jericho
11,what,5392.993772276595,jericho
12,have,5308.57687088893,jericho
13,they,5118.56882257505,jericho
14,this,4674.691080202958,jericho
15,and,4348.25769947352,jericho
16,of,4202.675850845486,jericho
17,know,3616.1847438911077,jericho
18,in,3477.8202032672857,jericho
19,he,3197.935905335189,jericho
20,there,3105.8823339258724,jericho
21,can,2994.056053991399,jericho
22,here,2960.851908180588,jericho
23,will,2810.909882005076,jericho
24,for,2772.3332574164056,jericho
25,right,2730.966069012024,jericho
26,out,2685.2600479378716,jericho
27,on,2651.0,jericho
28,come,2596.762088789228,jericho
29,all,2506.858906574679,jericho
30,just,2506.8501835983047,jericho
31,your,2421.9015112567627,jericho
32,my,2374.6571329193107,jericho
33,with,2187.1914829151547,jericho
34,think,2179.8385908762675,jericho
35,about,2157.148679366009,jericho
36,need,2125.147300065752,jericho
37,if,1962.6742643226808,jericho
38,well,1939.1969113099988,jericho
39,want,1871.1898095183649,jericho
40,so,1841.4405244988347,jericho
41,no,1797.7550731367776,jericho
42,how,1734.3990676643887,jericho
43,take,1678.9018649212883,jericho
44,now,1660.655860269419,jericho
45,ve,1616.892354033878,jericho
46,up,1602.193122306533,jericho
47,back,1554.2733772860388,jericho
48,see,1523.9065509057414,jericho
49,jake,1518.183064963893,jericho
50,she,1508.9844914403682,jericho
51,let,1495.6528621915784,jericho
52,say,1488.7471350548844,jericho
53,would,1488.3982380234131,jericho
54,jericho,1487.0997403399115,jericho
55,tell,1480.514772779645,jericho
56,make,1462.5315354100842,jericho
57,okay,1390.3600884791956,jericho
58,but,1367.8560578992226,jericho
59,at,1349.6338682185694,jericho
60,look,1286.7552424812093,jericho
61,like,1282.5680906782648,jericho
62,yeah,1277.6662803305655,jericho
63,could,1260.4095828690101,jericho
64,one,1206.683568627813,jericho
65,from,1202.4775274470744,jericho
66,where,1180.8995391141011,jericho
67,why,1177.6192071437279,jericho
68,town,1168.935679691124,jericho
69,thing,1151.2652642647856,jericho
70,people,1111.3807450647203,jericho
71,bern,1097.945639995812,jericho
72,help,1076.8813522987193,jericho
73,some,1039.1672792232632,jericho
74,our,1013.2235611387644,jericho
75,good,1011.1342535387686,jericho
76,who,1003.5931537373863,jericho
77,when,994.9967698983847,jericho
78,talk,948.4978062160237,jericho
79,try,931.7501650671798,jericho
80,give,926.0792701030086,jericho
81,stanley,918.5823276711743,jericho
82,leave,895.7211803786149,jericho
83,hey,887.0622963495074,jericho
84,find,880.5601195386234,jericho
85,guy,865.1899497254622,jericho
86,down,860.5142212733143,jericho
87,then,859.4345698795321,jericho
88,sorry,846.5811309724144,jericho
89,something,821.931970466607,jericho
90,keep,790.3214477447174,jericho
91,more,772.5569989681194,jericho
92,stay,751.1536493680522,jericho
93,hear,732.0952380664685,jericho
94,eric,729.9836189011056,jericho
95,time,728.6804337559856,jericho
96,work,725.6733500132539,jericho
97,thank,717.7773943787647,jericho
98,really,711.1986680186878,jericho
99,us,710.982819543722,jericho
100,constantino,694.6356032593503,jericho
101,as,690.0,jericho
102,those,679.9053137634205,jericho
103,happen,678.4148698332556,jericho
104,should,675.2978739058425,jericho
105,mean,664.8508896534249,jericho
106,wait,646.5882105837186,jericho
107,anything,643.2907638914751,jericho
108,maybe,640.9606938767319,jericho
109,an,638.0,jericho
110,too,630.6604156799132,jericho
111,over,624.2151834302039,jericho
112,way,623.2954958470812,jericho
113,gray,622.3156475087244,jericho
114,still,620.355498622135,jericho
115,dad,615.9941312045299,jericho
116,use,615.2377666103697,jericho
117,man,608.1385604531022,jericho
118,these,607.9766552661478,jericho
119,oh,603.399204782992,jericho
120,hell,595.3233344989626,jericho
121,his,590.5271395731804,jericho
122,please,584.426080596795,jericho
123,or,580.0114484855527,jericho
124,god,576.1235411765698,jericho
125,hawkins,575.4996217564077,jericho
126,ravenwood,564.3914276482221,jericho
127,day,549.7216408548752,jericho
128,before,546.0295134840799,jericho
129,move,541.21936141122,jericho
130,listen,539.519327510887,jericho
131,off,533.4448000466773,jericho
132,start,533.3559922133164,jericho
133,put,533.0582084913551,jericho
134,johnston,528.899214809114,jericho
135,any,525.7190439554217,jericho
136,than,517.068176950355,jericho
137,home,513.7227351569369,jericho
138,through,506.43117732456545,jericho
139,around,496.24904501829485,jericho
140,kid,490.5652535830217,jericho
141,dale,487.35966714557173,jericho
142,ask,480.72052040754886,jericho
143,away,480.50317385136236,jericho
144,much,471.80497313157497,jericho
145,into,469.8545285285774,jericho
146,two,469.57738785964625,jericho
147,never,469.2619166034964,jericho
148,april,468.70403469168355,jericho
149,new,465.50734334172586,jericho
150,everything,462.97489074631784,jericho
151,food,459.53493098317693,jericho
152,because,458.986905249006,jericho
153,mom,453.0542254574704,jericho
154,enough,450.0863785334432,jericho
155,kill,445.59358573537634,jericho
156,last,435.0493701621504,jericho
157,bad,428.9747086150285,jericho
158,even,426.045028944547,jericho
159,gracie,425.300668050156,jericho
160,their,425.12699083660783,jericho
161,only,422.734095627956,jericho
162,other,421.6094365902894,jericho
163,mayor,417.6767417540317,jericho
164,run,417.33003792857573,jericho
165,jonah,416.778508787721,jericho
166,uh,410.96978438910145,jericho
167,first,406.67449789713913,jericho
168,bomb,403.79089199249233,jericho
169,little,402.1714246061724,jericho
170,year,391.9099269751629,jericho
171,stop,381.4936288341139,jericho
172,call,373.42674328826763,jericho
173,might,371.0957957332389,jericho
174,by,370.02431348609605,jericho
175,sure,363.4018065185149,jericho
176,lot,361.68364680063434,jericho
177,her,361.58298114818376,jericho
178,everybody,361.26676396064397,jericho
179,gas,359.78640258946695,jericho
180,after,358.40018699568014,jericho
181,darcy,357.9868932508507,jericho
182,hour,352.667666719857,jericho
183,farm,352.0744469934447,jericho
184,hold,351.58258902662516,jericho
185,family,351.43769364824254,jericho
186,nothing,342.2407207022723,jericho
187,lose,338.6875912131037,jericho
188,long,338.0,jericho
189,safe,336.8313850474662,jericho
190,sheriff,336.43710324669394,jericho
191,someone,334.10559126022935,jericho
192,bring,332.2363989995208,jericho
193,turn,330.8272455727379,jericho
194,three,328.64543276824617,jericho
195,whole,325.9108187006428,jericho
196,die,324.2572169981248,jericho
197,house,323.7439496972893,jericho
198,else,322.4154539779775,jericho
199,truck,321.12260158389984,jericho
200,guess,319.8029826758615,jericho
201,yes,318.33335267652757,jericho
202,another,318.19580120021845,jericho
203,again,314.9518730695692,jericho
204,refugee,314.9047035241404,jericho
205,shep,303.9820015682522,jericho
206,mortar,301.70632636503444,jericho
207,send,300.9465876285015,jericho
208,emily,300.1101617407075,jericho
209,few,299.5426588629778,jericho
210,mr,299.40829703835055,jericho
211,mimi,297.28257270173106,jericho
212,ready,288.47781702965904,jericho
213,ever,287.9672000861977,jericho
214,anyone,287.0780535044403,jericho
215,care,286.6697034905688,jericho
216,government,282.87074886760195,jericho
217,power,281.8198943642824,jericho
218,remember,276.83034704419003,jericho
219,half,276.2541551493721,jericho
220,together,273.06233642197503,jericho
221,idea,272.29217662855433,jericho
222,denver,272.10320523400316,jericho
223,believe,271.427232611065,jericho
224,without,268.9495746750968,jericho
225,cheyenne,268.2328680323527,jericho
226,fire,263.65572027940954,jericho
227,head,262.6562538750399,jericho
228,many,262.39064293297054,jericho
229,attack,262.04571540812043,jericho
230,bonnie,261.49800914386407,jericho
231,gun,261.32915377787134,jericho
232,crop,257.9561142791602,jericho
233,shoot,257.5105582522408,jericho
234,supply,257.43873463276805,jericho
235,fine,255.05465968230934,jericho
236,understand,253.66152876745883,jericho
237,mine,252.93237841943895,jericho
238,today,252.01362160803689,jericho
239,salt,252.00437347071204,jericho
240,heather,251.02140770098532,jericho
241,worry,250.34569179010643,jericho
242,until,247.53834238959485,jericho
243,everyone,247.3971971554926,jericho
244,fight,246.25787659882323,jericho
245,meet,245.0107669241682,jericho
246,deal,243.4808452371839,jericho
247,wrong,243.41978791816712,jericho
248,somebody,243.18351807643631,jericho
249,walk,243.14891388365984,jericho
250,got,243.0525628428561,jericho
251,ten,241.99536401468447,jericho
252,dead,239.48076280670657,jericho
253,ago,239.28706430994168,jericho
254,robert,238.85206341587246,jericho
255,stuff,238.72515639286442,jericho
