,mots,poids,serie
0,etre,15142.69639283779,jericho
1,le,13570.69222964818,jericho
2,avoir,10848.576535979444,jericho
3,je,10076.045461922015,jericho
4,de,9766.023023762276,jericho
5,ce,8708.973091969021,jericho
6,que,7810.682401875878,jericho
7,il,5874.975253057098,jericho
8,pas,5605.802787974605,jericho
9,ne,5373.000460855584,jericho
10,un,5372.810357642657,jericho
11,vous,4337.382528840672,jericho
12,aller,3843.3737392109188,jericho
13,tu,3618.5189220479365,jericho
14,et,3423.7082475086545,jericho
15,cela,3329.356104427383,jericho
16,pouvoir,3120.429422561446,jericho
17,on,2899.0,jericho
18,faire,2765.6441203035556,jericho
19,en,2605.6938943056452,jericho
20,nous,2470.8160466447,jericho
21,tout,2437.6123195366395,jericho
22,te,2167.397297020228,jericho
23,se,2022.381714521099,jericho
24,pour,1928.8857421543926,jericho
25,savoir,1792.2356851522304,jericho
26,me,1778.7043871392063,jericho
27,mon,1656.5315261394142,jericho
28,devoir,1653.6984405045196,jericho
29,mais,1642.8606549430613,jericho
30,bien,1640.0314744600653,jericho
31,dire,1573.0151246659434,jericho
32,qui,1568.8095835098475,jericho
33,taire,1534.9957234906249,jericho
34,dans,1528.328737690839,jericho
35,moi,1480.5504044295103,jericho
36,vouloir,1395.2552725809328,jericho
37,lui,1368.328296782329,jericho
38,ici,1356.1773237371328,jericho
39,si,1297.4120097075704,jericho
40,avec,1271.3969640397238,jericho
41,ou,1254.35303344404,jericho
42,quoi,1194.6680441587603,jericho
43,quelque,1188.1300994006383,jericho
44,voir,1120.9760799002852,jericho
45,toi,1111.2178587896594,jericho
46,sur,1060.1101273095683,jericho
47,penser,1035.4618427265275,jericho
48,plus,994.2040585945318,jericho
49,la,938.7289921677752,jericho
50,jake,938.1463457916416,jericho
51,jericho,923.8564206730629,jericho
52,non,890.5590031408339,jericho
53,au,855.2067226454274,jericho
54,passer,837.7520184381607,jericho
55,chose,798.6714610125483,jericho
56,alors,784.8352346745062,jericho
57,venir,783.161811999294,jericho
58,votre,776.9739308259805,jericho
59,besoin,769.7744305975966,jericho
60,bon,754.1927859447306,jericho
61,luire,751.6811093202361,jericho
62,ville,750.0519882585007,jericho
63,pourquoi,722.8879920902285,jericho
64,notre,704.8036996584839,jericho
65,quand,701.234665138217,jericho
66,parler,701.0878605647214,jericho
67,son,687.7345345696332,jericho
68,autre,684.578259790516,jericho
69,comme,661.4544694811076,jericho
70,rien,646.5882105837186,jericho
71,bern,646.098780459074,jericho
72,oui,644.70854798828,jericho
73,arriver,636.8174791319753,jericho
74,ton,616.1729233870875,jericho
75,falloir,596.277374359648,jericho
76,juste,590.2840875428379,jericho
77,maintenant,580.8899768075826,jericho
78,personne,570.6371322473489,jericho
79,stanley,563.2183614918149,jericho
80,trouver,554.0480985551403,jericho
81,prendre,536.3238070027485,jericho
82,vraiment,524.6767684525852,jericho
83,peu,510.39391593971084,jericho
84,partir,492.6108948332455,jericho
85,gens,488.1704283001084,jericho
86,toujours,486.48125726792813,jericho
87,temps,474.7075524094819,jericho
88,meme,470.9098975420887,jericho
89,eric,470.27790833051995,jericho
90,ouai,466.00905478254765,jericho
91,aussi,456.38550652701065,jericho
92,homme,453.0542254574704,jericho
93,croire,435.8061263025189,jericho
94,comment,435.75277622007764,jericho
95,monde,435.44785584235694,jericho
96,rester,435.44785584235694,jericho
97,constantino,434.14725203709395,jericho
98,sortir,433.7665899896837,jericho
99,essayer,420.6035870128962,jericho
100,avant,420.2216794038778,jericho
101,merci,419.8541283386248,jericho
102,gray,412.4438015746971,jericho
103,ecoute,405.40104772327345,jericho
104,veux,401.41936887959696,jericho
105,hawkin,397.0098847550757,jericho
106,ravenwood,396.1593674838482,jericho
107,allez,396.06134782335175,jericho
108,accord,388.61729009925193,jericho
109,par,386.42941811914864,jericho
110,revenir,380.0634822405688,jericho
111,dal,379.55802573601665,jericho
112,jonah,375.9750184168952,jericho
113,tres,371.9007775115066,jericho
114,sai,371.2391297392634,jericho
115,seul,369.8784875881024,jericho
116,dieu,364.6685256730817,jericho
117,laisser,363.15342417740965,jericho
118,aider,363.15342417740965,jericho
119,deux,362.63940121333155,jericho
120,encore,359.3999110405316,jericho
121,johnston,353.7442800346672,jericho
122,heure,351.4501528364936,jericho
123,chercher,346.2800615969627,jericho
124,jour,343.74806805518455,jericho
125,aspro5oo,340.82592983306847,jericho
126,reste,339.61570223998496,jericho
127,depuis,336.1450354038809,jericho
128,gracie,330.4494399238622,jericho
129,nourriture,327.43357180492376,jericho
130,entendre,323.8950146969936,jericho
131,apres,320.3169482263556,jericho
132,april,319.6600738692235,jericho
133,cheyenne,319.324842895658,jericho
134,nouveau,315.38899517671933,jericho
135,arreter,314.18581198553693,jericho
136,tuer,312.7154485972138,jericho
137,maire,310.79681414639583,jericho
138,sans,309.24649644436573,jericho
139,aimer,304.3091193338479,jericho
140,monsieur,299.32896870884423,jericho
141,fait,297.3198339947198,jericho
142,bas,297.0460108675138,jericho
143,as,297.0,jericho
144,jamais,295.3957552515832,jericho
145,fai,291.4870935847696,jericho
146,fois,290.13573551833525,jericho
147,pere,284.4818547860683,jericho
148,maison,280.8933238292656,jericho
149,bombe,277.8361788863758,jericho
150,gars,276.6336898982057,jericho
151,ok,276.19290207298144,jericho
152,attendre,275.33487824538986,jericho
153,dehors,275.33487824538986,jericho
154,chez,273.43900738238654,jericho
155,deja,271.6396114560005,jericho
156,donner,268.9495746750968,jericho
157,mettre,268.57819411666867,jericho
158,papa,264.63477546305865,jericho
159,oh,262.0419175513493,jericho
160,mieux,261.50556395890754,jericho
161,parce,260.5962071643449,jericho
162,salut,259.6604865967129,jericho
163,mourir,259.38051465788584,jericho
164,connaitre,258.91494131167167,jericho
165,enfant,258.6352842334874,jericho
166,trop,257.43987608517864,jericho
167,sherif,257.29621977031405,jericho
168,famille,255.55240960632528,jericho
169,beaucoup,254.99349316011921,jericho
170,desoler,251.68648379486558,jericho
171,celui,247.14608034295932,jericho
172,dernier,246.61897069832466,jericho
173,demander,243.24062863396406,jericho
174,entrer,243.24062863396406,jericho
175,perdre,238.73975107959336,jericho
176,quel,238.18659647212598,jericho
177,aide,237.41744411658303,jericho
178,probleme,237.0823438806968,jericho
179,camion,235.28326129307447,jericho
180,donc,234.2791745297033,jericho
181,cheri,227.40452552879822,jericho
182,ferme,225.0826213055306,jericho
183,gouvernement,223.44166140236598,jericho
184,mal,222.02586970897644,jericho
185,rentrer,218.56456084751505,jericho
186,assez,217.90306315125946,jericho
187,shep,217.66612457973616,jericho
188,hein,217.18732201658239,jericho
189,semaine,214.19810242715732,jericho
190,securite,211.44125031731664,jericho
191,maman,210.44526102685586,jericho
192,emily,209.7360789437899,jericho
193,darcy,208.0607584705799,jericho
194,appeler,206.07886592599732,jericho
195,mort,203.8949456895647,jericho
196,tirer,203.43316817345632,jericho
197,new,202.25491469330157,jericho
198,goetz,202.25032565033723,jericho
199,bonnie,201.4820726190428,jericho
200,jusque,197.6330107650958,jericho
201,combien,195.7904529998235,jericho
202,laisse,195.02683891009036,jericho
203,aucun,194.25466870073518,jericho
204,loky,194.14914830946262,jericho
205,vie,194.08656450169394,jericho
206,he,193.56201704925,jericho
207,arme,193.34557305741717,jericho
208,desole,191.54866149856286,jericho
209,denver,191.14687970983692,jericho
210,petit,190.05726198269755,jericho
211,premier,189.64709704308405,jericho
212,pret,189.00270770908696,jericho
213,finir,187.49798457201396,jericho
214,raison,186.32048847973576,jericho
215,moins,180.74130044329274,jericho
216,commencer,179.89544623603163,jericho
217,mimi,177.78663661574114,jericho
218,attaque,173.7220631519458,jericho
219,allon,173.32100395646322,jericho
220,truc,173.17038282533886,jericho
221,cote,172.36253554685317,jericho
222,demain,172.2954452823912,jericho
223,ca,171.1049358640286,jericho
224,ecoutez,169.7139201829483,jericho
225,mortier,168.8788897601401,jericho
226,viens,168.12658526731929,jericho
227,envoyer,168.12658526731929,jericho
228,beck,164.7493901152228,jericho
229,moment,164.65469148820415,jericho
230,boulot,163.6964518585677,jericho
231,va,162.5484923391527,jericho
232,occuper,162.16041908930936,jericho
233,sou,161.72505036120197,jericho
234,refugie,160.5341050162611,jericho
235,eau,160.24017346918296,jericho
236,utiliser,158.78207702494876,jericho
237,ami,157.66930487536155,jericho
238,vite,156.62352688950878,jericho
239,endroit,156.1368065683124,jericho
240,eolienne,155.7044548626,jericho
241,femme,155.213430619203,jericho
242,garder,154.18641944688673,jericho
243,hui,154.18641944688673,jericho
244,route,154.07040903105337,jericho
245,marche,153.21581507259455,jericho
246,aujourd,151.57328866408017,jericho
247,mec,151.4860067070704,jericho
248,seriessub,151.35786591597454,jericho
249,heather,151.00506557012397,jericho
250,sel,149.96172115018567,jericho
251,trois,149.4812425056326,jericho
252,mairie,149.30413479192066,jericho
253,vers,148.64705083186692,jericho
254,demande,148.24200759453996,jericho
255,ashlee,147.48045080093053,jericho
256,essence,146.93731156844623,jericho
257,pler,145.94148923892064,jericho
258,vrai,144.58886332989456,jericho
259,abri,144.55632542693513,jericho
260,courant,144.25683215550603,jericho
261,frere,143.88913536008266,jericho
262,mauvais,143.579537735326,jericho
263,fille,143.2450859902296,jericho
264,rendre,141.22633162454818,jericho
265,kenchy,141.09785691205553,jericho
266,loin,140.00756756002048,jericho
267,pilatestaiz,139.97533820572414,jericho
268,prowse,138.75728160632113,jericho
269,histoire,138.51202463878508,jericho
270,moyen,138.51202463878508,jericho
271,grand,137.9668767753005,jericho
272,contre,137.46827534818812,jericho
273,idee,137.22065936739767,jericho
274,feu,136.82285360660478,jericho
275,comprendre,136.82285360660478,jericho
276,tenir,136.82285360660478,jericho
277,longtemps,136.1825340665286,jericho
278,medicament,136.13212446495467,jericho
279,generateur,135.89835655258918,jericho
280,mere,135.34615251169265,jericho
281,continuer,134.70853850861303,jericho
282,pense,133.25124278160894,jericho
283,nuit,133.25124278160894,jericho
284,robert,132.6955907865958,jericho
285,vivre,132.20039134176116,jericho
286,green,131.27033280727684,jericho
287,oeil,131.13873650850903,jericho
288,pendant,130.84957045402393,jericho
289,mois,129.91996171206873,jericho
290,confiance,129.45747065583583,jericho
291,voila,128.98316639559647,jericho
292,cas,128.43776106429272,jericho
293,cafferty,128.22719812214115,jericho
294,plaire,127.88785301450604,jericho
295,arrete,126.68782741352295,jericho
296,mitchell,126.48678474856825,jericho
297,attend,126.46618920971947,jericho
298,bebe,126.37389653408164,jericho
299,ecouter,125.58830093538174,jericho
300,part,125.0,jericho
301,retrouver,124.99865638134264,jericho
302,sarah,124.2150468929133,jericho
303,plutot,123.89116173355225,jericho
304,www,123.86555181536585,jericho
305,euh,123.51851087230119,jericho
306,com,121.89485912359854,jericho
307,etat,121.59175903821816,jericho
308,donne,121.55617522436057,jericho
309,terroriste,121.46721571418269,jericho
310,ordre,120.50023260789692,jericho
311,voiture,120.50023260789692,jericho
312,peur,120.48643261527599,jericho
313,devenir,119.93114328480172,jericho
314,soir,119.92611850344805,jericho
315,porte,119.37013118468651,jericho
316,minute,118.944005034715,jericho
317,changer,118.72216644160547,jericho
318,jimmy,118.62210905774039,jericho
319,regarder,118.24197225262142,jericho
320,guerre,117.68860968712349,jericho
321,kansas,116.0985444557797,jericho
322,prend,116.0073438344503,jericho
323,clinique,115.07420436080464,jericho
324,leur,114.8636301882608,jericho
325,tant,114.8636301882608,jericho
326,gail,114.19047687967274,jericho
327,recolte,114.12541913996355,jericho
328,coup,113.47072937558818,jericho
329,recevoir,113.1744591560805,jericho
330,skylar,113.06834561404673,jericho
331,kilometre,112.96747776273298,jericho
332,parle,111.59791582959748,jericho
333,esperer,111.48528812390019,jericho
334,interieur,111.36245794435882,jericho
335,importer,111.28306568430551,jericho
336,an,110.0,jericho
337,adjoint,109.98462885765719,jericho
338,matin,109.79611709171989,jericho
339,roger,109.67005884372774,jericho
340,fiston,109.45611692919047,jericho
341,main,109.3469768129359,jericho
342,retourner,108.6169089170869,jericho
343,celer,108.6169089170869,jericho
344,dormir,108.10694605953958,jericho
345,voler,108.10694605953958,jericho
346,mary,107.7763932038402,jericho
347,pont,107.77126520142244,jericho
348,ouais,107.75359417368377,jericho
349,pres,107.2666150354911,jericho
350,garde,106.73455994407557,jericho
351,richmond,106.17007712895571,jericho
352,proteger,105.72062515865832,jericho
353,avion,105.0507278353435,jericho
354,equipe,105.00734555831018,jericho
355,marcher,104.72860399517897,jericho
356,rall,103.10997235880981,jericho
357,detruire,102.31028241160483,jericho
358,des,102.25991973266507,jericho
359,sam,102.17560490567877,jericho
360,point,102.0,jericho
361,ouest,101.89432575684327,jericho
362,seulement,101.35026193081836,jericho
363,compte,101.35026193081836,jericho
364,travailler,100.87595116039157,jericho
365,bientot,100.87595116039157,jericho
366,armee,100.50690324703957,jericho
367,apprendre,99.66109089863805,jericho
368,sembler,99.66109089863805,jericho
369,anderson,99.33728595910728,jericho
370,compris,99.19468530771837,jericho
371,calme,98.73193783751783,jericho
372,usine,98.30957398337172,jericho
373,suite,98.20129516806062,jericho
374,meilleur,97.97191986645774,jericho
375,plein,97.51341945504518,jericho
376,paquet,96.72354638698648,jericho
377,annee,96.60715101666648,jericho
378,fils,96.28274883427744,jericho
379,affaire,96.28274883427744,jericho
380,pays,96.048119531114,jericho
381,risque,95.83215360237199,jericho
382,bureau,94.84782608655425,jericho
383,attendez,94.59357780209713,jericho
384,pire,94.59357780209713,jericho
385,question,94.0,jericho
