,mots,poids,serie
0,be,3318.5730417998147,johnfromcincinnati
1,you,2248.112368973425,johnfromcincinnati
2,to,1458.531232598205,johnfromcincinnati
3,the,1361.1725395403485,johnfromcincinnati
4,not,1032.381041599769,johnfromcincinnati
5,that,971.5162131587047,johnfromcincinnati
6,do,928.0801315810585,johnfromcincinnati
7,fucking,872.3841590964506,johnfromcincinnati
8,he,830.4434925016209,johnfromcincinnati
9,butchie,755.8933444586552,johnfromcincinnati
10,and,687.2592834811941,johnfromcincinnati
11,get,684.7168781246215,johnfromcincinnati
12,it,676.32482550674,johnfromcincinnati
13,what,664.3233142693348,johnfromcincinnati
14,go,649.1942743572492,johnfromcincinnati
15,in,619.018715605469,johnfromcincinnati
16,shaun,614.7594769534508,johnfromcincinnati
17,fuck,600.7085896017066,johnfromcincinnati
18,shaunie,558.9645869977585,johnfromcincinnati
19,have,551.9809816375943,johnfromcincinnati
20,my,545.175147513484,johnfromcincinnati
21,your,496.42290645097177,johnfromcincinnati
22,we,462.7549491931469,johnfromcincinnati
23,of,459.53283174029184,johnfromcincinnati
24,know,457.8745246108077,johnfromcincinnati
25,yost,441.47929290314755,johnfromcincinnati
26,for,397.98384095355516,johnfromcincinnati
27,with,384.23634159320284,johnfromcincinnati
28,on,384.0,johnfromcincinnati
29,this,368.8992329705617,johnfromcincinnati
30,here,351.468032266041,johnfromcincinnati
31,out,340.6673195145061,johnfromcincinnati
32,cissy,329.72708088550587,johnfromcincinnati
33,will,313.1651620562708,johnfromcincinnati
34,would,309.03183755570865,johnfromcincinnati
35,they,307.5079819422122,johnfromcincinnati
36,want,300.8639890611973,johnfromcincinnati
37,see,298.41907607199903,johnfromcincinnati
38,his,296.03449294530196,johnfromcincinnati
39,say,284.6820540387083,johnfromcincinnati
40,if,268.8791849291878,johnfromcincinnati
41,linc,262.31467244966495,johnfromcincinnati
42,well,257.83037096385965,johnfromcincinnati
43,like,257.3763320979926,johnfromcincinnati
44,come,256.15756106213524,johnfromcincinnati
45,can,253.84984875729094,johnfromcincinnati
46,she,253.43948022261011,johnfromcincinnati
47,about,251.98293148569857,johnfromcincinnati
48,up,244.9871751983428,johnfromcincinnati
49,just,244.15528401976695,johnfromcincinnati
50,there,244.15528401976695,johnfromcincinnati
51,no,242.04919758415528,johnfromcincinnati
52,how,241.30769637069756,johnfromcincinnati
53,right,238.40554379735633,johnfromcincinnati
54,yeah,235.3953849810307,johnfromcincinnati
55,at,228.44270043574957,johnfromcincinnati
56,tell,217.58364072799893,johnfromcincinnati
57,think,214.0773383154471,johnfromcincinnati
58,now,205.05489752891955,johnfromcincinnati
59,all,204.97111971497625,johnfromcincinnati
60,take,203.32204241255138,johnfromcincinnati
61,so,198.96339497193074,johnfromcincinnati
62,good,183.09728374891213,johnfromcincinnati
63,some,180.45419818847085,johnfromcincinnati
64,back,172.98826796100937,johnfromcincinnati
65,john,170.1573627383627,johnfromcincinnati
66,mitch,169.70797965678514,johnfromcincinnati
67,make,168.17611084797684,johnfromcincinnati
68,from,163.9742082882374,johnfromcincinnati
69,look,162.89639477926988,johnfromcincinnati
70,give,153.82333638999125,johnfromcincinnati
71,could,150.6840846269302,johnfromcincinnati
72,off,146.6613735977388,johnfromcincinnati
73,fuckin,143.79663755211143,johnfromcincinnati
74,let,142.51309197699715,johnfromcincinnati
75,who,140.67707501810185,johnfromcincinnati
76,kai,140.5907625689212,johnfromcincinnati
77,mean,139.0433350957884,johnfromcincinnati
78,why,138.4519279204647,johnfromcincinnati
79,one,137.35653387571915,johnfromcincinnati
80,when,135.15852076654357,johnfromcincinnati
81,father,130.63664232505428,johnfromcincinnati
82,dickstein,130.24417561112818,johnfromcincinnati
83,ask,129.1732010618924,johnfromcincinnati
84,or,126.27555520534173,johnfromcincinnati
85,shit,125.71550635785358,johnfromcincinnati
86,talk,124.49033706585313,johnfromcincinnati
87,where,123.67019438998248,johnfromcincinnati
88,cass,121.84596674131551,johnfromcincinnati
89,thing,119.73158748353771,johnfromcincinnati
90,stinkweed,119.39049431020084,johnfromcincinnati
91,maybe,117.72747438552217,johnfromcincinnati
92,thank,113.93291974266107,johnfromcincinnati
93,okay,111.61463544778479,johnfromcincinnati
94,as,111.0,johnfromcincinnati
95,work,110.77756891795248,johnfromcincinnati
96,ve,109.67005884372774,johnfromcincinnati
97,over,108.85871852314813,johnfromcincinnati
98,down,107.91464989909642,johnfromcincinnati
99,should,104.64664389824193,johnfromcincinnati
100,our,100.86388391426614,johnfromcincinnati
101,leave,97.04971936606663,johnfromcincinnati
102,something,96.88171515005635,johnfromcincinnati
103,need,95.31910684118446,johnfromcincinnati
104,ramon,94.44241266907052,johnfromcincinnati
105,but,93.7440039680381,johnfromcincinnati
106,oh,93.37125797806698,johnfromcincinnati
107,then,90.63128191456883,johnfromcincinnati
