,mots,poids,serie
0,etre,3255.49168752187,johnfromcincinnati
1,le,2793.5657812513077,johnfromcincinnati
2,je,2500.4787408335046,johnfromcincinnati
3,de,2368.2017260120447,johnfromcincinnati
4,avoir,2133.5960040560635,johnfromcincinnati
5,ce,1975.8242917903285,johnfromcincinnati
6,que,1736.4352655177076,johnfromcincinnati
7,un,1265.9286671772252,johnfromcincinnati
8,il,1173.9290537408262,johnfromcincinnati
9,pas,1135.0125160725183,johnfromcincinnati
10,ne,852.3328325754676,johnfromcincinnati
11,tu,830.9089527779535,johnfromcincinnati
12,aller,805.3263434304594,johnfromcincinnati
13,et,787.8210375987657,johnfromcincinnati
14,cela,787.1537009960226,johnfromcincinnati
15,te,727.7296328185707,johnfromcincinnati
16,butchie,713.6646659972778,johnfromcincinnati
17,faire,693.4362527767556,johnfromcincinnati
18,vous,676.8437987412245,johnfromcincinnati
19,shaun,611.3250664676773,johnfromcincinnati
20,mon,604.4486807944162,johnfromcincinnati
21,me,580.012300154089,johnfromcincinnati
22,pouvoir,571.6303899088855,johnfromcincinnati
23,shaunie,526.4035430949764,johnfromcincinnati
24,en,524.2651305571118,johnfromcincinnati
25,putain,497.70389211577253,johnfromcincinnati
26,dire,483.1198189101983,johnfromcincinnati
27,dans,444.3383869963782,johnfromcincinnati
28,yost,437.151064541352,johnfromcincinnati
29,pour,428.88195052955615,johnfromcincinnati
30,se,413.66898706113386,johnfromcincinnati
31,qui,406.7868065784328,johnfromcincinnati
32,voir,381.4316824623556,johnfromcincinnati
33,sur,370.8883873165203,johnfromcincinnati
34,bien,367.7736943638797,johnfromcincinnati
35,vouloir,364.8609429509461,johnfromcincinnati
36,moi,357.3742355519508,johnfromcincinnati
37,tout,345.3795792794357,johnfromcincinnati
38,avec,339.039190410593,johnfromcincinnati
39,on,338.0,johnfromcincinnati
40,savoir,329.6642670167968,johnfromcincinnati
41,cissy,325.14753809542935,johnfromcincinnati
42,lui,300.6051360278106,johnfromcincinnati
43,si,294.8663658426296,johnfromcincinnati
44,taire,289.17772665978913,johnfromcincinnati
45,toi,275.7884671306702,johnfromcincinnati
46,ou,271.91313034353374,johnfromcincinnati
47,linc,271.20669524456883,johnfromcincinnati
48,luire,260.1323389557671,johnfromcincinnati
49,devoir,246.61897069832466,johnfromcincinnati
50,son,245.9780452110367,johnfromcincinnati
51,la,244.31164860638464,johnfromcincinnati
52,ton,241.54873221707965,johnfromcincinnati
53,comme,231.1879699157269,johnfromcincinnati
54,quoi,229.493452624503,johnfromcincinnati
55,au,201.45447113988033,johnfromcincinnati
56,non,178.32927535420848,johnfromcincinnati
57,kai,177.41215276554342,johnfromcincinnati
58,ici,177.39727828835356,johnfromcincinnati
59,ouai,167.90032120841792,johnfromcincinnati
60,bon,167.89450711843827,johnfromcincinnati
61,quand,166.56405347701119,johnfromcincinnati
62,john,164.63277303906523,johnfromcincinnati
63,autre,163.23277240747095,johnfromcincinnati
64,mitch,162.91966047051372,johnfromcincinnati
65,mais,162.01781606933542,johnfromcincinnati
66,passer,160.9797996214505,johnfromcincinnati
67,venir,158.9751541451558,johnfromcincinnati
68,pere,157.30173146994366,johnfromcincinnati
69,penser,157.09290599276846,johnfromcincinnati
70,quelque,155.62830879473148,johnfromcincinnati
71,chose,154.32496358210594,johnfromcincinnati
72,parler,146.27012918256776,johnfromcincinnati
73,veux,139.9138049206894,johnfromcincinnati
74,prendre,137.8637999192018,johnfromcincinnati
75,dieu,134.6973833567239,johnfromcincinnati
76,votre,134.6973833567239,johnfromcincinnati
77,dickstein,130.24417561112818,johnfromcincinnati
78,nous,127.85594031796634,johnfromcincinnati
79,maintenant,122.11891557886679,johnfromcincinnati
80,plus,121.11596052793556,johnfromcincinnati
