,mots,poids,serie
0,le,6105.512458137822,knightrider
1,etre,5642.743251450514,knightrider
2,de,4149.971212595891,knightrider
3,avoir,3587.9573251729307,knightrider
4,je,3355.830647618056,knightrider
5,ce,2747.5614871647435,knightrider
6,kitt,2386.246904243146,knightrider
7,que,2362.8624782856054,knightrider
8,un,2340.9452911894828,knightrider
9,pas,1911.0048838481255,knightrider
10,ne,1820.9529353317741,knightrider
11,il,1777.549781714259,knightrider
12,vous,1525.3407670601205,knightrider
13,et,1260.2682330435084,knightrider
14,aller,1118.0417920276732,knightrider
15,tu,1052.7602652112048,knightrider
16,pouvoir,1008.7595116039156,knightrider
17,nous,894.9915822257644,knightrider
18,cela,864.8555684763166,knightrider
19,faire,848.9733562033176,knightrider
20,dans,844.7312192348728,knightrider
21,en,751.5268499958598,knightrider
22,tout,690.7591585588714,knightrider
23,sur,671.2028709736219,knightrider
24,te,671.1430610080852,knightrider
25,pour,644.4059610229442,knightrider
26,qui,624.3704473064317,knightrider
27,devoir,606.4124005527299,knightrider
28,avec,561.9260655879273,knightrider
29,mon,557.4043259212659,knightrider
30,se,549.0741509940576,knightrider
31,dire,542.0719396700738,knightrider
32,mais,507.1157642970199,knightrider
33,me,502.6773268002105,knightrider
34,taire,489.2483631278991,knightrider
35,bien,482.88985072980955,knightrider
36,on,478.0,knightrider
37,lui,469.79819073198814,knightrider
38,savoir,463.53808103377014,knightrider
39,michael,449.5073932623198,knightrider
40,moi,447.4685806490812,knightrider
41,si,440.3337729916602,knightrider
42,quelque,413.33540077740514,knightrider
43,mike,406.7724085204728,knightrider
44,sarah,384.7636818390242,knightrider
45,ou,383.9577368167486,knightrider
46,vouloir,373.3067981118476,knightrider
47,chose,367.5161503862523,knightrider
48,voir,349.78451230172345,knightrider
49,au,336.6239227434129,knightrider
50,toi,332.2363989995208,knightrider
51,comme,311.46157058090984,knightrider
52,son,310.23353457228706,knightrider
53,graiman,298.4762357755021,knightrider
54,penser,297.29410166373384,knightrider
55,quoi,288.0875256350144,knightrider
56,votre,280.8933238292656,knightrider
57,plus,280.14648261244224,knightrider
58,maintenant,268.99166539669307,knightrider
59,non,254.44542946880966,knightrider
60,passer,244.75500146526656,knightrider
61,pourquoi,241.5178775416662,knightrider
