,mots,poids,serie
0,be,18490.835926146283,kylexy
1,you,10656.44531231726,kylexy
2,to,6582.44499272349,kylexy
3,not,6565.2532534046595,kylexy
4,it,4960.967840429995,kylexy
5,do,4911.577724059959,kylexy
6,the,4861.764223012517,kylexy
7,that,3786.736164174615,kylexy
8,have,3530.828066899695,kylexy
9,what,2903.9197235335514,kylexy
10,and,2754.517670475663,kylexy
11,we,2683.4228435194195,kylexy
12,jessi,2533.6051789598637,kylexy
13,know,2349.349797204336,kylexy
14,she,2337.7607227430417,kylexy
15,kyle,2225.7965770770056,kylexy
16,he,2183.2962998350886,kylexy
17,of,2052.7957248867965,kylexy
18,this,1971.3975009946819,kylexy
19,go,1905.7402233573157,kylexy
20,get,1880.7288923161002,kylexy
21,can,1837.3240404649328,kylexy
22,in,1831.5410384670777,kylexy
23,my,1749.5404373329357,kylexy
24,just,1724.701570255912,kylexy
25,with,1703.0255433251848,kylexy
26,for,1696.6679535388403,kylexy
27,your,1569.552747350377,kylexy
28,will,1526.68016502432,kylexy
29,think,1523.5431011500796,kylexy
30,they,1495.1250156500664,kylexy
31,about,1450.7225419639062,kylexy
32,so,1424.3034757300973,kylexy
33,want,1386.123378174802,kylexy
34,well,1336.0301040854545,kylexy
35,like,1327.141645399146,kylexy
36,would,1261.3544390028924,kylexy
37,but,1246.8960527791735,kylexy
38,here,1171.56010755347,kylexy
39,no,1162.5179771295345,kylexy
40,there,1139.8644945806561,kylexy
41,how,1125.0971343283773,kylexy
42,all,1103.1172988296903,kylexy
43,out,1068.3427336245356,kylexy
44,if,1055.3867472621596,kylexy
45,on,1053.0,kylexy
46,see,1005.8389163035907,kylexy
47,tell,969.6662249834735,kylexy
48,why,925.605585535691,kylexy
49,ve,908.4830550162852,kylexy
50,right,904.7184738976599,kylexy
51,could,902.5348818800508,kylexy
52,need,895.3745609835853,kylexy
53,make,890.432444043306,kylexy
54,trager,884.8827048055831,kylexy
55,say,883.6033152676848,kylexy
56,at,882.9380446289707,kylexy
57,lori,836.4705629400108,kylexy
58,come,834.623262142012,kylexy
59,amanda,813.1523598953819,kylexy
60,now,805.779104374205,kylexy
61,good,776.1138594730007,kylexy
62,one,717.5916115563272,kylexy
63,mean,698.4130739868912,kylexy
64,up,698.1559405887047,kylexy
65,really,690.4220777170183,kylexy
66,something,685.9850475947538,kylexy
67,take,669.7667279472281,kylexy
68,should,660.5819396076522,kylexy
69,thing,652.3836497500452,kylexy
70,declan,637.4204848738311,kylexy
71,help,619.6403681601709,kylexy
72,look,611.1771711098188,kylexy
73,who,604.7663946654482,kylexy
74,when,603.8997736377479,kylexy
75,latnok,596.9524715510042,kylexy
76,okay,595.2780557215189,kylexy
77,let,586.2136463796069,kylexy
78,time,549.5164327169726,kylexy
79,feel,545.8135963679005,kylexy
80,his,539.6462110982067,kylexy
81,from,535.3687826162965,kylexy
82,her,532.1890356335944,kylexy
83,then,529.7242167075661,kylexy
84,yeah,522.4961146399756,kylexy
85,baylin,510.1230211435854,kylexy
86,josh,493.512667557929,kylexy
87,talk,487.5871535079247,kylexy
88,back,486.2018743449582,kylexy
89,try,479.4597761923738,kylexy
90,more,477.1675581861914,kylexy
91,happen,476.3687947981698,kylexy
92,where,473.5663541274939,kylexy
93,find,470.8877644591569,kylexy
94,some,463.5806125876234,kylexy
95,work,451.1376357383282,kylexy
96,sorry,447.21927191720135,kylexy
97,never,446.0311286528283,kylexy
98,anything,443.05074669976597,kylexy
99,our,441.66155229125627,kylexy
100,way,427.75181087544786,kylexy
101,too,426.4465667930841,kylexy
102,still,425.0294600131504,kylexy
103,give,422.22936213171073,kylexy
104,leave,418.42747857828726,kylexy
105,thank,415.04135049112244,kylexy
106,everything,412.0635625542829,kylexy
107,guy,384.5288665446498,kylexy
108,xy,377.91096878341557,kylexy
109,because,375.97863515078154,kylexy
110,keep,375.3630924158277,kylexy
111,foss,371.7302586196281,kylexy
112,maybe,367.8983574547568,kylexy
113,as,360.0,kylexy
114,people,347.5692620126742,kylexy
115,oh,345.3732553167209,kylexy
116,even,335.76782950276566,kylexy
117,or,329.60060172241737,kylexy
118,over,326.5761555694444,kylexy
119,mom,323.13426374540165,kylexy
120,hear,322.69987467403547,kylexy
121,an,322.0,kylexy
122,yes,309.32391816681456,kylexy
123,ask,307.3995164510857,kylexy
124,any,305.991270166004,kylexy
125,into,305.8784514582014,kylexy
126,zzyzx,303.90307642596576,kylexy
127,by,303.07912519091417,kylexy
128,great,301.4487113620701,kylexy
129,two,301.3487286575923,kylexy
130,day,293.3610679562075,kylexy
131,only,291.7460659967584,kylexy
132,much,289.86710767560817,kylexy
133,hey,288.26431666587894,kylexy
134,life,287.10072965894494,kylexy
135,wait,286.8198985409829,kylexy
136,other,286.3762210801966,kylexy
137,nothing,284.6820540387083,kylexy
138,off,281.8198943642824,kylexy
139,guess,281.49325037614886,kylexy
140,prom,281.2924995486336,kylexy
141,little,278.4263708811963,kylexy
142,call,276.96965092598447,kylexy
143,than,273.6483890321879,kylexy
144,first,273.5544284416008,kylexy
145,before,270.6812972827063,kylexy
146,nicole,266.0187898166357,kylexy
147,sure,260.16265693939135,kylexy
148,night,259.8367372071068,kylexy
149,family,254.48936436596873,kylexy
150,down,253.66950171086302,kylexy
151,after,253.07441775613336,kylexy
152,remember,251.37468294817256,kylexy
153,madacorp,249.63466992132902,kylexy
154,ballantine,249.63466992132902,kylexy
155,wrong,246.6017459301693,kylexy
156,home,242.4456785817177,kylexy
157,understand,242.05609934672543,kylexy
158,start,241.46202512809168,kylexy
159,someone,240.23782990616493,kylexy
160,again,237.35503477706666,kylexy
161,always,236.52095593735586,kylexy
162,believe,235.45494877104434,kylexy
163,dad,233.25644434944866,kylexy
164,friend,232.20605252803216,kylexy
165,ever,230.69195587015838,kylexy
166,wanna,230.6301216355897,kylexy
167,cassidy,230.26611763793593,kylexy
168,around,228.67902701470013,kylexy
169,already,224.86147219396508,kylexy
170,year,224.17892942200675,kylexy
171,put,223.7342903245406,kylexy
172,care,218.56585128010218,kylexy
173,use,216.47254751105604,kylexy
174,mind,215.2719683428581,kylexy
175,please,213.81441973053475,kylexy
176,through,213.72324914614688,kylexy
177,adam,213.5772542913033,kylexy
178,away,210.22013855997105,kylexy
179,ready,208.8977295732014,kylexy
180,fine,204.5365869916104,kylexy
181,those,202.98144075946777,kylexy
182,very,201.5997566744665,kylexy
183,lose,199.98695862107076,kylexy
184,last,198.83699735933334,kylexy
185,stay,198.17670749284784,kylexy
186,else,197.6617356045892,kylexy
187,might,193.68596356252382,kylexy
188,everyone,193.68596356252382,kylexy
189,kern,193.22764722255016,kylexy
190,man,191.57478461159997,kylexy
191,which,188.80312414498118,kylexy
