,mots,poids,serie
0,etre,28148.31210481617,kylexy
1,je,22385.984987063013,kylexy
2,le,20443.2599510171,kylexy
3,avoir,18291.39046173906,kylexy
4,ce,15169.136459749498,kylexy
5,que,14988.385005076243,kylexy
6,de,14266.997474556067,kylexy
7,pas,10937.393336698813,kylexy
8,ne,9157.62252674107,kylexy
9,un,8892.18296289209,kylexy
10,tu,8384.877243207042,kylexy
11,il,6826.377460061581,kylexy
12,cela,6435.741632606966,kylexy
13,te,5992.912744766313,kylexy
14,et,5583.46685525605,kylexy
15,pouvoir,5314.481360299962,kylexy
16,faire,5268.819378574788,kylexy
17,aller,5087.510470189081,kylexy
18,lui,4453.226905854615,kylexy
19,me,4449.255644407818,kylexy
20,jessi,4311.754046951979,kylexy
21,tout,3891.2765932149755,kylexy
22,mais,3719.9290569519417,kylexy
23,vous,3705.1964652741262,kylexy
24,en,3644.604611739922,kylexy
25,kyle,3558.1533361862034,kylexy
26,savoir,3479.045741766094,kylexy
27,taire,3434.826137011333,kylexy
28,dire,3430.725856903968,kylexy
29,pour,3321.66904614684,kylexy
30,devoir,3304.0185389446783,kylexy
31,vouloir,3249.965065914909,kylexy
32,mon,3241.783726713449,kylexy
33,on,3011.0,kylexy
34,qui,2908.9986749504205,kylexy
35,moi,2756.8869599721916,kylexy
36,avec,2679.3513797726027,kylexy
37,dans,2641.616124890556,kylexy
38,se,2626.1148307724834,kylexy
39,bien,2525.0803649617596,kylexy
40,si,2404.799028094335,kylexy
41,toi,2370.813138491726,kylexy
42,voir,2326.899827073846,kylexy
43,quoi,2029.633584558548,kylexy
44,quelque,2024.8414370067217,kylexy
45,sur,1997.091316319725,kylexy
46,chose,1939.4034083153315,kylexy
47,nous,1850.7147361025627,kylexy
48,plus,1720.8998217621452,kylexy
49,comme,1695.378446048664,kylexy
50,pourquoi,1667.306175304882,kylexy
51,luire,1646.9417563757984,kylexy
52,ton,1605.8517567765111,kylexy
53,trager,1538.712703356375,kylexy
54,ou,1524.8997661476565,kylexy
55,penser,1513.497244833554,kylexy
56,croire,1447.6195745785221,kylexy
57,amanda,1413.5368743259098,kylexy
58,son,1406.592821798622,kylexy
59,non,1343.9938069378152,kylexy
60,vraiment,1337.5093494203998,kylexy
61,lori,1324.1425899822564,kylexy
62,passer,1310.8355112032398,kylexy
63,quand,1304.1965387249975,kylexy
64,parler,1299.618504116378,kylexy
65,alors,1293.5557279390048,kylexy
66,rien,1264.9918068599418,kylexy
67,au,1264.6141962522809,kylexy
68,peu,1188.1300994006383,kylexy
69,latnok,1183.051261801081,kylexy
70,ici,1157.2271050959887,kylexy
71,juste,1154.763406231344,kylexy
72,bon,1117.9642180346802,kylexy
73,la,1106.0054362586332,kylexy
74,a10,1073.4006337253,kylexy
75,oui,1020.7885343147766,kylexy
76,baylin,998.5386796853161,kylexy
77,declan,988.3598529504349,kylexy
78,autre,981.0622749795958,kylexy
79,aimer,970.0903969924323,kylexy
80,meme,951.6304179496376,kylexy
81,toujours,951.0032911175123,kylexy
82,besoin,943.810388819662,kylexy
83,comment,942.8105521852589,kylexy
84,venir,927.0761620675403,kylexy
85,veux,906.1084509149408,kylexy
86,jamais,868.0344539795126,kylexy
87,arriver,856.4097133154152,kylexy
88,temps,842.8141105936766,kylexy
89,trouver,841.2071740257924,kylexy
90,maintenant,828.4283191971774,kylexy
91,xy,822.5121085286104,kylexy
92,josh,806.5187563203509,kylexy
93,aussi,802.8387377591939,kylexy
94,aider,785.151153198381,kylexy
95,as,766.0,kylexy
96,prendre,759.9321654082831,kylexy
97,notre,754.1240488445177,kylexy
98,falloir,744.924425191515,kylexy
99,sg,705.9441331155587,kylexy
100,fai,699.5690246034469,kylexy
101,essayer,672.2900708077618,kylexy
102,personne,661.0019567088058,kylexy
103,fait,652.1324535685291,kylexy
104,encore,651.6076647995725,kylexy
105,merci,636.9704755274341,kylexy
106,probleme,636.6406996516614,kylexy
107,sai,630.7779903534387,kylexy
108,votre,620.9220842541662,kylexy
109,parce,610.2995045203689,kylexy
110,trop,607.2940666624727,kylexy
111,vie,600.5985814894939,kylexy
112,seul,596.8493776989834,kylexy
113,fois,580.2714710366705,kylexy
114,donc,575.6574002729853,kylexy
115,foss,569.7170267974735,kylexy
116,laisser,564.9053264981927,kylexy
117,par,559.234122700599,kylexy
118,monde,554.8177313821536,kylexy
119,tres,554.7259496495161,kylexy
120,6th,547.4527431564659,kylexy
121,sans,543.6227884864114,kylexy
