,mots,poids,serie
0,be,14900.50798620948,legendoftheseeker
1,you,9230.513776974945,legendoftheseeker
2,the,8550.592406376509,legendoftheseeker
3,to,6761.4413039291285,legendoftheseeker
4,not,4865.706747595569,legendoftheseeker
5,rahl,4281.777273215839,legendoftheseeker
6,have,3806.8185577184922,legendoftheseeker
7,we,3715.936138565991,legendoftheseeker
8,do,3472.702860109981,legendoftheseeker
9,it,3400.410928242221,legendoftheseeker
10,of,3323.5226633611246,legendoftheseeker
11,and,2801.650284813289,legendoftheseeker
12,he,2701.5429906443705,legendoftheseeker
13,will,2666.9549284792092,legendoftheseeker
14,that,2661.464583947376,legendoftheseeker
15,seeker,2649.693814572915,legendoftheseeker
16,zedd,2187.016782136861,legendoftheseeker
17,they,2173.763320625983,legendoftheseeker
18,what,2078.5051334864597,legendoftheseeker
19,kahlan,2067.62628782666,legendoftheseeker
20,your,1892.026926473515,legendoftheseeker
21,my,1822.9293994982124,legendoftheseeker
22,in,1796.041757285402,legendoftheseeker
23,can,1772.8324572671345,legendoftheseeker
24,she,1760.9674229260668,legendoftheseeker
25,this,1741.2043796210512,legendoftheseeker
26,for,1684.3464723947675,legendoftheseeker
27,confessor,1636.0703207587233,legendoftheseeker
28,if,1594.5829737244344,legendoftheseeker
29,would,1560.9261182660794,legendoftheseeker
30,know,1483.3379167902845,legendoftheseeker
31,go,1416.3086024551708,legendoftheseeker
32,get,1333.5533958234987,legendoftheseeker
33,with,1301.8996922114015,legendoftheseeker
34,but,1193.4720505178184,legendoftheseeker
35,there,1118.5718826021882,legendoftheseeker
36,kill,1083.9179611486836,legendoftheseeker
37,all,1058.3963272555136,legendoftheseeker
38,his,982.1561041987361,legendoftheseeker
39,richard,976.9788773794116,legendoftheseeker
40,find,963.7502912597412,legendoftheseeker
41,here,955.5061656410119,legendoftheseeker
42,tell,953.8992944959374,legendoftheseeker
43,ve,901.0729159052225,legendoftheseeker
44,take,899.9990406790878,legendoftheseeker
45,no,894.3320117311277,legendoftheseeker
46,darken,884.5104481114399,legendoftheseeker
47,so,882.2997445996652,legendoftheseeker
48,could,858.5853571971961,legendoftheseeker
49,harans,846.5871414723332,legendoftheseeker
50,one,839.5436743431806,legendoftheseeker
51,how,827.9870331719559,legendoftheseeker
52,now,820.2195901156782,legendoftheseeker
53,want,795.1405425188785,legendoftheseeker
54,from,775.0233947298743,legendoftheseeker
55,think,768.8032879649633,legendoftheseeker
56,who,762.8468191703255,legendoftheseeker
57,need,751.6145965673726,legendoftheseeker
