,mots,poids,serie
0,le,8984.444067071301,legendoftheseeker
1,etre,7240.239674709614,legendoftheseeker
2,avoir,5723.151528482968,legendoftheseeker
3,de,4900.133621061524,legendoftheseeker
4,je,4641.709680817498,legendoftheseeker
5,que,3396.8605345070932,legendoftheseeker
6,ce,3207.9477299120044,legendoftheseeker
7,ne,3149.0064186470377,legendoftheseeker
8,un,2963.682193894258,legendoftheseeker
9,sourcier,2929.3203894667795,legendoftheseeker
10,il,2906.173968454872,legendoftheseeker
11,rahl,2816.530297590647,legendoftheseeker
12,pas,2592.2950865217913,legendoftheseeker
13,vous,2084.9580109678136,legendoftheseeker
14,tu,1989.7720195876695,legendoftheseeker
15,pouvoir,1867.8863623199172,legendoftheseeker
16,et,1715.5355304720786,legendoftheseeker
17,te,1385.7130259637522,legendoftheseeker
18,lui,1256.628027657241,legendoftheseeker
19,nous,1184.2656471951632,legendoftheseeker
20,mon,1170.4065257835275,legendoftheseeker
21,me,1160.024600308178,legendoftheseeker
22,pour,1144.7682366407596,legendoftheseeker
23,faire,1142.2256032888147,legendoftheseeker
24,mais,1117.9229308784145,legendoftheseeker
25,devoir,1096.2719998850187,legendoftheseeker
26,en,1030.493616714323,legendoftheseeker
27,aller,1028.934701835994,legendoftheseeker
28,on,923.0,legendoftheseeker
29,qui,900.2917308383145,legendoftheseeker
30,cela,891.8823049912015,legendoftheseeker
31,taire,880.983306800753,legendoftheseeker
32,tout,867.2864990794718,legendoftheseeker
33,inquisiteur,858.9156160566541,legendoftheseeker
34,si,858.3887538974328,legendoftheseeker
35,son,840.3413218026028,legendoftheseeker
36,se,819.884478859905,legendoftheseeker
37,harans,814.0260975695512,legendoftheseeker
38,moi,788.3255195998914,legendoftheseeker
39,dans,761.7229491366483,legendoftheseeker
40,kahlan,716.342965861205,legendoftheseeker
41,savoir,691.1235648626248,legendoftheseeker
42,ou,675.0004341191238,legendoftheseeker
43,tuer,623.7496313417545,legendoftheseeker
44,vouloir,609.7907426170905,legendoftheseeker
45,dire,588.0833509948545,legendoftheseeker
46,zedd,580.6719495996132,legendoftheseeker
47,avec,574.4830726401715,legendoftheseeker
48,luire,562.4939537160419,legendoftheseeker
49,darken,551.4761498346629,legendoftheseeker
50,toi,533.8361556739873,legendoftheseeker
51,sorcier,519.990262551172,legendoftheseeker
52,ton,489.80715144018933,legendoftheseeker
53,plus,485.5170243772025,legendoftheseeker
54,voir,484.70139561810254,legendoftheseeker
55,votre,479.65409683126063,legendoftheseeker
56,au,447.09895530399245,legendoftheseeker
57,trouver,445.94115249560076,legendoftheseeker
58,sur,439.9607185576537,legendoftheseeker
59,ici,439.3483994991934,legendoftheseeker
60,bien,432.0593401266717,legendoftheseeker
61,pourquoi,421.4070552968383,legendoftheseeker
62,magie,417.20437399916057,legendoftheseeker
63,notre,405.6996465302785,legendoftheseeker
64,quand,393.0911662057464,legendoftheseeker
65,sith,377.91096878341557,legendoftheseeker
66,mort,369.2585630598416,legendoftheseeker
67,orden,352.7446422801388,legendoftheseeker
68,autre,348.11887176695336,legendoftheseeker
69,homme,341.4563096278729,legendoftheseeker
70,richard,336.17952943533123,legendoftheseeker
71,quoi,333.6606935320788,legendoftheseeker
72,meme,323.750554560186,legendoftheseeker
73,quelque,322.97057631594816,legendoftheseeker
74,mourir,309.58319491425084,legendoftheseeker
75,seul,299.2653217758283,legendoftheseeker
76,comme,297.01232246117695,legendoftheseeker
77,par,296.62539841540286,legendoftheseeker
78,boite,285.3942949332821,legendoftheseeker
79,chose,270.46643102018567,legendoftheseeker
80,rien,268.58279516554467,legendoftheseeker
81,arriver,266.8890230844883,legendoftheseeker
82,jamais,264.04089854890117,legendoftheseeker
83,comment,262.58349112482597,legendoftheseeker
84,croire,258.4431679235868,legendoftheseeker
85,vie,253.68795045103303,legendoftheseeker
86,pere,252.68682395703715,legendoftheseeker
87,venir,249.33997860661282,legendoftheseeker
88,alors,249.33997860661282,legendoftheseeker
89,seigneur,246.23245188885588,legendoftheseeker
90,la,243.21114568473425,legendoftheseeker
91,aider,242.10228278493975,legendoftheseeker
92,livre,240.99376665978656,legendoftheseeker
93,as,239.0,legendoftheseeker
94,denna,238.78098862040167,legendoftheseeker
95,avant,237.09005258195438,legendoftheseeker
96,fane,234.35168478193944,legendoftheseeker
97,penser,226.348918312161,legendoftheseeker
98,prophetie,225.67699862920455,legendoftheseeker
99,celui,225.28962425820782,legendoftheseeker
100,mord,220.3029100425831,legendoftheseeker
101,personne,219.21837045279383,legendoftheseeker
102,aussi,218.19891005488464,legendoftheseeker
103,epee,214.8975376713041,legendoftheseeker
104,temps,214.86762898534442,legendoftheseeker
105,prendre,210.1582315841491,legendoftheseeker
106,contree,209.86536291389234,legendoftheseeker
107,besoin,209.1778344015208,legendoftheseeker
108,partir,206.7956998788027,legendoftheseeker
109,connaitre,201.75190232078313,legendoftheseeker
110,monde,200.07063646810994,legendoftheseeker
111,passer,197.11812198544956,legendoftheseeker
112,laisser,195.02683891009036,legendoftheseeker
113,enfant,192.31854468643937,legendoftheseeker
114,frontiere,191.24287661053057,legendoftheseeker
115,aimer,189.98304135207079,legendoftheseeker
116,proteger,185.86367971441544,legendoftheseeker
117,calthrop,184.51258211576493,legendoftheseeker
118,depuis,182.43047147547304,legendoftheseeker
119,sauver,182.43047147547304,legendoftheseeker
120,sans,182.2926715882577,legendoftheseeker
121,fois,180.71311526570597,legendoftheseeker
122,jour,180.50697637601016,legendoftheseeker
123,falloir,179.05212941111242,legendoftheseeker
124,mere,177.8835147296532,legendoftheseeker
125,peu,177.38280357248965,legendoftheseeker
126,toujours,175.67378734675182,legendoftheseeker
127,parler,174.85164867801205,legendoftheseeker
128,encore,171.88691397590642,legendoftheseeker
129,maintenant,171.62658405678576,legendoftheseeker
130,deux,170.28284926539047,legendoftheseeker
131,trop,169.97632844085513,legendoftheseeker
132,ami,167.12946316788324,legendoftheseeker
133,revenir,165.53876115366998,legendoftheseeker
134,donner,165.25817239072214,legendoftheseeker
135,agiel,162.80521951391023,legendoftheseeker
136,donc,162.32199949558017,legendoftheseeker
137,verite,158.78207702494876,legendoftheseeker
138,femme,156.79724113572547,legendoftheseeker
139,esprit,153.71456392840784,legendoftheseeker
140,viviane,152.3964658276282,legendoftheseeker
141,frere,150.4295506037228,legendoftheseeker
142,assez,148.64705083186692,legendoftheseeker
143,royaume,148.00225031035762,legendoftheseeker
144,non,147.88281370836802,legendoftheseeker
145,zeddicus,146.5246975625192,legendoftheseeker
146,brennidon,146.5246975625192,legendoftheseeker
147,shota,146.5246975625192,legendoftheseeker
148,utiliser,145.26870876750633,legendoftheseeker
149,apres,144.55328945599635,legendoftheseeker
150,kieran,142.83153593925363,legendoftheseeker
151,cypher,142.5781289401289,legendoftheseeker
152,giller,141.09785691205553,legendoftheseeker
153,fai,139.9138049206894,legendoftheseeker
154,ordre,139.43598344628072,legendoftheseeker
155,hartland,138.75728160632113,legendoftheseeker
156,fille,138.24816438591927,legendoftheseeker
157,confesser,137.7260464475121,legendoftheseeker
158,peuple,137.22378035178969,legendoftheseeker
159,apprendre,136.82285360660478,legendoftheseeker
160,chercher,136.82285360660478,legendoftheseeker
161,aucun,136.82285360660478,legendoftheseeker
162,vite,135.84693658783925,legendoftheseeker
163,dennee,135.67101626159186,legendoftheseeker
164,quel,134.91688331637906,legendoftheseeker
165,tres,132.8217062541095,legendoftheseeker
166,perdre,132.82000236118222,legendoftheseeker
167,vrai,132.82000236118222,legendoftheseeker
168,premier,131.05693698099304,legendoftheseeker
169,contre,130.67971854087017,legendoftheseeker
170,bon,130.5846166476742,legendoftheseeker
171,jennsen,130.24417561112818,legendoftheseeker
172,veux,129.91996171206873,legendoftheseeker
173,peur,127.18012331612466,legendoftheseeker
174,jusque,126.68782741352295,legendoftheseeker
175,dernier,126.68782741352295,legendoftheseeker
176,soeur,125.6645282910925,legendoftheseeker
177,gardien,124.81837895434002,legendoftheseeker
178,rester,124.41367309781626,legendoftheseeker
179,haran,123.33980587228544,legendoftheseeker
180,entrer,123.30948534916233,legendoftheseeker
181,suivre,123.30948534916233,legendoftheseeker
182,recensee,122.47842093000862,legendoftheseeker
183,arreter,121.62031431698203,legendoftheseeker
184,fils,121.62031431698203,legendoftheseeker
185,nouveau,119.91352420781516,legendoftheseeker
186,envoyer,119.36987553979668,legendoftheseeker
187,famille,119.36987553979668,legendoftheseeker
188,battre,118.7997441280638,legendoftheseeker
189,gens,118.24197225262142,legendoftheseeker
190,mal,115.63847380675857,legendoftheseeker
191,kelabra,113.96365365973716,legendoftheseeker
192,oui,113.5915060741255,legendoftheseeker
193,pierre,111.7002691250881,legendoftheseeker
194,deja,111.18927101048727,legendoftheseeker
195,tant,109.79611709171989,legendoftheseeker
196,hara,109.348944511437,legendoftheseeker
197,cacher,108.6169089170869,legendoftheseeker
198,nass,108.53681300927349,legendoftheseeker
199,zorander,108.53681300927349,legendoftheseeker
200,vivre,107.09905121357866,legendoftheseeker
201,cara,106.8514731522441,legendoftheseeker
202,nuit,106.60099422528715,legendoftheseeker
203,cote,105.4256285383665,legendoftheseeker
204,raison,105.31158044506803,legendoftheseeker
205,inquisitrice,104.9815036542931,legendoftheseeker
206,essayer,104.72860399517897,legendoftheseeker
207,merci,103.52567548075679,legendoftheseeker
208,gryff,103.10997235880981,legendoftheseeker
209,retrouver,103.03943296299866,legendoftheseeker
210,mettre,103.03943296299866,legendoftheseeker
211,reste,102.55721701306476,legendoftheseeker
212,chez,100.91201462921408,legendoftheseeker
213,fait,100.2017120092702,legendoftheseeker
214,voler,99.66109089863805,legendoftheseeker
215,conor,99.01258954175618,legendoftheseeker
216,petit,98.19625202439374,legendoftheseeker
217,pamorah,97.68313170834614,legendoftheseeker
218,amour,96.91640997617938,legendoftheseeker
219,combattre,94.48382933816376,legendoftheseeker
220,sou,94.06457010804604,legendoftheseeker
221,grand,93.73322162596752,legendoftheseeker
222,vraiment,93.27586994712625,legendoftheseeker
223,gwildor,92.25629105788246,legendoftheseeker
224,grix,92.25629105788246,legendoftheseeker
225,trois,91.98845692654314,legendoftheseeker
226,rune,91.61766571270977,legendoftheseeker
227,attendre,91.21523573773652,legendoftheseeker
228,capturer,91.15394709606834,legendoftheseeker
229,arme,90.78835604435241,legendoftheseeker
230,traverser,90.37408279691759,legendoftheseeker
231,celer,89.9483776969626,legendoftheseeker
232,porte,89.52759838851487,legendoftheseeker
233,demander,89.52606470555621,legendoftheseeker
234,maitre,89.11380326025414,legendoftheseeker
235,loin,88.67145945467965,legendoftheseeker
236,detruire,88.66891142339085,legendoftheseeker
237,vers,87.83689367337591,legendoftheseeker
238,sortir,87.42582433900603,legendoftheseeker
239,palais,86.98942976173743,legendoftheseeker
240,shadrin,86.82945040741879,legendoftheseeker
241,servir,84.85696009147415,legendoftheseeker
242,moyen,84.4585516090153,legendoftheseeker
243,vieux,84.06329263365964,legendoftheseeker
244,pendant,83.68286482524786,legendoftheseeker
245,blesser,83.15982088964466,legendoftheseeker
246,seulement,82.76938057683499,legendoftheseeker
247,finir,82.76938057683499,legendoftheseeker
248,aydindril,81.40260975695512,legendoftheseeker
249,entendre,81.38065695904362,legendoftheseeker
250,appeler,81.08020954465468,legendoftheseeker
251,soldat,80.12343648458402,legendoftheseeker
252,tete,79.21226956467035,legendoftheseeker
253,juste,79.02710461639087,legendoftheseeker
254,aide,78.65363179322382,legendoftheseeker
255,annee,78.28510513419525,legendoftheseeker
256,laisse,77.33822922296686,legendoftheseeker
