,mots,poids,serie
0,be,15869.623337237676,leverage
1,you,9007.175102764704,leverage
2,the,6842.2955686485475,leverage
3,to,5717.4886243814035,leverage
4,it,4279.633201400983,leverage
5,not,4268.996256977318,leverage
6,do,3880.637326006441,leverage
7,that,3830.2775070612797,leverage
8,we,3671.467194499382,leverage
9,what,2942.4105593388563,leverage
10,this,2895.121180352968,leverage
11,get,2785.212978048406,leverage
12,have,2781.4907566318993,leverage
13,and,2563.7949985048053,leverage
14,go,2382.4922685884208,leverage
15,of,2354.8360837771293,leverage
16,they,2238.900479362511,leverage
17,in,2222.0331314655095,leverage
18,he,2091.7185713386693,leverage
19,know,1954.3781625560355,leverage
20,right,1786.5133378148048,leverage
21,no,1720.4811509033384,leverage
22,for,1625.2033629032173,leverage
23,all,1611.1972258807527,leverage
24,just,1605.4629431764909,leverage
25,your,1564.2004788172128,leverage
26,on,1546.0,leverage
27,here,1449.9958214265675,leverage
28,can,1428.4199597639993,leverage
29,my,1381.2851093250295,leverage
30,with,1308.9369878449768,leverage
31,yeah,1242.2889392351503,leverage
32,she,1206.0223541627654,leverage
33,there,1182.4497185375922,leverage
34,so,1163.5928202496364,leverage
35,now,1130.690033557352,leverage
36,out,1104.6638816610086,leverage
37,hardison,1094.5107268282763,leverage
38,well,995.3814927513854,leverage
39,want,988.5531069153626,leverage
40,will,983.6921824267538,leverage
41,like,980.6182038593907,leverage
42,think,942.2528102497415,leverage
43,come,906.4036776044785,leverage
44,how,897.3629958785315,leverage
45,up,858.0302004599237,leverage
46,his,843.3899356306258,leverage
47,about,837.5155237241427,leverage
48,say,836.9341260810114,leverage
49,take,831.2283498630777,leverage
50,see,819.5163459642207,leverage
51,guy,801.1018053013538,leverage
52,but,799.3440338349915,leverage
53,at,770.8189278506887,leverage
54,would,769.4262077917643,leverage
55,one,763.8050248229242,leverage
56,need,762.5528547294757,leverage
57,okay,760.6330711997185,leverage
58,make,759.7956436524668,leverage
59,good,748.7859066746556,leverage
60,if,746.2475774237885,leverage
61,eliot,742.1401586101891,leverage
62,let,708.1578384836354,leverage
63,tell,698.4750205978517,leverage
64,who,678.7306299842439,leverage
65,nate,677.1069127400102,leverage
66,look,669.2642576202561,leverage
67,ve,641.7180470180286,leverage
68,from,639.0789656362074,leverage
69,work,603.6574770021758,leverage
70,money,591.8660803094804,leverage
71,parker,575.3808385342219,leverage
72,mean,572.1553329228993,leverage
73,why,536.6956756467453,leverage
74,call,513.9785064447374,leverage
75,thank,512.6981388419748,leverage
76,could,508.55878561588946,leverage
77,find,506.98915973435896,leverage
78,man,503.44071304908823,leverage
79,where,496.18895066224684,leverage
80,give,486.58402327446214,leverage
81,time,482.17962695734366,leverage
82,yes,474.49688417822034,leverage
83,our,472.2263655986097,leverage
84,thing,469.71622782003254,leverage
85,when,468.7412528712043,leverage
86,oh,464.84830584779587,leverage
87,an,462.0,leverage
88,back,458.6810135329794,leverage
89,some,455.8024143898445,leverage
90,down,451.27944503258504,leverage
91,sophie,426.1904368234216,leverage
92,people,413.43924311991486,leverage
93,really,405.94261050954316,leverage
94,uh,405.68399938088146,leverage
95,something,403.15294368894416,leverage
96,us,402.89026440810915,leverage
97,off,395.410566072335,leverage
98,way,392.3095179743393,leverage
99,listen,390.4629367270984,leverage
100,mr,387.18663311786696,leverage
101,wait,386.29500786155495,leverage
102,sorry,382.8593028959067,leverage
103,then,379.713819055866,leverage
104,little,368.6571392223247,leverage
105,try,367.58582841415324,leverage
106,talk,363.0968164420716,leverage
107,help,361.06270816457794,leverage
108,more,348.4080583581715,leverage
109,two,343.771607934632,leverage
