,mots,poids,serie
0,etre,12753.809725098236,lietome
1,le,12180.095268564713,lietome
2,avoir,10234.868022453205,lietome
3,je,7445.838348559519,lietome
4,de,7261.914556130923,lietome
5,ce,6500.004484941297,lietome
6,vous,5534.768053211746,lietome
7,que,5408.5044081445885,lietome
8,un,5087.578674104522,lietome
9,il,4709.04117584572,lietome
10,pas,4422.732456775728,lietome
11,ne,4270.914286641723,lietome
12,cela,2589.499192332409,lietome
13,et,2389.2329598205556,lietome
14,lui,2281.642261981579,lietome
15,pouvoir,2012.4752256498116,lietome
16,faire,1996.0594939742125,lietome
17,tu,1993.9058949746245,lietome
18,dire,1808.823607705445,lietome
19,en,1677.4079291907592,lietome
20,aller,1620.7402819769577,lietome
21,pour,1601.8091031141755,lietome
22,savoir,1405.67504717822,lietome
23,qui,1385.913189854428,lietome
24,on,1353.0,lietome
25,lightman,1327.3240572083746,lietome
26,me,1305.9631790566261,lietome
27,mais,1270.2196779835897,lietome
28,mon,1253.0905434393676,lietome
29,voir,1242.5678389385034,lietome
30,tout,1241.8314650536154,lietome
31,sur,1234.292527830687,lietome
32,vouloir,1153.703814979149,lietome
33,avec,1153.6750229249344,lietome
34,votre,1151.4983625983346,lietome
35,dans,1145.839649983334,lietome
36,se,1129.20453224796,lietome
37,devoir,1123.2987363999034,lietome
38,son,1018.047909567311,lietome
39,nous,1010.0619285119341,lietome
40,te,965.9196211371265,lietome
41,quelque,937.1166981188132,lietome
42,luire,934.1115807957092,lietome
43,moi,933.9780441735857,lietome
44,si,927.8461645181412,lietome
45,parler,887.7083702114458,lietome
46,bien,814.7831846679449,lietome
47,ou,810.2738004709321,lietome
48,quoi,792.6475987810849,lietome
49,taire,783.4698873457078,lietome
50,non,750.287804843926,lietome
51,quand,736.2131163683894,lietome
52,au,688.8443206718488,lietome
53,penser,679.046754936483,lietome
54,pourquoi,647.9341680255735,lietome
55,ici,600.166492900785,lietome
56,rien,578.6135525479943,lietome
57,chose,574.3434211663943,lietome
58,alors,562.270018871288,lietome
59,plus,550.8143248357417,lietome
60,la,535.9449228437356,lietome
61,autre,533.0049711264357,lietome
62,oui,526.5119808570953,lietome
63,comme,510.5401002305636,lietome
64,tuer,495.97342653859187,lietome
65,venir,466.8849263841945,lietome
66,toi,453.1962530042007,lietome
67,vraiment,449.72294438793017,lietome
68,croire,449.31949455996136,lietome
69,passer,440.23047243417074,lietome
70,fille,424.7383363663785,lietome
71,mentir,417.76698651405303,lietome
72,homme,416.41013369252795,lietome
73,femme,410.2069237793222,lietome
74,juste,406.42510945572445,lietome
75,prendre,395.0974753782003,lietome
76,bon,393.08634603126416,lietome
77,appeler,374.9959691440279,lietome
78,meme,374.4387726983969,lietome
79,trouver,369.92845604748703,lietome
80,ton,362.32309832561947,lietome
81,personne,356.4390298201915,lietome
82,jamais,354.80495742508595,lietome
83,arriver,351.34757469350365,lietome
84,avant,341.7366964801963,lietome
85,comment,338.4157924410473,lietome
86,verite,332.76669333952026,lietome
87,toujours,327.69918024297937,lietome
88,aimer,319.4405120079066,lietome
89,fait,313.7463441601739,lietome
90,besoin,309.58319491425084,lietome
91,par,308.8714011022773,lietome
92,essayer,298.98327269591414,lietome
93,loker,293.0493951250384,lietome
94,maintenant,287.14447717193,lietome
95,ouai,286.1158534878142,lietome
96,vrai,284.1339291017696,lietome
97,notre,278.4213260501911,lietome
98,aussi,278.1619693066087,lietome
99,sortir,270.68380228038404,lietome
100,temps,264.8368450284478,lietome
101,seul,263.9587388696913,lietome
102,aider,263.9587388696913,lietome
103,fois,263.609039699516,lietome
104,peur,259.38051465788584,lietome
105,apres,254.61090756453905,lietome
106,donc,254.36024663224933,lietome
107,peu,252.68682395703715,lietome
108,merci,250.18704907849556,lietome
109,tres,248.45472111062836,lietome
