,mots,poids,serie
0,be,58178.55390697752,lost
1,you,39102.6750203811,lost
2,to,21037.263233762074,lost
3,not,18496.58735256188,lost
4,do,16669.2075018608,lost
5,the,16630.593563023456,lost
6,it,13998.67143460895,lost
7,we,12544.411190289902,lost
8,what,12519.500742303215,lost
9,that,11905.835945572362,lost
10,go,9762.005309133714,lost
11,have,8748.436005060641,lost
12,he,8570.842862460338,lost
13,and,8370.97152782437,lost
14,get,8270.423078134076,lost
15,this,7417.825776572055,lost
16,they,7166.602278663084,lost
17,know,7055.363681143533,lost
18,of,6168.095614767579,lost
19,your,5796.506821416738,lost
20,here,5743.687540278376,lost
21,in,5494.623115401233,lost
22,she,4959.548449183836,lost
23,for,4802.913349959622,lost
24,just,4709.925769637132,lost
25,will,4676.010464090205,lost
26,can,4644.766151586107,lost
27,my,4459.689968722083,lost
28,there,4359.307425725025,lost
29,on,4238.0,lost
30,come,4146.3745873024745,lost
31,tell,4085.2116893206176,lost
32,why,4016.6615493330323,lost
33,right,3991.764617940351,lost
34,with,3963.404900829521,lost
35,so,3955.941156579837,lost
36,if,3923.910672041462,lost
37,want,3921.977000262036,lost
38,no,3784.1494270198923,lost
39,all,3776.437599597138,lost
40,would,3760.412921277373,lost
41,say,3661.975711514314,lost
42,about,3539.4134306950723,lost
43,think,3526.806953123825,lost
44,well,3509.618261726235,lost
45,how,3331.554383017943,lost
46,where,3138.508225921385,lost
47,now,3103.2603858425923,lost
48,back,3073.162790670962,lost
49,sayid,2984.021121205494,lost
50,see,2882.69797850261,lost
51,take,2876.4088941305063,lost
52,out,2863.1084279785327,lost
53,need,2759.566273467734,lost
54,locke,2677.298214451326,lost
55,okay,2598.8296599323717,lost
56,up,2591.343219351485,lost
57,let,2488.836884629208,lost
58,one,2457.013138674079,lost
59,but,2442.384103382326,lost
60,who,2426.3169742812825,lost
61,yeah,2415.1838632446793,lost
62,ve,2402.3670998065227,lost
63,like,2368.1498266223116,lost
64,island,2236.13325761845,lost
65,then,2200.152498891602,lost
66,because,2174.4911539456457,lost
67,jack,2087.5958627251516,lost
68,happen,2054.9564216983117,lost
69,find,2053.0706530419243,lost
70,when,2034.5670945176507,lost
71,look,2006.5300101105415,lost
72,make,1982.0755921368698,lost
73,good,1981.2765778800194,lost
74,sorry,1975.355972268967,lost
75,help,1940.9091430157007,lost
76,at,1938.25923130455,lost
77,from,1826.140114526268,lost
78,leave,1772.3506126852167,lost
79,his,1700.6564881180627,lost
80,give,1684.2085708822513,lost
81,something,1679.8039320372673,lost
82,off,1568.7015548542452,lost
83,some,1550.9727206371158,lost
84,people,1530.4259440235492,lost
85,could,1517.8282274400158,lost
86,talk,1504.2582395457252,lost
87,mean,1503.905497990079,lost
88,time,1494.636599271766,lost
89,jin,1493.2387848194696,lost
90,thank,1477.872730376232,lost
91,hey,1463.5909296812652,lost
92,ask,1450.3370802771967,lost
93,thing,1436.7790498024524,lost
94,kill,1406.1638414901843,lost
95,man,1396.713836645037,lost
96,down,1394.4815149298822,lost
97,wait,1381.046101067276,lost
98,sawyer,1364.2217080489595,lost
99,should,1334.2447097025847,lost
100,desmond,1291.8777636014722,lost
101,hurley,1263.560306287789,lost
102,hell,1240.6356512840975,lost
103,work,1231.3970342039065,lost
104,our,1225.6490136248703,lost
105,her,1217.1596125974072,lost
106,lt,1213.123080077932,lost
107,please,1210.0312346231744,lost
108,yes,1201.257934628406,lost
109,john,1195.521210927977,lost
110,way,1181.8171460473088,lost
111,bring,1162.8273964983227,lost
112,hear,1160.7562656185455,lost
113,try,1160.2926583855447,lost
114,kate,1156.335068571607,lost
115,never,1149.1496439597172,lost
116,over,1121.6581883271213,lost
117,juliet,1116.6602397929707,lost
118,wanna,1106.379464629472,lost
119,really,1093.1682897186122,lost
120,anything,1089.4948966887482,lost
121,name,1086.012774665954,lost
122,as,1063.0,lost
123,other,1045.2732069427175,lost
124,keep,1043.731130388314,lost
125,claire,988.1650538254789,lost
126,too,986.5330788135784,lost
127,dude,981.0669667334621,lost
128,us,947.9770927249626,lost
129,maybe,946.7251065169075,lost
130,oh,934.7165718019394,lost
131,only,927.3357097754105,lost
132,two,914.2861913155107,lost
133,guy,911.7995093066318,lost
134,eko,895.4287073265062,lost
135,die,894.3466496738978,lost
136,an,893.0,lost
137,before,891.3815134654637,lost
138,any,872.4006426009475,lost
139,call,859.8460804866384,lost
140,move,842.0784626186655,lost
141,day,841.7612625590277,lost
142,very,840.2677858191764,lost
143,uh,839.1183700549177,lost
144,or,837.9132180151065,lost
145,into,837.2240088881698,lost
146,nothing,826.0446486041209,lost
147,ben,819.5330248972571,lost
148,put,816.8553955473161,lost
149,father,816.0758150182404,lost
150,sure,801.1358007339987,lost
151,even,799.8243108438522,lost
152,still,789.1171959802977,lost
153,by,788.7360366414152,lost
154,stay,786.314032955493,lost
155,again,774.4468762918393,lost
156,charlie,764.5784129637135,lost
157,hugo,760.2016939847832,lost
158,believe,755.417960640434,lost
159,friend,750.20416970595,lost
160,widmore,748.904009763987,lost
161,plane,744.4848708912281,lost
162,dead,719.9114955539031,lost
163,after,718.2632318974652,lost
164,life,717.0714906647582,lost
165,gun,713.6883907267013,lost
166,little,711.5340589186128,lost
167,more,701.3605696514495,lost
168,year,696.7287590669562,lost
169,jacob,693.9073356025045,lost
170,shephard,693.5777780025039,lost
171,dharma,683.5080908755818,lost
172,stop,664.271925139724,lost
173,three,661.8553854360513,lost
174,someone,658.6653084844522,lost
175,use,655.9280950898916,lost
176,save,654.7960096786672,lost
177,away,654.6855743724813,lost
178,damn,654.5967301646539,lost
179,listen,654.5519769201152,lost
180,everything,652.3013924604478,lost
181,love,651.7134487674921,lost
182,first,649.5089103105388,lost
183,these,642.1917917096971,lost
184,boat,641.833557577586,lost
185,those,623.796622821779,lost
186,run,620.940886883348,lost
187,turn,613.7085135262384,lost
188,fine,612.3776128604238,lost
189,else,607.5668102600079,lost
190,care,603.4318067950647,lost
191,speak,602.3432998146808,lost
192,ever,601.3900642684129,lost
193,around,600.4769008685323,lost
194,baby,599.6285988678627,lost
195,start,599.0703408241261,lost
196,their,598.4479947930711,lost
197,much,598.2363711602976,lost
198,guess,592.9680303781598,lost
199,head,591.714369684781,lost
200,them,588.1373254626452,lost
201,suppose,587.7890051936366,lost
202,woman,579.352599324916,lost
203,might,576.1750512700288,lost
204,understand,571.9818785932895,lost
205,last,565.1156767054737,lost
206,everyone,553.3884673214966,lost
207,feel,547.3554426853239,lost
208,shoot,538.8371218919721,lost
209,walt,537.2335853342324,lost
210,matter,536.6956756467453,lost
211,remember,529.7960089983637,lost
212,than,528.2050299923626,lost
213,lie,525.6336809896247,lost
