,mots,poids,serie
0,etre,37836.3021844581,lost
1,le,27553.367366805967,lost
2,je,25200.09276038419,lost
3,avoir,24458.841382826962,lost
4,ce,20206.824385195487,lost
5,que,19482.14842051792,lost
6,de,16561.3601047277,lost
7,pas,12886.56177961787,lost
8,il,12589.423041706386,lost
9,un,11541.087561806014,lost
10,vous,11238.398167552745,lost
11,ne,11007.647279618055,lost
12,tu,10161.06570113537,lost
13,aller,8460.129770651505,lost
14,faire,7073.6978495871845,lost
15,cela,7059.045743481499,lost
16,et,7010.6255261709475,lost
17,te,6860.134856931662,lost
18,me,5766.444867983556,lost
19,on,5680.0,lost
20,pouvoir,5497.73933824134,lost
21,dire,4979.297419303622,lost
22,en,4693.134872854145,lost
23,tout,4497.609632394429,lost
24,qui,4376.899903340037,lost
25,taire,4235.108682883772,lost
26,lui,4219.970461505166,lost
27,savoir,4138.374275799688,lost
28,se,3896.935773005336,lost
29,moi,3723.8995973480587,lost
30,quoi,3717.4684098891125,lost
31,mon,3712.2272754449523,lost
32,devoir,3704.352073571411,lost
33,dans,3580.748906197919,lost
34,pour,3463.5466610947487,lost
35,vouloir,3408.7471429398574,lost
36,sur,3371.030079050964,lost
37,ou,3217.866442005135,lost
38,mais,3173.9290167982813,lost
39,bien,3136.541507217153,lost
40,si,3108.5467545720776,lost
41,nous,2923.1064355195053,lost
42,pourquoi,2878.226844082753,lost
43,voir,2663.3592150974087,lost
44,toi,2583.7024815399627,lost
45,ici,2583.037005357522,lost
46,avec,2454.8948787137383,lost
47,quelque,2295.9359103910924,lost
48,alors,2257.447188861213,lost
49,votre,2222.506825385944,lost
50,luire,2200.9898549309387,lost
51,ile,2024.0090495364318,lost
52,la,1984.2067677356374,lost
53,non,1971.4083915681706,lost
54,sayid,1887.7497702519106,lost
55,locke,1845.3932487621917,lost
56,oui,1842.024422823657,lost
57,venir,1837.4180973829589,lost
58,croire,1802.3454913363864,lost
59,rien,1707.6560433364875,lost
60,chose,1700.7565574151677,lost
61,quand,1685.6282211873531,lost
62,autre,1677.3000185135024,lost
63,ton,1674.0669080044827,lost
64,arriver,1653.6984405045196,lost
