,mots,poids,serie
0,be,17981.834688365896,madmen
1,you,9931.208188920265,madmen
2,not,5877.957796740747,madmen
3,to,5858.376043523906,madmen
4,it,5280.3434524748445,madmen
5,do,5037.815323821615,madmen
6,the,4998.387489063035,madmen
7,that,3982.672207164606,madmen
8,have,3587.8763806443626,madmen
9,and,2821.380216396481,madmen
10,we,2800.1538216942677,madmen
11,what,2614.5256617381115,madmen
12,of,2311.6874610785103,madmen
13,know,2233.7840226220555,madmen
14,in,2185.4244977469066,madmen
15,this,2173.5542806625494,madmen
16,go,2123.828924899204,madmen
17,he,1967.880506667375,madmen
18,they,1885.9479680692325,madmen
19,want,1779.088588377182,madmen
20,get,1687.8719550277244,madmen
21,your,1590.9618214830334,madmen
22,think,1564.1709171807483,madmen
23,will,1538.045029776362,madmen
24,my,1534.6156195631968,madmen
25,for,1526.631513750634,madmen
26,can,1476.4456068261895,madmen
27,with,1362.4204346601477,madmen
28,about,1325.4593505895127,madmen
29,like,1321.3902189835485,madmen
30,she,1251.1753650070234,madmen
31,would,1225.0904988815591,madmen
32,just,1217.9374051683724,madmen
33,there,1190.9667633289794,madmen
34,well,1161.0179734918042,madmen
35,here,1138.0869616233708,madmen
36,say,1135.6169368757216,madmen
37,so,1119.683657221348,madmen
38,on,1060.0,madmen
39,at,1059.5256535547649,madmen
40,see,974.0277457578446,madmen
41,no,969.3331715459364,madmen
42,draper,967.6986793915244,madmen
43,good,942.8143715429059,madmen
44,but,902.1600381870334,madmen
45,all,865.8476996444754,madmen
46,how,846.0851103997583,madmen
47,tell,837.2240088881698,madmen
48,if,832.5189736577526,madmen
49,make,812.3506782924595,madmen
50,come,781.1398153268409,madmen
51,ve,776.5825788393695,madmen
52,take,726.5772986213233,madmen
53,right,709.1036687305983,madmen
54,look,678.1035968718444,madmen
55,out,676.32482550674,madmen
56,one,673.9456101378743,madmen
57,work,632.5559732416417,madmen
58,should,631.1500710112716,madmen
59,now,622.3849354574953,madmen
60,why,616.0332972640902,madmen
61,some,575.5866666356397,madmen
62,up,575.0872657238094,madmen
63,really,564.1643366530265,madmen
64,could,541.5209291280305,madmen
65,talk,539.4581272853635,madmen
66,need,529.7242167075661,madmen
67,something,523.4737834720786,madmen
68,thing,521.9069198000361,madmen
69,who,519.1999263554686,madmen
70,very,501.58019460607267,madmen
71,when,498.93624155309175,madmen
72,let,496.59201121881483,madmen
73,his,484.13974367096256,madmen
74,sorry,476.92387300395274,madmen
75,call,468.50587718823243,madmen
76,thank,462.24213152736775,madmen
77,from,461.08986775068473,madmen
78,people,461.08986775068473,madmen
79,because,460.61451838818687,madmen
80,don,447.55809270643397,madmen
81,where,435.86202656957244,madmen
82,mr,434.08190855760864,madmen
83,yes,426.4465667930841,madmen
84,time,407.6281634377544,madmen
85,give,406.53310331640546,madmen
86,mean,401.1480127476194,madmen
87,an,398.0,madmen
88,peggy,386.38305990374613,madmen
89,our,380.5319256765495,madmen
90,happen,379.45238482199045,madmen
91,way,377.64374160146684,madmen
92,sterling,370.40987834072166,madmen
93,love,368.3597753903216,madmen
94,then,367.21295258489096,madmen
95,as,355.0,madmen
96,hear,353.203842926805,madmen
97,day,338.29024052607707,madmen
98,back,338.113432832882,madmen
99,more,333.2598819078162,madmen
100,never,331.4259080961988,madmen
101,leave,327.741675236225,madmen
102,man,327.45922485936273,madmen
103,feel,320.7040340240771,madmen
104,put,318.33335267652757,madmen
105,anything,316.9153027994767,madmen
106,or,314.61875618958027,madmen
107,down,311.1305490597325,madmen
108,two,310.1258760942212,madmen
109,her,301.7435441271815,madmen
110,over,299.0169863230778,madmen
111,okay,297.6390278607594,madmen
112,ask,292.6835821528954,madmen
113,year,291.91644766462747,madmen
114,home,280.45067684587883,madmen
115,father,279.01406323746164,madmen
116,girl,277.68657741614055,madmen
117,by,276.3010498728415,madmen
118,even,275.58302987491146,madmen
119,everything,275.23936803818896,madmen
120,little,270.6923050233853,madmen
121,than,265.6934940021824,madmen
122,night,265.16672156007314,madmen
123,cooper,264.16673749280426,madmen
124,maybe,259.9815059346948,madmen
125,too,259.7720283633928,madmen
126,keep,258.16111419316417,madmen
127,off,257.3763320979926,madmen
128,nice,255.84901868947526,madmen
129,idea,245.8880867736642,madmen
130,those,242.58757554180295,madmen
131,meet,237.05587189416275,madmen
132,try,236.53348958823773,madmen
133,around,233.3459459333675,madmen
134,always,233.18967486781565,madmen
135,campbell,233.0607061054284,madmen
136,account,230.0450983401607,madmen
137,into,228.62049206927423,madmen
138,care,228.06871437923706,madmen
139,nothing,227.12338737514435,madmen
140,great,225.7078291102937,madmen
141,their,224.00922209467413,madmen
142,other,222.7370608401529,madmen
143,any,221.35538692859865,madmen
144,help,220.73702682550618,madmen
145,find,219.74762341427322,madmen
146,much,218.94217707412955,madmen
147,wife,218.8452405052586,madmen
148,new,218.30689204991282,madmen
149,drink,217.46880685103403,madmen
150,office,215.5527864076804,madmen
151,please,215.39823024705723,madmen
152,hello,214.16952807713434,madmen
153,old,210.7286878555153,madmen
154,daddy,209.0629881809673,madmen
155,bad,208.95219677699774,madmen
156,bring,208.05094888804942,madmen
157,kid,207.84073049000295,madmen
158,believe,206.02308017466382,madmen
159,woman,203.59324834767096,madmen
160,course,201.3163416792909,madmen
161,again,200.83887558059487,madmen
162,away,196.7059867954015,madmen
163,run,196.39060608403562,madmen
164,someone,195.69041773813433,madmen
165,every,193.9332449966947,madmen
166,still,193.7634303001127,madmen
167,name,193.7634303001127,madmen
168,use,193.68596356252382,madmen
169,already,193.21430203333296,madmen
170,buy,192.94224968738357,madmen
171,start,192.55832383632628,madmen
172,last,191.3619222706366,madmen
173,wrong,189.32650171412996,madmen
174,sure,186.8628607382136,madmen
175,mother,185.9503887557533,madmen
176,only,184.5740417530512,madmen
177,understand,184.02895224305837,madmen
178,morning,183.5654774675824,madmen
179,before,183.5654774675824,madmen
180,these,182.91938329436047,madmen
181,miss,182.64353830421885,madmen
182,room,181.42204914713236,madmen
183,another,181.37160668412452,madmen
184,sit,181.37160668412452,madmen
185,wait,179.05519677702975,madmen
186,first,178.46866454478769,madmen
187,god,176.55398842507785,madmen
188,live,174.72987747182583,madmen
189,watch,169.27176647481073,madmen
190,lot,167.72080782237617,madmen
191,stop,167.61040835568886,madmen
192,guess,166.56405347701119,madmen
193,lunch,166.4453194146461,madmen
194,eat,166.01654019644897,madmen
195,else,165.25817239072214,madmen
196,kind,164.61452315938166,madmen
197,send,163.0827877092997,madmen
198,listen,158.7774597479487,madmen
199,business,158.3258651854408,madmen
200,money,156.71518321819144,madmen
201,true,151.7744812776985,madmen
202,today,149.34140539735517,madmen
203,ever,144.77908954609939,madmen
204,head,144.60849932446018,madmen
205,cosgrove,144.46451832166946,madmen
206,beautiful,143.53902675222014,madmen
207,hard,142.95187389230955,madmen
208,seem,142.91063843945093,madmen
209,hope,141.95074652312033,madmen
210,joan,141.8070886230765,madmen
211,mrs,141.56320719957628,madmen
212,move,140.61892773826258,madmen
213,betty,139.82605081209763,madmen
214,hell,139.3632233432686,madmen
215,lose,138.70063259203295,madmen
216,happy,137.9241744642963,madmen
217,suppose,137.9241744642963,madmen
218,kinsey,137.42649856906465,madmen
219,sound,136.9355969867692,madmen
220,child,136.82419451609394,madmen
221,marry,136.82285360660478,madmen
222,roger,136.3465596435534,madmen
223,place,135.0,madmen
224,big,134.7789584829049,madmen
225,own,134.01890914405732,madmen
226,must,133.78500900179736,madmen
227,through,133.189850917164,madmen
228,three,132.37107708721024,madmen
229,duck,132.20298299639987,madmen
230,after,131.65721154943353,madmen
231,turn,131.0523388259155,madmen
232,fine,130.6077001271729,madmen
233,sell,129.3176421167437,madmen
234,actually,129.3176421167437,madmen
235,hilton,129.13293310151795,madmen
236,remember,128.86929948608847,madmen
237,oh,128.5109787225008,madmen
238,next,127.80655718765128,madmen
239,together,127.53809725098236,madmen
240,freddie,127.42689964330177,madmen
241,us,127.2285045499292,madmen
242,walk,126.99497413031916,madmen
243,sleep,126.83228905098906,madmen
244,life,126.5420277643691,madmen
245,advertising,126.53463925923644,madmen
246,hate,125.48519820988979,madmen
247,meeting,125.2631913743935,madmen
248,job,124.70648872355213,madmen
249,phone,124.55875085153562,madmen
250,read,124.3438866507151,madmen
251,wish,123.13354021269492,madmen
252,mind,120.80009734347432,madmen
253,francine,120.20436700207138,madmen
254,rumsen,119.39049431020084,madmen
255,nixon,119.12431046857446,madmen
256,company,118.78578873918597,madmen
257,house,114.92209469773904,madmen
258,tomorrow,114.55048843207864,madmen
259,yourself,114.45726676370211,madmen
260,both,114.39637571865791,madmen
261,throw,114.39637571865791,madmen
262,same,113.93291974266107,madmen
263,speak,113.86763749921363,madmen
264,mccann,113.6086432776895,madmen
265,month,112.217381883283,madmen
266,show,111.81387188158412,madmen
267,probably,111.59791582959748,madmen
268,door,111.44343758866714,madmen
269,whatever,111.0805387413055,madmen
270,might,110.67769346429932,madmen
271,expect,109.93227529482738,madmen
272,late,109.55195533097202,madmen
273,boy,109.43111270170172,madmen
274,friend,108.6605245804253,madmen
275,baby,107.53573313029896,madmen
276,everyone,107.42246718593758,madmen
277,fire,106.38739590221789,madmen
278,barrett,106.22468895396737,madmen
279,hand,105.78291363241026,madmen
280,kennedy,105.64424924657335,madmen
281,may,105.55943450362716,madmen
