,mots,poids,serie
0,etre,13110.262355876623,madmen
1,le,10403.496304048824,madmen
2,je,10225.73204560931,madmen
3,avoir,8227.529759461135,madmen
4,ce,6911.696028936444,madmen
5,de,6529.944388669451,madmen
6,que,5108.395973575868,madmen
7,un,5022.804945173551,madmen
8,pas,4935.82030650714,madmen
9,ne,4416.273374367772,madmen
10,vous,4253.649275388149,madmen
11,il,3840.253726312215,madmen
12,cela,3072.6021075359768,madmen
13,tu,3016.351074014826,madmen
14,et,2775.780665184436,madmen
15,aller,2389.078776648607,madmen
16,faire,1957.175218117572,madmen
17,en,1938.3380515093215,madmen
18,me,1778.7043871392063,madmen
19,pouvoir,1761.966613601506,madmen
20,mon,1596.6568926644957,madmen
21,on,1581.0,madmen
22,te,1580.476110334726,madmen
23,tout,1573.3958611618737,madmen
24,savoir,1552.9362425968907,madmen
25,dire,1539.9444227762572,madmen
26,vouloir,1494.9163634795707,madmen
27,mais,1487.3235515164993,madmen
28,pour,1464.2636290807068,madmen
29,lui,1340.403229501057,madmen
30,nous,1273.7648054177398,madmen
31,voir,1260.8898848209747,madmen
32,bien,1243.852494759138,madmen
33,dans,1199.550883576303,madmen
34,se,1188.8324943468622,madmen
35,devoir,1157.0821570435096,madmen
36,taire,1153.3483749338102,madmen
37,moi,1033.0818237804292,madmen
38,avec,1032.8138300470841,madmen
39,sur,1028.5771065255726,madmen
40,qui,1016.967016446082,madmen
41,quoi,1012.3753725705026,madmen
42,si,1010.4087469540775,madmen
43,draper,884.1563473577237,madmen
44,votre,877.1756428352506,madmen
45,au,855.2067226454274,madmen
46,comme,842.872806984421,madmen
47,toi,783.8198539503258,madmen
48,ou,781.5794500326698,madmen
49,non,742.6761894324659,madmen
50,bon,727.5428641798991,madmen
51,ici,706.2732761760618,madmen
52,son,690.7465106334417,madmen
53,aimer,635.5184923104669,madmen
54,parler,635.5184923104669,madmen
55,pourquoi,611.290076260631,madmen
56,luire,606.4124005527299,madmen
57,plus,590.8352509232334,madmen
58,quelque,553.9029054952272,madmen
59,penser,548.9805854585994,madmen
60,ton,545.7212098237726,madmen
61,croire,521.9538489437145,madmen
62,rien,515.6126499782987,madmen
63,la,515.0353673323784,madmen
64,alors,505.3736479140743,madmen
65,chose,502.7493658963451,madmen
66,prendre,497.65469239126503,madmen
67,quand,496.3608793614933,madmen
68,oui,494.2765534576813,madmen
69,passer,492.79530496362395,madmen
70,autre,474.7075524094819,madmen
71,meme,464.3694822984486,madmen
72,venir,463.53808103377014,madmen
73,veux,449.72294438793017,madmen
74,tres,437.53032648412545,madmen
75,appeler,432.4277842381583,madmen
76,juste,420.94029193628603,madmen
77,vraiment,418.07577422729804,madmen
78,merci,405.4755622996308,madmen
79,femme,405.4554922297548,madmen
