,mots,poids,serie
0,le,1317.6029924856698,mastersofscifi
1,etre,1301.542633484384,mastersofscifi
2,de,865.7366454332328,mastersofscifi
3,avoir,840.6528075906288,mastersofscifi
4,je,739.8793993686368,mastersofscifi
5,vous,721.5015339159033,mastersofscifi
6,ce,697.9573487803027,mastersofscifi
7,que,656.569107942922,mastersofscifi
8,un,627.2824275420362,mastersofscifi
9,pas,565.3860603100962,mastersofscifi
10,ne,543.1144095946003,mastersofscifi
11,nous,441.1029940969839,mastersofscifi
12,il,441.05620520796083,mastersofscifi
13,et,395.13765437196656,mastersofscifi
14,pouvoir,257.2336754589985,mastersofscifi
15,faire,223.5845861756829,mastersofscifi
16,tout,208.76276792001445,mastersofscifi
17,en,204.41530319887386,mastersofscifi
18,cela,172.2954452823912,mastersofscifi
19,vouloir,170.6062742502109,mastersofscifi
20,jerry,169.34379560655185,mastersofscifi
21,aller,166.4453194146461,mastersofscifi
22,pour,159.20617860566855,mastersofscifi
23,dans,156.25086136136375,mastersofscifi
24,qui,154.51591877785432,mastersofscifi
25,tu,152.9533893173347,mastersofscifi
26,dire,146.6613735977388,mastersofscifi
27,on,136.0,mastersofscifi
28,votre,129.76943030708765,mastersofscifi
29,mon,129.72837252899026,mastersofscifi
30,se,127.95166867056093,mastersofscifi
31,si,125.80964942618863,mastersofscifi
32,mais,124.75371837338828,mastersofscifi
33,me,124.73382799012667,mastersofscifi
34,notre,114.55048843207864,mastersofscifi
35,bedzyk,113.96365365973716,mastersofscifi
36,sigrette,110.81380941286494,mastersofscifi
37,ou,109.31181119338038,mastersofscifi
38,sur,108.11321411655653,mastersofscifi
39,bien,104.65105124175439,mastersofscifi
40,savoir,102.07878318794216,mastersofscifi
41,penser,99.66109089863805,mastersofscifi
42,havelmann,97.68313170834614,mastersofscifi
43,plus,93.73322162596752,mastersofscifi
44,celer,93.34265610062155,mastersofscifi
45,devoir,92.90440676991683,mastersofscifi
46,non,90.25201130731283,mastersofscifi
47,comme,89.9064327450049,mastersofscifi
48,chose,89.09482433606117,mastersofscifi
49,skynner,86.82945040741879,mastersofscifi
50,voir,86.61330780804582,mastersofscifi
51,avec,83.19017172111772,mastersofscifi
52,monsieur,82.89109902706457,mastersofscifi
53,alors,81.99771108539616,mastersofscifi
54,ici,81.23800594513388,mastersofscifi
55,moi,81.0849105874174,mastersofscifi
56,quelque,80.324288410184,mastersofscifi
57,oui,78.28603797000542,mastersofscifi
58,taire,77.33822922296686,mastersofscifi
59,meme,73.57967149095136,mastersofscifi
60,au,68.88443206718489,mastersofscifi
61,oh,67.26746542505902,mastersofscifi
62,quoi,66.73213870641577,mastersofscifi
63,son,65.25948138251994,mastersofscifi
64,joe,63.95134736478869,mastersofscifi
65,autre,63.294340321264244,mastersofscifi
66,maintenant,62.70971340536403,mastersofscifi
67,lui,60.778087612180286,mastersofscifi
68,venir,60.243216307637994,mastersofscifi
69,aimer,58.844304843561744,mastersofscifi
70,monde,55.48177313821536,mastersofscifi
71,vraiment,54.96613764741369,mastersofscifi
72,te,53.95463823790488,mastersofscifi
73,vaisseau,53.377487354038806,mastersofscifi
74,bon,53.29984352966294,mastersofscifi
75,pourquoi,51.634856577873464,mastersofscifi
76,deanna,49.530691996000954,mastersofscifi
77,croire,48.98595993322887,mastersofscifi
78,samswope,48.84156585417307,mastersofscifi
79,la,48.422128552616776,mastersofscifi
80,deux,47.300791462608466,mastersofscifi
81,parler,47.0754438748494,mastersofscifi
82,tres,46.878249266156296,mastersofscifi
83,personne,46.85583490594067,mastersofscifi
84,maison,45.99422846327157,mastersofscifi
85,luire,45.60761786886826,mastersofscifi
86,juste,45.158345495080496,mastersofscifi
87,terre,44.972294438793014,mastersofscifi
88,par,43.54134288666464,mastersofscifi
89,quel,43.30665390402291,mastersofscifi
90,petit,42.76288394610695,mastersofscifi
91,bonbon,42.306462084913605,mastersofscifi
92,arreter,42.22927580450765,mastersofscifi
93,fait,41.06627541363533,mastersofscifi
94,arriver,40.54010477232734,mastersofscifi
95,peu,40.162144205092,mastersofscifi
96,temps,39.975372834482684,mastersofscifi
97,dieu,39.42362439708992,mastersofscifi
98,quand,38.30973229971257,mastersofscifi
99,heure,38.30973229971257,mastersofscifi
100,curran,38.005810615239646,mastersofscifi
101,cargrew,37.98788455324572,mastersofscifi
102,riggum,37.98788455324572,mastersofscifi
103,jamais,37.95587916640454,mastersofscifi
104,euh,37.429851779485205,mastersofscifi
105,comment,37.350237961720936,mastersofscifi
106,toujours,37.16176270796673,mastersofscifi
107,envoyer,36.98784875881024,mastersofscifi
108,appeler,35.472591675786425,mastersofscifi
109,martha,35.02311252814371,mastersofscifi
110,allez,34.65536793454328,mastersofscifi
111,teckel,34.625826894364515,mastersofscifi
112,travailler,33.62531705346385,mastersofscifi
113,jinger,32.561043902782046,mastersofscifi
114,demander,32.094249611425816,mastersofscifi
115,rentrer,31.94405120079066,mastersofscifi
116,donner,30.78338505317373,mastersofscifi
117,toi,30.64316301451891,mastersofscifi
118,depuis,30.405078579245508,mastersofscifi
119,seulement,30.405078579245508,mastersofscifi
120,pegase,30.29759853256895,mastersofscifi
121,prendre,30.26278534811747,mastersofscifi
122,combien,30.121608153818997,mastersofscifi
123,encore,29.689557868565654,mastersofscifi
124,entendre,29.297036505255704,mastersofscifi
125,vie,29.036572641985707,mastersofscifi
126,chien,28.9879133499547,mastersofscifi
127,president,28.62561950079396,mastersofscifi
128,ecouter,27.154227229271726,mastersofscifi
129,plasto,27.134203252318372,mastersofscifi
130,gens,27.026736514884895,mastersofscifi
131,femme,26.924778780882153,mastersofscifi
132,beaucoup,26.924778780882153,mastersofscifi
133,homme,26.650248556321788,mastersofscifi
134,aussi,26.650248556321788,mastersofscifi
135,passer,26.28241626472661,mastersofscifi
136,tagne,26.27004951824402,mastersofscifi
137,avant,26.161660974560483,mastersofscifi
138,brownie,26.047636707075664,mastersofscifi
139,ton,25.720466856448297,mastersofscifi
140,contre,25.457088027442243,mastersofscifi
141,regarder,25.33756548270459,mastersofscifi
142,trouver,25.33756548270459,mastersofscifi
143,ami,25.227088780057848,mastersofscifi
144,parce,25.21898779009789,mastersofscifi
145,besoin,25.1013401281825,mastersofscifi
146,peur,25.1013401281825,mastersofscifi
147,veux,24.984608021551676,mastersofscifi
148,rien,24.868777330143022,mastersofscifi
149,controlled,24.765345998000477,mastersofscifi
150,premier,24.66954107877516,mastersofscifi
151,sang,24.639765248181195,mastersofscifi
152,mettre,23.648394450524282,mastersofscifi
153,moins,23.648394450524282,mastersofscifi
154,celui,23.5377219374247,mastersofscifi
155,seul,23.5377219374247,mastersofscifi
156,connaitre,23.5377219374247,mastersofscifi
157,tuer,23.5377219374247,mastersofscifi
158,commencer,23.5377219374247,mastersofscifi
159,cheval,23.49040288187696,mastersofscifi
160,bebe,22.68249424970696,mastersofscifi
161,capitaine,22.572744479884935,mastersofscifi
162,deja,22.51934602744046,mastersofscifi
163,ouai,22.272491588871763,mastersofscifi
164,jusque,21.959223418343978,mastersofscifi
165,arme,21.856456084751507,mastersofscifi
166,perdre,21.856456084751507,mastersofscifi
167,laisser,21.856456084751507,mastersofscifi
168,bez,21.707362601854697,mastersofscifi
169,travail,21.653326952011454,mastersofscifi
170,trop,21.45332300709822,mastersofscifi
171,sans,21.15897080935134,mastersofscifi
172,pler,21.12311028458062,mastersofscifi
173,champ,21.11188690072543,mastersofscifi
174,an,21.0,mastersofscifi
175,ok,20.66009897396318,mastersofscifi
176,jour,20.4051364598968,mastersofscifi
177,choix,20.365670421953794,mastersofscifi
178,tenir,20.27005238616367,mastersofscifi
179,agir,20.27005238616367,mastersofscifi
180,aucun,20.27005238616367,mastersofscifi
181,oeil,20.175190232078315,mastersofscifi
182,argent,20.081072102546,mastersofscifi
183,etat,19.987686417241342,mastersofscifi
184,major,19.90433861798937,mastersofscifi
185,apres,19.71181219854496,mastersofscifi
186,honneur,19.49049022827961,mastersofscifi
187,maladie,19.49049022827961,mastersofscifi
188,societe,19.396069047674303,mastersofscifi
189,voila,19.21025882487607,mastersofscifi
190,reponser,18.934773879614916,mastersofscifi
191,prouver,18.84595442135303,mastersofscifi
192,docteur,18.75688510879422,mastersofscifi
193,oublier,18.66853122012431,mastersofscifi
194,sauver,18.580881353983365,mastersofscifi
195,matin,18.580881353983365,mastersofscifi
196,montrer,18.580881353983365,mastersofscifi
197,terrestre,18.566082557926542,mastersofscifi
198,peuple,18.4330451218822,mastersofscifi
199,mourir,18.407649427333833,mastersofscifi
200,facon,18.407649427333833,mastersofscifi
201,donc,18.407649427333833,mastersofscifi
202,demande,18.32204588247123,mastersofscifi
203,fois,18.237103375438217,mastersofscifi
204,grand,17.904098512825254,mastersofscifi
205,nourriture,17.892544907372884,mastersofscifi
206,mort,17.66019214634025,mastersofscifi
207,annie,16.929558359913703,mastersofscifi
208,comprendre,16.89171032180306,mastersofscifi
209,utiliser,16.89171032180306,mastersofscifi
210,entrer,16.89171032180306,mastersofscifi
211,dessus,16.89171032180306,mastersofscifi
212,nappy,16.891471384550954,mastersofscifi
213,elepher,16.87128523456486,mastersofscifi
214,laisse,16.812658526731926,mastersofscifi
215,rappeler,16.812658526731926,mastersofscifi
216,annee,16.656405347701117,mastersofscifi
217,tete,16.502556159306323,mastersofscifi
218,trois,16.426510165454133,mastersofscifi
219,glowboy,16.280521951391023,mastersofscifi
220,riila,16.280521951391023,mastersofscifi
221,fou,16.276131391808725,mastersofscifi
222,boom,16.231566250704716,mastersofscifi
223,terrifiante,16.162185157375134,mastersofscifi
224,merci,15.816422642893398,mastersofscifi
225,evans,15.801795846126945,mastersofscifi
226,pays,15.716965014182291,mastersofscifi
227,korsakoff,15.41747573403568,mastersofscifi
228,stupide,15.346542361740724,mastersofscifi
229,ressentir,15.346542361740724,mastersofscifi
230,parcour,15.269610952118295,mastersofscifi
231,verite,15.202539289622754,mastersofscifi
232,chercher,15.202539289622754,mastersofscifi
233,sembler,15.202539289622754,mastersofscifi
234,est,15.157543085501638,mastersofscifi
235,bert,15.144726888326518,mastersofscifi
236,famille,15.131392674058734,mastersofscifi
237,sortir,15.131392674058734,mastersofscifi
238,as,15.0,mastersofscifi
239,question,15.0,mastersofscifi
240,probleme,14.921266398085814,mastersofscifi
241,pret,14.921266398085814,mastersofscifi
242,bas,14.85230054337569,mastersofscifi
