,mots,poids,serie
0,be,54223.01038965027,medium
1,you,28826.641735564805,medium
2,to,20226.58316623718,medium
3,not,17724.458356267904,medium
4,the,17279.301070715177,medium
5,that,14711.531227831814,medium
6,do,14288.226106356246,medium
7,it,13506.457256045713,medium
8,have,9940.283208428966,medium
9,and,9424.330652904795,medium
10,what,8388.151032533833,medium
11,know,7799.958355350885,medium
12,this,7724.749938403562,medium
13,of,7652.408235600071,medium
14,she,7456.072984250237,medium
15,he,7375.129111978681,medium
16,we,7183.124121259389,medium
17,in,6838.049037620271,medium
18,go,6201.580460705676,medium
19,get,5984.545116010611,medium
20,just,5154.231606254499,medium
21,they,4982.235234521852,medium
22,your,4944.158057510353,medium
23,for,4900.253050997798,medium
24,my,4761.108920472326,medium
25,about,4678.434542959906,medium
26,think,4531.564095728442,medium
27,can,4305.8422994615075,medium
28,with,4136.52237341547,medium
29,no,3983.0161386500668,medium
30,well,3953.3990214458477,medium
31,so,3913.4041548961823,medium
32,there,3861.0603054288727,medium
33,would,3631.1240912795765,medium
34,see,3618.899353989877,medium
35,tell,3547.559359695635,medium
36,if,3542.878672008121,medium
37,will,3428.400866866029,medium
38,on,3408.0,medium
39,here,3338.1855532107966,medium
40,want,3306.4338389684644,medium
41,all,3239.7859407070187,medium
42,say,3192.1725403684673,medium
43,like,3177.663094617674,medium
44,but,3124.8001322679365,medium
45,at,3041.2310426108993,medium
46,right,3019.8035547665136,medium
47,dubois,2878.2718605940504,medium
48,allison,2574.712509676868,medium
49,come,2564.3905288747824,medium
50,his,2539.4208847964182,medium
51,okay,2523.0419445048637,medium
52,out,2522.441108464027,medium
53,who,2439.3694863963638,medium
54,how,2319.57023136333,medium
55,mean,2275.835737659801,medium
56,make,2271.879068865973,medium
57,now,2257.047921392262,medium
58,look,2231.3017796509293,medium
59,one,2151.4911287449095,medium
60,really,2104.8284174845207,medium
61,up,2085.266425514533,medium
62,her,2081.648500624227,medium
63,thing,2081.4875977907323,medium
64,take,2061.6257094625616,medium
65,could,2018.5388836482527,medium
66,call,1963.5908088036213,medium
67,ve,1938.4923914539986,medium
68,something,1926.6960448390237,medium
69,when,1909.473569978403,medium
70,work,1884.8241436184958,medium
71,sorry,1864.7888460016145,medium
72,talk,1824.3762491436332,medium
73,why,1812.3201800824875,medium
74,need,1786.0612970405548,medium
75,some,1774.9848287331486,medium
76,yeah,1770.2277217359592,medium
77,from,1765.8760892579414,medium
78,dream,1745.433481009886,medium
79,find,1652.8160532516408,medium
80,maybe,1633.4687070991201,medium
81,good,1589.1204552237673,medium
82,time,1564.3782909513818,medium
83,ariel,1559.3810126732117,medium
84,then,1462.6013771040764,medium
85,give,1442.4861851265507,medium
86,where,1428.239927894066,medium
87,let,1403.0928127632194,medium
88,back,1394.3902811402575,medium
89,uh,1379.589887145408,medium
90,any,1362.3121974943901,medium
91,bridgette,1341.8060374924057,medium
92,happen,1335.4752764514208,medium
93,oh,1314.2255558418246,medium
94,or,1247.7737065205802,medium
95,hear,1247.4517543369432,medium
96,anything,1240.8574293690954,medium
97,even,1238.539823920579,medium
98,as,1234.0,medium
99,an,1205.0,medium
100,guy,1172.5217332137997,medium
101,man,1156.1315489932601,medium
102,year,1132.1842334838038,medium
103,ask,1131.4918371497408,medium
104,hey,1125.8391766778964,medium
105,night,1113.9667297699555,medium
106,our,1111.0309637222952,medium
107,devalos,1096.2218113936622,medium
108,wait,1084.2786915942359,medium
109,try,1080.3826956868156,medium
110,day,1075.6572491727607,medium
111,help,1072.1512731524585,medium
112,actually,1062.725751241445,medium
113,leave,1051.637122966722,medium
114,thank,1051.4380879108435,medium
115,over,1027.9570128894748,medium
116,way,1011.9385697282024,medium
117,scanlon,1011.2516282516862,medium
118,never,995.8264434853075,medium
119,name,993.8188844425134,medium
120,people,989.4512055683387,medium
121,kill,982.1561041987361,medium
122,girl,979.1470186282173,medium
123,very,978.9684184112093,medium
124,home,967.1616799638251,medium
125,morning,941.1619819312489,medium
126,little,933.2439468425283,medium
127,sure,929.1523462121119,medium
128,kind,922.1609695433323,medium
129,nothing,916.2717476983563,medium
130,feel,915.8567125495279,medium
131,everything,905.2670544146215,medium
132,still,904.7502108368164,medium
133,guess,899.4458887758603,medium
134,someone,895.7211803786149,medium
135,mom,889.4520455672397,medium
136,other,887.7662853486095,medium
137,last,879.0688304307369,medium
138,by,873.9390035625557,medium
139,more,872.5349635404642,medium
140,before,861.8243603139039,medium
141,mr,854.9369445552901,medium
142,two,854.3090171652132,medium
143,might,849.6140586524153,medium
144,attorney,834.4087479983211,medium
145,off,828.2054038460543,medium
146,too,824.3632576387436,medium
147,should,824.0923206986553,medium
148,wife,820.6696518947198,medium
149,keep,818.830037042122,medium
150,please,815.662416009077,medium
151,because,807.2961170337127,medium
152,believe,799.5657635350047,medium
153,down,798.8487070452592,medium
154,into,783.6164452305469,medium
155,understand,752.6949938589955,medium
156,much,747.7954639503721,medium
157,yes,734.2689125416132,medium
158,put,726.7610504501856,medium
159,only,724.8996639817414,medium
160,kid,722.8578347189074,medium
161,god,710.8621112904451,medium
162,those,707.9596592342413,medium
163,their,699.8244310694929,medium
164,after,699.2460791181026,medium
165,life,698.0221531518424,medium
166,joe,695.300819221426,medium
167,phone,690.5915553540835,medium
168,again,677.0704517679145,medium
169,these,669.8270942217948,medium
170,start,660.1999674388329,medium
