,mots,poids,serie
0,etre,41037.835446219935,medium
1,le,33528.97530455788,medium
2,je,32385.048777374417,medium
3,avoir,30982.690737551195,medium
4,de,24235.275413011645,medium
5,ce,23813.1832867157,medium
6,que,23534.26754578641,medium
7,un,16362.75303293076,medium
8,vous,16355.895507726087,medium
9,pas,15054.817320907088,medium
10,ne,14434.15741119664,medium
11,il,12386.883636293667,medium
12,et,9477.16802706428,medium
13,cela,9064.091758679522,medium
14,pouvoir,7685.066212569164,medium
15,lui,7142.246619939457,medium
16,aller,6985.659617857115,medium
17,tu,6873.256810043834,medium
18,en,6544.897031243944,medium
19,faire,6472.61175196995,medium
20,dire,5843.449238247161,medium
21,savoir,5776.655074832399,medium
22,me,5660.421114191948,medium
23,tout,5377.176294292725,medium
24,mon,5016.638933291393,medium
25,qui,4946.086093940092,medium
26,dans,4934.923037996405,medium
27,mais,4841.0923441517425,medium
28,pour,4482.6828112167495,medium
29,vouloir,4150.293226067011,medium
30,voir,4090.8131533953947,medium
31,bien,4045.510638002677,medium
32,te,3921.581023145282,medium
33,si,3904.0306837564162,medium
34,se,3863.3950443247036,medium
35,on,3861.0,medium
36,sur,3635.3068246692137,medium
37,moi,3573.742355519508,medium
38,votre,3341.1521676533703,medium
39,son,3259.962093062188,medium
40,nous,3162.8363236156924,medium
41,devoir,3113.142212308304,medium
42,quelque,3002.120279330627,medium
43,avec,2919.5041396467727,medium
44,taire,2861.5144812497742,medium
45,quoi,2827.164022757175,medium
46,ou,2827.0767169888004,medium
47,penser,2738.146243164276,medium
48,dubois,2601.265245439134,medium
49,luire,2499.9731276268526,medium
50,au,2422.652478740238,medium
51,chose,2345.10305484561,medium
52,non,2280.22250254741,medium
53,rien,2221.61077482611,medium
54,parler,2175.5580133591116,medium
55,allison,2062.8989986386714,medium
56,comme,1900.8788637515324,medium
57,passer,1897.2619241099521,medium
58,appeler,1814.1696885616486,medium
59,venir,1726.972200818956,medium
60,fille,1717.2753913479853,medium
61,meme,1708.6834824009816,medium
62,ici,1702.682287870459,medium
63,quand,1685.6282211873531,medium
64,plus,1678.7725311437327,medium
65,trouver,1657.0767825688802,medium
66,la,1593.528230549752,medium
67,croire,1584.442428185127,medium
68,pourquoi,1570.6990242882155,medium
69,autre,1567.367743218675,medium
70,oui,1531.9503116483413,medium
71,vraiment,1472.4262327367787,medium
72,fait,1443.8902435434181,medium
73,juste,1428.9390753086186,medium
74,femme,1390.5856335067372,medium
