,mots,poids,serie
0,be,8696.15674038357,melroseplace
1,you,5427.620637537913,melroseplace
2,to,2969.029136191595,melroseplace
3,not,2687.3539926879785,melroseplace
4,the,2422.785917962524,melroseplace
5,it,2013.9450359534037,melroseplace
6,do,2005.7751962129678,melroseplace
7,that,1987.9344361692824,melroseplace
8,have,1509.4675447575553,melroseplace
9,and,1333.9625964858265,melroseplace
10,my,1284.3068378923424,melroseplace
11,what,1221.7276401906006,melroseplace
12,of,1217.8698756685199,melroseplace
13,this,1162.7703823232105,melroseplace
14,know,1117.6234402640803,melroseplace
15,get,1061.4606625949373,melroseplace
16,in,1015.0575712885379,melroseplace
17,just,970.9431062181429,melroseplace
18,go,962.3797934319379,melroseplace
19,your,950.0276646366306,melroseplace
20,we,936.627134402946,melroseplace
21,she,876.8423396207545,melroseplace
22,with,862.7724446763126,melroseplace
23,for,823.0749404240706,melroseplace
24,he,763.8415081405886,melroseplace
25,so,728.6176740006567,melroseplace
26,jonah,722.8046865689148,melroseplace
27,want,718.3895249012262,melroseplace
28,like,697.360452891209,melroseplace
29,can,666.8704134921264,melroseplace
30,on,662.0,melroseplace
31,auggie,651.2208780556409,melroseplace
32,think,645.357231564085,melroseplace
33,right,611.2962661470675,melroseplace
34,about,594.2718846599133,melroseplace
35,all,593.7951225682342,melroseplace
36,would,567.6094975513016,melroseplace
37,will,558.1411356002891,melroseplace
38,out,548.5745806888002,melroseplace
39,if,529.1312302349792,melroseplace
40,no,526.144499912976,melroseplace
41,well,523.4737834720786,melroseplace
42,here,499.0541756851145,melroseplace
43,okay,485.0413787360524,melroseplace
44,riley,475.02471819486954,melroseplace
45,at,473.70326838824144,melroseplace
46,ella,460.0186297049808,melroseplace
47,but,456.62401932818557,melroseplace
48,there,448.5643590130602,melroseplace
49,come,447.57200229537915,melroseplace
50,tell,441.47405365101235,melroseplace
51,look,440.70419982918753,melroseplace
52,how,434.3538534672556,melroseplace
53,up,427.8649256985142,melroseplace
54,say,412.24450448228254,melroseplace
55,one,409.5021897790132,melroseplace
56,yeah,402.7574217016479,melroseplace
57,they,396.8822229993084,melroseplace
58,make,387.40568391766095,melroseplace
59,see,383.24886419398865,melroseplace
60,good,370.29376041757604,melroseplace
61,who,368.3708974700811,melroseplace
62,oh,358.4251515932249,melroseplace
63,now,356.67999781438823,melroseplace
64,need,354.712086113916,melroseplace
65,really,350.0056366204329,melroseplace
66,take,342.35843906231077,melroseplace
67,could,337.46956452906244,melroseplace
68,why,328.2399639462703,melroseplace
69,from,327.9484165764748,melroseplace
70,let,323.2255694323647,melroseplace
71,ve,320.11800959790804,melroseplace
72,mean,314.8452530329921,melroseplace
73,thing,314.67917223237475,melroseplace
74,some,289.3489729573757,melroseplace
75,work,280.95760232814035,melroseplace
76,when,276.06846794868477,melroseplace
77,time,271.7521089585029,melroseplace
78,wpk,265.91519187272,melroseplace
79,thank,263.6733285473013,melroseplace
80,sorry,262.39064293297054,melroseplace
