,mots,poids,serie
0,etre,6808.572268629366,melroseplace
1,je,5775.0509573070285,melroseplace
2,le,4921.525543763375,melroseplace
3,avoir,4623.590441748458,melroseplace
4,de,3712.287296672292,melroseplace
5,ce,3423.384881966813,melroseplace
6,que,3175.3831308297404,melroseplace
7,un,2696.6326097051665,melroseplace
8,pas,2535.756480490782,melroseplace
9,tu,2148.2372427542778,melroseplace
10,ne,2001.9910718633078,melroseplace
11,cela,1413.8361539349162,melroseplace
12,il,1316.5061351826746,melroseplace
13,et,1311.8079270920257,melroseplace
14,te,1281.7516498468135,melroseplace
15,mon,1231.7067457697538,melroseplace
16,aller,1149.9858432284639,melroseplace
17,me,1091.4209949136084,melroseplace
18,vous,1084.345632210168,melroseplace
19,faire,1082.2790113431606,melroseplace
20,pouvoir,1076.0101457108433,melroseplace
21,pour,962.8183182342814,melroseplace
22,en,891.0102333550914,melroseplace
23,tout,858.0763769653536,melroseplace
24,taire,855.7643190106551,melroseplace
25,lui,832.8240653885244,melroseplace
26,avec,803.6484513436278,melroseplace
27,dire,747.685434027688,melroseplace
28,mais,717.7389251871559,melroseplace
29,moi,713.2468986856161,melroseplace
30,vouloir,707.7626624835482,melroseplace
31,savoir,666.0222247344423,melroseplace
32,qui,665.3644665740258,melroseplace
33,devoir,652.0200184215981,melroseplace
34,dans,646.1624162548063,melroseplace
35,se,604.9753654617783,melroseplace
36,toi,598.3480778098166,melroseplace
37,si,596.2853175928732,melroseplace
38,sur,557.0833671839233,melroseplace
39,on,555.0,melroseplace
40,voir,521.345487383045,melroseplace
41,bien,508.30510603137844,melroseplace
42,quoi,501.3048468677087,melroseplace
43,auggie,482.988817891267,melroseplace
44,ton,455.1404352423677,melroseplace
45,quelque,431.743050204739,melroseplace
46,comme,415.8172514456477,melroseplace
47,jonah,402.20583365528324,melroseplace
48,vraiment,371.4378392537349,melroseplace
49,penser,359.7934298544052,melroseplace
50,au,354.81981045927307,melroseplace
51,nous,351.6038358744074,melroseplace
52,plus,350.7096943982829,melroseplace
53,ou,345.69860289906546,melroseplace
54,son,333.32535106148646,melroseplace
55,chose,330.9236332482272,melroseplace
56,luire,320.9424961142581,melroseplace
57,juste,296.75484182481466,melroseplace
58,ella,290.0117448140096,melroseplace
59,peu,289.5021228117048,melroseplace
60,quand,286.4901719804592,melroseplace
61,pourquoi,283.158890910919,melroseplace
62,riley,279.01937330863694,melroseplace
63,bon,273.1616980895226,melroseplace
64,passer,269.3947667134478,melroseplace
65,prendre,267.32127057503766,melroseplace
66,wpk,265.91519187272,melroseplace
67,parler,265.64000472236444,melroseplace
68,croire,261.8215099879474,melroseplace
69,la,253.1156719795877,melroseplace
70,votre,249.6829545149028,melroseplace
71,besoin,249.33997860661282,melroseplace
72,jamais,247.53834238959485,melroseplace
73,rien,247.02985481275402,melroseplace
74,venir,240.97286523055197,melroseplace
75,veux,229.85839379827542,melroseplace
76,ici,225.4769144599634,melroseplace
77,meme,220.73901447285408,melroseplace
78,sydney,217.7244267310343,melroseplace
79,merci,214.24063398101057,melroseplace
80,vie,213.95369315147363,melroseplace
81,aimer,210.1582315841491,melroseplace
82,non,202.25149521879743,melroseplace
83,autre,201.54250470718353,melroseplace
84,oui,201.08766615824922,melroseplace
85,toujours,194.25466870073518,melroseplace
86,as,194.0,melroseplace
87,soir,193.21430203333296,melroseplace
88,arriver,187.49798457201396,melroseplace
89,temps,186.5517398942525,melroseplace
90,apres,185.6195648696317,melroseplace
91,appeler,184.11964250765334,melroseplace
92,maintenant,174.92709528864702,melroseplace
93,personne,172.36253554685317,melroseplace
94,petit,171.0515357844278,melroseplace
95,trouver,170.6062742502109,melroseplace
96,fait,167.55040368763213,melroseplace
97,aussi,164.89841294224107,melroseplace
98,notre,163.8708376181125,melroseplace
99,par,163.28003582499238,melroseplace
100,nuit,163.23277240747095,melroseplace
101,donc,162.32199949558017,melroseplace
102,alors,160.648576820368,melroseplace
103,fai,159.90149133793074,melroseplace
104,mettre,158.78207702494876,melroseplace
105,dieu,151.123893522178,melroseplace
106,nouveau,151.123893522178,melroseplace
107,pere,148.93461809388282,melroseplace
108,avant,148.79444679281275,melroseplace
109,anton,143.69617930304608,melroseplace
110,sai,142.91063843945093,melroseplace
111,comment,142.60999949020723,melroseplace
112,fois,142.58099002615333,melroseplace
113,trop,136.97121612224248,melroseplace
114,laisser,136.1825340665286,melroseplace
115,connaitre,134.5012682138554,melroseplace
116,seul,134.5012682138554,melroseplace
117,mancini,133.38034192355843,melroseplace
118,tres,132.8217062541095,melroseplace
119,ami,132.4422160953037,melroseplace
120,syd,132.27535905351772,melroseplace
121,argent,127.18012331612466,melroseplace
122,dernier,126.68782741352295,melroseplace
123,fille,126.58868064252849,melroseplace
124,david,126.07150774560252,melroseplace
125,parce,124.41367309781626,melroseplace
126,depuis,123.30948534916233,melroseplace
127,desoler,123.30948534916233,melroseplace
128,heure,119.92611850344805,melroseplace
129,essayer,118.24197225262142,melroseplace
130,entrer,118.24197225262142,melroseplace
131,jour,117.72194111478923,melroseplace
132,encore,117.19562316539074,melroseplace
133,probleme,116.05429420733411,melroseplace
134,payer,116.0073438344503,melroseplace
135,meilleur,114.8636301882608,melroseplace
136,sortir,114.3260779817771,melroseplace
137,beaucoup,114.03435718961853,melroseplace
138,aider,112.64481212910391,melroseplace
139,mieux,111.59791582959748,melroseplace
140,mec,110.17164124150575,melroseplace
141,demander,109.79611709171989,melroseplace
142,entendre,104.16724090757583,melroseplace
143,amanda,101.11739190408893,melroseplace
144,sans,100.91201462921408,melroseplace
145,travailler,100.87595116039157,melroseplace
146,vrai,100.87595116039157,melroseplace
147,boulot,100.60511103807808,melroseplace
148,ok,98.95100034898154,melroseplace
149,lauren,98.30957398337172,melroseplace
150,partir,97.51341945504518,melroseplace
151,truc,97.51341945504518,melroseplace
152,finir,96.28274883427744,melroseplace
153,quel,94.94151048189637,melroseplace
154,chez,92.77394893330973,melroseplace
155,commencer,90.78835604435241,melroseplace
156,fete,89.9483776969626,melroseplace
157,deux,89.87150377895608,melroseplace
158,publiciste,89.38709901888008,melroseplace
159,monde,89.10709019167922,melroseplace
160,deja,88.66992498304681,melroseplace
161,mort,88.30096073170125,melroseplace
162,film,87.3120580066769,melroseplace
163,yung,87.01131301145293,melroseplace
164,aujourd,86.61330780804582,melroseplace
165,hui,86.21176141116248,melroseplace
166,revenir,86.1477226411956,melroseplace
167,marcello,84.45735692275477,melroseplace
168,oh,84.33532978664115,melroseplace
169,tuer,84.06329263365964,melroseplace
170,premier,83.25970114086617,melroseplace
171,sentir,82.76938057683499,melroseplace
172,travail,79.95074566896537,melroseplace
173,gens,79.39103851247438,melroseplace
174,accord,78.93788705141054,melroseplace
175,mere,78.62966955441192,melroseplace
176,amie,78.43788318223037,melroseplace
177,oublier,78.0684032841562,melroseplace
178,donner,77.768551713281,melroseplace
179,importer,77.41430656299514,melroseplace
180,celui,77.33822922296686,melroseplace
181,perdre,77.33822922296686,melroseplace
182,raison,76.14837355258766,melroseplace
183,realisateur,76.12613258212099,melroseplace
184,coal,75.7894680774055,melroseplace
185,laisse,75.65696337029367,melroseplace
186,ecole,75.38381768541213,melroseplace
187,idee,75.3040203845475,melroseplace
188,noah,73.95029785756093,melroseplace
189,verre,73.32236906165012,melroseplace
190,heureux,71.61719768812338,melroseplace
191,rencontrer,71.61719768812338,melroseplace
192,marier,71.25640905033926,melroseplace
193,regarder,70.94518335157285,melroseplace
194,occuper,70.94518335157285,melroseplace
195,falloir,70.94518335157285,melroseplace
196,devenir,69.25601231939254,melroseplace
197,gros,68.9318999596009,melroseplace
198,reste,68.9318999596009,melroseplace
199,femme,68.10385221046663,melroseplace
200,hier,67.88556807317931,melroseplace
201,adorer,67.88556807317931,melroseplace
202,histoire,67.56684128721224,melroseplace
203,coucher,67.56684128721224,melroseplace
204,combien,66.93690700848666,melroseplace
205,desole,66.62562139080447,melroseplace
206,mal,66.29939164920825,melroseplace
207,journee,66.18842887134983,melroseplace
208,demain,65.87767025503193,melroseplace
209,attendre,65.87767025503193,melroseplace
210,arreter,65.87767025503193,melroseplace
211,oeil,65.56936825425451,melroseplace
212,moment,65.25948138251994,melroseplace
213,simms,64.92078042757939,melroseplace
214,super,64.67033130046325,melroseplace
215,wolf971,64.64874062950054,melroseplace
216,supposer,64.49128966952034,melroseplace
217,serieux,64.18849922285163,melroseplace
218,comprendre,64.18849922285163,melroseplace
219,regarde,64.18849922285163,melroseplace
220,matin,64.18849922285163,melroseplace
221,tomber,64.18849922285163,melroseplace
222,rester,63.88810240158132,melroseplace
223,genre,63.62234109149218,melroseplace
224,pret,63.000902569695654,melroseplace
225,violet,62.75535192524633,melroseplace
226,allez,62.70971340536403,melroseplace
227,client,62.50096651234056,melroseplace
228,jouer,62.49932819067132,melroseplace
229,voler,62.49932819067132,melroseplace
230,rendre,62.20683654890813,melroseplace
231,changer,61.6738526969379,melroseplace
232,carriere,60.82961649624961,melroseplace
233,genial,60.25011630394846,melroseplace
234,kavi,59.69524715510042,melroseplace
235,mariage,59.68099807343615,melroseplace
236,moins,59.12098612631071,melroseplace
237,voiture,58.52868440954993,melroseplace
238,homme,58.29741871695391,melroseplace
239,aide,58.26194947646209,melroseplace
240,parfaire,58.251131847818456,melroseplace
241,gars,57.70273286220242,melroseplace
242,aucun,57.4318150941304,melroseplace
243,propos,57.4318150941304,melroseplace
244,anniversaire,57.352719479541356,melroseplace
245,chii,57.2962233594455,melroseplace
246,hein,56.36922861499085,melroseplace
247,vendre,56.27065532638265,melroseplace
248,maison,55.85013456254405,melroseplace
249,jusque,55.742644061950095,melroseplace
250,esperer,55.742644061950095,melroseplace
251,peur,55.2229482820015,melroseplace
252,docteur,54.56548395285591,melroseplace
