,mots,poids,serie
0,be,5285.560875934194,mental
1,you,2792.9605632006087,mental
2,to,1787.6534822343795,mental
3,the,1758.8980473763017,mental
4,not,1377.466626535625,mental
5,it,1322.5907698798471,mental
6,that,1073.566235549325,mental
7,do,1057.824331336093,mental
8,have,1039.2044179434038,mental
9,he,1004.2330454436894,mental
10,and,903.1924235861308,mental
11,what,902.3962616577015,mental
12,of,806.8792444641745,mental
13,we,792.1030661864677,mental
14,she,737.0136608772456,mental
15,in,715.5323863181496,mental
16,this,622.7019052543081,mental
17,know,604.1603152212895,mental
18,get,568.1057067409524,mental
19,they,510.493546376973,mental
20,can,507.6996975145819,mental
21,with,506.68528561741033,mental
22,your,505.78937638400896,mental
23,go,502.11119657318494,mental
24,for,496.55569010613846,mental
25,no,472.73458307515773,mental
26,well,470.3451009704348,mental
27,so,451.4410823845877,mental
28,my,437.7127386286146,mental
29,just,423.0132246388986,mental
30,here,416.892817493053,mental
31,his,416.29850570433086,mental
32,think,400.0277270712004,mental
33,on,400.0,mental
34,about,371.41992791244587,mental
35,right,366.7777596882405,mental
36,how,363.46971765836315,mental
37,there,361.9744036339568,mental
38,will,359.887383814666,mental
39,would,342.14239157953455,mental
40,want,333.0994164606113,mental
41,see,305.9931642971767,mental
42,gallagher,303.35860075087504,mental
43,all,298.1398104945109,mental
44,like,277.50632455258415,mental
45,okay,275.59169246366616,mental
46,tell,274.3445904831291,mental
47,say,273.79257656181784,mental
48,but,264.096011178774,mental
49,at,263.4799244289627,mental
50,yeah,257.16605642436303,mental
51,come,253.34264280870516,mental
52,uh,247.11044913428287,mental
53,ve,244.53459066506863,mental
54,out,239.2185956884951,mental
55,take,239.20240283829574,mental
56,when,237.24633964340097,mental
57,if,235.80848303950157,mental
58,why,233.3459459333675,mental
59,now,231.0477718635713,mental
60,up,213.9324628492571,mental
61,good,211.7916341871745,mental
62,leeza,208.96253568024156,mental
63,conor,205.94618624685285,mental
64,one,204.10924192747052,mental
65,need,203.13908015334394,mental
66,make,202.7122764685435,mental
67,really,193.3821097309241,mental
68,could,191.49435754672382,mental
69,look,188.15164978380784,mental
70,time,180.36644399900635,mental
71,back,178.23033668710056,mental
72,some,175.7872792698035,mental
73,thing,171.92227946354132,mental
74,who,160.98098275267324,mental
75,work,160.5472013303659,mental
76,off,158.16422642893397,mental
77,jack,157.79699970206914,mental
78,talk,155.6129213323164,mental
79,gideon,155.455824380661,mental
80,let,154.26674904726497,mental
81,doctor,153.91692526586866,mental
82,hey,153.41105264621885,mental
83,as,151.0,mental
84,down,148.55782973122365,mental
85,something,148.44778934282826,mental
86,or,147.67819168082337,mental
87,any,146.48518252627852,mental
88,call,146.06359700574305,mental
89,from,145.7548518117666,mental
90,dr,145.53792803327522,mental
91,her,145.14246426370755,mental
92,happen,144.55328945599635,mental
93,give,141.26632933774707,mental
94,an,140.0,mental
95,thank,139.97472996955503,mental
96,liam,137.78216274894635,mental
97,try,137.44513584181382,mental
98,where,134.2274061062005,mental
99,too,133.63994522741015,mental
100,oh,132.52694680757895,mental
101,maybe,132.44340868371245,mental
102,never,130.0924125237416,mental
103,more,128.7594998280199,mental
104,find,125.57007052244185,mental
105,day,125.53739394522391,mental
106,then,125.00866470975012,mental
107,should,122.63278581825226,mental
108,even,121.95340977223093,mental
109,mean,116.6685455401443,mental
110,very,116.1214598444927,mental
111,becky,115.8997955980067,mental
112,yes,115.62107620798407,mental
113,hansen,111.76369501348029,mental
114,year,108.05746957751404,mental
115,man,108.03926806584415,mental
116,way,107.54902673439832,mental
117,help,105.63843426649224,mental
118,two,105.32576923954683,mental
119,wait,102.79094629792449,mental
120,hospital,102.75020885143418,mental
121,life,102.05002239062024,mental
122,patient,100.54753252721433,mental
123,craig,99.2565201712744,mental
124,put,99.10377960684349,mental
125,mimi,99.09419090057702,mental
126,guy,99.04531410998557,mental
127,gonna,98.98629748460382,mental
128,door,98.88643053642295,mental
129,leave,98.64069837206772,mental
130,our,97.8074025835308,mental
131,believe,96.47112484369178,mental
132,over,96.45709236228315,mental
133,little,94.09780127003393,mental
134,than,90.68580334206226,mental
135,re,90.07170788806285,mental
136,by,90.07170788806285,mental
137,feel,89.42708641055997,mental
138,after,87.77147436628903,mental
139,first,87.77147436628903,mental
140,anything,86.71811768144885,mental
141,chuckle,86.52439248913215,mental
142,home,86.49413398050469,mental
143,arturo,86.31587698851607,mental
144,much,84.80154745828962,mental
145,other,84.32188731805789,mental
146,play,83.65679880659319,mental
147,carl,83.15982088964466,mental
148,actually,82.89592443381008,mental
149,still,82.81824037020945,mental
150,sorry,82.51278079653162,mental
151,heather,82.36639940188581,mental
152,us,82.3243264734836,mental
153,might,81.38065695904362,mental
154,hand,80.80639235809117,mental
155,sure,80.52653667171637,mental
156,into,80.41134548643439,mental
157,before,79.33762161734495,mental
158,keep,79.19052582612397,mental
159,please,79.19052582612397,mental
160,surgery,77.91968515974803,mental
161,father,77.41430656299514,mental
162,um,76.86479356659173,mental
163,highgard,75.97576910649144,mental
164,dad,75.561946761089,mental
165,start,74.88379260301576,mental
166,everything,74.77601328205134,mental
167,nora,74.65206739596033,mental
168,people,74.27891486561182,mental
169,month,74.26150271687845,mental
170,family,74.22606460674088,mental
171,hear,73.85171261196832,mental
172,because,73.24259126313926,mental
173,those,72.61124710094782,mental
174,him,72.5029362035024,mental
175,sigh,72.40873798689499,mental
176,hour,72.30424966223009,mental
177,ask,71.94456768004133,mental
178,great,71.19642931666982,mental
179,sighs,71.051553608804,mental
180,mr,70.94413463960916,mental
181,dania,70.54892845602777,mental
182,remember,70.00307626404806,mental
183,wife,69.63257652440046,mental
184,vincent,68.63866616823817,mental
185,got,68.1732798217767,mental
186,their,67.03925624731124,mental
187,use,66.73213870641577,mental
188,real,65.78066078053133,mental
189,last,65.78066078053133,mental
190,kahane,65.12208780556409,mental
191,care,64.93623117742166,mental
192,every,64.64441499889824,mental
193,ward,64.37448470073724,mental
194,disorder,64.30278913373706,mental
195,only,64.00551447888066,mental
196,kind,63.92797015898317,mental
197,around,63.78122522178711,mental
198,ever,63.63916024004369,mental
199,cut,63.63916024004369,mental
200,kid,62.65786728007442,mental
201,stay,62.329770905008594,mental
202,mm,62.015196180889674,mental
203,else,61.56677010634746,mental
204,don,61.45227697782642,mental
205,new,60.9975139551227,mental
206,love,60.71864429510796,mental
207,trey,60.67172015017501,mental
208,today,60.66994594267555,mental
209,sit,60.4572022280415,mental
210,bleep,60.045827470272044,mental
211,old,60.00883164097455,mental
212,wohl,59.69524715510042,mental
213,treatment,58.914883901272894,mental
214,wrong,58.86622322204041,mental
215,tomorrow,58.86622322204041,mental
216,later,58.844304843561744,mental
217,understand,58.027147103667055,mental
218,fine,57.9109613771427,mental
219,through,57.302610278314745,mental
220,pretty,57.04831374466756,mental
221,name,56.253899119387555,mental
222,ago,56.1086909416415,mental
223,ll,56.059558389140996,mental
224,night,55.96483570614609,mental
225,someone,55.68426521003823,mental
226,another,55.68426521003823,mental
227,huh,55.58618008326089,mental
228,own,55.184256706376544,mental
229,nice,54.936905853568305,mental
230,lose,54.83513381545489,mental
231,bring,54.83513381545489,mental
232,hell,54.533435221279014,mental
233,close,54.29423168340695,mental
234,bagdonis,54.268406504636744,mental
235,god,54.20517188489232,mental
236,ding,53.99840150557178,mental
237,bad,53.96778592253584,mental
238,clinic,53.58565761144756,mental
239,veronica,53.484384292013026,mental
240,without,53.465879302880694,mental
241,whole,52.98057643902075,mental
242,nothing,52.89174774489663,mental
243,laugh,52.86031257932916,mental
244,course,52.651966285353005,mental
245,meet,52.50230719803604,mental
246,friend,52.09751178513542,mental
247,mum,52.04378042808077,mental
248,again,51.73122552833504,mental
249,anyone,51.609537708663424,mental
250,indistinct,50.98457104676559,mental
251,fire,50.88092847497377,mental
252,same,50.45600731460704,mental
253,hold,50.027562074934806,mental
254,long,50.0,mental
255,morning,49.78046846578506,mental
256,therapy,49.5539539215445,mental
257,chuckles,49.34273949384341,mental
258,live,49.097651521008906,mental
259,scales,48.84156585417307,mental
260,head,48.69469875211414,mental
261,guess,48.30357550833324,mental
262,already,48.30357550833324,mental
263,wharton,47.99911473598238,mental
264,psychiatric,47.77653470803007,mental
265,run,47.65360294686159,mental
266,himself,47.51989765122552,mental
267,these,47.37480430645307,mental
268,ocd,47.25605535606305,mental
269,exactly,47.0754438748494,mental
270,drug,46.70088462544616,mental
271,sleep,46.558688385806114,mental
272,girl,45.87865192092757,mental
273,clear,45.78290670548085,mental
274,also,45.78290670548085,mental
275,problem,45.40227016347199,mental
276,listen,45.36498849941392,mental
277,woman,45.09112211726941,mental
278,away,45.04717254856522,mental
279,always,44.972294438793014,mental
280,both,44.76379919425744,mental
281,hmm,44.742870733872344,mental
282,medication,44.166503322304926,mental
283,game,44.004731422167296,mental
284,hi,43.724724477352154,mental
285,least,43.50898955551633,mental
286,sansa,43.414725203709395,mental
287,naobi,43.414725203709395,mental
288,rylan,43.414725203709395,mental
289,mind,43.36413750791386,mental
290,brian,43.36413750791386,mental
291,open,43.321457224419625,mental
292,melissa,43.12010173329525,mental
293,clay,42.992688179718904,mental
294,malcolm,42.808035816288324,mental
295,case,42.583414939313265,mental
296,laughs,42.468030851582284,mental
297,brain,42.31794161870268,mental
298,stephens,42.228678461377385,mental
299,beep,41.8927228057694,mental
300,room,41.866626726261316,mental
301,probably,41.641013369252796,mental
302,ready,41.44796221690504,mental
303,child,41.3654541560284,mental
304,may,40.816314674735835,mental
305,break,40.794970375001256,mental
306,blood,40.5424552937087,mental
307,minute,40.32000170668305,mental
308,kill,40.088004253009636,mental
309,sonny,40.001619974346156,mental
310,turn,39.95498134936448,mental
311,speak,39.606134782335175,mental
312,soon,39.42362439708992,mental
313,easy,39.24064703826308,mental
314,die,39.21250066023835,mental
315,chloe,39.201068977246514,mental
316,doc,39.07551827784389,mental
317,place,39.0,mental
318,must,38.89099098889458,mental
319,past,38.8842758566405,mental
320,billy,38.701008754672024,mental
321,person,38.30973229971257,mental
322,stop,38.04653441202753,mental
323,hygard,37.98788455324572,mental
324,since,37.95587916640454,mental
325,idea,37.95587916640454,mental
326,while,37.6073876509307,mental
327,change,37.594390292640846,mental
328,happy,37.38131831275321,mental
