,mots,poids,serie
0,etre,5078.632436686554,mental
1,le,4116.117517370727,mental
2,avoir,3485.6725729185573,mental
3,je,3261.7419378717555,mental
4,de,2825.1480147635775,mental
5,vous,2492.459844436757,mental
6,ce,2419.978968286885,mental
7,que,2343.204720562763,mental
8,un,2101.168856023958,mental
9,il,1660.2901259490006,mental
10,pas,1550.571270400439,mental
11,ne,1518.3417436111818,mental
12,et,1142.4632180754686,mental
13,pouvoir,990.2655872245106,mental
14,cela,804.0454113178256,mental
15,aller,785.151153198381,mental
16,lui,757.2621186274355,mental
17,faire,742.0415975975562,mental
18,nous,711.1986680186878,mental
19,bien,705.6470883729725,mental
20,en,626.4727821565488,mental
21,dire,567.9533585402629,mental
22,pour,541.5176143049952,mental
23,tout,531.1170419141545,mental
24,dans,522.46381767706,mental
25,savoir,515.4141839653473,mental
26,mon,506.08321151419284,mental
27,me,501.4299885203092,mental
28,avec,494.43215268211475,mental
29,se,463.3589554768857,mental
30,sur,460.9827324136508,mental
31,mais,456.8902413155259,mental
32,votre,453.371680566534,mental
33,vouloir,449.31949455996136,mental
34,qui,435.16728145599785,mental
35,son,434.7285452097097,mental
36,tu,428.5450817810009,mental
37,penser,418.9144159807159,mental
38,quelque,381.540369948374,mental
39,moi,375.39310457137685,mental
40,voir,369.77219871896483,mental
41,non,367.53228701050284,mental
42,devoir,354.72591675786424,mental
43,ou,325.20263830030666,mental
44,si,313.2136063839488,mental
45,juste,303.2060340383976,mental
46,luire,298.98327269591414,mental
47,oui,296.25892800413817,mental
48,gallagher,293.77885546400535,mental
49,chose,284.7852420741955,mental
50,au,272.93831573790237,mental
51,quoi,258.7904891297587,mental
52,comme,253.66457810197812,mental
53,plus,251.7105614450139,mental
54,quand,251.51172075028688,mental
55,vraiment,244.84915861120643,mental
56,donc,234.2791745297033,mental
57,ici,230.450669925992,mental
58,pourquoi,229.85839379827542,mental
59,te,217.1345197379099,mental
60,leeza,213.40854707769353,mental
61,parler,210.1582315841491,mental
62,conor,209.9066898285231,mental
63,autre,209.8707073810341,mental
64,on,207.0,mental
65,passer,205.33137706817664,mental
66,euh,202.12119960922013,mental
67,la,200.29153174036938,mental
68,ca,198.42421133811717,mental
69,meme,191.30714587647353,mental
70,maintenant,188.12914021609208,mental
71,arcadya,181.75405906178096,mental
72,prendre,178.21418038335844,mental
73,bon,177.22197973612927,mental
74,besoin,175.7093808972775,mental
75,taire,174.85164867801205,mental
76,tres,173.44952228477828,mental
77,comment,173.16928509525164,mental
78,venir,172.36253554685317,mental
79,arriver,165.53876115366998,mental
80,peu,162.32199949558017,mental
81,quel,154.9045697336204,mental
82,fait,154.40919555526884,mental
83,temps,149.90764812931005,mental
84,aimer,147.95139503524095,mental
85,gideon,147.68303316162795,mental
86,jamais,145.22249420189564,mental
87,aussi,144.91072652499972,mental
88,liam,143.4059244938013,mental
89,dr,141.2574007381789,mental
90,fois,132.63347909409612,mental
91,jour,131.84857404856393,mental
92,docteur,129.59302438803277,mental
93,oh,128.5109787225008,mental
94,pere,125.5067006409125,mental
95,appeler,124.99865638134264,mental
96,hopital,123.94309639669397,mental
97,jack,121.56213310381622,mental
98,trouver,118.24197225262142,mental
99,merci,117.90424151975078,mental
100,apres,116.62822217472433,mental
101,homme,116.59483743390783,mental
102,probleme,116.05429420733411,mental
103,toujours,114.8636301882608,mental
104,essayer,114.8636301882608,mental
105,ok,114.17423117190178,mental
106,becky,113.48521652304824,mental
107,par,112.93535811228641,mental
108,deux,111.9452064615067,mental
109,hansen,111.76369501348029,mental
110,rien,111.0805387413055,mental
111,vie,108.50508724110449,mental
112,ouai,106.22265219308072,mental
113,toi,104.83187347072258,mental
114,croire,104.72860399517897,mental
115,depuis,101.35026193081836,mental
116,alors,98.73193783751783,mental
117,heure,98.2727915514366,mental
118,mieux,98.2727915514366,mental
119,femme,98.19625202439374,mental
120,mettre,97.97191986645774,mental
121,hey,97.73768676654265,mental
122,patient,97.23277870763584,mental
123,notre,97.04971936606663,mental
124,craig,95.20523363367137,mental
125,sans,94.40156207249059,mental
126,partir,94.1508877496988,mental
127,mimi,93.2651208476019,mental
128,arcacadya,92.25629105788246,mental
129,encore,92.19389022344072,mental
130,avant,91.5658134109617,mental
131,laisser,90.78835604435241,mental
132,attendre,89.52606470555621,mental
133,trop,89.11380326025414,mental
134,famille,87.42582433900603,mental
135,nouveau,87.06050387690689,mental
136,aucun,86.1477226411956,mental
137,donner,85.86944251674778,mental
138,sortir,84.06329263365964,mental
139,personne,83.67113376060833,mental
140,aider,82.38202678098645,mental
141,petit,80.77433634264646,mental
142,heather,78.44418990655791,mental
143,moins,77.70186748029407,mental
144,chez,76.497817541501,mental
145,enfant,76.26425047910527,mental
146,demander,76.01269644811377,mental
147,commencer,75.65696337029367,mental
148,perdre,75.65696337029367,mental
149,peur,75.3040203845475,mental
150,mois,74.95382406465502,mental
151,deja,74.59533371589652,mental
152,comprendre,74.32352541593346,mental
153,entrer,74.32352541593346,mental
154,premier,74.00862323632549,mental
155,fille,73.28818352988492,mental
156,an,73.0,mental
157,traitement,72.61853995576895,mental
158,vincent,70.59977091590213,mental
159,dania,70.54892845602777,mental
160,seul,68.9318999596009,mental
161,entendre,68.35975184559663,mental
162,carl,67.88556807317931,mental
163,accord,67.80562092877572,mental
164,nora,66.92943973430927,mental
165,ton,65.97858889262824,mental
166,demain,65.87767025503193,mental
167,tard,65.4041524364012,mental
168,highgard,65.12208780556409,mental
169,kahane,65.12208780556409,mental
170,est,64.76404772896154,mental
171,salut,64.51192213582928,mental
172,revenir,64.18849922285163,mental
173,global,64.09874918766721,mental
174,aujourd,63.294340321264244,mental
175,hui,63.000902569695654,mental
176,maison,62.4207386287257,mental
177,monde,62.20683654890813,mental
178,nuit,61.62869978649414,mental
179,supposer,61.09701126586138,mental
180,cas,61.00793650553904,mental
181,jouer,60.810157158491016,mental
182,regarder,60.810157158491016,mental
183,trey,60.67172015017501,mental
184,connaitre,60.52557069623494,mental
185,parce,60.52557069623494,mental
186,vivre,60.243216307637994,mental
187,beaucoup,60.184799627854225,mental
188,arturo,60.045827470272044,mental
189,travail,59.963059251724026,mental
190,wohl,59.69524715510042,mental
191,importer,59.67352797564209,mental
192,vrai,58.844304843561744,mental
193,travailler,58.844304843561744,mental
194,ami,58.337642803883774,mental
195,dont,58.027147103667055,mental
196,pendant,57.81725206108034,mental
197,ecoutez,57.70273286220242,mental
198,clinique,57.53710218040232,mental
199,propos,57.4318150941304,mental
200,rester,57.16303899088855,mental
201,mal,57.04831374466756,mental
202,bas,56.1086909416415,mental
203,dieu,55.85013456254405,mental
204,sai,55.85013456254405,mental
205,dernier,55.742644061950095,mental
206,combien,55.2229482820015,mental
207,raison,55.08605746357404,mental
208,garder,54.71131012631465,mental
209,gens,54.05347302976979,mental
210,idee,53.54952560678933,mental
211,mec,53.36438872635435,mental
212,pret,53.05339163763845,mental
213,sou,52.808179709780234,mental
214,arreter,52.364301997589486,mental
215,finir,52.364301997589486,mental
216,rentrer,52.119241432868975,mental
217,jeu,52.119241432868975,mental
218,rendre,52.119241432868975,mental
219,psychiatrique,51.38756033631788,mental
220,dehors,50.67513096540918,mental
221,devenir,50.67513096540918,mental
222,heu,50.40962155975954,mental
223,tete,49.50766847791897,mental
224,sentir,48.98595993322887,mental
225,service,48.96582735357221,mental
226,celui,48.75670972752259,mental
227,etat,48.30357550833324,mental
228,wharton,47.99911473598238,mental
229,sang,47.63687947981698,mental
230,therapie,47.63542978620035,mental
231,clay,47.51823430389984,mental
232,desoler,47.296788901048565,mental
233,medicament,47.2680987725537,mental
