,mots,poids,serie
0,be,6767.991034554475,moonlight
1,you,3729.2650050820075,moonlight
2,not,2172.601328491993,moonlight
3,to,2084.4409143624384,moonlight
4,the,1957.254789197795,moonlight
5,it,1630.6943014995843,moonlight
6,do,1563.943597047174,moonlight
7,that,1382.4376366516021,moonlight
8,have,1142.5081212107746,moonlight
9,what,1024.996701630154,moonlight
10,she,1000.6489822582365,moonlight
11,know,981.5776549963322,moonlight
12,he,967.8100852462499,moonlight
13,and,942.652286752515,moonlight
14,get,898.5040256613484,moonlight
15,this,897.1629345844061,moonlight
16,we,879.6512998176037,moonlight
17,of,845.7130048929315,moonlight
18,go,755.7027099939854,moonlight
19,in,715.5323863181496,moonlight
20,for,576.6453175426124,moonlight
21,mick,568.8793601968658,moonlight
22,tierney,557.4185556901815,moonlight
23,so,557.0975059214061,moonlight
24,can,551.60886054287,moonlight
25,they,545.3343522127901,moonlight
26,no,543.1902180527053,moonlight
27,think,537.5372582519256,moonlight
28,my,520.2753210645509,moonlight
29,yeah,517.0534467791425,moonlight
30,like,511.87695098818637,moonlight
31,just,509.6031800180019,moonlight
32,coraline,503.6375406451656,moonlight
33,vampire,501.68379655755086,moonlight
34,with,494.0181534769751,moonlight
35,on,493.0,moonlight
36,there,491.1495829699963,moonlight
37,well,489.09640067689736,moonlight
38,your,468.3234966518601,moonlight
39,about,460.26940086405057,moonlight
40,okay,446.45854179113917,moonlight
41,would,436.74397450475146,moonlight
42,but,413.2800174935013,moonlight
43,how,413.2394300348195,moonlight
44,here,412.328297593494,moonlight
45,will,400.29579182192674,moonlight
46,right,375.94720368044653,moonlight
47,all,373.91701232853245,moonlight
48,want,365.3348438600253,moonlight
49,out,356.94921346189057,moonlight
50,see,334.7746995528517,moonlight
51,if,333.58273210466075,moonlight
52,look,329.58107780922046,moonlight
53,say,328.2399639462703,moonlight
54,tell,324.79876804324476,moonlight
55,ve,314.18989830905787,moonlight
56,come,313.8633852574514,moonlight
57,josef,312.87978295194955,moonlight
58,now,307.5823462933793,moonlight
59,beth,303.5082567382138,moonlight
60,at,291.5097036235332,moonlight
61,buzzwire,276.7688731736474,moonlight
62,one,275.99677367551044,moonlight
63,her,267.36769732788235,moonlight
64,up,266.8404912958476,moonlight
65,take,260.13261308664664,moonlight
66,from,256.47247963032004,moonlight
67,who,255.24912580604044,moonlight
68,his,251.32094974002194,moonlight
69,find,248.00088928182265,moonlight
70,when,245.87347926679737,moonlight
71,why,244.23542341025797,moonlight
72,blood,243.25473176225222,moonlight
73,kill,242.06987183548128,moonlight
74,back,238.51412703714928,moonlight
75,make,235.74686967082468,moonlight
76,really,230.14069257233942,moonlight
77,oh,224.8942127643764,moonlight
78,need,220.32777155093459,moonlight
79,something,215.63994662431895,moonlight
80,could,208.76024224355956,moonlight
81,some,208.45571170047495,moonlight
82,work,207.10588971617202,moonlight
83,hey,206.61004670902054,moonlight
84,guy,202.4602744307058,moonlight
85,mean,199.7749067468224,moonlight
86,uh,199.53838406030326,moonlight
87,human,196.5455831028732,moonlight
88,thing,196.48260510119007,moonlight
89,let,195.40454879320228,moonlight
90,good,188.56287430858117,moonlight
91,maybe,188.03693825465348,moonlight
92,year,187.08457419390493,moonlight
93,call,183.268475488338,moonlight
94,time,181.56888695899974,moonlight
95,where,179.4725991757063,moonlight
96,turn,178.99831644515288,moonlight
97,never,178.10270762178908,moonlight
98,then,170.32430566703454,moonlight
99,should,168.4156925237331,moonlight
100,give,152.25371050846073,moonlight
101,thank,151.36802194382113,moonlight
102,way,149.1020597908704,moonlight
103,try,143.83793285771213,moonlight
104,into,143.47906743657902,moonlight
105,off,142.34780378604057,moonlight
106,or,139.1171370906307,moonlight
107,an,139.0,moonlight
108,feel,138.7661685681103,moonlight
109,happen,137.9826853898147,moonlight
110,people,133.14145117420986,moonlight
111,still,129.69648963636575,moonlight
112,talk,128.93642053249073,moonlight
113,leave,128.86929948608847,moonlight
114,dominic,128.5081155259464,moonlight
115,keep,128.28865183832085,moonlight
116,even,128.28865183832085,moonlight
117,maureen,128.2380327590271,moonlight
118,other,127.27832048008737,moonlight
119,help,126.13544390028923,moonlight
120,as,126.0,moonlight
121,only,123.54552794760686,moonlight
122,vamp,122.34335322775257,moonlight
123,hear,120.41040099777443,moonlight
124,sorry,118.81840434700553,moonlight
125,more,116.64095866773567,moonlight
126,love,116.0400757639841,moonlight
127,friend,114.61452592729792,moonlight
128,dead,114.59815643511111,moonlight
129,kind,113.47214703219512,moonlight
130,wait,112.7384572299817,moonlight
131,any,112.30530660348019,moonlight
132,too,109.61478653484204,moonlight
133,much,109.47108853706477,moonlight
134,nothing,108.89477476890482,moonlight
135,kostan,108.53681300927349,moonlight
136,tejada,107.92233013824976,moonlight
137,story,107.78460653145488,moonlight
138,two,106.78862714565165,moonlight
139,murder,105.12966505890644,moonlight
140,someone,105.00461439607209,moonlight
141,anything,104.06174121773863,moonlight
142,down,103.71018301991084,moonlight
143,shepherd,103.12769782572778,moonlight
144,by,102.24356030536865,moonlight
145,always,101.60407262097682,moonlight
146,abbott,101.06102749264991,moonlight
147,man,100.24261985490695,moonlight
148,name,100.0069317678001,moonlight
149,our,99.33564324889846,moonlight
150,use,99.28440149003322,moonlight
151,little,99.25384517524127,moonlight
152,over,99.21300928691981,moonlight
153,yes,99.10377960684349,moonlight
154,after,98.01147970902274,moonlight
155,haggans,97.68313170834614,moonlight
156,night,97.27221444163487,moonlight
157,last,97.17597615305765,moonlight
158,sure,96.0124091085849,moonlight
159,before,94.89401801290278,moonlight
160,die,93.5067323436453,moonlight
161,movie,92.51650352300578,moonlight
162,because,91.14633579412885,moonlight
163,ask,89.93070960005166,moonlight
164,again,89.76889135799316,moonlight
165,stay,89.49915822257644,moonlight
166,jay,87.32184572075454,moonlight
167,god,86.72827501582772,moonlight
168,josh,86.41272389146617,moonlight
169,jacob,85.86813183041026,moonlight
170,wife,84.55384292248628,moonlight
171,very,83.86549877657806,moonlight
172,lot,83.28992497301674,moonlight
173,everything,82.7309083120568,moonlight
174,please,82.35814685916894,moonlight
175,live,82.31076872639728,moonlight
176,than,81.1399293060557,moonlight
177,those,80.86252518060098,moonlight
178,first,80.45718483576493,moonlight
179,meet,79.54895030005461,moonlight
180,day,79.28677512329931,moonlight
181,life,78.91868398207966,moonlight
182,ever,77.95797129405352,moonlight
183,around,77.78198197778916,moonlight
184,st,77.01945104441532,moonlight
185,their,76.84987911277142,moonlight
186,these,76.32607360484106,moonlight
187,become,76.01269644811377,moonlight
188,girl,73.64730966254163,moonlight
189,long,73.0,moonlight
190,actually,72.94841350175287,moonlight
191,john,72.92458403072688,moonlight
192,new,71.69883219286352,moonlight
193,listen,71.28783907050759,moonlight
194,old,71.17326543464424,moonlight
195,stop,70.95164525486216,moonlight
196,every,70.9511871939127,moonlight
197,away,70.57390365941885,moonlight
198,start,70.29907060691276,moonlight
199,might,69.98736498477751,moonlight
200,somebody,69.9569024603447,moonlight
201,else,69.66766090981423,moonlight
202,own,69.37449414515908,moonlight
203,wanna,69.35031629601647,moonlight
204,believe,68.67436005822127,moonlight
205,morgan,68.54709187278547,moonlight
206,talbot,67.82193753567655,moonlight
207,lee,66.98251515231696,moonlight
208,understand,66.31673954704806,moonlight
209,simone,66.13154228527166,moonlight
210,since,66.01022463722529,moonlight
211,moonlight,65.94819120675524,moonlight
212,woman,65.58708671602824,moonlight
213,haggan,65.12208780556409,moonlight
214,guess,64.95998085603436,moonlight
215,check,64.15139300884134,moonlight
216,us,63.6142522749646,moonlight
217,care,63.352420660899185,moonlight
218,close,63.3432702973081,moonlight
219,put,63.06604156799131,moonlight
220,ago,62.70971340536403,moonlight
221,bad,62.27052221831058,moonlight
222,death,62.10752344645665,moonlight
223,run,62.09408868833479,moonlight
224,pay,62.008130804324885,moonlight
225,lola,61.829314692932755,moonlight
226,huh,61.14479809158698,moonlight
227,emma,60.76929806404556,moonlight
228,alone,60.66994594267555,moonlight
229,police,60.51240464405191,moonlight
230,move,60.49884100367112,moonlight
231,turner,59.785603379355834,moonlight
232,bring,59.67352797564209,moonlight
233,office,59.59400565388811,moonlight
234,mr,58.91970503967541,moonlight
235,yourself,58.863737192761086,moonlight
236,exactly,58.844304843561744,moonlight
237,without,58.32641378496076,moonlight
238,family,57.56307051135007,moonlight
239,must,56.0030270240082,moonlight
240,seem,55.85013456254405,moonlight
241,sire,55.545058818875134,moonlight
242,case,55.107948744993635,moonlight
243,got,54.83502942186387,moonlight
244,both,54.71131012631465,moonlight
245,killer,54.59708647964313,moonlight
246,whole,54.586048452324405,moonlight
247,verdolino,54.268406504636744,moonlight
248,wrong,54.093286204037135,moonlight
249,foster,53.87679708684188,moonlight
250,same,53.71123359296879,moonlight
251,tonight,53.607563657622926,moonlight
252,save,53.22233576205916,moonlight
253,sleep,52.98057643902075,moonlight
254,dean,52.89837013002083,moonlight
255,bbs,52.76300818990724,moonlight
256,pretty,52.42277479239722,moonlight
257,hour,51.64589261587864,moonlight
258,anyone,51.609537708663424,moonlight
259,together,50.688218138210935,moonlight
260,myself,50.45600731460704,moonlight
261,body,50.38894595522626,moonlight
262,probably,49.96921604310335,moonlight
263,remember,49.32034918603386,moonlight
264,um,49.30949021253054,moonlight
265,silver,49.27953049636239,moonlight
266,drink,49.053114327300904,moonlight
267,hit,48.9037012917654,moonlight
268,watch,48.82839417542617,moonlight
269,cop,48.75670972752259,moonlight
270,until,47.85741286198834,moonlight
271,private,47.85741286198834,moonlight
272,whitley,47.526042980042966,moonlight
273,room,47.44884362309615,moonlight
274,home,47.178618534820735,moonlight
275,forever,47.08877644591569,moonlight
276,ydy,47.06651394393475,moonlight
277,cure,47.04883900939022,moonlight
278,great,46.959346996101374,moonlight
279,lose,46.77114354847623,moonlight
