,mots,poids,serie
0,be,18152.939624229923,mynameisearl
1,you,7935.885747899093,mynameisearl
2,to,7598.682114407116,mynameisearl
3,the,6549.820576881142,mynameisearl
4,not,5705.415004272819,mynameisearl
5,it,4885.820637595913,mynameisearl
6,do,4329.482125158993,mynameisearl
7,that,4132.345573337516,mynameisearl
8,and,4113.690735095569,mynameisearl
9,have,3476.8634457898743,mynameisearl
10,get,3339.8635496297043,mynameisearl
11,we,3082.2536856168163,mynameisearl
12,my,2791.4015966435604,mynameisearl
13,of,2703.2612120684776,mynameisearl
14,go,2568.882030952709,mynameisearl
15,in,2506.027380918915,mynameisearl
16,he,2463.232765352552,mynameisearl
17,what,2088.4842390656127,mynameisearl
18,this,2054.0309291800877,mynameisearl
19,for,2028.1157963144017,mynameisearl
20,randy,1872.7783625569805,mynameisearl
21,they,1846.5627092983088,mynameisearl
22,like,1735.4929209065756,mynameisearl
23,earl,1729.8849674391458,mynameisearl
24,know,1721.7837554853697,mynameisearl
25,with,1718.50759371905,mynameisearl
26,on,1692.0,mynameisearl
27,just,1663.6627492509701,mynameisearl
28,your,1632.4419026150554,mynameisearl
29,she,1586.1815744966805,mynameisearl
30,so,1513.4939631313075,mynameisearl
31,out,1479.147442450852,mynameisearl
32,can,1407.8375395944893,mynameisearl
33,but,1400.112059264569,mynameisearl
34,would,1381.183110708167,mynameisearl
35,make,1331.8947350192452,mynameisearl
36,about,1226.414036479527,mynameisearl
37,think,1214.1466559934481,mynameisearl
38,if,1183.355985009206,mynameisearl
39,will,1155.427916457612,mynameisearl
40,want,1148.1952235600795,mynameisearl
41,all,1142.8692735622917,mynameisearl
42,there,1135.6059721849626,mynameisearl
43,joy,1109.4061792987966,mynameisearl
44,up,1045.5086490858855,mynameisearl
45,one,1038.5180925743625,mynameisearl
46,darnell,1030.3393037826647,mynameisearl
47,see,1022.5019103989815,mynameisearl
48,when,1020.8781887685739,mynameisearl
49,his,1003.7419526426644,mynameisearl
50,could,960.6110394966801,mynameisearl
51,thing,953.2476388112425,mynameisearl
52,well,926.6267271610228,mynameisearl
53,here,903.7749401126769,mynameisearl
54,how,903.395688287799,mynameisearl
55,take,885.0488905016942,mynameisearl
56,good,882.6928753865466,mynameisearl
57,say,882.0476756281291,mynameisearl
58,at,873.1276219108711,mynameisearl
59,come,864.1799038030276,mynameisearl
60,no,861.3769566609845,mynameisearl
61,look,848.5765681524757,mynameisearl
62,right,819.1369966370705,mynameisearl
63,back,819.0732384517489,mynameisearl
64,tell,750.505891206721,mynameisearl
65,now,748.0171614083122,mynameisearl
66,guy,739.9267583510687,mynameisearl
67,who,699.0345377188153,mynameisearl
68,from,679.7221454683346,mynameisearl
69,some,670.4806846485426,mynameisearl
70,time,666.1533998363301,mynameisearl
71,ve,655.0562974179414,mynameisearl
72,off,644.1597585469311,mynameisearl
73,catalina,629.596088741677,mynameisearl
74,little,627.7483454589935,mynameisearl
75,give,624.7111008491482,mynameisearl
76,something,621.9181069310068,mynameisearl
77,need,612.5424570777756,mynameisearl
78,let,606.7825462525755,mynameisearl
79,try,604.119318002391,mynameisearl
80,people,590.026852045709,mynameisearl
81,find,585.4704538108851,mynameisearl
82,camden,572.8266511724839,mynameisearl
83,even,570.1717859480926,mynameisearl
84,then,551.6007330317724,mynameisearl
85,her,538.5549331890202,mynameisearl
86,list,534.4120416341817,mynameisearl
87,too,507.53147738050154,mynameisearl
88,oh,506.01197871984687,mynameisearl
89,why,491.5821260996275,mynameisearl
90,our,487.50877225228635,mynameisearl
91,really,471.4687799225009,mynameisearl
92,man,470.02650643078596,mynameisearl
93,never,456.87216302980676,mynameisearl
94,as,456.0,mynameisearl
95,help,454.08759804104125,mynameisearl
96,day,453.2560644548611,mynameisearl
97,only,451.0156020256009,mynameisearl
98,work,449.53216372502453,mynameisearl
99,yeah,446.2987645883125,mynameisearl
100,feel,445.59358573537634,mynameisearl
101,mean,442.7011933509585,mynameisearl
102,put,435.4560013027972,mynameisearl
103,more,431.72302883512555,mynameisearl
104,talk,426.8240127972107,mynameisearl
105,two,425.69165067650175,mynameisearl
106,where,425.3048148533544,mynameisearl
107,kid,417.20970164537357,mynameisearl
108,hey,415.6944652349156,mynameisearl
109,use,413.41373735194156,mynameisearl
110,sorry,409.2633927507968,mynameisearl
111,god,404.2157103416256,mynameisearl
112,down,402.22733144208667,mynameisearl
113,those,399.361859055213,mynameisearl
114,by,398.01957404589933,mynameisearl
115,love,396.69514272803866,mynameisearl
116,year,387.0715328149757,mynameisearl
117,should,385.88449937476713,mynameisearl
118,hickey,382.2806989299053,mynameisearl
119,or,378.8266656160252,mynameisearl
120,still,378.15121074699414,mynameisearl
121,happen,377.80973380544503,mynameisearl
122,their,377.708980320217,mynameisearl
123,life,372.82274846706594,mynameisearl
124,because,371.0957957332389,mynameisearl
125,an,371.0,mynameisearl
126,wait,369.71582297479296,mynameisearl
127,again,368.20460523109057,mynameisearl
128,chubby,365.88927457090597,mynameisearl
129,bad,365.32039701408877,mynameisearl
130,way,364.20011325966703,mynameisearl
131,into,362.63940121333155,mynameisearl
132,leave,356.37929734424466,mynameisearl
133,keep,356.3573662175579,mynameisearl
134,start,356.0800750306668,mynameisearl
135,steal,353.0658290613705,mynameisearl
136,billie,348.8985386571953,mynameisearl
137,over,347.24553250421934,mynameisearl
138,turn,346.8092381124837,mynameisearl
139,karma,342.97764564079375,mynameisearl
140,okay,330.71003095639935,mynameisearl
141,other,326.1506962302239,mynameisearl
142,call,319.68636325785275,mynameisearl
143,while,317.21013931654585,mynameisearl
144,after,313.0515919064309,mynameisearl
145,thank,309.24649644436573,mynameisearl
146,first,308.6630181881164,mynameisearl
147,cause,308.0,mynameisearl
148,maybe,307.3995164510857,mynameisearl
149,brother,307.3317834883376,mynameisearl
150,stuff,304.1293088292656,mynameisearl
151,always,303.14657732816033,mynameisearl
152,name,296.8955786856565,mynameisearl
153,damn,294.81837465430976,mynameisearl
154,crab,292.415800287343,mynameisearl
155,before,289.3489729573757,mynameisearl
156,than,286.3762210801966,mynameisearl
157,friend,281.32656363973126,mynameisearl
158,kill,274.4486445013737,mynameisearl
159,baby,273.5147994835865,mynameisearl
160,big,273.136119403409,mynameisearl
161,kind,271.6938731756785,mynameisearl
162,great,271.15235846135954,mynameisearl
163,jarick,270.1930246145117,mynameisearl
164,ernie,266.5698532377711,mynameisearl
165,hear,264.90288219510376,mynameisearl
166,real,264.61765813986466,mynameisearl
167,ever,264.1025149961813,mynameisearl
168,crazy,262.90309908492736,mynameisearl
169,live,259.92874334651776,mynameisearl
170,nice,258.9882704525363,mynameisearl
171,since,257.43987608517864,mynameisearl
172,much,255.9464886922923,mynameisearl
173,night,255.8392489423821,mynameisearl
174,remember,254.55664096017475,mynameisearl
175,hell,252.9745467209332,mynameisearl
176,got,246.01661848728116,mynameisearl
177,own,244.3874225568104,mynameisearl
178,around,239.5685044915906,mynameisearl
179,hand,235.07314140535613,mynameisearl
180,next,232.7905148775077,mynameisearl
181,any,229.493452624503,mynameisearl
182,every,228.62049206927423,mynameisearl
183,pretty,228.19325497867024,mynameisearl
184,eat,226.23822634614126,mynameisearl
185,trailer,226.05611868108164,mynameisearl
186,anything,225.467105971767,mynameisearl
187,everything,224.328039846154,mynameisearl
188,guess,218.19891005488464,mynameisearl
189,show,216.78199650511206,mynameisearl
190,someone,216.37314481614854,mynameisearl
191,lot,214.50008075242667,mynameisearl
192,dad,213.5446321509037,mynameisearl
193,away,213.22328339654206,mynameisearl
194,sure,211.64025663720327,mynameisearl
195,bring,211.2765449948409,mynameisearl
196,money,209.96791537971282,mynameisearl
197,these,207.92275223387736,mynameisearl
198,old,205.14647095868042,mynameisearl
199,move,204.38797636375378,mynameisearl
200,wife,203.9239741071728,mynameisearl
201,stop,200.5155191985235,mynameisearl
202,watch,198.56880298006644,mynameisearl
203,last,197.341982341594,mynameisearl
204,realize,197.33522740028877,mynameisearl
205,mr,197.20064543891363,mynameisearl
206,which,195.31357670170468,mynameisearl
207,mom,194.87994256810308,mynameisearl
208,uh,192.93115280002834,mynameisearl
209,woman,192.66206722833294,mynameisearl
210,might,192.05835042334294,mynameisearl
211,head,191.8276011446921,mynameisearl
212,together,188.03693825465348,mynameisearl
213,care,186.8896409496526,mynameisearl
214,us,185.85340370528874,mynameisearl
215,car,185.37924587425732,mynameisearl
216,lose,183.85897808711346,mynameisearl
217,ask,181.49652301101335,mynameisearl
218,new,179.78214639404584,mynameisearl
219,run,179.06202319426777,mynameisearl
220,stay,178.99831644515288,mynameisearl
221,break,178.97148293548938,mynameisearl
222,everybody,177.4077858735305,mynameisearl
223,another,173.41671165411904,mynameisearl
224,buy,173.32100395646322,mynameisearl
225,believe,173.32100395646322,mynameisearl
226,hope,173.1799107582068,mynameisearl
227,enough,172.47835673726837,mynameisearl
228,walk,171.90783083494424,mynameisearl
229,please,171.0515357844278,mynameisearl
230,cross,170.43319955444179,mynameisearl
231,girl,169.02661234025948,mynameisearl
232,sleep,168.5745613968842,mynameisearl
233,lady,168.52340029897667,mynameisearl
234,bitch,168.12658526731929,mynameisearl
235,finally,166.67581720899386,mynameisearl
236,once,166.61500421612263,mynameisearl
237,nothing,166.4534414324688,mynameisearl
238,home,165.12516487187258,mynameisearl
239,dead,163.08199184996582,mynameisearl
240,hard,162.5727193285089,mynameisearl
241,long,162.0,mynameisearl
242,whole,160.5472013303659,mynameisearl
243,eye,160.2893917303526,mynameisearl
244,throw,159.16017491291535,mynameisearl
245,actually,159.16017491291535,mynameisearl
246,pick,159.09318155979298,mynameisearl
247,few,158.9751541451558,mynameisearl
248,die,158.35817574327027,mynameisearl
249,buddy,156.79724113572547,mynameisearl
250,through,156.42063886783214,mynameisearl
251,wear,155.84433793556295,mynameisearl
252,stupid,155.62830879473148,mynameisearl
253,also,155.33486203645288,mynameisearl
254,mind,154.87191967112093,mynameisearl
255,world,154.60921149043367,mynameisearl
256,turtle,153.90890362042848,mynameisearl
257,else,152.2967471051753,mynameisearl
258,hit,151.29582587139922,mynameisearl
259,wrong,151.14300557010375,mynameisearl
260,learn,149.21266398085814,mynameisearl
261,without,149.0563907837886,mynameisearl
262,same,148.11279566545937,mynameisearl
263,shack,147.04621312264536,mynameisearl
264,house,144.35336285203806,mynameisearl
265,stick,144.12675700354563,mynameisearl
266,already,143.2450859902296,mynameisearl
267,seem,142.91063843945093,mynameisearl
268,hate,141.67683668858524,mynameisearl
269,cop,141.22633162454818,mynameisearl
270,hold,140.35510471023375,mynameisearl
271,everyone,139.97472996955503,mynameisearl
272,boy,139.69929281068303,mynameisearl
273,hour,138.7061115969312,mynameisearl
274,anyway,138.6214717381731,mynameisearl
275,prison,136.99687706811517,mynameisearl
276,idea,136.97121612224248,mynameisearl
277,probably,136.58252385114918,mynameisearl
278,most,136.34003437326928,mynameisearl
279,listen,136.09496549824175,mynameisearl
280,both,135.94931607144852,mynameisearl
281,three,135.4140903535829,mynameisearl
282,truck,135.1171602292912,mynameisearl
283,sometimes,134.5012682138554,mynameisearl
284,hot,133.61607811122286,mynameisearl
285,drive,133.34536259041045,mynameisearl
286,anymore,133.25124278160894,mynameisearl
287,frank,133.0996504294985,mynameisearl
288,chaz,132.26308457054333,mynameisearl
289,very,132.24944037845003,mynameisearl
290,fall,131.21105990156678,mynameisearl
291,sell,130.97556060541993,mynameisearl
292,month,130.37019365851995,mynameisearl
293,until,130.37019365851995,mynameisearl
294,fine,129.3755520127656,mynameisearl
295,inside,129.1732010618924,mynameisearl
296,miss,128.43964951716035,mynameisearl
297,somebody,128.2543211772986,mynameisearl
298,dream,128.13388132749387,mynameisearl
299,win,126.37389653408164,mynameisearl
300,sweet,126.35181350537891,mynameisearl
301,fight,126.13208313598263,mynameisearl
302,decide,125.75947800684557,mynameisearl
303,cat,125.72986453794884,mynameisearl
304,room,125.59988017878393,mynameisearl
305,dodge,125.58988266569415,mynameisearl
306,hurt,124.65954181001719,mynameisearl
307,problem,124.56520275619238,mynameisearl
308,drink,124.2678896291623,mynameisearl
309,place,124.0,mynameisearl
310,person,123.25739957298828,mynameisearl
311,today,122.89553152490687,mynameisearl
312,worry,122.68596816203892,mynameisearl
313,half,122.4308187593808,mynameisearl
314,yes,121.62736588112611,mynameisearl
315,play,121.43728859021591,mynameisearl
316,school,121.09621643688722,mynameisearl
317,send,121.05114139246987,mynameisearl
318,bag,120.914404456083,mynameisearl
319,warden,120.86974818716703,mynameisearl
320,tv,120.66835686278131,mynameisearl
321,loky,120.50636791621818,mynameisearl
322,crap,120.49673177539756,mynameisearl
323,son,120.4790425523445,mynameisearl
324,estrada,120.47826389501228,mynameisearl
325,cut,119.32342545008191,mynameisearl
326,though,118.81840434700553,mynameisearl
327,raynard,118.20064729427355,mynameisearl
328,happy,117.29999884346695,mynameisearl
329,spend,116.59483743390783,mynameisearl
330,save,116.1214598444927,mynameisearl
331,check,115.47250741591442,mynameisearl
332,each,114.98557115817891,mynameisearl
333,meet,114.55048843207864,mynameisearl
334,face,114.45509042472727,mynameisearl
335,sound,114.11299748897436,mynameisearl
336,easy,113.01306347019766,mynameisearl
337,number,112.7384572299817,mynameisearl
338,catch,112.64005877007091,mynameisearl
339,free,111.6714925401427,mynameisearl
340,kenny,111.55271310322674,mynameisearl
341,marry,111.48528812390019,mynameisearl
342,word,111.44343758866714,mynameisearl
343,sit,111.36853042007645,mynameisearl
344,week,110.850212198713,mynameisearl
345,side,110.71762781855347,mynameisearl
346,forget,110.05761810854268,mynameisearl
347,myself,109.05008032511844,mynameisearl
348,morning,108.89477476890482,mynameisearl
349,wish,108.55193676645474,mynameisearl
350,high,108.3230604664371,mynameisearl
351,picture,108.10694605953958,mynameisearl
352,yourself,107.916851520062,mynameisearl
353,story,107.78460653145488,mynameisearl
354,write,107.42579653218506,mynameisearl
355,father,106.44467152411832,mynameisearl
356,figure,106.39158692126571,mynameisearl
357,dummy,105.7979551156266,mynameisearl
358,fix,105.4256285383665,mynameisearl
359,ass,104.72860399517897,mynameisearl
360,suppose,104.40988908044861,mynameisearl
361,ago,103.96610380362984,mynameisearl
362,reason,103.26971315574693,mynameisearl
363,cool,103.2118620151103,mynameisearl
364,fun,103.12754039789748,mynameisearl
365,belcher,103.10997235880981,mynameisearl
366,jamal,103.03231457320403,mynameisearl
367,funny,102.55721701306476,mynameisearl
368,job,102.323272798812,mynameisearl
369,part,102.0,mynameisearl
370,pay,101.96892621155648,mynameisearl
371,end,101.50970860767865,mynameisearl
372,become,101.35026193081836,mynameisearl
373,must,101.1165765711259,mynameisearl
374,movie,101.08284644180262,mynameisearl
375,milly,101.04628584742966,mynameisearl
376,dog,101.0344006720026,mynameisearl
377,pull,98.94381706487493,mynameisearl
378,silverware,98.02069203330905,mynameisearl
379,town,97.52909540349161,mynameisearl
380,open,96.7512544678705,mynameisearl
381,them,95.89195523847476,mynameisearl
382,change,95.51007263535783,mynameisearl
383,outside,95.3850924870935,mynameisearl
384,soon,95.27375895963397,mynameisearl
385,shoot,95.26402154996191,mynameisearl
386,matter,94.89401801290278,mynameisearl
387,bed,94.75092125279546,mynameisearl
388,ready,94.50135385454348,mynameisearl
389,kick,93.63110794308855,mynameisearl
390,nobody,92.77394893330973,mynameisearl
391,door,92.60792701030086,mynameisearl
392,freak,92.55546063907349,mynameisearl
393,family,92.40387634716721,mynameisearl
394,screw,92.11194340653611,mynameisearl
395,black,90.91891801633668,mynameisearl
396,close,90.49038613901158,mynameisearl
397,food,90.02584905225982,mynameisearl
398,pant,89.90325602097217,mynameisearl
399,item,89.73413018890645,mynameisearl
400,later,89.10709019167922,mynameisearl
401,huh,88.93788813321743,mynameisearl
402,mess,88.70389293676526,mynameisearl
403,beer,88.69338892525886,mynameisearl
404,gun,88.63795859132479,mynameisearl
405,mustache,88.25802002027021,mynameisearl
406,blow,87.86967989983869,mynameisearl
407,turner,87.68555162305523,mynameisearl
408,america,87.50606529682508,mynameisearl
409,many,87.46354764432351,mynameisearl
410,least,87.01797911103266,mynameisearl
411,unfortunately,86.82127465324554,mynameisearl
412,grow,86.55409929330362,mynameisearl
413,plan,86.02205640217817,mynameisearl
414,child,85.91286632405898,mynameisearl
415,five,84.38084867908134,mynameisearl
416,lie,83.7548173005446,mynameisearl
417,nork,83.57225545386062,mynameisearl
418,fire,83.25970114086617,mynameisearl
419,shut,83.00827009822449,mynameisearl
420,understand,82.89592443381008,mynameisearl
421,husband,81.99771108539616,mynameisearl
422,dude,81.90395729535255,mynameisearl
423,teach,81.84822592928386,mynameisearl
424,heart,81.63262934947167,mynameisearl
425,cry,81.61638620373547,mynameisearl
426,nathanville,81.40260975695512,mynameisearl
427,sign,81.38065695904362,mynameisearl
428,alone,80.89326125690073,mynameisearl
429,johnny,80.63985155887521,mynameisearl
430,yet,80.324288410184,mynameisearl
431,zeke,80.16545749862105,mynameisearl
432,party,79.08028899664882,mynameisearl
433,burn,79.02710461639087,mynameisearl
434,anyone,79.02710461639087,mynameisearl
435,may,78.8177110960416,mynameisearl
436,pill,78.60268873691894,mynameisearl
437,shot,78.54747457726447,mynameisearl
438,act,78.31507269048969,mynameisearl
439,bet,78.12543068068187,mynameisearl
440,sex,78.07291058771618,mynameisearl
441,birthday,78.0684032841562,mynameisearl
442,stand,77.97087636424425,mynameisearl
443,smell,77.92216896778147,mynameisearl
444,phone,77.25795938892716,mynameisearl
445,drunk,77.20980584530925,mynameisearl
446,smart,76.497817541501,mynameisearl
447,suck,76.47029263938848,mynameisearl
448,witness,76.37126408232673,mynameisearl
449,read,76.26425047910527,mynameisearl
450,promise,76.26425047910527,mynameisearl
451,set,75.88024513122615,mynameisearl
452,body,75.5834189328394,mynameisearl
453,ride,74.83668308645484,mynameisearl
454,snap,74.82387550691406,mynameisearl
455,letter,74.73233144303875,mynameisearl
456,mad,74.43909427655655,mynameisearl
457,weird,74.37548292200684,mynameisearl
458,finger,74.37548292200684,mynameisearl
459,fault,74.32352541593346,mynameisearl
460,anybody,74.32352541593346,mynameisearl
461,glen,74.15567921536359,mynameisearl
462,awesome,74.118724908053,mynameisearl
463,front,74.10318677912728,mynameisearl
464,space,74.10139111062686,mynameisearl
465,foot,73.6111700126476,mynameisearl
466,fly,73.32236906165012,mynameisearl
467,ice,73.03231839294358,mynameisearl
468,hair,72.76896401663761,mynameisearl
469,minute,72.5760030720295,mynameisearl
470,perfect,71.91896642885607,mynameisearl
471,shirt,71.88756929481582,mynameisearl
472,mother,71.87998220810633,mynameisearl
473,water,71.76072085148873,mynameisearl
474,christmas,71.59950728683043,mynameisearl
475,park,71.58928314499876,mynameisearl
476,scared,71.29049501307667,mynameisearl
477,true,71.24108304871562,mynameisearl
478,liberty,71.17393036023533,mynameisearl
479,follow,70.96099148501719,mynameisearl
480,enjoy,70.94518335157285,mynameisearl
481,wake,70.63399371145276,mynameisearl
482,prom,70.3231248871584,mynameisearl
483,hello,70.13738931181008,mynameisearl
484,chance,70.0,mynameisearl
485,sister,69.98930512657094,mynameisearl
486,explain,69.91202631459663,mynameisearl
