,mots,poids,serie
0,etre,19098.01251142915,mynameisearl
1,le,18638.20571060715,mynameisearl
2,je,16050.678530812103,mynameisearl
3,avoir,14695.442140296256,mynameisearl
4,de,12872.615708178439,mynameisearl
5,ce,10591.834777050768,mynameisearl
6,un,9356.96287750204,mynameisearl
7,que,9279.772162362935,mynameisearl
8,pas,6983.931309980464,mynameisearl
9,et,5290.181453408534,mynameisearl
10,il,5247.369595495316,mynameisearl
11,faire,4100.67092471488,mynameisearl
12,ne,4055.51854755676,mynameisearl
13,mon,3924.6396656297825,mynameisearl
14,aller,3675.247153943599,mynameisearl
15,cela,3628.3393771232973,mynameisearl
16,tu,3469.6994081175567,mynameisearl
17,me,3451.385020486805,mynameisearl
18,te,3439.937179363009,mynameisearl
19,pouvoir,3164.1423347309487,mynameisearl
20,mais,3007.0506662468656,mynameisearl
21,en,2990.4756415035254,mynameisearl
22,vous,2913.9172201477872,mynameisearl
23,pour,2873.292461502304,mynameisearl
24,on,2698.0,mynameisearl
25,dans,2486.992876668373,mynameisearl
26,earl,2407.087997328114,mynameisearl
27,tout,2342.4410576907503,mynameisearl
28,randy,2329.913238456716,mynameisearl
29,se,2264.620310547889,mynameisearl
30,lui,2252.0745436837615,mynameisearl
31,qui,2126.9589227686274,mynameisearl
32,devoir,2062.4778302921536,mynameisearl
33,avec,1932.2094601640738,mynameisearl
34,moi,1890.4796746214538,mynameisearl
35,vouloir,1861.4664774626972,mynameisearl
36,dire,1765.687909588463,mynameisearl
37,si,1737.7457826992306,mynameisearl
38,sur,1713.294129263764,mynameisearl
39,savoir,1648.3213350839842,mynameisearl
40,son,1637.5109866906157,mynameisearl
41,bien,1583.22090378597,mynameisearl
42,comme,1502.721804452225,mynameisearl
43,voir,1452.4385463195374,mynameisearl
44,quand,1360.8283169071813,mynameisearl
45,joy,1352.1449705554214,mynameisearl
46,plus,1292.2546397197993,mynameisearl
47,au,1289.308615295234,mynameisearl
48,nous,1281.7558016876126,mynameisearl
49,taire,1171.8422993132153,mynameisearl
50,ou,1154.6060057300804,mynameisearl
51,quelque,1134.580573793849,mynameisearl
52,darnell,1131.3529610162593,mynameisearl
53,luire,1103.0286840137398,mynameisearl
54,ton,1009.8078944075136,mynameisearl
55,quoi,1009.1201462921408,mynameisearl
56,chose,1003.9077527866892,mynameisearl
57,toi,990.2580047849794,mynameisearl
58,meme,956.5357293823677,mynameisearl
59,liste,948.0752836808714,mynameisearl
60,bon,887.442394768888,mynameisearl
61,aimer,859.1268507160015,mynameisearl
62,catalina,835.5750560460529,mynameisearl
63,non,807.9186072449811,mynameisearl
64,juste,798.3350364308874,mynameisearl
65,alors,791.5289253753548,mynameisearl
66,prendre,775.0635580823418,mynameisearl
67,aussi,754.5351622508606,mynameisearl
68,penser,739.8569120949741,mynameisearl
69,la,738.4374604274058,mynameisearl
70,trouver,726.3435438375316,mynameisearl
71,croire,721.2760307409907,mynameisearl
72,pourquoi,712.8941488816079,mynameisearl
73,autre,704.5659462077573,mynameisearl
74,passer,699.769333048346,mynameisearl
75,petit,698.4604377864135,mynameisearl
76,parce,689.318999596009,mynameisearl
77,votre,673.4869167836193,mynameisearl
78,jamais,666.7032688359755,mynameisearl
79,peu,666.0222247344423,mynameisearl
80,parler,654.012416689872,mynameisearl
81,truc,643.9248215738328,mynameisearl
82,notre,630.0276863764325,mynameisearl
83,fois,628.3511072082804,mynameisearl
84,deux,618.0636751114173,mynameisearl
85,ici,610.1140038328422,mynameisearl
86,par,606.8574664828884,mynameisearl
87,mettre,587.8315191987465,mynameisearl
88,essayer,581.0748350700253,mynameisearl
89,rien,576.9556340593181,mynameisearl
90,venir,573.9839775977731,mynameisearl
91,karma,572.2407777536238,mynameisearl
92,toujours,570.9398088769434,mynameisearl
93,femme,570.1717859480926,mynameisearl
94,arriver,559.1156116516813,mynameisearl
95,vie,551.6948801977285,mynameisearl
96,oui,541.8621843806258,mynameisearl
97,hickey,532.5790933809792,mynameisearl
98,donc,520.4344519909838,mynameisearl
99,oh,515.0479069112727,mynameisearl
100,vraiment,506.35472257011395,mynameisearl
101,temps,501.3578009658036,mynameisearl
102,veux,498.02651989626344,mynameisearl
103,maintenant,496.7269403951203,mynameisearl
104,monde,495.97342653859187,mynameisearl
105,jour,494.43215268211475,mynameisearl
106,voler,493.2379413966493,mynameisearl
107,gens,489.8595993322887,mynameisearl
108,encore,487.5337923680255,mynameisearl
109,voiture,487.16522611478325,mynameisearl
110,camden,485.8529711515309,mynameisearl
111,falloir,478.0354021070266,mynameisearl
112,fait,468.1555397154427,mynameisearl
113,apres,458.29963361617024,mynameisearl
114,dieu,456.6569825996248,mynameisearl
115,appeler,454.3870076565023,mynameisearl
116,seul,450.57924851641565,mynameisearl
117,nouveau,436.9451704010799,mynameisearl
118,avant,434.93761370206806,mynameisearl
119,besoin,425.0493595038903,mynameisearl
120,trop,424.1156932941725,mynameisearl
121,fai,416.41013369252795,mynameisearl
122,comment,413.1162683644892,mynameisearl
123,laisser,406.86633634691265,mynameisearl
124,tres,401.59033538007225,mynameisearl
125,aider,400.1412729362199,mynameisearl
126,sans,398.76521909931375,mynameisearl
127,mal,397.7963498952495,mynameisearl
128,mec,395.9293357116613,mynameisearl
129,argent,391.580905999647,mynameisearl
130,ca,391.09699626063673,mynameisearl
131,celui,385.0098802621611,mynameisearl
132,merci,382.46985663724035,mynameisearl
133,sortir,379.96608270414157,mynameisearl
134,enfant,376.34749692949777,mynameisearl
135,frere,366.2632536438468,mynameisearl
136,as,365.0,mynameisearl
137,pere,364.8061431962523,mynameisearl
138,pendant,360.59707206515895,mynameisearl
139,chubby,353.8929049128435,mynameisearl
140,rendre,351.3845632086973,mynameisearl
141,personne,348.07191644413064,mynameisearl
142,donner,345.09794822768447,mynameisearl
143,ouai,334.08737383307647,mynameisearl
144,sai,333.45815635871884,mynameisearl
145,depuis,332.76669333952026,mynameisearl
146,desole,331.4624664192522,mynameisearl
147,vrai,331.20937297661897,mynameisearl
148,devenir,329.38835127515966,mynameisearl
149,heure,326.4655448149419,mynameisearl
150,arreter,317.5641540498975,mynameisearl
151,crab,315.62340348475124,mynameisearl
152,homme,313.140420536781,mynameisearl
153,ami,310.60853060446226,mynameisearl
154,gars,310.5764739347954,mynameisearl
155,mieux,309.8091394672408,mynameisearl
156,commencer,304.3091193338479,mynameisearl
157,deja,304.0111713704462,mynameisearl
158,rayer,300.676585041827,mynameisearl
159,regarder,295.60493063155354,mynameisearl
160,finir,290.53741753501265,mynameisearl
161,probleme,290.13573551833525,mynameisearl
162,sentir,288.8482465028323,mynameisearl
163,fille,288.15581251522934,mynameisearl
164,tuer,284.1339291017696,mynameisearl
165,mere,281.00439283379995,mynameisearl
166,allez,280.5434547082075,mynameisearl
167,entrer,278.71322030975045,mynameisearl
168,connaitre,274.0463339857304,mynameisearl
