,mots,poids,serie
0,be,9558.87070272321,ncislosangeles
1,you,4050.774525098949,ncislosangeles
2,the,3744.489513977167,ncislosangeles
3,to,3188.443969282378,ncislosangeles
4,not,2694.5432757074755,ncislosangeles
5,it,2279.4651526338275,ncislosangeles
6,he,2223.8818840550925,ncislosangeles
7,do,2075.907196080554,ncislosangeles
8,that,1786.5557253184584,ncislosangeles
9,we,1643.9612759624408,ncislosangeles
10,have,1635.898942786278,ncislosangeles
11,and,1572.9139901044873,ncislosangeles
12,get,1495.0150177393484,ncislosangeles
13,in,1474.3295215764665,ncislosangeles
14,of,1435.7704202965456,ncislosangeles
15,this,1273.440152214379,ncislosangeles
16,what,1233.1323322810613,ncislosangeles
17,they,1180.0429454826765,ncislosangeles
18,know,1043.0176870527346,ncislosangeles
19,go,992.8107750424339,ncislosangeles
20,callen,943.8748851259553,ncislosangeles
21,for,942.5933075215779,ncislosangeles
22,on,924.0,ncislosangeles
23,with,824.7710482550068,ncislosangeles
24,your,818.8970855741097,ncislosangeles
25,his,767.8394660768769,ncislosangeles
26,she,722.44817350813,ncislosangeles
27,just,696.9781654285208,ncislosangeles
28,hetty,639.0819534706989,ncislosangeles
29,so,628.4498958423743,ncislosangeles
30,there,621.744269771267,ncislosangeles
31,would,613.3335959651564,ncislosangeles
32,my,612.0115237711468,ncislosangeles
33,about,601.5546283444711,ncislosangeles
34,out,599.9251692920898,ncislosangeles
35,like,599.5862038260498,ncislosangeles
36,here,599.473613475412,ncislosangeles
37,guy,591.3587871860902,ncislosangeles
38,can,585.9128941587202,ncislosangeles
39,want,580.237693189452,ncislosangeles
40,think,575.0398576648506,ncislosangeles
41,no,565.917842239011,ncislosangeles
42,if,559.3262189168665,ncislosangeles
43,at,557.792605971953,ncislosangeles
44,all,534.1671604693321,ncislosangeles
45,right,533.3559922133164,ncislosangeles
46,will,531.6231178455242,ncislosangeles
47,from,514.3464482203686,ncislosangeles
48,up,512.977841025638,ncislosangeles
49,but,507.0240214615394,ncislosangeles
50,one,503.2127222362795,ncislosangeles
51,who,498.8960186208972,ncislosangeles
52,kensi,476.8534575896753,ncislosangeles
53,take,475.4147756411128,ncislosangeles
54,see,472.6231052510848,ncislosangeles
55,come,453.20183880223925,ncislosangeles
56,tell,452.51090499228764,ncislosangeles
57,how,429.829334160305,ncislosangeles
58,good,422.2168707344317,ncislosangeles
59,now,420.21813507687034,ncislosangeles
60,find,417.5204844871191,ncislosangeles
61,say,410.6888648427268,ncislosangeles
62,ve,403.1115676418101,ncislosangeles
63,look,391.45645257033846,ncislosangeles
64,could,390.83684450110024,ncislosangeles
65,why,381.1317116911669,ncislosangeles
66,need,375.02599412925036,ncislosangeles
67,where,374.0269293745812,ncislosangeles
68,make,367.88524247994934,ncislosangeles
69,well,360.96251934940346,ncislosangeles
70,back,357.77119055572393,ncislosangeles
71,work,325.9108187006428,ncislosangeles
72,our,323.98702105794575,ncislosangeles
73,an,317.0,ncislosangeles
74,eric,312.3487600105692,ncislosangeles
75,let,308.53349809452993,ncislosangeles
76,ncis,307.08151799012757,ncislosangeles
77,dom,304.3762671081011,ncislosangeles
78,some,301.79409007382196,ncislosangeles
79,call,300.3949447853961,ncislosangeles
80,time,299.40829703835055,ncislosangeles
81,maybe,295.95378977471546,ncislosangeles
82,kill,291.4089539930316,ncislosangeles
83,when,276.06846794868477,ncislosangeles
84,yeah,269.41205911123745,ncislosangeles
85,try,263.70287690580557,ncislosangeles
86,thing,259.418439547665,ncislosangeles
87,okay,257.67823245352787,ncislosangeles
88,off,257.3763320979926,ncislosangeles
89,undercovers,255.0615105717927,ncislosangeles
90,name,253.142546037244,ncislosangeles
91,something,251.57993772837213,ncislosangeles
92,leave,245.0107669241682,ncislosangeles
93,two,244.29727031950443,ncislosangeles
94,keelson,244.20782927086535,ncislosangeles
95,or,243.9900558204908,ncislosangeles
96,down,242.45759003303482,ncislosangeles
97,as,234.0,ncislosangeles
98,zuna,233.354147969938,ncislosangeles
99,her,230.44549150641288,ncislosangeles
100,man,229.44421877900925,ncislosangeles
101,then,228.14081309529396,ncislosangeles
102,by,223.96208447842656,ncislosangeles
103,any,222.9830000677795,ncislosangeles
104,over,216.33947858397792,ncislosangeles
105,holgate,211.6467853680833,ncislosangeles
106,more,210.55965265993842,ncislosangeles
107,give,210.3298681250901,ncislosangeles
108,still,209.38951338883146,ncislosangeles
109,never,207.52837235930204,ncislosangeles
110,use,206.70686867597078,ncislosangeles
111,into,206.54678938672362,ncislosangeles
112,phone,204.97009633797,ncislosangeles
113,only,197.97054478351458,ncislosangeles
114,thank,196.94118984088556,ncislosangeles
115,too,196.7059867954015,ncislosangeles
116,sam,196.3894743641618,ncislosangeles
117,their,196.21245730920361,ncislosangeles
118,last,195.84696732385464,ncislosangeles
119,talk,194.14564470984237,ncislosangeles
120,even,193.2248830157425,ncislosangeles
121,mean,191.78391047694953,ncislosangeles
122,way,189.43294481626978,ncislosangeles
123,lapd,183.58302217992343,ncislosangeles
124,day,181.03813653153344,ncislosangeles
125,keep,175.80296733399524,ncislosangeles
126,anything,173.4362353628977,ncislosangeles
127,help,171.85954231414408,ncislosangeles
128,before,169.56472071158038,ncislosangeles
129,run,168.95368317523653,ncislosangeles
130,friend,168.2005380491515,ncislosangeles
131,aubrey,165.12602554324812,ncislosangeles
132,sorry,165.02556159306323,ncislosangeles
133,safar,164.4530744963806,ncislosangeles
134,money,164.32271638412308,ncislosangeles
135,move,163.510381091003,ncislosangeles
136,dead,163.08199184996582,ncislosangeles
137,year,162.89260339296894,ncislosangeles
138,should,161.875277280093,ncislosangeles
139,agent,161.36613172277018,ncislosangeles
140,hear,160.5472013303659,ncislosangeles
141,other,157.50692159410812,ncislosangeles
142,valdivia,157.37837886344656,ncislosangeles
143,ask,156.96996584736291,ncislosangeles
144,mr,156.31758479913884,ncislosangeles
145,someone,154.32496358210594,ncislosangeles
146,wait,154.18641944688673,ncislosangeles
147,after,153.60008014100578,ncislosangeles
148,because,152.995635083002,ncislosangeles
149,than,152.73398457610486,ncislosangeles
150,turn,151.82892912758504,ncislosangeles
151,happen,151.123893522178,ncislosangeles
152,really,150.23072987361044,ncislosangeles
153,nate,148.11713716187725,ncislosangeles
154,three,147.5861434190735,ncislosangeles
155,which,146.48518252627852,ncislosangeles
156,shoot,145.8730329983792,ncislosangeles
157,us,144.69124046854694,ncislosangeles
158,those,141.92198297003438,ncislosangeles
159,keshwar,141.09785691205553,ncislosangeles
160,little,140.50219641689998,ncislosangeles
161,people,140.1488959728525,ncislosangeles
162,first,137.5086431738528,ncislosangeles
163,ago,136.97121612224248,ncislosangeles
164,lot,135.7739872847807,ncislosangeles
165,every,134.01890914405732,ncislosangeles
166,start,131.42869722161953,ncislosangeles
167,might,130.2090511344698,ncislosangeles
168,through,130.0924125237416,ncislosangeles
169,car,130.07273053055624,ncislosangeles
170,moe,129.44509602972963,ncislosangeles
171,these,128.96474505645557,ncislosangeles
172,bad,127.30862320187941,ncislosangeles
173,olin,125.51862249207137,ncislosangeles
174,same,125.32621171692718,ncislosangeles
175,place,125.0,ncislosangeles
176,nothing,124.45117116446266,ncislosangeles
177,very,124.18545011147137,ncislosangeles
178,night,123.92213620646633,ncislosangeles
179,brother,123.80664263748196,ncislosangeles
180,else,123.13354021269492,ncislosangeles
181,put,123.12893829941162,ncislosangeles
182,around,122.89553152490687,ncislosangeles
183,stay,119.86494404809345,ncislosangeles
184,away,118.62422104455509,ncislosangeles
185,check,118.32368043852959,ncislosangeles
186,everything,117.73244644408082,ncislosangeles
187,mcguire,116.76995651629791,ncislosangeles
188,security,116.6685455401443,ncislosangeles
189,home,116.63602915552904,ncislosangeles
190,ever,114.55048843207864,ncislosangeles
191,case,113.97325763169138,ncislosangeles
192,mcellon,113.06834561404673,ncislosangeles
193,enough,111.7002691250881,ncislosangeles
194,house,110.71762781855347,ncislosangeles
195,hour,110.66976989116851,ncislosangeles
196,probably,108.26663476005726,ncislosangeles
197,guess,108.26663476005726,ncislosangeles
198,salerno,108.15233058734904,ncislosangeles
199,kalil,108.15233058734904,ncislosangeles
200,anyone,108.05746957751404,ncislosangeles
201,much,107.92924221964132,ncislosangeles
202,lose,106.44467152411832,ncislosangeles
203,head,106.24297909552178,ncislosangeles
204,send,105.91974871841114,ncislosangeles
205,month,105.61635941956047,ncislosangeles
206,vance,105.05420352293837,ncislosangeles
207,meet,105.00461439607209,ncislosangeles
208,old,103.27101259144457,ncislosangeles
209,team,103.1000027032192,ncislosangeles
210,hand,99.90608509727636,ncislosangeles
211,tedrow,99.40756286797831,ncislosangeles
212,tariq,99.01258954175618,ncislosangeles
213,already,98.2727915514366,ncislosangeles
214,hit,97.8074025835308,ncislosangeles
215,feel,97.1363179976772,ncislosangeles
216,drive,96.60735452978716,ncislosangeles
217,got,96.33180844381492,ncislosangeles
218,close,95.01490544596216,ncislosangeles
219,must,94.89401801290278,ncislosangeles
220,kid,94.75092125279546,ncislosangeles
221,address,94.67875419191901,ncislosangeles
222,pretty,94.0526253628303,ncislosangeles
223,xue,92.25629105788246,ncislosangeles
224,janklow,92.25629105788246,ncislosangeles
225,drug,91.67210685735726,ncislosangeles
226,weapon,91.64551689879207,ncislosangeles
227,believe,91.5658134109617,ncislosangeles
228,stop,91.5173395316338,ncislosangeles
229,hard,91.09678238235412,ncislosangeles
230,calvin,91.09612968710897,ncislosangeles
231,terrorist,91.08725272257207,ncislosangeles
232,ross,90.55221363992003,ncislosangeles
233,most,90.34580590999772,ncislosangeles
234,bring,90.31669099016099,ncislosangeles
235,sure,89.81806013383749,ncislosangeles
236,number,89.52759838851487,ncislosangeles
237,morning,88.67145945467965,ncislosangeles
238,mangold,88.48827048055831,ncislosangeles
239,clear,88.29560578914163,ncislosangeles
240,own,88.29481073020247,ncislosangeles
241,long,87.0,ncislosangeles
242,tokkan,86.82945040741879,ncislosangeles
243,akbari,86.82945040741879,ncislosangeles
244,darva,86.82945040741879,ncislosangeles
245,pay,86.81138312605484,ncislosangeles
246,kind,86.30275971462729,ncislosangeles
247,hanna,85.94433503916825,ncislosangeles
248,buy,85.02539816732157,ncislosangeles
249,door,84.75979760264825,ncislosangeles
250,watch,84.63588323740537,ncislosangeles
251,wyler,84.47421655158702,ncislosangeles
252,another,84.32188731805789,ncislosangeles
253,behind,84.16303641246225,ncislosangeles
254,next,83.68286482524786,ncislosangeles
255,flynn,82.99484749706198,ncislosangeles
256,gun,82.52499592985411,ncislosangeles
257,system,82.25270072318233,ncislosangeles
258,save,82.25270072318233,ncislosangeles
259,murder,82.13255082727066,ncislosangeles
260,least,81.99771108539616,ncislosangeles
261,cam,81.9704770949673,ncislosangeles
262,safe,81.7551905455015,ncislosangeles
263,yes,81.0849105874174,ncislosangeles
264,buddy,80.77433634264646,ncislosangeles
265,cop,80.70076092831326,ncislosangeles
266,job,79.94005687407187,ncislosangeles
267,die,79.93317442279356,ncislosangeles
268,pull,78.90456297578633,ncislosangeles
269,hell,78.77051754184747,ncislosangeles
270,perez,78.69244571516411,ncislosangeles
271,pargo,78.65624042716294,ncislosangeles
272,renko,78.65624042716294,ncislosangeles
273,nice,78.48129407652615,ncislosangeles
274,hope,78.07291058771618,ncislosangeles
275,bank,77.95797129405352,ncislosangeles
276,idea,77.56201394873972,ncislosangeles
277,big,77.52771948131696,ncislosangeles
278,family,77.25569989681193,ncislosangeles
279,card,77.20459777763442,ncislosangeles
280,deek,77.08737867017841,ncislosangeles
281,deal,77.01945104441532,ncislosangeles
282,raspen,75.97576910649144,ncislosangeles
283,love,75.56097956724545,ncislosangeles
284,live,75.09052585566069,ncislosangeles
285,director,74.91988980618724,ncislosangeles
286,life,74.83668308645484,ncislosangeles
287,both,74.60633199042907,ncislosangeles
288,again,74.55382502612991,ncislosangeles
289,girl,73.64730966254163,ncislosangeles
290,james,73.6385998609656,ncislosangeles
291,always,73.28818352988492,ncislosangeles
292,real,73.25573586922808,ncislosangeles
293,walk,72.78980224542684,ncislosangeles
294,few,71.95717503412317,ncislosangeles
295,room,71.17326543464424,ncislosangeles
296,body,71.13733546620179,ncislosangeles
297,either,70.94518335157285,ncislosangeles
298,walder,70.54892845602777,ncislosangeles
299,jaxson,70.54892845602777,ncislosangeles
300,abramson,70.54892845602777,ncislosangeles
301,five,70.31737389923444,ncislosangeles
302,stuff,70.30946386913129,ncislosangeles
303,marine,70.29907060691276,ncislosangeles
304,oh,70.27944148886762,ncislosangeles
305,undercover,70.23102716305449,ncislosangeles
306,footage,70.0245238962248,ncislosangeles
307,janson,69.98766910286207,ncislosangeles
308,camera,69.87077987696283,ncislosangeles
309,hide,69.31073586908656,ncislosangeles
310,drop,69.31073586908656,ncislosangeles
311,blood,69.07233124113334,ncislosangeles
312,seem,68.99134269490735,ncislosangeles
313,seal,68.9318999596009,ncislosangeles
314,botulinum,68.82421037376757,ncislosangeles
315,wendell,68.73362226433183,ncislosangeles
316,late,68.67436005822127,ncislosangeles
317,abby,67.88319186271406,ncislosangeles
318,new,67.4183048977672,ncislosangeles
319,show,67.316514704219,ncislosangeles
320,donnelly,67.06469264597807,ncislosangeles
321,gale,67.05821700808818,ncislosangeles
322,second,67.0,ncislosangeles
323,cell,66.90335666455145,ncislosangeles
324,open,66.42623441077676,ncislosangeles
325,week,66.08378034923275,ncislosangeles
326,traffic,65.41441198714404,ncislosangeles
