,mots,poids,serie
0,le,8035.52247529993,ncislosangeles
1,etre,7457.708481560648,ncislosangeles
2,avoir,5839.820074023112,ncislosangeles
3,de,5103.4586675785995,ncislosangeles
4,je,3963.1305014350874,ncislosangeles
5,un,3751.194371949749,ncislosangeles
6,ce,3472.079580718927,ncislosangeles
7,il,3263.2829201036134,ncislosangeles
8,que,2584.3398819629583,ncislosangeles
9,pas,2523.0352941338047,ncislosangeles
10,vous,2094.7268905372744,ncislosangeles
11,ne,1787.9167790303995,ncislosangeles
12,et,1695.9013613107386,ncislosangeles
13,cela,1413.8361539349162,ncislosangeles
14,en,1261.3626650330511,ncislosangeles
15,aller,1133.173184701732,ncislosangeles
16,pouvoir,1112.9979944696536,ncislosangeles
17,on,1108.0,ncislosangeles
18,faire,1036.9140228437468,ncislosangeles
19,pour,983.3959875778711,ncislosangeles
20,tu,945.2795051503749,ncislosangeles
21,qui,900.2917308383145,ncislosangeles
22,callen,870.13465972549,ncislosangeles
23,dans,862.6349637658624,ncislosangeles
24,lui,829.5387633554336,ncislosangeles
25,sur,821.3601128021726,ncislosangeles
26,savoir,799.8960387514156,ncislosangeles
27,mais,793.8872987397436,ncislosangeles
28,tout,789.0004611094664,ncislosangeles
29,se,776.4057564961222,ncislosangeles
30,son,761.0259521223094,ncislosangeles
31,dire,711.739018930203,ncislosangeles
32,te,707.9901310242153,ncislosangeles
33,me,705.993466424117,ncislosangeles
34,devoir,692.5601231939254,ncislosangeles
35,avec,682.7872584657775,ncislosangeles
36,ou,643.5732884010271,ncislosangeles
37,mon,632.9604110205679,ncislosangeles
38,vouloir,623.3041108745329,ncislosangeles
39,voir,576.3116250304587,ncislosangeles
40,hetty,555.5096980168382,ncislosangeles
41,au,539.3781001487118,ncislosangeles
42,moi,522.5472015633566,ncislosangeles
43,votre,515.7924191952598,ncislosangeles
44,si,505.85963206780013,ncislosangeles
45,quelque,485.2925758115283,ncislosangeles
46,bien,467.93970055241607,ncislosangeles
47,nous,452.29038887480596,ncislosangeles
48,quoi,429.6898687437503,ncislosangeles
49,luire,423.9819290772568,ncislosangeles
50,kensi,398.1972171625124,ncislosangeles
51,comme,386.91875520618186,ncislosangeles
52,plus,378.092433300251,ncislosangeles
53,pourquoi,351.4501528364936,ncislosangeles
54,bon,343.783990766326,ncislosangeles
55,trouver,337.8342064360612,ncislosangeles
56,la,335.6533911033663,ncislosangeles
57,par,333.3634064760261,ncislosangeles
58,parler,324.4843095659262,ncislosangeles
59,autre,323.13426374540165,ncislosangeles
60,quand,323.13426374540165,ncislosangeles
61,tuer,321.1217778605798,ncislosangeles
62,taire,319.4405120079066,ncislosangeles
63,rien,313.3465943598021,ncislosangeles
64,chose,311.8318851762141,ncislosangeles
65,non,310.9888582396563,ncislosangeles
66,meme,310.66972407290575,ncislosangeles
67,dom,289.1574537526961,ncislosangeles
68,venir,284.4818547860683,ncislosangeles
69,deux,280.6513626781436,ncislosangeles
70,croire,278.71322030975045,ncislosangeles
71,ici,278.53030609760185,ncislosangeles
72,notre,278.4213260501911,ncislosangeles
73,eric,277.25339371724687,ncislosangeles
74,appeler,271.95653618102926,ncislosangeles
75,prendre,262.27747301701805,ncislosangeles
76,heure,234.85531540258575,ncislosangeles
77,arriver,234.79477347306252,ncislosangeles
78,oui,231.78807320531016,ncislosangeles
79,keelson,227.92730731947432,ncislosangeles
80,passer,218.47258520053995,ncislosangeles
81,connaitre,213.52076328949548,ncislosangeles
82,penser,212.83555005471854,ncislosangeles
83,zuna,211.6467853680833,ncislosangeles
84,juste,209.66374694144517,ncislosangeles
85,temps,208.20506684626397,ncislosangeles
86,peu,205.83098905109648,ncislosangeles
87,homme,203.20814524195364,ncislosangeles
88,jamais,202.98144075946777,ncislosangeles
89,alors,202.48414370067215,ncislosangeles
90,holgate,200.79310406715595,ncislosangeles
91,tres,200.0138635356002,ncislosangeles
92,toi,198.37416056767503,ncislosangeles
93,ton,197.93576667788471,ncislosangeles
94,merci,195.54849813031836,ncislosangeles
95,avant,194.5773534982936,ncislosangeles
96,voiture,194.5218040670336,ncislosangeles
97,nci,184.61404532624542,ncislosangeles
98,personne,184.0764942733383,ncislosangeles
99,aussi,181.55481828994218,ncislosangeles
100,sam,180.4660034697703,ncislosangeles
101,falloir,179.05212941111242,ncislosangeles
102,nom,179.02058392692626,ncislosangeles
103,celui,178.21418038335844,ncislosangeles
104,donc,174.03595822206532,ncislosangeles
105,apres,170.83570572072296,ncislosangeles
106,seul,169.80785111999248,ncislosangeles
107,depuis,168.9171032180306,ncislosangeles
108,maintenant,168.3260728249245,ncislosangeles
109,vraiment,168.22969401178128,ncislosangeles
110,jour,167.94996932376597,ncislosangeles
111,agent,165.9116565600313,ncislosangeles
112,aimer,164.7640535619729,ncislosangeles
113,toujours,163.84959012148968,ncislosangeles
114,essayer,162.16041908930936,ncislosangeles
115,dernier,162.16041908930936,ncislosangeles
116,mort,162.15267334366956,ncislosangeles
117,argent,160.648576820368,ncislosangeles
118,trop,160.07479474527133,ncislosangeles
119,ami,159.24599792411516,ncislosangeles
120,ncis,157.58130528440756,ncislosangeles
121,encore,156.26083088718764,ncislosangeles
122,aubrey,153.8674328925721,ncislosangeles
123,arme,152.99519259326053,ncislosangeles
124,valdivia,151.95153821298288,ncislosangeles
125,safar,149.0355987623449,ncislosangeles
126,affaire,148.64705083186692,ncislosangeles
127,comment,146.0054756685455,ncislosangeles
128,gars,145.95397135733552,ncislosangeles
129,moins,145.26870876750633,ncislosangeles
130,sans,144.85756938709764,ncislosangeles
131,mec,142.87884723507779,ncislosangeles
132,gramme,142.53600943856347,ncislosangeles
133,frere,142.25403154917262,ncislosangeles
134,mourir,142.24092739303416,ncislosangeles
135,allez,141.92198297003438,ncislosangeles
136,sou,141.92198297003438,ncislosangeles
137,entrer,141.8903667031457,ncislosangeles
138,truc,141.22633162454818,ncislosangeles
139,keshwar,141.09785691205553,ncislosangeles
140,aider,139.545065771875,ncislosangeles
141,fois,139.26515304880093,ncislosangeles
142,nate,136.36180881569652,ncislosangeles
143,besoin,135.5472366921855,ncislosangeles
144,travailler,134.5012682138554,ncislosangeles
145,partir,134.5012682138554,ncislosangeles
146,marine,134.48517855235485,ncislosangeles
147,petit,133.04008338788827,ncislosangeles
148,sortir,131.13873650850903,ncislosangeles
149,arreter,130.06616947788356,ncislosangeles
150,quel,124.92304010775838,ncislosangeles
151,nouveau,121.55617522436057,ncislosangeles
152,donner,121.51336205200157,ncislosangeles
153,deja,116.81910751734738,ncislosangeles
154,mettre,116.55280122044111,ncislosangeles
155,perdre,116.0073438344503,ncislosangeles
156,beaucoup,115.61816770614101,ncislosangeles
157,fait,114.98557115817891,ncislosangeles
158,chez,113.93291974266107,ncislosangeles
159,salerno,113.06834561404673,ncislosangeles
160,tirer,112.64481212910391,ncislosangeles
161,securite,112.5413106527653,ncislosangeles
162,olin,112.53393740668467,ncislosangeles
163,fille,111.59791582959748,ncislosangeles
164,laisser,110.96354627643072,ncislosangeles
165,mcguire,109.90113554475097,ncislosangeles
166,deeks,108.87494980778577,ncislosangeles
167,undercover,107.5412603434272,ncislosangeles
168,maison,106.77231607545185,ncislosangeles
169,trois,106.77231607545185,ncislosangeles
170,aucun,106.41777502735927,ncislosangeles
171,vrai,105.91974871841114,ncislosangeles
172,moe,105.90962402432424,ncislosangeles
173,as,105.0,ncislosangeles
174,demander,104.72860399517897,ncislosangeles
175,mois,103.26971315574693,ncislosangeles
176,mcellon,103.23631556065136,ncislosangeles
177,kalil,103.23631556065136,ncislosangeles
178,dossier,101.56954007667197,ncislosangeles
179,type,100.3021455158201,ncislosangeles
180,sang,100.2017120092702,ncislosangeles
181,an,100.0,ncislosangeles
182,verifier,99.66109089863805,ncislosangeles
183,famille,99.19468530771837,ncislosangeles
184,envoyer,99.19468530771837,ncislosangeles
185,parce,99.19468530771837,ncislosangeles
186,voila,98.79561681364837,ncislosangeles
187,femme,96.61244150787125,ncislosangeles
188,probleme,96.15927234321968,ncislosangeles
189,camera,96.0723223308239,ncislosangeles
190,entendre,96.02917521167147,ncislosangeles
191,semaine,95.3850924870935,ncislosangeles
192,veux,94.94151048189637,ncislosangeles
193,equipe,94.67875419191901,ncislosangeles
194,tedrow,94.67386939807457,ncislosangeles
195,soir,93.27586994712625,ncislosangeles
196,vance,92.93256465490703,ncislosangeles
197,janklow,92.25629105788246,ncislosangeles
198,xue,92.25629105788246,ncislosangeles
199,akbari,92.25629105788246,ncislosangeles
200,travail,91.61022941235615,ncislosangeles
201,utiliser,91.21523573773652,ncislosangeles
202,premier,90.9689327279834,ncislosangeles
203,cote,90.36482446145699,ncislosangeles
204,police,90.23779639902477,ncislosangeles
205,vie,90.16619925669247,ncislosangeles
206,adresse,89.06280174703298,ncislosangeles
207,accord,88.04610478811176,ncislosangeles
208,assez,87.83689367337591,ncislosangeles
209,tariq,87.13107879674544,ncislosangeles
210,los,87.06021898105256,ncislosangeles
211,ross,86.2402034665905,ncislosangeles
212,attendre,86.1477226411956,ncislosangeles
213,reste,85.74455848633283,ncislosangeles
214,pere,85.3445564358205,ncislosangeles
215,terroriste,85.24015137837381,ncislosangeles
216,porte,84.55384292248628,ncislosangeles
217,wyler,84.47421655158702,ncislosangeles
218,rentrer,84.06329263365964,ncislosangeles
219,mangold,83.57225545386062,ncislosangeles
220,revenir,82.76938057683499,ncislosangeles
221,finir,82.76938057683499,ncislosangeles
222,appel,82.76938057683499,ncislosangeles
223,mieux,81.61638620373547,ncislosangeles
224,tokkan,81.40260975695512,ncislosangeles
225,flynn,80.13295620405984,ncislosangeles
226,telephone,79.82964991368107,ncislosangeles
227,endroit,79.76554248598569,ncislosangeles
228,chercher,79.39103851247438,ncislosangeles
229,tete,79.21226956467035,ncislosangeles
230,video,78.91031663298217,ncislosangeles
