,mots,poids,serie
0,be,37929.21935426227,niptuck
1,you,23894.783869350726,niptuck
2,to,13387.769263270775,niptuck
3,not,12428.832484106411,niptuck
4,the,10429.92133271586,niptuck
5,do,9769.387581554769,niptuck
6,it,8951.284310919762,niptuck
7,that,7914.999736616506,niptuck
8,have,7496.456795312803,niptuck
9,and,6750.924923382256,niptuck
10,we,6246.496986856443,niptuck
11,what,5260.41422672499,niptuck
12,of,5183.228301671602,niptuck
13,this,4823.726370323065,niptuck
14,my,4671.993752128776,niptuck
15,she,4508.018340741255,niptuck
16,your,4462.453889525582,niptuck
17,go,4264.14129817076,niptuck
18,in,4256.585684190295,niptuck
19,know,4147.2021638071565,niptuck
20,get,4126.241448960602,niptuck
21,for,3960.1240397050346,niptuck
22,just,3753.177738071301,niptuck
23,he,3683.9222599695963,niptuck
24,with,3562.2790497157375,niptuck
25,can,3477.0568473025687,niptuck
26,like,3180.5388078254723,niptuck
27,want,3020.9200534307975,niptuck
28,think,3018.959252740465,niptuck
29,will,2818.486458506437,niptuck
30,they,2776.660743350123,niptuck
31,would,2733.985746538769,niptuck
32,so,2689.43623548265,niptuck
33,about,2666.9407372850524,niptuck
34,on,2571.0,niptuck
35,well,2368.9141962497647,niptuck
36,all,2303.1300360700966,niptuck
37,here,2257.915843648506,niptuck
38,no,2237.5346011417923,niptuck
39,right,2183.8559108103987,niptuck
40,if,2093.519215277526,niptuck
41,how,1992.2966681605715,niptuck
42,sean,1985.8425205525216,niptuck
43,ve,1963.6868644316116,niptuck
44,at,1935.4562533850929,niptuck
45,come,1914.144412332439,niptuck
46,tell,1880.9948071630633,niptuck
47,look,1844.8963780814984,niptuck
48,see,1832.929350492989,niptuck
49,need,1826.6891130712236,niptuck
50,but,1807.3440765020678,niptuck
51,make,1792.8774674328959,niptuck
52,take,1777.5728560920852,niptuck
53,out,1773.4739868843405,niptuck
54,christian,1762.0502235146816,niptuck
55,there,1707.6674806731373,niptuck
56,one,1668.817701293784,niptuck
57,now,1663.5439574177135,niptuck
58,say,1656.756216126909,niptuck
59,could,1580.6132627012366,niptuck
60,up,1552.7356174542854,niptuck
61,when,1527.0037133411627,niptuck
62,why,1516.7486485668887,niptuck
63,kimber,1486.9543382270467,niptuck
64,good,1485.274234590056,niptuck
65,who,1421.2735414199979,niptuck
66,mcnamara,1418.231747559668,niptuck
67,give,1362.435265168494,niptuck
68,her,1362.3020768611148,niptuck
69,some,1294.2921801104117,niptuck
70,his,1208.8075128599828,niptuck
71,yeah,1194.665595452861,niptuck
72,mean,1173.0782524173412,niptuck
73,really,1166.6854554014428,niptuck
74,from,1140.8120132190193,niptuck
75,let,1121.005043076792,niptuck
76,time,1091.8182076739852,niptuck
77,because,1083.990350694461,niptuck
78,work,1054.795112740504,niptuck
79,more,1049.7686280096211,niptuck
80,feel,1046.9136495305208,niptuck
81,should,1033.3856084951392,niptuck
82,thing,1026.9286157241888,niptuck
83,sorry,1019.8579706451308,niptuck
84,never,1015.9597930425533,niptuck
85,an,1003.0,niptuck
86,back,988.1299548681899,niptuck
87,love,974.1969151348433,niptuck
88,something,970.3797598094353,niptuck
89,our,959.735137850896,niptuck
90,then,957.8788933384603,niptuck
91,julia,956.6593320073775,niptuck
92,surgery,950.2400629237565,niptuck
93,as,933.0,niptuck
94,oh,930.7006037168612,niptuck
95,troy,921.9137132909262,niptuck
96,little,910.0417492690952,niptuck
97,thank,896.8148396886606,niptuck
98,too,879.9214371153074,niptuck
99,shit,870.1485047906336,niptuck
100,or,853.9651953717178,niptuck
101,matt,839.5180029936121,niptuck
102,year,824.139805285219,niptuck
103,any,818.6894090079788,niptuck
104,try,816.67981878101,niptuck
105,life,813.6788451945454,niptuck
106,off,798.010415164167,niptuck
107,only,785.9281777871857,niptuck
108,way,785.8411839797513,niptuck
109,talk,785.4747457726447,niptuck
110,ok,781.821640119975,niptuck
111,help,778.886366084286,niptuck
112,very,762.8534792561812,niptuck
113,call,756.4991958127636,niptuck
114,maybe,729.2562996658735,niptuck
115,over,720.672275792487,niptuck
116,even,709.5471114020709,niptuck
117,leave,704.8036996584839,niptuck
118,find,700.0531431626133,niptuck
119,than,696.8488046284784,niptuck
120,much,687.6634575708576,niptuck
121,by,679.1893648856632,niptuck
122,dr,673.1129171538979,niptuck
123,where,668.1206843263689,niptuck
124,doctor,662.652867723582,niptuck
125,guy,655.4469316101986,niptuck
126,other,644.3464974304424,niptuck
127,please,622.4375329933345,niptuck
128,god,613.2928018976389,niptuck
129,man,608.1385604531022,niptuck
130,before,605.1438197871996,niptuck
131,into,602.2967446238811,niptuck
132,happen,594.6396679894395,niptuck
133,down,590.026852045709,niptuck
134,after,588.0688782541364,niptuck
135,first,588.0688782541364,niptuck
136,keep,587.59370162984,niptuck
137,put,582.6100982947769,niptuck
138,still,581.290290900338,niptuck
139,ask,578.8267490621507,niptuck
140,again,573.6080007112445,niptuck
141,people,570.4060066095096,niptuck
142,use,568.0369855741244,niptuck
143,kid,562.3925648553021,niptuck
144,day,551.0430871069302,niptuck
145,surgeon,550.8605602456809,niptuck
146,always,546.3300954045967,niptuck
147,yourself,544.4895690330401,niptuck
148,woman,543.8262606870675,niptuck
149,wait,542.1393457971179,niptuck
150,hey,536.938684261766,niptuck
151,ever,536.159925022368,niptuck
152,anything,534.4989435274756,niptuck
153,yes,530.0550636547841,niptuck
154,those,513.2294965544266,niptuck
155,liz,500.9306933581335,niptuck
156,these,496.11947843146686,niptuck
157,their,488.89603946209905,niptuck
158,two,485.66882482679927,niptuck
159,everything,482.06663881833094,niptuck
160,great,481.71201112129796,niptuck
161,last,469.4347155701554,niptuck
162,through,469.2619166034964,niptuck
163,start,469.1698842678743,niptuck
164,kind,465.0759829066026,niptuck
165,nothing,460.4693333085118,niptuck
166,uh,457.22040321102605,niptuck
167,someone,448.656079692308,niptuck
168,money,436.6724037244752,niptuck
169,around,434.0234594360635,niptuck
170,wilber,428.7204113866303,niptuck
171,enough,427.0892643018074,niptuck
172,sure,425.345296265989,niptuck
173,wanna,424.16588804307753,niptuck
174,care,422.8774079115021,niptuck
175,asshole,420.0348955163262,niptuck
176,baby,419.62313254105794,niptuck
177,every,417.8236579197081,niptuck
178,family,416.5748523847702,niptuck
179,hear,414.21177943234403,niptuck
180,guess,409.7475715534475,niptuck
181,understand,409.50586670302175,niptuck
182,turn,409.1390090174923,niptuck
183,together,407.1408489165975,niptuck
184,goddamn,406.90436823700475,niptuck
185,anymore,404.75064994913714,niptuck
186,actually,401.2162742596408,niptuck
187,own,400.48003438341834,niptuck
188,stay,399.5498134936448,niptuck
189,new,399.15917026773275,niptuck
190,believe,398.9653298620474,niptuck
191,away,393.411973590803,niptuck
192,friend,392.9640888935929,niptuck
193,bad,387.46102713615477,niptuck
194,okay,385.8283694491326,niptuck
195,girl,383.9318766014465,niptuck
196,hell,380.21922890391755,niptuck
197,screw,378.8755408042429,niptuck
198,fine,377.0373230086312,niptuck
199,old,372.6129778637257,niptuck
200,another,365.9251713802512,niptuck
201,bullshit,365.5379002239465,niptuck
202,since,363.0562355047391,niptuck
203,plastic,361.19806967203226,niptuck
204,both,358.1103935540595,niptuck
205,hard,357.3796847307739,niptuck
206,stop,355.78651098814936,niptuck
207,lose,354.815571747061,niptuck
208,us,354.24407149195974,niptuck
209,meet,353.19733933224245,niptuck
210,father,351.5899756402696,niptuck
211,ass,347.96923262914305,niptuck
212,mother,343.77382795181285,niptuck
213,which,343.42637236716405,niptuck
214,conor,340.60330802364126,niptuck
215,month,338.3024012657796,niptuck
216,wife,338.21537168994513,niptuck
217,face,336.3373271252951,niptuck
218,sleep,335.54365078046476,niptuck
219,night,334.4565181486349,niptuck
220,real,333.3883489558747,niptuck
221,might,332.03308039289794,niptuck
222,marry,329.38835127515966,niptuck
223,myself,328.77785411453624,niptuck
224,hand,326.16398369993163,niptuck
225,move,325.385658371096,niptuck
226,wrong,324.5597172242228,niptuck
227,bring,324.1724087325421,niptuck
228,else,320.79527581728416,niptuck
229,remember,318.19580120021845,niptuck
230,without,317.5549194958974,niptuck
231,mom,316.47170160632123,niptuck
232,big,314.88181450873356,niptuck
233,nice,313.9251763061046,niptuck
234,live,313.35854058996864,niptuck
235,dad,312.1036931436285,niptuck
236,pay,311.41861248394275,niptuck
237,name,310.9590534655034,niptuck
238,child,308.6499271642119,niptuck
239,pretty,308.3692634846895,niptuck
240,home,306.6610204763348,niptuck
241,kill,303.74372453241915,niptuck
242,show,300.0719214781288,niptuck
243,next,298.21530010451966,niptuck
244,husband,296.1958135125535,niptuck
245,change,294.65873472610394,niptuck
246,week,293.11354187159685,niptuck
247,long,293.0,niptuck
248,huh,290.43779093503815,niptuck
249,beautiful,288.690851557836,niptuck
