,mots,poids,serie
0,be,55363.230676542495,onetreehill
1,you,43043.007343947516,onetreehill
2,to,22174.755921101132,onetreehill
3,it,17523.075247527406,onetreehill
4,not,16298.104605199696,onetreehill
5,the,15743.04834579157,onetreehill
6,that,14866.647261865557,onetreehill
7,do,13409.238374682498,onetreehill
8,and,12536.179306498272,onetreehill
9,have,10449.092493178705,onetreehill
10,what,9390.338349983065,onetreehill
11,know,9322.793435606,onetreehill
12,go,8863.023394056978,onetreehill
13,we,8526.92002477222,onetreehill
14,this,8008.064549324954,onetreehill
15,just,7627.013610687255,onetreehill
16,get,7385.374187632381,onetreehill
17,of,6904.858347346498,onetreehill
18,my,6722.953141211955,onetreehill
19,for,6646.20692911293,onetreehill
20,so,6394.271865994464,onetreehill
21,your,6274.196788001635,onetreehill
22,she,6017.002832181623,onetreehill
23,in,5999.378519703183,onetreehill
24,with,5697.394544942436,onetreehill
25,well,5575.386446054856,onetreehill
26,he,5567.5096301800395,onetreehill
27,think,5290.991733840174,onetreehill
28,want,5196.043892715065,onetreehill
29,okay,5146.674856758966,onetreehill
30,brooke,4915.149258547988,onetreehill
31,about,4815.350124229592,onetreehill
32,like,4803.878913627895,onetreehill
33,can,4744.933929744389,onetreehill
34,yeah,4679.33369335124,onetreehill
35,peyton,4678.349480250242,onetreehill
36,but,4433.184187649802,onetreehill
37,right,4369.240062286165,onetreehill
38,haley,4186.00251193345,onetreehill
39,if,4069.1341890353015,onetreehill
40,on,4008.0,onetreehill
41,say,4002.6607925770304,onetreehill
42,no,3954.606608417185,onetreehill
43,all,3822.4008203817084,onetreehill
44,come,3707.2473397673857,onetreehill
45,here,3651.6159196471795,onetreehill
46,see,3574.9696422838465,onetreehill
47,nathan,3568.6140677227063,onetreehill
48,will,3538.261226135769,onetreehill
49,they,3482.5657659366793,onetreehill
50,how,3467.2899622264604,onetreehill
51,good,3424.1924856326405,onetreehill
52,would,3386.736668722766,onetreehill
53,out,3382.8765809142683,onetreehill
54,tell,3277.9448483587666,onetreehill
55,really,3245.9426848223707,onetreehill
56,there,3176.857707187433,onetreehill
57,lucas,3063.1652458169706,onetreehill
58,look,2927.0840550259504,onetreehill
59,at,2867.446411604562,onetreehill
60,up,2851.282663458647,onetreehill
61,now,2850.5518853668113,onetreehill
62,mean,2832.0090780429546,onetreehill
63,make,2759.8901048087628,onetreehill
64,hey,2732.9436717378826,onetreehill
