,mots,poids,serie
0,etre,58734.56399169919,onetreehill
1,je,47117.05978522701,onetreehill
2,le,37374.14910798085,onetreehill
3,avoir,34995.76906428136,onetreehill
4,que,31912.403887261662,onetreehill
5,ce,31856.662162405828,onetreehill
6,de,27358.990206608192,onetreehill
7,pas,20266.2633318154,onetreehill
8,tu,19972.129952841886,onetreehill
9,ne,19418.652673948058,onetreehill
10,un,17784.36592578418,onetreehill
11,et,14227.409828535965,onetreehill
12,cela,13874.850858329033,onetreehill
13,te,11955.558253447947,onetreehill
14,aller,11817.617678439872,onetreehill
15,il,11336.876718759308,onetreehill
16,pouvoir,9806.823718642734,onetreehill
17,faire,9189.650527452706,onetreehill
18,taire,8636.662685182191,onetreehill
19,me,8496.868362687428,onetreehill
20,dire,7949.9091629597815,onetreehill
21,mon,7776.574419182878,onetreehill
22,mais,7739.591073632154,onetreehill
23,en,7607.856607878088,onetreehill
24,pour,7548.755543411632,onetreehill
25,vous,7107.557663894962,onetreehill
26,tout,6863.0759953704755,onetreehill
27,bien,6555.640852787043,onetreehill
28,lui,6263.42832608766,onetreehill
29,on,6187.0,onetreehill
30,moi,6169.96106673515,onetreehill
31,savoir,6159.868867455985,onetreehill
32,vouloir,6055.678150366397,onetreehill
33,toi,5925.420048175919,onetreehill
34,avec,5600.4251453009065,onetreehill
35,qui,5505.812126247625,onetreehill
36,si,5207.9952793716,onetreehill
37,devoir,5045.553873122574,onetreehill
38,brooke,4915.149258547988,onetreehill
39,se,4713.09350423406,onetreehill
40,peyton,4671.079317887771,onetreehill
41,dans,4632.1869941087625,onetreehill
42,juste,4306.170802566605,onetreehill
43,voir,4189.085944946831,onetreehill
44,haley,4186.00251193345,onetreehill
45,alors,4076.4576368168377,onetreehill
46,quelque,3843.8518849623465,onetreehill
47,sur,3756.9341905503397,onetreehill
48,quoi,3717.4684098891125,onetreehill
49,nathan,3623.4820576938428,onetreehill
50,ton,3585.209423555358,onetreehill
51,vraiment,3569.4676660123496,onetreehill
52,chose,3380.830387752321,onetreehill
53,comme,3355.4365078046476,onetreehill
54,ouai,3334.020663995727,onetreehill
55,non,3313.227451245569,onetreehill
56,aimer,3204.492715195105,onetreehill
57,au,3068.6064926532736,onetreehill
58,ou,2981.47965029945,onetreehill
59,penser,2932.400911865011,onetreehill
60,croire,2912.1308594788475,onetreehill
61,lucas,2903.690111315343,onetreehill
62,plus,2852.017574866517,onetreehill
63,quand,2791.6135362747073,onetreehill
64,sai,2639.740183588479,onetreehill
65,bon,2553.062505070855,onetreehill
66,passer,2552.679679711572,onetreehill
67,luire,2483.08141730505,onetreehill
68,parler,2469.77953757692,onetreehill
69,pourquoi,2403.5192916732713,onetreehill
70,parce,2368.9035864165285,onetreehill
71,peu,2334.4246319209724,onetreehill
72,nous,2328.576313040962,onetreehill
73,okay,2325.9938843933423,onetreehill
74,la,2220.8148958904694,onetreehill
75,aussi,2176.992178944536,onetreehill
76,veux,2165.3326952011453,onetreehill
77,oui,2156.7035950560316,onetreehill
78,oh,2101.355300517142,onetreehill
79,meme,2070.041424612098,onetreehill
80,toujours,2011.8026993267445,onetreehill
81,maintenant,1986.9077615804813,onetreehill
82,jamais,1983.60725034862,onetreehill
83,ici,1959.6596536152701,onetreehill
84,venir,1956.2311073230228,onetreehill
85,son,1948.7485132841723,onetreehill
86,merci,1923.852136017397,onetreehill
87,mec,1897.0179476271771,onetreehill
88,fait,1884.1207159775888,onetreehill
89,rien,1875.105810692784,onetreehill
90,as,1821.0,onetreehill
91,autre,1810.5512612951115,onetreehill
92,besoin,1688.483479289076,onetreehill
93,salut,1645.0540144636466,onetreehill
94,temps,1609.008756587928,onetreehill
95,vie,1595.4832546438463,onetreehill
96,desoler,1586.1315992173072,onetreehill
97,arriver,1586.1315992173072,onetreehill
98,prendre,1575.3461039547815,onetreehill
99,eh,1562.5378187465665,onetreehill
100,soir,1489.0826380844799,onetreehill
101,tres,1475.1022435750515,onetreehill
102,ecoute,1466.2004559325055,onetreehill
103,comment,1426.0999949020722,onetreehill
104,fille,1414.1288140198249,onetreehill
105,trouver,1402.011956709654,onetreehill
106,appeler,1371.6068781304084,onetreehill
107,fois,1326.3347909409613,onetreehill
108,nouveau,1309.1928601866944,onetreehill
109,personne,1308.6165320159143,onetreehill
110,keith,1302.4886218393763,onetreehill
111,jour,1294.9413522626814,onetreehill
112,petit,1265.4646027014612,onetreehill
113,votre,1259.913329690332,onetreehill
114,dan,1255.7007052244185,onetreehill
115,fai,1250.8960416123539,onetreehill
116,partir,1240.7741992728163,onetreehill
117,notre,1201.1891495308246,onetreehill
118,deux,1193.556637906487,onetreehill
119,laisser,1190.3362236926205,onetreehill
120,falloir,1180.7305514940338,onetreehill
121,vrai,1171.8422993132153,onetreehill
122,mere,1142.0637250034256,onetreehill
123,scott,1136.7598903860276,onetreehill
124,genial,1127.5378908310354,onetreehill
