,mots,poids,serie
0,be,1232.2431095417858,oz
1,you,1218.545623575661,oz
2,the,821.7636446890432,oz
3,to,606.2778282771635,oz
4,that,455.8234333447704,oz
5,what,380.6315985191253,oz
6,it,340.6673195145061,oz
7,fuck,339.1096876783827,oz
8,do,333.12699937103486,oz
9,and,298.1411883682373,oz
10,have,297.57633926272536,oz
11,of,285.8596253783506,oz
12,fucking,280.992650495486,oz
13,in,280.66619184262305,oz
14,gonna,262.17992306732907,oz
15,know,245.76012822560926,oz
16,we,243.1895378642664,oz
17,he,234.147601269254,oz
18,get,222.7572376431629,oz
19,they,207.53001736986735,oz
20,my,204.44068031755654,oz
21,this,200.68118273598557,oz
22,re,193.53245343516207,oz
23,for,183.59006904668644,oz
24,about,176.24239716629785,oz
25,say,168.0090810720246,oz
26,mcmanus,165.6792714466305,oz
27,your,164.58225739479656,oz
28,yeah,163.28003582499238,oz
29,not,161.03993963673278,oz
30,so,159.1707159775446,oz
31,him,157.50637864898798,oz
32,shit,155.29562550087795,oz
33,no,152.27508204824792,oz
34,adebisi,146.5246975625192,oz
35,see,145.4224939234107,oz
36,beecher,142.83153593925363,oz
37,want,138.15183171177426,oz
38,can,137.21613446340052,oz
39,well,135.94692287185325,oz
40,schillinger,135.67101626159186,oz
41,wittlesey,130.24417561112818,oz
42,on,130.0,oz
43,with,129.48623965778265,oz
44,ross,127.20430011322098,oz
45,out,125.24533805680372,oz
46,go,121.72392644198423,oz
47,ll,117.72507261719609,oz
48,here,114.11299748897436,oz
49,who,113.12177166404065,oz
50,ain,111.61376042708335,oz
51,don,111.30978471455353,oz
52,augustus,110.76718785226703,oz
53,she,110.69770400527798,oz
54,come,109.78181188377224,oz
55,tell,107.21512731524585,oz
56,but,106.84800452271008,oz
57,if,104.9635320846562,oz
58,got,99.29586408824,oz
59,right,97.8074025835308,oz
60,up,96.61466064159998,oz
61,how,95.01490544596216,oz
62,one,94.99423838133848,oz
63,from,91.09678238235412,oz
64,take,89.7009010643609,oz
