,mots,poids,serie
0,le,19121.945400806115,oz
1,etre,18762.816230192595,oz
2,je,15222.412767742397,oz
3,avoir,14177.625582008493,oz
4,de,13480.450584082117,oz
5,ce,9889.450637474818,oz
6,que,9661.132662186068,oz
7,un,7858.076062415182,oz
8,pas,6955.66200696496,oz
9,il,6457.276043618665,oz
10,vous,6175.327442123544,oz
11,et,4790.737275366949,oz
12,tu,4729.153442676511,oz
13,ne,4401.737465595167,oz
14,faire,4165.478051142614,oz
15,cela,4075.9697006510783,oz
16,te,3996.5911299638324,oz
17,aller,3956.0185513400224,oz
18,me,3613.5389968739696,oz
19,en,3354.8158583815184,oz
20,pouvoir,3219.624107869164,oz
21,mon,3186.1858527724535,oz
22,tout,2753.826512121367,oz
23,qui,2735.562439587523,oz
24,dire,2664.348287025588,oz
25,on,2613.0,oz
26,pour,2579.789914548997,oz
27,mais,2509.6559709140056,oz
28,moi,2507.6259385367975,oz
29,vouloir,2427.3387732430997,oz
30,dans,2203.7881904509013,oz
31,savoir,2187.163436502302,oz
32,se,2114.3081560902397,oz
33,voir,2030.4158118847663,oz
34,bien,1749.1675707550376,oz
35,si,1676.151475167659,oz
36,taire,1637.5529405036898,oz
37,toi,1574.0909001142345,oz
38,quoi,1572.2742924487227,oz
39,avec,1536.663738018382,oz
40,son,1525.0638803084273,oz
41,nous,1508.7000957520029,oz
42,devoir,1440.862890449801,oz
43,au,1424.4780668987667,oz
44,lui,1419.250478295237,oz
45,non,1372.2655213232385,oz
46,sur,1364.9293282215262,oz
47,luire,1359.7826809051462,oz
48,votre,1245.1294705414232,oz
49,beecher,1229.2168547499402,oz
50,schillinger,1226.4659870047903,oz
51,ou,1201.063525487267,oz
52,ton,1188.73288123498,oz
53,comme,1176.8109857515822,oz
54,quand,1167.6140148738484,oz
55,parler,1129.8106529963854,oz
56,cyril,1081.054168611261,oz
57,plus,1078.4586398313565,oz
58,pourquoi,1071.0068638571818,oz
59,mcmanu,1048.3883499144263,oz
60,autre,1044.35661530086,oz
61,oui,1043.8138396000722,oz
62,adebisi,1041.9534048890255,oz
63,alors,1009.0738731529365,oz
64,rien,1008.0144411151305,oz
65,putain,965.7201836492007,oz
66,ici,921.802679703968,oz
67,quelque,920.3824713666917,oz
68,chose,913.221949444627,oz
69,tuer,904.5210287381777,oz
70,bon,866.1224573570228,oz
71,reily,863.3786411059981,oz
72,ouai,856.6342918796832,oz
73,oz,824.5367635781914,oz
74,meme,822.4572168877452,oz
75,passer,819.6828572561611,oz
76,mort,804.3414786651332,oz
77,croire,798.9778982212847,oz
78,falloir,795.5995561569241,oz
79,veux,779.5197702724123,oz
80,par,747.0061638993402,oz
81,mourir,726.2654410420803,oz
82,venir,726.2654410420803,oz
83,dieu,711.2678901641639,oz
84,deux,703.2050997441125,oz
85,merde,677.7361834609275,oz
86,vie,675.4823740925096,oz
87,aussi,669.5874949775849,oz
88,aimer,669.1438093639307,oz
89,homme,636.2746842821826,oz
90,jamais,632.0479009014322,oz
91,est,631.1049757417954,oz
92,said,626.8103146337652,oz
93,notre,614.1178963164216,oz
94,penser,611.4799136492708,oz
95,comment,603.2629343514321,oz
96,parce,598.5306435516566,oz
97,prendre,593.4868459936371,oz
98,petit,563.8365438820027,oz
99,toujours,545.6022433942388,oz
100,temps,544.6644548698265,oz
101,la,541.4474374519875,oz
102,jour,536.8120514834388,oz
103,peu,532.148410717469,oz
104,glynn,526.0136078566521,oz
105,pere,518.7610293157717,oz
106,arriver,516.8863358471737,oz
107,vraiment,504.68908203534386,oz
108,as,504.0,oz
109,juste,498.35459849928117,oz
110,maintenant,495.0766847791897,oz
111,demander,494.9271124288296,oz
112,trouver,486.48125726792813,oz
113,fois,484.11219869345086,oz
114,nouveau,474.7261437816244,oz
115,sai,461.58493564926107,oz
116,depuis,461.14369178522355,oz
117,donner,456.8902413155259,oz
118,besoin,453.4975449824971,oz
119,alvarez,444.2320341020267,oz
120,qu,434.4470778275222,oz
121,ur,434.207747065819,oz
122,mettre,434.1169552703386,oz
123,fai,428.0696174359187,oz
124,sans,424.80702932620767,oz
125,encore,423.46685170427855,oz
126,essayer,422.2927580450765,oz
127,personne,418.3556688030416,oz
128,frere,416.9514717820577,oz
129,appeler,415.5360739163553,oz
130,tres,406.2781603066879,oz
131,fils,403.7118766910931,oz
132,apres,402.4494990536262,oz
133,merci,401.16199248793254,oz
134,an,401.0,oz
135,vrai,400.1412729362199,oz
136,fait,399.16419702053537,oz
137,entrer,396.9551925623719,oz
138,probleme,396.24251879361213,oz
139,avant,395.6951222402273,oz
140,femme,392.785008097575,oz
141,seul,391.7349436728539,oz
142,detenu,391.6377232675262,oz
143,sortir,383.32861440948795,oz
144,mal,382.377886721015,oz
145,connaitre,376.6035509987952,oz
146,allez,374.60802481625353,oz
147,laisser,371.5597534407756,oz
148,aider,369.8784875881024,oz
149,pancamo,361.602957031454,oz
150,entendre,358.0748906197919,oz
151,rebadow,355.77065127288216,oz
152,eh,351.6855647765366,oz
153,keller,350.0327071743163,oz
154,enculer,333.5091569601943,oz
155,monde,327.8468412712726,oz
156,trop,326.7506119542652,oz
157,ai,324.9965215997799,oz
158,truc,319.4405120079066,oz
159,quel,318.1373421410913,oz
160,ok,317.5131000209078,oz
161,finir,314.18581198553693,oz
162,vern,313.69438264133936,oz
163,prisonnier,311.96945189885446,oz
164,tobias,311.30811711689694,oz
165,arreter,310.8074699211763,oz
166,contre,310.5764739347954,oz
167,scibetta,309.1122052043075,oz
168,celui,307.6716510391943,oz
169,directeur,306.9247845917787,oz
170,raison,302.9733160496572,oz
171,mieux,299.8152962586201,oz
172,encule,296.8042779596147,oz
173,cellule,291.2448304971951,oz
174,meurtre,288.5015585940565,oz
175,busmalis,287.6225544745747,oz
176,kareem,285.1562578802578,oz
177,miguel,284.7180408141368,oz
178,peine,281.3532766319133,oz
179,leo,281.08068657715086,oz
180,oh,280.11377393420094,oz
181,isolement,279.51129268282375,oz
182,omar,279.483730064189,oz
183,accord,279.31867725883734,oz
184,dernier,277.02404927757016,oz
185,etat,274.83068823706844,oz
186,allah,271.4594772641074,oz
187,robson,271.20669524456883,oz
188,hui,268.58279516554467,oz
189,aujourd,268.16812609798797,oz
190,beaucoup,267.6639772922991,oz
191,attendre,263.5106810201277,oz
192,ryan,261.50556395890754,oz
193,nom,259.6604865967129,oz
194,gouverneur,258.82604250146323,oz
195,devenir,256.75399689140653,oz
196,prison,256.7343050567828,oz
197,arif,256.6214533771609,oz
198,deja,253.34264280870516,oz
199,connerie,251.95687823510337,oz
200,fille,251.51172075028688,oz
201,keane,251.03724498414275,oz
202,demande,249.84608021551676,oz
203,verite,248.30814173050499,oz
204,rendre,245.46481449028613,oz
205,premier,245.15356447032818,oz
206,foutre,243.83950641432483,oz
207,partir,243.78354863761294,oz
208,city,243.72244955639638,oz
209,salut,241.9197080093598,oz
210,gens,241.55145760178374,oz
211,drogue,240.8963796807965,oz
212,burr,240.7034672298511,oz
213,laisse,240.42101693226655,oz
214,ami,239.65734341054954,oz
215,peur,239.29944255533982,oz
216,em,235.98655307808042,oz
217,moins,234.79477347306252,oz
218,changer,234.36064024836404,oz
219,hein,233.7665069033444,oz
220,trois,233.25644434944866,oz
221,perdre,232.0146876689006,oz
222,condamner,231.85857535339656,oz
223,ecoute,229.7272603765216,oz
224,trou,227.58548382885465,oz
225,ortolani,227.45992458430172,oz
226,regarder,226.348918312161,oz
227,cloutier,226.12297743252333,oz
228,wangler,226.12297743252333,oz
229,rester,223.60835840553463,oz
230,famille,221.92709255286144,oz
231,commencer,220.24582670018825,oz
232,musulman,219.61389297266692,oz
233,occuper,219.59223418343979,oz
234,droit,218.56456084751505,oz
235,avocat,217.24514954371728,oz
236,pendant,216.0539419124581,oz
237,matricule,214.8608375979206,oz
238,comprendre,214.52472108689886,oz
239,redding,213.91326036284417,oz
240,aucun,212.83555005471854,oz
241,oswald,212.76105693359185,oz
242,vahue,211.6467853680833,oz
243,apprendre,211.14637902253824,oz
244,reste,210.1582315841491,oz
245,loewen,209.9630073085862,oz
246,mec,208.29325922222182,oz
247,tete,206.28195199132904,oz
248,bonjour,205.71542130511452,oz
249,travailler,205.11443402612952,oz
250,hoyt,205.00778108434213,oz
251,meilleur,202.70052386163673,oz
252,nathan,199.7194834949362,oz
253,tomber,199.3221817972761,oz
254,affaire,199.3221817972761,oz
255,fou,198.56880298006644,oz
256,querns,198.29839579144252,oz
257,sou,196.38041829574524,oz
258,enfant,195.63438166379177,oz
259,vieux,195.02683891009036,oz
260,chaque,195.02683891009036,oz
261,heure,194.87994256810308,oz
262,mot,194.5773534982936,oz
263,vivre,194.11703032461133,oz
264,envoyer,193.34557305741717,oz
265,mobay,192.46609003287068,oz
266,sang,192.19016893581335,oz
267,donne,192.19016893581335,oz
268,mere,190.77362449267153,oz
269,connard,190.47479959278272,oz
270,battre,190.07959060490208,oz
271,nappa,189.9394227662286,oz
272,negre,189.8376884993475,oz
273,devlin,189.8376884993475,oz
274,foutr,189.32107736796016,oz
275,decider,188.03693825465348,oz
276,faut,187.76020966927476,oz
277,appel,187.49798457201396,oz
278,pote,186.85725072416724,oz
279,garde,186.78547990213224,oz
280,jaz,186.63378427429885,oz
281,jusque,185.80881353983366,oz
282,donc,184.0764942733383,oz
283,maton,183.23533142541953,oz
284,emeute,183.1433830474486,oz
285,cul,182.8963936554194,oz
286,emerald,182.39647834415163,oz
287,grand,181.14734965917316,oz
288,coup,179.89261974178612,oz
289,tim,179.8614192001033,oz
290,jia,179.08574146530125,oz
291,revenir,179.05212941111242,oz
292,gagner,179.05212941111242,oz
293,semaine,177.38280357248965,oz
294,tenir,177.36295837893212,oz
295,martinez,176.51604004054042,oz
296,tant,173.98461631457153,oz
297,visite,173.98461631457153,oz
298,mentir,173.9274800997282,oz
299,wittlesey,173.65890081483758,oz
300,voila,172.89232942388463,oz
301,monsieur,171.92227946354132,oz
302,baiser,171.66063644448548,oz
303,soir,171.56097508132152,oz
304,gars,171.41105938477776,oz
305,cote,170.689112871641,oz
306,desoler,170.6062742502109,oz
307,sentir,170.6062742502109,oz
308,hopital,170.4217575454542,oz
309,annee,169.8953345465514,oz
310,gardien,168.98488227664495,oz
311,jouer,168.9171032180306,oz
312,dur,168.9171032180306,oz
313,ferme,168.81196597914797,oz
314,oublier,168.0167809811188,oz
315,aryen,167.96572047330125,oz
316,histoire,167.22793218585028,oz
317,ross,166.0123916731867,oz
318,augustu,165.6792714466305,oz
319,clayton,164.74830403783773,oz
320,gloria,163.0856616778951,oz
321,mukada,162.80521951391023,oz
322,chez,162.76131391808724,oz
323,blanc,162.32199949558017,oz
324,arrete,162.16041908930936,oz
325,demain,162.16041908930936,oz
326,coupable,161.03290416635593,oz
327,payer,159.7202560039533,oz
328,facon,157.30173146994366,oz
329,idee,157.30173146994366,oz
330,assez,157.09290599276846,oz
331,ouais,156.41650767147644,oz
332,amour,156.05184657181425,oz
333,boulot,155.17059499093398,oz
334,tellement,155.17059499093398,oz
335,mois,154.9045697336204,oz
336,question,154.0,oz
337,howell,152.02324246095858,oz
338,pret,150.87058246953433,oz
339,negro,150.16907252908072,oz
