,mots,poids,serie
0,be,7967.1634422065745,painkillerjane
1,you,3865.4770536388037,painkillerjane
2,the,3184.8401352665255,painkillerjane
3,to,2988.6609896786654,painkillerjane
4,not,2524.876196447346,painkillerjane
5,it,2114.1413063988466,painkillerjane
6,do,1981.2289962593125,painkillerjane
7,that,1824.65440034429,painkillerjane
8,we,1671.7543660040712,painkillerjane
9,have,1659.0266375476297,painkillerjane
10,what,1381.3933294570502,painkillerjane
11,of,1256.703636097277,painkillerjane
12,and,1241.8895824309297,painkillerjane
13,this,1140.6364283449768,painkillerjane
14,get,1136.2114134819049,painkillerjane
15,in,1001.7453408454095,painkillerjane
16,he,999.0297654154838,painkillerjane
17,know,958.1719284986551,painkillerjane
18,they,848.2978812198958,painkillerjane
19,go,806.4210126781455,painkillerjane
20,on,762.0,painkillerjane
21,can,758.8052235826048,painkillerjane
22,my,729.9580701081986,painkillerjane
23,for,686.3064997248613,painkillerjane
24,with,676.9878399499288,painkillerjane
25,will,637.6951888645837,painkillerjane
26,there,611.8077175146486,painkillerjane
27,if,609.6512000533455,painkillerjane
28,would,608.6035168188956,painkillerjane
29,neuro,601.7425066994799,painkillerjane
30,your,583.3972701148887,painkillerjane
31,just,579.1590458143309,painkillerjane
32,no,569.3269858669568,painkillerjane
33,riley,562.6506370851853,painkillerjane
34,ve,558.7244889741265,painkillerjane
35,she,553.4885200263899,painkillerjane
36,think,550.0381247229005,painkillerjane
37,here,517.3122552833504,painkillerjane
38,vasco,501.43353272316375,painkillerjane
39,about,501.052765497574,painkillerjane
40,see,490.80091699151114,painkillerjane
41,like,475.9305358907013,painkillerjane
42,but,461.66401954152093,painkillerjane
43,out,449.6307636239253,painkillerjane
44,all,448.45196495216015,painkillerjane
45,how,447.9274113881073,painkillerjane
46,right,426.3791456375796,painkillerjane
47,connor,425.5356909297076,painkillerjane
48,at,413.43924311991486,painkillerjane
49,so,411.6484033902015,painkillerjane
50,one,399.232542386436,painkillerjane
51,something,395.33990214458476,painkillerjane
52,take,393.18894966544866,painkillerjane
53,jane,392.5487113620718,painkillerjane
