,mots,poids,serie
0,etre,7039.12190596768,painkillerjane
1,le,6543.476269724609,painkillerjane
2,avoir,5234.1025567667475,painkillerjane
3,je,4483.469578062356,painkillerjane
4,de,4406.802850301671,painkillerjane
5,ce,3905.905078692307,painkillerjane
6,que,3542.3279416561236,painkillerjane
7,un,3079.5930772444167,painkillerjane
8,pas,2383.1022442070557,painkillerjane
9,il,2193.28856124563,painkillerjane
10,vous,2054.2558180352216,painkillerjane
11,ne,2050.8845831893423,painkillerjane
12,pouvoir,1656.046864883095,painkillerjane
13,cela,1550.6590075415209,painkillerjane
14,et,1349.8491298421218,painkillerjane
15,tu,1253.942200709681,painkillerjane
16,faire,1208.6529078772423,painkillerjane
17,en,1149.5354697536673,painkillerjane
18,aller,1047.4286262153992,painkillerjane
19,on,1020.0,painkillerjane
20,qui,979.1263832759952,painkillerjane
21,tout,945.5725370494772,painkillerjane
22,savoir,890.2608632128727,painkillerjane
23,dans,851.2416717915962,painkillerjane
24,pour,791.6987521139029,painkillerjane
25,neuro,784.514763407266,painkillerjane
26,lui,776.9739308259805,painkillerjane
27,devoir,770.2619906742195,painkillerjane
28,me,765.8657038593777,painkillerjane
29,mais,763.1039136865699,painkillerjane
30,dire,753.4368604432855,painkillerjane
31,mon,727.0491207668686,painkillerjane
32,quelque,709.5312142899586,painkillerjane
33,sur,707.240609012474,painkillerjane
34,se,695.6595578205255,painkillerjane
35,nous,616.9049120341876,painkillerjane
36,si,605.4589378635328,painkillerjane
37,te,601.3968213346959,painkillerjane
38,chose,591.8441902324063,painkillerjane
39,voir,581.308546634769,painkillerjane
40,moi,578.1053810399204,painkillerjane
41,bien,533.7203613329474,painkillerjane
42,riley,525.7555133418945,painkillerjane
43,vouloir,516.8863358471737,painkillerjane
44,avec,506.98915973435896,painkillerjane
45,ou,474.1399810512874,painkillerjane
46,penser,459.4545207530432,painkillerjane
47,son,452.8004015925614,painkillerjane
48,vasco,452.27338245618694,painkillerjane
49,taire,447.21671681106926,painkillerjane
50,comme,404.5789473525221,painkillerjane
51,ici,392.92668181625976,painkillerjane
52,au,388.61217336015625,painkillerjane
53,connor,379.1902196403335,painkillerjane
54,autre,368.1065581841947,painkillerjane
55,votre,367.95382770617255,painkillerjane
56,quand,361.44399604511426,painkillerjane
57,quoi,356.44727748061104,painkillerjane
58,jane,351.468032266041,painkillerjane
59,plus,350.7096943982829,painkillerjane
60,passer,338.3861094083551,painkillerjane
61,pourquoi,331.4624664192522,painkillerjane
62,non,325.1247154323679,painkillerjane
63,trouver,322.6316671464384,painkillerjane
64,notre,318.19580120021845,painkillerjane
65,meme,313.93993169472583,painkillerjane
66,rien,296.76740947304006,painkillerjane
67,peu,291.175545486917,painkillerjane
68,arriver,287.159075470652,painkillerjane
69,oui,283.97876518531376,painkillerjane
70,prendre,282.45266324909636,painkillerjane
71,toi,279.01406323746164,painkillerjane
72,personne,277.78816408521965,painkillerjane
73,juste,274.17566907727445,painkillerjane
74,croire,265.199852052308,painkillerjane
75,luire,253.3756548270459,painkillerjane
76,andre,248.48983485607175,painkillerjane
77,equipe,241.00046521579384,painkillerjane
78,la,238.80913399813272,painkillerjane
79,gens,238.17311553742314,painkillerjane
80,bon,233.18681544227536,painkillerjane
81,par,220.42804836373972,painkillerjane
82,temps,216.53326952011452,painkillerjane
83,alors,214.19810242715732,painkillerjane
84,homme,204.87378577672374,painkillerjane
85,aucun,204.38969489381702,painkillerjane
86,parler,201.75190232078313,painkillerjane
87,maintenant,201.33118514353714,painkillerjane
88,toujours,199.3221817972761,painkillerjane
89,comment,199.20126912917834,painkillerjane
90,ton,188.9895173365114,painkillerjane
91,jamais,188.12914021609208,painkillerjane
92,vraiment,186.5517398942525,painkillerjane
93,venir,185.7499169485505,painkillerjane
94,sortir,183.25797794137802,painkillerjane
95,fait,177.40630978690461,painkillerjane
96,tres,176.57473890252206,painkillerjane
97,vie,174.21943585191423,painkillerjane
98,deux,173.4362353628977,painkillerjane
99,essayer,170.6062742502109,painkillerjane
100,dernier,165.53876115366998,painkillerjane
101,aussi,164.89841294224107,painkillerjane
102,seul,161.40152185662652,painkillerjane
103,mcbride,161.14562819844048,painkillerjane
104,entrer,158.78207702494876,painkillerjane
105,encore,157.82343919605952,painkillerjane
106,baumgartner,156.21188450682305,painkillerjane
107,premier,155.7264780597682,painkillerjane
108,besoin,155.62830879473148,painkillerjane
109,travailler,154.67645844593372,painkillerjane
110,fois,154.18641944688673,painkillerjane
111,jour,152.25371050846073,painkillerjane
112,arreter,148.64705083186692,painkillerjane
113,avant,147.1593429819027,painkillerjane
114,gars,145.95397135733552,painkillerjane
115,truc,144.58886332989456,painkillerjane
116,parce,139.545065771875,painkillerjane
117,merci,139.4720905782418,painkillerjane
118,depuis,138.51202463878508,painkillerjane
119,celui,137.8637999192018,painkillerjane
120,seth,137.63100727263296,painkillerjane
121,sans,133.46427741283154,painkillerjane
122,tuer,131.13873650850903,painkillerjane
123,mourir,130.52696866654898,painkillerjane
124,probleme,129.3176421167437,painkillerjane
125,accord,128.52707250678384,painkillerjane
126,ouai,128.4951437819525,painkillerjane
127,securite,127.88785301450604,painkillerjane
128,aimer,127.77620480316264,painkillerjane
129,quel,126.58868064252849,painkillerjane
130,as,125.0,painkillerjane
131,mort,122.01587301107809,painkillerjane
132,apres,121.55617522436057,painkillerjane
133,demander,119.93114328480172,painkillerjane
134,mettre,119.93114328480172,painkillerjane
135,maureen,119.87468279648186,painkillerjane
136,aider,119.36987553979668,painkillerjane
137,donner,118.27300573061487,painkillerjane
138,falloir,118.24197225262142,painkillerjane
139,assez,116.55280122044111,painkillerjane
140,appeler,116.55280122044111,painkillerjane
141,connaitre,116.0073438344503,painkillerjane
142,howie,115.59745562637626,painkillerjane
143,cas,115.59398495786346,painkillerjane
144,affaire,114.8636301882608,painkillerjane
145,beaucoup,114.03435718961853,painkillerjane
146,endroit,113.70832652257535,painkillerjane
147,moins,113.1744591560805,painkillerjane
148,maison,111.7002691250881,painkillerjane
149,attendre,111.48528812390019,painkillerjane
150,laisser,110.96354627643072,painkillerjane
151,monde,110.96354627643072,painkillerjane
152,sembler,109.79611709171989,painkillerjane
153,stockez,108.53681300927349,painkillerjane
154,nouveau,108.41496709199727,painkillerjane
155,veux,108.26663476005726,painkillerjane
156,mieux,108.26663476005726,painkillerjane
157,chez,107.42246718593758,painkillerjane
158,deja,106.96689363034218,painkillerjane
159,mal,103.30370326737099,painkillerjane
