,mots,poids,serie
0,be,31729.181678248056,prisonbreak
1,you,18922.43052924138,prisonbreak
2,to,12311.481766214934,prisonbreak
3,the,10568.568647152313,prisonbreak
4,not,9317.31079326811,prisonbreak
5,do,8196.093051191918,prisonbreak
6,it,7697.578476971156,prisonbreak
7,we,7397.130914579943,prisonbreak
8,that,6999.27086903134,prisonbreak
9,get,6349.328780339013,prisonbreak
10,go,5547.314356080011,prisonbreak
11,what,5177.73020906915,prisonbreak
12,and,4963.17390048301,prisonbreak
13,have,4819.8115882656975,prisonbreak
14,this,4763.2268961158925,prisonbreak
15,of,4530.60538335499,prisonbreak
16,in,4371.958348030741,prisonbreak
17,he,3920.1511732501326,prisonbreak
18,know,3822.447708651887,prisonbreak
19,they,3609.8104481196638,prisonbreak
20,your,3398.6905185592136,prisonbreak
21,right,3100.8003100309998,prisonbreak
22,will,3073.5645340522706,prisonbreak
23,for,3001.512806696162,prisonbreak
24,just,2985.2241993812204,prisonbreak
25,here,2816.308778027887,prisonbreak
26,can,2785.4875296070304,prisonbreak
27,on,2763.0,prisonbreak
28,there,2692.8056615435926,prisonbreak
29,want,2634.0949246378295,prisonbreak
30,my,2564.682124240116,prisonbreak
31,all,2469.5914302628653,prisonbreak
32,out,2467.333159719033,prisonbreak
33,if,2394.0312454925006,prisonbreak
34,she,2353.7827588490686,prisonbreak
35,scofield,2296.5730281370033,prisonbreak
36,with,2275.8614078982014,prisonbreak
37,now,2270.044358559588,prisonbreak
38,about,2231.4326649484983,prisonbreak
39,no,2117.0781929543723,prisonbreak
40,need,2068.8934009463646,prisonbreak
41,come,1935.2562992331646,prisonbreak
42,where,1901.80628202156,prisonbreak
43,so,1842.812685843469,prisonbreak
44,think,1742.3082643921423,prisonbreak
45,tell,1687.0615621663685,prisonbreak
46,yeah,1651.8496957628397,prisonbreak
47,well,1617.2995996823922,prisonbreak
48,would,1592.4599792411516,prisonbreak
49,like,1590.2694039127362,prisonbreak
50,scylla,1585.7873124177493,prisonbreak
51,take,1550.3305733957043,prisonbreak
52,up,1548.134919328495,prisonbreak
53,one,1532.744873342137,prisonbreak
54,say,1524.5268467646677,prisonbreak
55,how,1520.2384871353945,prisonbreak
56,but,1495.8720633179412,prisonbreak
57,let,1494.1836550577948,prisonbreak
58,ve,1433.1209040795234,prisonbreak
59,see,1420.8989510433255,prisonbreak
60,make,1417.484362861519,prisonbreak
61,back,1391.7692467772117,prisonbreak
62,okay,1326.9739992125526,prisonbreak
63,at,1306.1877104669852,prisonbreak
64,look,1295.5945817327977,prisonbreak
65,good,1274.8489980427987,prisonbreak
66,from,1244.52219623893,prisonbreak
67,who,1196.4802772158146,prisonbreak
68,thing,1157.4053456741979,prisonbreak
69,man,1152.79012833143,prisonbreak
70,sara,1151.7514886040485,prisonbreak
71,find,1108.1558723605492,prisonbreak
72,linc,1098.1648151706313,prisonbreak
73,when,1094.2088755674433,prisonbreak
74,down,1072.1390541923215,prisonbreak
75,mahone,1047.1112006866067,prisonbreak
76,his,1042.2881105782506,prisonbreak
77,time,983.5983412745813,prisonbreak
78,michael,982.8878861420988,prisonbreak
79,could,948.054032444436,prisonbreak
80,give,946.4844065629054,prisonbreak
81,why,913.1604684192447,prisonbreak
82,some,905.3822702214659,prisonbreak
83,guy,894.3209244636931,prisonbreak
84,call,880.5154574214133,prisonbreak
85,then,875.0606529682509,prisonbreak
86,something,870.3728280416352,prisonbreak
87,as,855.0,prisonbreak
88,tancredi,852.0139821227968,prisonbreak
89,work,842.872806984421,prisonbreak
90,way,822.5056249119326,prisonbreak
91,burrows,819.8242414057412,prisonbreak
92,talk,812.1512465724703,prisonbreak
93,leave,800.2624400185493,prisonbreak
94,bellick,797.7455756181602,prisonbreak
95,more,783.1607224833681,prisonbreak
96,please,764.9804794803576,prisonbreak
97,any,760.0953359974674,prisonbreak
98,help,758.389356450489,prisonbreak
99,bagwell,748.904009763987,prisonbreak
100,only,735.3191663387685,prisonbreak
101,sorry,732.7134934732007,prisonbreak
102,an,724.0,prisonbreak
103,thank,717.7773943787647,prisonbreak
104,should,704.7297425022231,prisonbreak
105,over,702.7588157823487,prisonbreak
106,keep,698.4604377864135,prisonbreak
107,mean,690.4220777170183,prisonbreak
108,wait,643.2723736063662,prisonbreak
109,hear,638.9778612948563,prisonbreak
110,too,635.1651329347696,prisonbreak
111,because,623.3758323062741,prisonbreak
112,move,616.4341367130814,prisonbreak
113,us,611.1957571516207,prisonbreak
114,or,603.5543486085825,prisonbreak
115,kill,595.1526785254507,prisonbreak
116,our,594.4856188280231,prisonbreak
117,anything,594.4132793801131,prisonbreak
118,money,590.344573676294,prisonbreak
119,happen,589.7117149398033,prisonbreak
120,hell,581.6899756936429,prisonbreak
121,really,570.5571336689248,prisonbreak
122,hey,569.1055178811345,prisonbreak
123,everything,561.6155891183855,prisonbreak
124,nothing,561.5859098796377,prisonbreak
125,two,560.2745780381449,prisonbreak
126,put,557.0833671839233,prisonbreak
127,try,554.575141129179,prisonbreak
128,day,553.6859796110402,prisonbreak
129,run,553.0706038984239,prisonbreak
130,her,552.5599078109568,prisonbreak
131,listen,552.4807527964338,prisonbreak
132,off,550.6990792934702,prisonbreak
133,maricruz,542.6840650463674,prisonbreak
134,little,538.806588094167,prisonbreak
135,panama,536.8375421982964,prisonbreak
136,never,529.6619652752336,prisonbreak
137,still,528.1616083986943,prisonbreak
138,maybe,526.5034271130297,prisonbreak
139,ask,515.0577004366595,prisonbreak
140,whistler,513.221303715504,prisonbreak
141,brother,503.96586297139714,prisonbreak
142,into,490.3515381623744,prisonbreak
143,lj,487.5704274000841,prisonbreak
144,company,483.0622075393563,prisonbreak
145,by,480.7881704835787,prisonbreak
146,than,480.47565981232987,prisonbreak
147,uh,479.68498949596085,prisonbreak
148,before,477.58136934362545,prisonbreak
149,hand,477.4923184796296,prisonbreak
150,burrow,472.99425740093557,prisonbreak
151,life,469.4301029968531,prisonbreak
152,much,465.6375878618812,prisonbreak
153,yes,463.9858772502218,prisonbreak
154,other,456.6109747223135,prisonbreak
155,lincoln,452.3029061124727,prisonbreak
156,care,449.8021866923842,prisonbreak
157,people,435.86306647557126,prisonbreak
158,after,431.543082300921,prisonbreak
159,stay,428.31740006518726,prisonbreak
160,name,421.90424339540664,prisonbreak
161,those,419.1649264463806,prisonbreak
162,away,417.43713228337106,prisonbreak
163,use,405.2756716560372,prisonbreak
164,someone,402.5176885182763,prisonbreak
165,sir,388.221283052838,prisonbreak
166,first,387.6573451177765,prisonbreak
167,oh,387.54092021004146,prisonbreak
168,last,385.7138745767519,prisonbreak
169,today,381.1317116911669,prisonbreak
170,hold,380.76533357033713,prisonbreak
171,phone,379.98302474962134,prisonbreak
172,break,377.6824676653342,prisonbreak
173,dead,377.58623338235327,prisonbreak
174,start,374.4189630150789,prisonbreak
175,these,373.7345673064631,prisonbreak
176,sure,371.6609384848448,prisonbreak
177,sona,370.94296599619406,prisonbreak
178,alex,369.0278503497378,prisonbreak
179,through,365.4977304238454,prisonbreak
180,year,364.4923600674354,prisonbreak
181,every,362.63940121333155,prisonbreak
182,head,361.5212483111505,prisonbreak
183,meet,361.15223436224795,prisonbreak
184,lechero,358.1714829306025,prisonbreak
185,mr,354.7206731980458,prisonbreak
186,bring,351.5899756402696,prisonbreak
187,hour,349.7164728560925,prisonbreak
188,again,348.42501899966834,prisonbreak
