,mots,poids,serie
0,etre,32134.695195814824,prisonbreak
1,le,27951.74122932276,prisonbreak
2,je,23083.096791092423,prisonbreak
3,avoir,22769.54477137583,prisonbreak
4,ce,18918.628263662285,prisonbreak
5,de,18723.026388751347,prisonbreak
6,que,17097.007150146426,prisonbreak
7,un,12149.051508789691,prisonbreak
8,vous,11564.957856017583,prisonbreak
9,il,11415.49398796556,prisonbreak
10,pas,11279.45190318642,prisonbreak
11,ne,9892.346642883644,prisonbreak
12,aller,7858.236595394503,prisonbreak
13,tu,7461.645073453761,prisonbreak
14,et,6890.3662400577405,prisonbreak
15,cela,6626.61795924334,prisonbreak
16,faire,6566.582085290165,prisonbreak
17,pouvoir,5995.394030632605,prisonbreak
18,on,5984.0,prisonbreak
19,te,5936.326172955827,prisonbreak
20,en,5174.112056851495,prisonbreak
21,tout,4858.339415197395,prisonbreak
22,me,4607.667605955279,prisonbreak
23,pour,4194.595440406492,prisonbreak
24,se,4057.185921146136,prisonbreak
25,dans,3950.2170887919774,prisonbreak
26,savoir,3947.604090825501,prisonbreak
27,dire,3938.289238080456,prisonbreak
28,qui,3820.3272571300104,prisonbreak
29,moi,3651.824121270354,prisonbreak
30,mon,3618.1385656986517,prisonbreak
31,vouloir,3570.907562029167,prisonbreak
32,devoir,3486.4490104201514,prisonbreak
33,mais,3442.878591473378,prisonbreak
34,si,3369.3396736951145,prisonbreak
35,ou,3090.7914614928304,prisonbreak
36,lui,3056.9735417910138,prisonbreak
37,scofield,2839.3322486131115,prisonbreak
38,taire,2822.8453666382907,prisonbreak
39,nous,2774.4739048998695,prisonbreak
40,ici,2700.7492180535323,prisonbreak
41,bien,2699.997122037263,prisonbreak
42,sur,2596.2187112156425,prisonbreak
43,voir,2463.4823509249954,prisonbreak
44,quelque,2394.66784822861,prisonbreak
45,quoi,2386.080862039159,prisonbreak
46,avec,2345.0210670066012,prisonbreak
47,toi,2285.3348416617523,prisonbreak
48,votre,2184.7258520053992,prisonbreak
49,au,2047.0373680342677,prisonbreak
50,chose,1878.94620608729,prisonbreak
51,la,1827.9353528612833,prisonbreak
52,luire,1827.683056819091,prisonbreak
53,non,1768.0695227191648,prisonbreak
54,oui,1766.8084255583576,prisonbreak
55,plus,1702.9957232493198,prisonbreak
56,comme,1672.9018378624128,prisonbreak
57,passer,1662.362828743958,prisonbreak
58,alors,1639.9542217079234,prisonbreak
59,juste,1628.9260339296893,prisonbreak
60,son,1557.1916249890526,prisonbreak
61,ton,1545.464573722241,prisonbreak
62,quand,1527.3923703841924,prisonbreak
63,rien,1512.0216616726957,prisonbreak
64,scylla,1424.8417344410225,prisonbreak
65,parler,1420.669645508848,prisonbreak
66,maintenant,1364.7613943746328,prisonbreak
67,venir,1362.1660576227036,prisonbreak
68,trouver,1354.7151678086054,prisonbreak
69,autre,1334.1780683508596,prisonbreak
70,burrows,1322.8081962778626,prisonbreak
71,besoin,1288.5354599133682,prisonbreak
72,croire,1258.432418974328,prisonbreak
73,sara,1244.5251841497577,prisonbreak
74,sortir,1232.3678700094504,prisonbreak
75,prendre,1185.2924261346009,prisonbreak
76,pourquoi,1182.6047796867792,prisonbreak
77,arriver,1143.5687887860672,prisonbreak
78,michael,1133.5973620172206,prisonbreak
79,linc,1115.948860760439,prisonbreak
80,bellick,1101.6486520441258,prisonbreak
81,temps,1092.6601908091934,prisonbreak
82,bon,1058.0018940638095,prisonbreak
83,peu,1054.256285383665,prisonbreak
84,falloir,998.3000800185608,prisonbreak
85,penser,998.3000800185608,prisonbreak
86,meme,976.156975113288,prisonbreak
87,mahone,953.7069151793506,prisonbreak
88,ouai,950.8640639864484,prisonbreak
89,appeler,935.8007518278895,prisonbreak
90,homme,924.430496797412,prisonbreak
91,whistler,923.0598987688919,prisonbreak
92,tancredi,917.1360699283609,prisonbreak
93,ca,914.4768000800183,prisonbreak
94,ok,910.1317284845884,prisonbreak
95,vraiment,906.1084509149408,prisonbreak
96,par,904.8435318634995,prisonbreak
97,mec,896.8660169816328,prisonbreak
98,tuer,891.0709019167922,prisonbreak
99,seul,880.983306800753,prisonbreak
100,allez,874.6354764432351,prisonbreak
101,aussi,872.7956402195385,prisonbreak
102,deux,864.0277907169813,prisonbreak
103,veux,861.1361564761478,prisonbreak
104,sai,855.8211796201603,prisonbreak
105,comment,851.1326953701257,prisonbreak
106,lj,837.8637441729601,prisonbreak
107,laisser,825.5015336625377,prisonbreak
108,merci,823.8918340343561,prisonbreak
109,notre,809.8083140545559,prisonbreak
110,jamais,798.723718110426,prisonbreak
111,partir,786.8324190510542,prisonbreak
112,personne,761.4073172215358,prisonbreak
113,vie,759.5356106877314,prisonbreak
114,parce,758.25089955561,prisonbreak
115,toujours,751.6811093202361,prisonbreak
116,lechero,748.904009763987,prisonbreak
117,fois,742.7474829269382,prisonbreak
118,aimer,741.438241028878,prisonbreak
119,frere,737.4318187204236,prisonbreak
120,heure,729.550554229309,prisonbreak
121,tres,728.1754719342945,prisonbreak
122,apres,726.0517493130726,prisonbreak
123,encore,725.0502553165506,prisonbreak
124,bagwell,721.7698065116687,prisonbreak
125,probleme,714.5628686194428,prisonbreak
126,sona,714.4086752519294,prisonbreak
127,jour,695.3442655180218,prisonbreak
128,avant,694.9191196367628,prisonbreak
129,ecoute,657.087531518139,prisonbreak
130,mettre,653.7091894537784,prisonbreak
131,petit,652.5299328072616,prisonbreak
132,aider,650.6498849845256,prisonbreak
133,finir,648.6416763572374,prisonbreak
134,lincoln,647.6155246610405,prisonbreak
135,donc,632.553771230199,prisonbreak
136,fai,629.6121221431023,prisonbreak
137,maricruz,624.0866748033226,prisonbreak
138,fait,617.6367822210754,prisonbreak
