,mots,poids,serie
0,etre,26361.143639491507,psych
1,le,23432.301105801493,psych
2,avoir,18380.889619961636,psych
3,je,17293.789968672318,psych
4,ce,14727.932977116705,psych
5,de,14603.01886722113,psych
6,un,12279.735347860948,psych
7,que,10070.014022821182,psych
8,pas,9434.879881424731,psych
9,vous,9186.93345796594,psych
10,il,8289.458164950829,psych
11,ne,6669.339234121528,psych
12,et,5444.800535554086,psych
13,cela,5295.551185885259,psych
14,tu,4461.829500986755,psych
15,on,4214.0,psych
16,aller,4140.957795134073,psych
17,faire,3988.8786316270384,psych
18,pouvoir,3954.337285487349,psych
19,en,3871.86633117867,psych
20,mon,3238.932553690834,psych
21,shawn,3159.6371167256734,psych
22,pour,3084.484331081252,psych
23,tout,3047.015399420799,psych
24,dans,3037.126117711508,psych
25,qui,2872.7347348290873,psych
26,te,2808.2731219436346,psych
27,mais,2807.768752481583,psych
28,me,2782.811702459726,psych
29,sur,2737.3665185344803,psych
30,dire,2648.5318643826945,psych
31,lui,2544.466424628845,psych
32,savoir,2505.1137447926135,psych
33,quoi,2394.218927735063,psych
34,moi,2384.4970002373857,psych
35,voir,2356.8813566997082,psych
36,devoir,2339.5018795697238,psych
37,se,2303.1300360700966,psych
38,nous,2213.505966754792,psych
39,avec,2208.463615313446,psych
40,vouloir,2130.044671579366,psych
41,bien,2013.7852288949023,psych
42,si,1756.0930232405497,psych
43,votre,1749.423332620865,psych
44,ou,1709.3634475364859,psych
45,son,1703.774460094405,psych
46,au,1692.2175575749948,psych
47,non,1614.7498408597537,psych
48,gus,1596.3585689055271,psych
49,taire,1588.796230776167,psych
50,quelque,1501.0601396653135,psych
51,comme,1391.9442355342724,psych
52,pourquoi,1384.1472843939628,psych
53,oui,1352.3529304230349,psych
54,plus,1311.211920498085,psych
55,ici,1273.2813993033228,psych
56,croire,1189.1764066549354,psych
57,toi,1133.7970315371997,psych
58,la,1128.0154946916407,psych
59,trouver,1104.71785504592,psych
60,luire,1094.5828288528382,psych
61,chose,1085.047682092745,psych
62,parler,1081.053943268863,psych
63,quand,1064.3443017181014,psych
64,est,1055.5161821358413,psych
65,lassiter,1017.1336650219577,psych
66,rien,1014.6461150698353,psych
67,vraiment,1007.7125235359176,psych
68,bon,1004.7020505341465,psych
69,venir,980.6256876743296,psych
70,penser,956.0708042140532,psych
71,affaire,942.5574359566107,psych
72,notre,930.722718510639,psych
73,ton,913.6357139877504,psych
74,tres,912.5632523811759,psych
75,meme,874.7805388368662,psych
76,deux,860.874404619474,psych
77,par,858.5808550464183,psych
78,appeler,858.0988843475955,psych
79,passer,852.5358775870694,psych
80,prendre,835.5891287785768,psych
81,autre,809.5012998982743,psych
82,spencer,786.6374537360501,psych
83,alors,783.161811999294,psych
84,peu,776.4681212984453,psych
85,fait,758.9047696439809,psych
86,temps,727.8849136945388,psych
87,mec,724.72282754178,psych
88,merci,710.3011623263035,psych
89,jamais,703.0088923864494,psych
90,besoin,684.4298741617762,psych
91,comment,667.7769817398593,psych
92,juste,659.6344038388544,psych
93,maintenant,640.2991789810853,psych
94,falloir,640.1958211963359,psych
95,arriver,633.4391370676148,psych
96,truc,627.1121630471009,psych
97,aussi,622.9495600040218,psych
98,tuer,596.8493776989834,psych
99,petit,590.7613226628849,psych
100,aimer,590.1243142882906,psych
101,personne,585.6979363242583,psych
102,donc,584.0245136490462,psych
103,toujours,574.318150941304,psych
104,parce,568.2678582035392,psych
105,fois,567.0081231272609,psych
106,avant,560.8406071421404,psych
107,vrai,553.1364655294805,psych
108,seul,549.773933824134,psych
109,qu,544.8393680951714,psych
110,fai,542.9988143350564,psych
111,trop,536.3330751774555,psych
112,pere,527.1281426918325,psych
113,guster,508.77669922317745,psych
114,veux,493.0295982919531,psych
115,as,490.0,psych
116,sans,489.9115548934426,psych
117,depuis,489.8595993322887,psych
118,apres,486.2247008974423,psych
119,inspecteur,477.21105704428356,psych
120,ok,475.1822764011531,psych
121,sentir,472.9678890104857,psych
122,encore,465.6572760438192,psych
123,laisser,464.0293753378012,psych
124,mettre,461.14369178522355,psych
125,entrer,457.7653497208629,psych
126,homme,454.7198659922405,psych
127,medium,451.0156020256009,psych
128,connaitre,450.57924851641565,psych
129,sai,450.0863785334432,psych
130,heure,436.39782010976927,psych
131,celui,432.08532413701056,psych
132,hara,431.1472669308087,psych
