,mots,poids,serie
0,be,10243.290446179324,pushingdaisies
1,the,4558.156965122475,pushingdaisies
2,you,4490.089060083931,pushingdaisies
3,to,3800.495872114562,pushingdaisies
4,not,3233.7395021697503,pushingdaisies
5,and,2587.909359328707,pushingdaisies
6,that,2317.2158417496835,pushingdaisies
7,it,2235.6292843139463,pushingdaisies
8,do,2216.1711958157266,pushingdaisies
9,of,1917.9562789536124,pushingdaisies
10,have,1877.968814621759,pushingdaisies
11,she,1475.4838704914025,pushingdaisies
12,in,1474.3295215764665,pushingdaisies
13,he,1430.9020077565522,pushingdaisies
14,we,1257.6373243837777,pushingdaisies
15,what,1168.98093927222,pushingdaisies
16,my,1107.3870183867646,pushingdaisies
17,would,1100.5317480300237,pushingdaisies
18,they,1081.5797985553672,pushingdaisies
19,with,1068.2614771767069,pushingdaisies
20,for,1067.0402670767144,pushingdaisies
21,know,1063.497697738202,pushingdaisies
22,this,996.0279290205166,pushingdaisies
23,get,941.8594611757895,pushingdaisies
24,your,893.8288450384074,pushingdaisies
25,his,892.7290177881762,pushingdaisies
26,go,860.9431880636176,pushingdaisies
27,pie,838.0910798160232,pushingdaisies
28,but,746.9280316163035,pushingdaisies
29,if,716.0525887419011,pushingdaisies
30,like,697.360452891209,pushingdaisies
31,on,696.0,pushingdaisies
32,can,694.3136403848066,pushingdaisies
33,so,686.0806723170025,pushingdaisies
34,her,678.6046794083871,pushingdaisies
35,just,652.9734340063535,pushingdaisies
36,about,627.7725056088791,pushingdaisies
37,say,625.3671351014249,pushingdaisies
38,ned,609.4794086372477,pushingdaisies
39,who,609.117232037142,pushingdaisies
40,all,600.0063686202031,pushingdaisies
41,no,598.8728973091542,pushingdaisies
42,at,591.4283410054376,pushingdaisies
43,think,584.4155075180818,pushingdaisies
44,there,560.7054487663253,pushingdaisies
45,chuck,558.1802630875,pushingdaisies
46,emerson,549.4694023638385,pushingdaisies
47,want,546.4672454376849,pushingdaisies
48,well,537.5372582519256,pushingdaisies
49,tell,531.3455574299684,pushingdaisies
50,one,526.319428869578,pushingdaisies
51,olive,518.8987180605128,pushingdaisies
52,dead,514.2224968242165,pushingdaisies
53,maker,507.17890070132415,pushingdaisies
54,could,506.98915973435896,pushingdaisies
55,out,500.98135222721487,pushingdaisies
56,will,496.26576083917104,pushingdaisies
57,make,494.01732561593195,pushingdaisies
58,here,489.92513588599655,pushingdaisies
59,when,480.24410570239957,pushingdaisies
60,find,475.5966421037485,pushingdaisies
61,come,471.49880744953464,pushingdaisies
62,as,471.0,pushingdaisies
63,see,449.90084057555185,pushingdaisies
64,how,443.4028920811567,pushingdaisies
65,now,423.106232225165,pushingdaisies
66,cod,421.5087926222685,pushingdaisies
67,up,420.9638785098285,pushingdaisies
68,back,418.05498090577265,pushingdaisies
69,from,392.416908723987,pushingdaisies
70,why,381.1317116911669,pushingdaisies
71,snook,380.2977347728801,pushingdaisies
72,take,366.27867934614034,pushingdaisies
73,thing,357.65974209826004,pushingdaisies
74,then,354.712086113916,pushingdaisies
75,right,351.49535303456383,pushingdaisies
76,lily,349.37848762663805,pushingdaisies
77,good,344.3322052591482,pushingdaisies
78,vivian,343.42695516025645,pushingdaisies
79,dwight,339.76517713937704,pushingdaisies
80,kill,339.2061898331585,pushingdaisies
81,by,335.9431267176398,pushingdaisies
82,need,331.2729614808378,pushingdaisies
83,only,324.4930734045578,pushingdaisies
84,never,322.13359291593156,pushingdaisies
85,look,309.3768738055901,pushingdaisies
86,life,308.8714011022773,pushingdaisies
87,ve,302.3336757313576,pushingdaisies
88,love,298.196008649308,pushingdaisies
89,something,292.2077537590409,pushingdaisies
90,an,292.0,pushingdaisies
91,mean,289.27406496939886,pushingdaisies
92,their,286.1431669092553,pushingdaisies
93,or,283.58493330013187,pushingdaisies
94,leave,283.1942630681944,pushingdaisies
95,herrmann,280.212856521768,pushingdaisies
96,time,276.5618807984764,pushingdaisies
97,charlotte,267.7557910591452,pushingdaisies
98,where,265.4384660077673,pushingdaisies
99,into,263.3077391418538,pushingdaisies
100,stingwell,260.48835122225637,pushingdaisies
101,yeah,259.88739035477954,pushingdaisies
102,our,258.272672447136,pushingdaisies
103,more,257.5189996560398,pushingdaisies
104,give,257.41864457100576,pushingdaisies
105,because,255.53526285139696,pushingdaisies
106,die,254.88125429154928,pushingdaisies
107,feel,251.32094974002194,pushingdaisies
108,really,247.72088436605978,pushingdaisies
109,very,245.14530411615127,pushingdaisies
110,oh,244.97405318976715,pushingdaisies
111,day,241.8246641260629,pushingdaisies
112,father,240.30690995596407,pushingdaisies
113,which,236.0039051812265,pushingdaisies
114,off,235.80848303950157,pushingdaisies
115,maybe,233.81984496013433,pushingdaisies
116,dad,233.25644434944866,pushingdaisies
117,murder,231.61379333290324,pushingdaisies
118,way,229.76382984166915,pushingdaisies
119,year,224.17892942200675,pushingdaisies
120,let,221.85027720130483,pushingdaisies
121,too,216.22642823311307,pushingdaisies
122,digby,215.84466027649952,pushingdaisies
123,bee,215.02753407256603,pushingdaisies
124,people,214.42781083846432,pushingdaisies
125,some,213.1226306191423,pushingdaisies
126,again,209.96791537971282,pushingdaisies
127,someone,208.4182497861431,pushingdaisies
128,keep,207.47917766444482,pushingdaisies
129,papen,206.21994471761963,pushingdaisies
130,other,203.6453127681398,pushingdaisies
131,thank,203.45164239760905,pushingdaisies
132,larue,203.42673300439154,pushingdaisies
133,mother,201.57647184447208,pushingdaisies
134,talk,201.55578382090505,pushingdaisies
135,try,201.37310600079698,pushingdaisies
136,before,200.67751350269603,pushingdaisies
137,wait,198.95021864114418,pushingdaisies
138,aunt,196.4873970737473,pushingdaisies
139,little,195.92966839787888,pushingdaisies
140,bring,195.14856446088356,pushingdaisies
141,those,194.7301626798146,pushingdaisies
142,help,193.9332449966947,pushingdaisies
