,mots,poids,serie
0,le,10436.90032357663,pushingdaisies
1,etre,9952.876897009353,pushingdaisies
2,de,7150.620846458419,pushingdaisies
3,avoir,6447.135790533453,pushingdaisies
4,je,5360.205282516521,pushingdaisies
5,un,5036.441519685334,pushingdaisies
6,que,4911.818396347448,pushingdaisies
7,ce,4752.897717592717,pushingdaisies
8,pas,3241.075590727627,pushingdaisies
9,ne,3166.1852199237524,pushingdaisies
10,et,3102.198727491713,pushingdaisies
11,il,2700.9695708656695,pushingdaisies
12,vous,2266.380060114946,pushingdaisies
13,pouvoir,1840.9861086771461,pushingdaisies
14,lui,1701.786453141048,pushingdaisies
15,tu,1624.613027073312,pushingdaisies
16,en,1528.3050021515805,pushingdaisies
17,son,1473.860287223681,pushingdaisies
18,faire,1466.2612354274856,pushingdaisies
19,qui,1458.4410700970943,pushingdaisies
20,cela,1450.9979166428827,pushingdaisies
21,dans,1414.395817948178,pushingdaisies
22,mais,1372.290902107271,pushingdaisies
23,pour,1336.465472104728,pushingdaisies
24,mon,1314.3907634255938,pushingdaisies
25,tout,1125.1699182747839,pushingdaisies
26,dire,1111.463154814236,pushingdaisies
27,se,1085.7258098841771,pushingdaisies
28,me,1037.785448877854,pushingdaisies
29,aller,1025.5721701306475,pushingdaisies
30,patissier,977.6168110705388,pushingdaisies
31,avec,941.7755289183139,pushingdaisies
32,savoir,935.4432754436011,pushingdaisies
33,si,925.2251301550956,pushingdaisies
34,on,903.0,pushingdaisies
35,te,855.3784110887359,pushingdaisies
36,vouloir,851.3422002188742,pushingdaisies
37,sur,824.3632576387436,pushingdaisies
38,comme,770.6265663857564,pushingdaisies
39,devoir,753.3702803524164,pushingdaisies
40,ou,694.1300010779654,pushingdaisies
41,mort,675.9037176008404,pushingdaisies
42,ned,660.7188279474587,pushingdaisies
43,bien,650.3315327166166,pushingdaisies
44,quelque,647.6145753071085,pushingdaisies
45,au,639.4554825859427,pushingdaisies
46,voir,614.6213573301712,pushingdaisies
47,moi,600.628967314203,pushingdaisies
48,taire,600.2119094043298,pushingdaisies
49,emerson,599.9611852837588,pushingdaisies
50,nous,594.5301224785435,pushingdaisies
51,plus,584.5161573304715,pushingdaisies
52,chose,582.2983161963997,pushingdaisies
53,chuck,578.3554533195783,pushingdaisies
54,luire,574.318150941304,pushingdaisies
55,olive,551.7623035376787,pushingdaisies
56,par,536.1027842920583,pushingdaisies
57,votre,530.5762783441685,pushingdaisies
58,quand,516.3485657787346,pushingdaisies
59,autre,509.6860036396542,pushingdaisies
60,penser,508.4404806862721,pushingdaisies
61,cod,463.02102219870403,pushingdaisies
62,meme,446.3833403784382,pushingdaisies
63,trouver,432.4277842381583,pushingdaisies
64,vie,429.4356269683149,pushingdaisies
65,pourquoi,424.7383363663785,pushingdaisies
66,tuer,421.99772902097135,pushingdaisies
67,non,418.6388476303065,pushingdaisies
68,pere,391.580905999647,pushingdaisies
69,alors,388.23406064922267,pushingdaisies
70,snook,385.43689335089203,pushingdaisies
71,tarte,385.13488142923643,pushingdaisies
72,aimer,385.0098802621611,pushingdaisies
73,jamais,382.8593028959067,pushingdaisies
74,juste,366.10515812083116,pushingdaisies
75,lily,364.3824717578434,pushingdaisies
76,ici,363.08414902008815,pushingdaisies
77,vivian,357.7364116252671,pushingdaisies
78,aussi,351.4501528364936,pushingdaisies
79,toi,349.97717758687384,pushingdaisies
80,nouveau,348.24201550762757,pushingdaisies
81,fait,344.95671347453674,pushingdaisies
82,quoi,333.6606935320788,pushingdaisies
83,prendre,332.8906388292922,pushingdaisies
84,parler,332.8906388292922,pushingdaisies
85,dwight,324.20341330093225,pushingdaisies
86,la,319.1458472786106,pushingdaisies
87,rien,315.00451284847827,pushingdaisies
88,ton,312.00044578039456,pushingdaisies
89,mourir,304.5629268886143,pushingdaisies
90,fille,303.14657732816033,pushingdaisies
91,notre,295.92209511620314,pushingdaisies
92,petit,294.58875607318123,pushingdaisies
93,arriver,288.8482465028323,pushingdaisies
94,bon,286.4866589719383,pushingdaisies
95,venir,281.135009435644,pushingdaisies
96,toujours,268.57819411666867,pushingdaisies
97,passer,267.75211569690237,pushingdaisies
98,charlotte,265.5610714602998,pushingdaisies
99,apres,264.46681366381154,pushingdaisies
