,mots,poids,serie
0,etre,3234.2353379800397,raines
1,le,2747.7899026391297,raines
2,avoir,2576.297197407022,raines
3,je,1994.395529319312,raines
4,de,1963.6918966254414,raines
5,ce,1745.631170416698,raines
6,vous,1694.2028281893745,raines
7,un,1573.887974901667,raines
8,que,1437.6373481305097,raines
9,ne,1206.4804281262045,raines
10,pas,1187.3107266512022,raines
11,il,1035.3494605637027,raines
12,et,801.319528897187,raines
13,cela,690.8709521617451,raines
14,pouvoir,630.4746947524472,raines
15,lui,627.4926883203478,raines
16,faire,581.6439596889142,raines
17,tout,491.2065127529752,raines
18,pour,455.9578312448059,raines
19,dire,450.04911702051214,raines
20,qui,443.05074669976597,raines
21,aller,432.08532413701056,raines
22,savoir,431.743050204739,raines
23,mais,409.9050746554186,raines
24,en,406.425720477761,raines
25,dans,397.1376059601329,raines
26,me,384.18019020959014,raines
27,mon,353.5454548042812,raines
28,votre,351.5273175407184,raines
29,avec,345.3176939367151,raines
30,vouloir,331.07752230733996,raines
31,sur,325.84121476795514,raines
32,tu,325.1981971071261,raines
33,voir,324.7999042801718,raines
34,quelque,314.6034629398873,raines
35,son,310.23353457228706,raines
36,bien,309.4681086720451,raines
37,se,296.8975612841171,raines
38,luire,275.33487824538986,raines
39,moi,274.7877525462479,raines
40,on,268.0,raines
41,quoi,250.65242343385435,raines
42,si,234.5825754925809,raines
43,ici,222.161077482611,raines
44,devoir,221.28140521562008,raines
45,ouai,221.01164730495827,raines
46,pourquoi,216.53326952011452,raines
47,comme,208.71136172947567,raines
48,la,200.29153174036938,raines
49,inspecteur,198.66726409139702,raines
50,non,196.8146270677545,raines
51,parler,196.70810476276355,raines
52,penser,194.25466870073518,raines
53,au,188.4574084856945,raines
54,raines,187.9702470760515,raines
55,boyer,186.80857101451198,raines
56,alors,184.0764942733383,raines
57,billings,182.66059364727667,raines
58,tuer,174.85164867801205,raines
59,chose,170.23475364211686,raines
60,ou,165.33411442998784,raines
61,ca,163.9156528445316,raines
62,venir,162.32199949558017,raines
63,plus,162.1900688808876,raines
64,te,147.38828006452064,raines
65,rien,145.89682700350573,raines
66,bon,145.24207361833152,raines
67,aimer,144.58886332989456,raines
68,parce,144.58886332989456,raines
69,trouver,141.8903667031457,raines
70,nous,137.44513584181382,raines
71,prendre,132.82000236118222,raines
72,meme,129.1732010618924,raines
73,vraiment,128.2543211772986,raines
74,taire,126.09493895048945,raines
75,passer,123.19882624090599,raines
76,quand,119.92611850344805,raines
77,juste,119.34705595128418,raines
78,ok,118.52372569273614,raines
79,fois,117.71221269601031,raines
80,peu,117.13958726485166,raines
81,autre,116.59483743390783,raines
82,toujours,108.10694605953958,raines
83,jamais,105.61635941956047,raines
84,boudreau,103.23631556065136,raines
85,tres,103.13214838554384,raines
86,femme,102.94768357396117,raines
87,192,97.29924166989015,raines
88,appeler,96.28274883427744,raines
89,aussi,93.27586994712625,raines
90,croire,92.90440676991683,raines
91,par,91.16468666895409,raines
92,maintenant,90.76405887618478,raines
93,jimmy,89.31547034935747,raines
94,merci,89.1471094417628,raines
95,mort,86.69548871839758,raines
96,julio,85.85673879006411,raines
97,comment,84.88690445845668,raines
98,oui,84.42611937941761,raines
99,connaitre,84.06329263365964,raines
100,sans,83.00827009822449,raines
101,oh,82.32734574410208,raines
102,po,80.4741813258932,raines
103,victime,80.12343648458402,raines
104,petit,79.19052582612397,raines
105,temps,78.28510513419525,raines
106,seul,77.33822922296686,raines
107,encore,76.56780713472195,raines
108,kitman,75.97576910649144,raines
109,toi,75.8015085095994,raines
110,gens,74.32352541593346,raines
111,euh,72.98821096999616,raines
112,travailler,72.29443166494728,raines
113,argent,71.95717503412317,raines
114,personne,71.95717503412317,raines
115,sandy,71.56855571059235,raines
116,arme,70.61316581227409,raines
117,besoin,68.61032968369884,raines
118,michael,66.8363762576627,raines
119,celui,65.56936825425451,raines
120,aider,65.56936825425451,raines
121,deux,64.64441499889824,raines
122,affaire,64.18849922285163,raines
123,avion,64.09874918766721,raines
124,nom,62.899124082433545,raines
125,jour,62.785035261220926,raines
126,monde,62.20683654890813,raines
127,flic,61.41689101331417,raines
128,arriver,60.810157158491016,raines
129,mettre,60.810157158491016,raines
130,fait,60.778087612180286,raines
131,traeger,59.69524715510042,raines
132,boulot,59.68099807343615,raines
133,vie,59.60138594933908,raines
134,trop,59.40920217350276,raines
135,arreter,59.12098612631071,raines
136,vrai,58.844304843561744,raines
137,gars,57.70273286220242,raines
138,quel,56.6317781821838,raines
139,probleme,56.36922861499085,raines
140,apres,55.85013456254405,raines
141,avant,55.59352957094103,raines
142,donc,55.2229482820015,raines
143,heure,54.96613764741369,raines
144,mieux,54.96613764741369,raines
145,porte,54.71131012631465,raines
146,levay,54.07616529367452,raines
147,ton,52.559214880568256,raines
148,chercher,52.364301997589486,raines
149,essayer,52.364301997589486,raines
150,alice,52.13638766055206,raines
151,famille,52.119241432868975,raines
152,deja,52.07598768845606,raines
153,hey,51.96180815436445,raines
154,mourir,51.876102931577165,raines
155,entrer,50.67513096540918,raines
156,depuis,50.67513096540918,raines
157,wally,49.756550821887984,raines
158,enfant,49.737554660286044,raines
159,tete,49.50766847791897,raines
160,charlie,49.450345117056095,raines
161,connie,49.05176213921253,raines
162,demander,48.98595993322887,raines
163,regarder,48.98595993322887,raines
164,assez,48.98595993322887,raines
165,aucun,48.98595993322887,raines
166,aurelio,48.84156585417307,raines
167,entendre,48.82839417542617,raines
168,ouais,48.662913497792665,raines
169,type,48.061444726330464,raines
170,allez,47.85741286198834,raines
171,sortir,47.0754438748494,raines
172,partir,47.0754438748494,raines
173,nuit,46.63793497356313,raines
174,fille,46.63793497356313,raines
175,jusque,45.60761786886826,raines
176,donner,45.36498849941392,raines
177,cas,44.95321637250245,raines
178,mec,44.75722925436171,raines
179,chez,43.945554757883556,raines
180,falloir,43.918446836687956,raines
181,meilleur,43.918446836687956,raines
182,devenir,43.918446836687956,raines
183,moins,43.918446836687956,raines
184,payer,43.712912169503014,raines
185,commencer,43.712912169503014,raines
186,laisser,43.712912169503014,raines
187,peur,43.50898955551633,raines
188,mari,43.50898955551633,raines
189,travail,43.30665390402291,raines
190,homme,43.30665390402291,raines
191,beaucoup,42.76288394610695,raines
192,svetlana,42.750351704681776,raines
193,maison,42.70892643018074,raines
194,voila,42.537001683654154,raines
195,webb,42.35664798693352,raines
196,photo,42.23837391578962,raines
197,dernier,42.22927580450765,raines
198,chaque,42.03164631682982,raines
199,truc,42.03164631682982,raines
200,an,42.0,raines
201,notre,41.3654541560284,raines
202,voiture,41.314365465564656,raines
203,etiez,40.962322493071554,raines
204,enquete,40.55307766416641,raines
205,raison,40.504454017333856,raines
206,perdre,40.35038046415663,raines
207,rendre,40.35038046415663,raines
208,pere,40.162144205092,raines
209,cote,40.162144205092,raines
210,mal,40.088004253009636,raines
211,mauvais,38.850933740147035,raines
212,idee,38.48872152987983,raines
213,pler,38.40565506287385,raines
214,mcsweeney,37.98788455324572,raines
215,fuhlman,37.98788455324572,raines
216,brody,37.755361596997645,raines
217,emily,37.51377021758844,raines
218,contre,37.33706244024862,raines
219,drogue,36.49945146678735,raines
220,dieu,36.13832236399909,raines
221,fou,35.80748906197919,raines
222,finir,35.472591675786425,raines
223,comprendre,35.472591675786425,raines
224,compte,35.472591675786425,raines
225,grand,34.7550147601902,raines
226,appel,33.78342064360612,raines
227,tirer,33.62531705346385,raines
228,hein,33.15836977352403,raines
229,ami,33.11055402382593,raines
230,meurtre,33.02126273064503,raines
231,hayworth,33.0204613306673,raines
232,police,32.91025515729139,raines
233,tobman,32.561043902782046,raines
234,premier,32.3787726658924,raines
235,surement,32.24564483476017,raines
236,sentir,32.094249611425816,raines
237,pendant,31.95163929691282,raines
238,feuill,31.932484289565796,raines
239,caroline,31.885655135656446,raines
240,vivre,31.795030829031166,raines
241,mois,31.647170160632122,raines
242,bas,31.354856702682014,raines
243,sai,31.21036931436285,raines
244,tueur,31.179785967344884,raines
245,mere,30.936263431244033,raines
246,ecole,30.838834507668594,raines
247,pepsilite,30.83495146807136,raines
248,surfer,30.72607438383634,raines
249,coup,30.44336641784073,raines
250,fils,30.405078579245508,raines
251,revenir,30.405078579245508,raines
252,propos,30.405078579245508,raines
253,rester,30.26278534811747,raines
254,semaine,30.121608153818997,raines
255,bd,29.788820055566802,raines
256,mot,29.431868596380543,raines
257,russo,29.406207609992716,raines
258,pute,29.054763805111197,raines
259,ah,29.022425963302727,raines
260,imaginer,28.9879133499547,raines
261,difficile,28.9879133499547,raines
262,acheter,28.7159075470652,raines
263,histoire,28.7159075470652,raines
264,souvent,28.7159075470652,raines
265,envoyer,28.581519495444276,raines
266,combien,28.44818547860683,raines
267,menace,28.158528622038205,raines
268,question,28.0,raines
269,as,28.0,raines
270,rue,27.876945540801767,raines
271,andrew,27.674598296560685,raines
272,newman,27.537453326988516,raines
273,laird,27.47725674045882,raines
274,jouer,27.026736514884895,raines
275,fai,26.650248556321788,raines
276,demande,26.650248556321788,raines
