,mots,poids,serie
0,etre,12824.119188967366,reaper
1,je,9530.045828091208,reaper
2,le,9363.022955053098,reaper
3,ce,7527.019949531341,reaper
4,avoir,6859.4711980588945,reaper
5,de,6653.009548403471,reaper
6,que,5620.808191551282,reaper
7,un,4830.7565207992675,reaper
8,pas,4605.069461225734,reaper
9,tu,3582.69200202766,reaper
10,cela,3104.6963571474025,reaper
11,ne,2983.825637140164,reaper
12,il,2683.647121718529,reaper
13,aller,2595.8744765274096,reaper
14,te,2524.024296104916,reaper
15,et,2391.6872309657233,reaper
16,vous,2347.322205119051,reaper
17,faire,2281.210850256243,reaper
18,pouvoir,2126.801303631589,reaper
19,mon,1716.4061596143329,reaper
20,en,1714.6836609505538,reaper
21,me,1692.638045826019,reaper
22,on,1651.0,reaper
23,bien,1586.2109338214486,reaper
24,tout,1473.6195382589256,reaper
25,quoi,1435.5547887575294,reaper
26,dire,1410.5373284253112,reaper
27,pour,1399.2815153641075,reaper
28,savoir,1311.9633773663386,reaper
29,vouloir,1287.148326521393,reaper
30,taire,1279.4433138842996,reaper
31,lui,1258.2706786737865,reaper
32,moi,1223.7815209026885,reaper
33,devoir,1219.581485234181,reaper
34,qui,1080.0347383962267,reaper
35,mais,1062.8368734148405,reaper
36,avec,1062.636721796164,reaper
37,non,1053.665047672122,reaper
38,dans,1040.0447959365774,reaper
39,se,1032.309093837244,reaper
40,andi,1025.770427652594,reaper
41,voir,1017.7063667445383,reaper
42,sam,924.8882677825728,reaper
43,toi,916.0692943287758,reaper
44,ouai,906.3190808087048,reaper
45,si,862.3203054420013,reaper
46,sur,830.3695473118856,reaper
47,juste,767.6918734163685,reaper
48,penser,724.6543728053513,reaper
49,diable,701.245396963583,reaper
50,vraiment,697.9033840686768,reaper
51,comme,693.5639097471807,reaper
52,ton,689.9794804534174,reaper
53,quelque,671.0424927600789,reaper
54,ou,666.8020482796204,reaper
55,accord,660.8517980073217,reaper
56,nous,658.4580926375266,reaper
57,tres,645.357231564085,reaper
58,au,626.4584199317569,reaper
59,chose,604.572022280415,reaper
60,bon,599.6232397087081,reaper
61,luire,597.9665453918283,reaper
62,alors,597.4118950507435,reaper
63,pourquoi,579.6429060999989,reaper
64,peu,579.0042456234096,reaper
65,mec,535.365319157942,reaper
66,oui,523.4419401523892,reaper
67,sock,517.3514086275095,reaper
68,la,516.1358702540288,reaper
69,oh,516.0518989325423,reaper
70,sai,494.43795598016936,reaper
71,parler,494.29216068591865,reaper
72,plus,487.6233889081231,reaper
73,ame,485.44379422038475,reaper
74,son,476.8962101030303,reaper
75,rien,465.8750953180126,reaper
76,merci,454.36268683221033,reaper
77,aimer,447.21671681106926,reaper
78,veux,429.73525797068885,reaper
79,maintenant,427.41620452603377,reaper
80,ici,424.4271331011076,reaper
81,passer,415.5907071859895,reaper
82,enfer,405.5541709968264,reaper
83,petit,405.4554922297548,reaper
84,croire,405.40104772327345,reaper
85,quand,404.75064994913714,reaper
86,prendre,391.7349436728539,reaper
87,besoin,388.23406064922267,reaper
88,venir,383.21379262358613,reaper
89,trouver,380.0634822405688,reaper
90,parce,376.6035509987952,reaper
91,autre,361.44399604511426,reaper
92,meme,361.35794221111667,reaper
93,par,360.5767457801915,reaper
94,fait,358.09792160690006,reaper
95,allez,354.80495742508595,reaper
96,comment,345.20674479772384,reaper
97,he,344.45713786721365,reaper
98,jamais,343.2531681135715,reaper
99,dieu,338.3861094083551,reaper
100,sortir,329.5281071239458,reaper
101,ok,326.2120890625765,reaper
102,heu,320.7885008348335,reaper
103,fai,318.1373421410913,reaper
104,as,311.0,reaper
105,truc,307.6716510391943,reaper
106,contenant,306.8293669351235,reaper
107,essayer,298.98327269591414,reaper
108,tuer,292.5402583651355,reaper
109,votre,289.1065789119927,reaper
110,arriver,287.159075470652,reaper
111,aussi,283.158890910919,reaper
112,vie,282.7245230930187,reaper
113,temps,279.8276098413788,reaper
114,ami,275.9212835318827,reaper
115,toujours,268.57819411666867,reaper
116,gars,264.7537154853993,reaper
117,ben,261.391889296968,reaper
118,ecoute,256.75399689140653,reaper
119,fois,255.31944725613502,reaper
120,laisser,252.1898779009789,reaper
121,probleme,252.00361027878262,reaper
122,donc,244.31971058097633,reaper
123,salut,243.53250606275554,reaper
124,ca,241.55990945509916,reaper
125,cady,240.88473630818652,reaper
126,aider,233.69595352157378,reaper
127,vrai,228.6521559635542,reaper
128,appeler,226.348918312161,reaper
129,quel,224.86147219396508,reaper
130,mettre,224.65974727998068,reaper
131,encore,221.89037985980647,reaper
132,notre,221.14608183415183,reaper
133,personne,220.891793128006,reaper
134,demon,215.83254882413246,reaper
135,ted,214.4781367983453,reaper
136,trop,209.5824632231903,reaper
137,fille,208.20506684626397,reaper
138,nouveau,206.97402808472205,reaper
139,mal,206.60740653474198,reaper
140,regarde,202.70052386163673,reaper
141,sammy,202.4952367627956,reaper
142,seul,200.07063646810994,reaper
143,desole,199.8768641724134,reaper
144,voiture,199.68609975022918,reaper
145,hein,198.95021864114418,reaper
146,desoler,192.56549766855488,reaper
147,soir,191.54866149856286,reaper
148,est,188.7803093376113,reaper
149,raison,187.9406666404291,reaper
150,donner,186.32048847973576,reaper
151,deux,184.473086704173,reaper
152,finir,182.43047147547304,reaper
153,attendre,180.74130044329274,reaper
154,monde,179.89544623603163,reaper
155,avant,179.8614192001033,reaper
156,attend,178.60575844530558,reaper
157,boulot,177.3378228467817,reaper
158,partir,174.85164867801205,reaper
159,gens,173.98461631457153,reaper
160,nina,172.67893589424187,reaper
161,apres,170.83570572072296,reaper
162,mourir,170.689112871641,reaper
163,celui,169.80785111999248,reaper
164,ouais,168.5822360459246,reaper
165,laisse,168.12658526731929,reaper
166,sentir,167.22793218585028,reaper
167,euh,166.5628404187092,reaper
168,jour,164.81071756070492,reaper
169,entendre,164.38892705726812,reaper
170,genial,163.53602996786012,reaper
171,pense,163.23277240747095,reaper
172,regarder,162.16041908930936,reaper
173,pere,160.648576820368,reaper
174,voila,159.1707159775446,reaper
175,falloir,158.78207702494876,reaper
176,arreter,157.09290599276846,reaper
177,eh,156.94111522601145,reaper
178,bebe,155.537103426562,reaper
179,beaucoup,153.62962010268052,reaper
180,mere,150.81428422731466,reaper
181,greg,147.44133987439434,reaper
182,mort,146.09795321063297,reaper
183,mieux,144.91072652499972,reaper
184,demander,143.579537735326,reaper
185,benji,143.24055839861376,reaper
186,chez,143.22995624791676,reaper
187,endroit,142.55969295367657,reaper
188,depuis,141.8903667031457,reaper
189,femme,139.3753254539782,reaper
190,heure,138.24816438591927,reaper
191,pote,137.9600262356001,reaper
192,allon,137.34872011644254,reaper
193,argent,137.22065936739767,reaper
194,adorer,135.77113614635863,reaper
195,glady,135.1031118081121,reaper
196,contenir,133.3889355362312,reaper
197,super,132.6289845314585,reaper
198,revenir,131.75534051006386,reaper
199,tony,131.6411317204528,reaper
200,travailler,131.13873650850903,reaper
201,air,125.99201071047203,reaper
202,dernier,124.99865638134264,reaper
203,sprong,124.81733496066451,reaper
204,importer,124.18545011147137,reaper
205,deja,123.85640315092253,reaper
206,idee,123.83327796570033,reaper
207,nuit,123.25739957298828,reaper
208,fils,121.62031431698203,reaper
209,homme,121.59175903821816,reaper
210,entrer,118.24197225262142,reaper
211,gros,116.0073438344503,reaper
212,sans,115.56053288184194,reaper
213,josie,115.25859658888956,reaper
214,chercher,114.8636301882608,reaper
215,connaitre,114.3260779817771,reaper
216,comprendre,113.1744591560805,reaper
217,fete,110.31404811891639,reaper
218,va,110.25028176046878,reaper
219,occuper,109.79611709171989,reaper
220,marche,109.67026763090978,reaper
221,rendre,109.28228042375753,reaper
222,bizarre,108.72492307128458,reaper
223,manger,108.67754927027138,reaper
224,porte,107.7647017639531,reaper
225,reste,107.60101457108433,reaper
226,grand,107.42459107695153,reaper
227,peur,107.09905121357866,reaper
228,rentrer,105.91974871841114,reaper
229,meilleur,104.72860399517897,reaper
230,am,103.71070186049086,reaper
231,maison,103.48701404236103,reaper
232,monsieur,102.84636360765418,reaper
233,sou,102.3158481876992,reaper
234,genre,101.4927822173804,reaper
235,contrat,100.87577812964521,reaper
236,joli,100.60511103807808,reaper
237,donne,100.2017120092702,reaper
238,pret,99.47510932057209,reaper
239,addicts,99.40756286797831,reaper
240,perdre,99.19468530771837,reaper
241,tete,99.01533695583794,reaper
242,an,99.0,reaper
243,pendant,98.8979311571111,reaper
244,payer,97.51341945504518,reaper
245,vendre,97.19476829102459,reaper
246,bert,96.92625208528972,reaper
247,cool,96.89276842234844,reaper
248,nom,96.76788320374392,reaper
249,prend,95.83215360237199,reaper
250,vivre,95.3850924870935,reaper
251,amour,95.27375895963397,reaper
252,mauvais,94.59357780209713,reaper
253,assez,94.59357780209713,reaper
254,contre,93.34265610062155,reaper
255,bonjour,93.09748993370147,reaper
256,attendez,92.90440676991683,reaper
257,moment,92.36726595679744,reaper
258,nessman,92.25629105788246,reaper
259,steve,92.16004808460347,reaper
260,journee,91.64551689879207,reaper
261,moins,91.21523573773652,reaper
262,rencontrer,90.37408279691759,reaper
263,aide,90.30602168851625,reaper
264,aucun,89.52606470555621,reaper
265,ur,89.10979883813448,reaper
266,parfaire,89.08996635548705,reaper
267,tactactac,87.13107879674544,reaper
268,morgan,87.07333291948426,reaper
269,maman,86.55409929330362,reaper
270,fou,86.26349637658623,reaper
271,voler,86.1477226411956,reaper
272,commencer,85.74455848633283,reaper
273,dedans,85.74455848633283,reaper
274,stupide,85.25856867633735,reaper
275,biere,85.16009862113717,reaper
276,retourner,84.85696009147415,reaper
277,serieux,84.4585516090153,reaper
278,marcher,84.4585516090153,reaper
279,coup,84.41115234037657,reaper
280,wysocki,83.57225545386062,reaper
281,probablement,83.15982088964466,reaper
282,gagner,82.76938057683499,reaper
283,bas,82.51278079653162,reaper
284,oeil,82.38202678098645,reaper
285,rester,82.38202678098645,reaper
286,dingue,82.07748396295196,reaper
287,compte,81.08020954465468,reaper
288,enfin,81.08020954465468,reaper
289,papa,80.54101861919176,reaper
290,facon,80.324288410184,reaper
291,oublier,79.76554248598569,reaper
292,acheter,79.39103851247438,reaper
293,capturer,79.00008748325922,reaper
294,premier,78.63416218859582,reaper
295,qu,78.34291567381548,reaper
296,demande,78.28510513419525,reaper
297,ville,78.13041544359382,reaper
298,envoyer,77.33822922296686,reaper
299,foutre,76.73271180870361,reaper
300,travail,76.61946459942514,reaper
301,moyen,76.01269644811377,reaper
302,jouer,76.01269644811377,reaper
303,dur,76.01269644811377,reaper
304,verite,76.01269644811377,reaper
305,tant,76.01269644811377,reaper
306,completement,75.65696337029367,reaper
307,renvoyer,75.45503753064312,reaper
308,attraper,75.38381768541213,reaper
309,cote,75.3040203845475,reaper
310,semaine,75.3040203845475,reaper
311,tard,75.2147753018614,reaper
312,tellement,75.02754043517687,reaper
313,aujourd,74.95382406465502,reaper
314,hui,74.60633199042907,reaper
315,histoire,74.32352541593346,reaper
316,echapper,73.70026921597702,reaper
317,merde,73.63059770933533,reaper
318,vite,73.51716568283065,reaper
319,echappee,73.09954052957558,reaper
320,esperer,72.63435438375316,reaper
321,famille,72.29443166494728,reaper
322,main,72.19023711921983,reaper
323,combien,71.95717503412317,reaper
324,frere,71.94456768004133,reaper
325,plaire,71.61719768812338,reaper
326,tagne,71.30442012094805,reaper
327,affaire,70.94518335157285,reaper
328,utiliser,70.94518335157285,reaper
329,vieux,70.61316581227409,reaper
330,ouvrir,70.61316581227409,reaper
331,cadeau,70.57870767033963,reaper
332,carmona,70.54892845602777,reaper
333,detester,70.24401193413402,reaper
334,parle,69.9569024603447,reaper
335,heureux,69.91202631459663,reaper
336,dont,69.63257652440046,reaper
337,changer,69.38308428405514,reaper
338,devenir,69.25601231939254,reaper
339,plait,68.72256792090691,reaper
340,insecte,68.03630756420904,reaper
341,garder,67.97465803572426,reaper
342,plutot,67.88556807317931,reaper
343,cours,67.88556807317931,reaper
344,surement,67.88556807317931,reaper
345,dis,67.87745886658335,reaper
346,feu,67.56684128721224,reaper
347,tomber,67.56684128721224,reaper
348,cas,67.42982455875368,reaper
349,souvenir,67.23590588706625,reaper
350,type,66.86809701054673,reaper
351,chien,66.50168356754314,reaper
352,arrete,65.87767025503193,reaper
353,plein,65.56936825425451,reaper
354,content,64.51081781172068,reaper
355,magasin,64.41316166654238,reaper
356,monstre,64.41316166654238,reaper
357,mays,64.40921574085004,reaper
358,demain,64.18849922285163,reaper
359,oliver,64.03602019522,reaper
360,mot,63.76904862549118,reaper
361,mentir,63.09134082048964,reaper
362,chance,63.0,reaper
363,leon,62.9660309632404,reaper
364,porter,62.65786728007442,reaper
365,avai,62.49932819067132,reaper
366,propos,62.49932819067132,reaper
367,ressembler,62.49932819067132,reaper
368,longtemps,62.20683654890813,reaper
369,partie,61.83509719499124,reaper
370,annee,61.62869978649414,reaper
371,terre,61.62869978649414,reaper
372,devant,60.810157158491016,reaper
373,dormir,60.810157158491016,reaper
374,retrouver,60.810157158491016,reaper
375,jusque,60.810157158491016,reaper
376,cul,59.914335852637386,reaper
377,bellifiore,59.69524715510042,reaper
378,enfant,59.68506559234326,reaper
379,ensembl,59.68099807343615,reaper
380,accepter,59.3998720640319,reaper
381,hier,59.3998720640319,reaper
382,ouer,59.28397134943609,reaper
383,dessus,59.12098612631071,reaper
384,exactement,59.12098612631071,reaper
385,viens,58.844304843561744,reaper
386,atelier,58.39495492763396,reaper
387,diabolique,57.75608399411797,reaper
388,choix,57.70273286220242,reaper
389,battre,57.70273286220242,reaper
390,amener,57.4318150941304,reaper
391,sauver,57.4318150941304,reaper
392,confiance,57.16303899088855,reaper
393,envier,57.078858986656414,reaper
394,humain,56.53786326405909,reaper
395,recuperer,56.53786326405909,reaper
396,veen,56.53074435813083,reaper
397,abfaboune,56.53074435813083,reaper
398,clair,56.36922861499085,reaper
399,attrape,56.293604872402945,reaper
400,ferme,56.27065532638265,reaper
401,bench,56.05613225328382,reaper
402,point,56.0,reaper
403,putain,55.882542272648145,reaper
404,prochain,55.742644061950095,reaper
405,vien,55.742644061950095,reaper
406,preferer,54.56548395285591,reaper
407,magnifique,54.56548395285591,reaper
408,regardez,54.30845445854345,reaper
409,reve,54.30845445854345,reaper
410,schmecker,54.268406504636744,reaper
411,rus,54.23933957124215,reaper
412,sembler,54.05347302976979,reaper
413,emmener,54.05347302976979,reaper
414,montrer,54.05347302976979,reaper
415,presque,54.05347302976979,reaper
416,nikki,53.936230852853775,reaper
417,subs,53.8948962153391,reaper
418,sens,53.80050728554217,reaper
419,copine,53.67763472211865,reaper
420,train,53.25812588652696,reaper
421,parent,53.073456287697574,reaper
422,amie,52.86031257932916,reaper
423,boire,52.86031257932916,reaper
424,classe,52.64304943998358,reaper
425,agir,52.364301997589486,reaper
426,rappeler,52.119241432868975,reaper
427,part,52.0,reaper
428,boite,51.88987180605128,reaper
429,colere,51.88987180605128,reaper
430,mois,51.634856577873464,reaper
431,synchronise,51.51615728660202,reaper
432,imaginer,51.155141205802416,reaper
433,corps,50.98446310577824,reaper
434,supposer,50.914176054884486,reaper
435,retour,50.914176054884486,reaper
436,ecouter,50.914176054884486,reaper
437,sors,50.914176054884486,reaper
438,offrir,50.914176054884486,reaper
439,signer,50.88828112531746,reaper
440,voici,50.67513096540918,reaper
441,apprendre,50.67513096540918,reaper
442,anniversaire,50.4008746941424,reaper
443,realiser,50.16020941251624,reaper
444,question,50.0,reaper
445,visage,49.737554660286044,reaper
