,mots,poids,serie
0,le,18385.819785285952,robinhood
1,etre,18170.908650643167,robinhood
2,je,12535.182193927598,robinhood
3,avoir,11120.270409155122,robinhood
4,de,10720.580610568759,robinhood
5,ce,9001.141284481706,robinhood
6,vous,8030.01900609692,robinhood
7,que,7505.331898581066,robinhood
8,ne,7406.706242768211,robinhood
9,pas,7048.9507069161255,robinhood
10,un,6888.7428908692455,robinhood
11,il,6419.966153147901,robinhood
12,et,4479.044839930677,robinhood
13,gisbourne,4042.9962845954374,robinhood
14,nous,3977.917943142728,robinhood
15,pouvoir,3826.5610806841864,robinhood
16,tu,3534.463455846518,robinhood
17,faire,3308.4038041358294,robinhood
18,aller,3149.01094205689,robinhood
19,mon,3002.2851928137748,robinhood
20,cela,2891.860807092684,robinhood
21,robin,2819.912681668454,robinhood
22,en,2790.870110144625,robinhood
23,devoir,2611.458415750753,robinhood
24,pour,2562.461350891237,robinhood
25,sherif,2554.746536126481,robinhood
26,moi,2524.143235137938,robinhood
27,me,2422.33093956826,robinhood
28,bien,2199.1670910945813,robinhood
29,tout,2165.91371717015,robinhood
30,marianne,2138.7422083961083,robinhood
31,taire,2057.869403671988,robinhood
32,te,2031.8527180323206,robinhood
33,dire,1925.2899926212963,robinhood
34,votre,1898.9045751264975,robinhood
35,locksley,1838.5896199849337,robinhood
36,se,1792.5656105982468,robinhood
37,si,1791.4769871416652,robinhood
38,savoir,1721.9519327933194,robinhood
39,nottingham,1710.261477685784,robinhood
40,on,1683.0,robinhood
41,mais,1652.5817239072214,robinhood
42,lui,1644.2936675619585,robinhood
43,non,1573.4296429118274,robinhood
44,qui,1527.8155642422535,robinhood
45,vouloir,1521.9430999944557,robinhood
46,homme,1484.0857164801696,robinhood
47,voir,1462.4323895281582,robinhood
48,roi,1371.2942271530098,robinhood
49,ou,1352.7336635180823,robinhood
50,dans,1341.1532266850388,robinhood
51,oui,1306.3023198524434,robinhood
52,avec,1263.548834632071,robinhood
53,au,1262.0147837214438,robinhood
54,quoi,1246.7516646125482,robinhood
55,luire,1233.0948534916233,robinhood
56,son,1203.7864335021754,robinhood
57,ici,1187.0696378921602,robinhood
58,toi,1187.0193672992586,robinhood
59,sur,1087.1384308387073,robinhood
60,penser,1084.4478026597565,robinhood
61,djaq,1041.9534048890255,robinhood
62,alors,1035.848635956331,robinhood
63,bois,963.9738542031805,robinhood
64,pourquoi,956.0776669580441,robinhood
65,tuer,943.1901433496611,robinhood
66,plus,924.6940290741514,robinhood
67,quelque,915.3622033410551,robinhood
68,maintenant,897.739055066264,robinhood
69,notre,889.3572643546105,robinhood
70,comme,847.689223024332,robinhood
71,allez,838.3298528927612,robinhood
72,mourir,833.364492255659,robinhood
73,aimer,813.7326726938253,robinhood
74,chose,812.9902720665581,robinhood
75,bon,812.8226138273599,robinhood
76,jean,793.2427512063451,robinhood
77,quand,779.5197702724123,robinhood
78,ton,760.4311940167322,robinhood
79,par,737.4814951428823,robinhood
80,la,734.0354487408043,robinhood
81,rien,714.5628686194428,robinhood
82,autre,707.8972272772975,robinhood
83,croire,697.6276362904664,robinhood
84,venir,687.7767195122004,robinhood
85,besoin,681.0830288113518,robinhood
86,meme,631.1500710112716,robinhood
87,allan,618.8878972283483,robinhood
88,laisser,603.5744411096762,robinhood
