,mots,poids,serie
0,be,10017.546959367119,sanctuary
1,you,4832.459884834796,sanctuary
2,the,3906.4133848518554,sanctuary
3,to,3142.251372842213,sanctuary
4,it,2939.508084193183,sanctuary
5,not,2923.16247572748,sanctuary
6,we,2365.191962542751,sanctuary
7,do,2192.793862526531,sanctuary
8,that,2133.525801446567,sanctuary
9,have,1788.5417282111991,sanctuary
10,of,1730.25977021462,sanctuary
11,what,1625.1686228906474,sanctuary
12,this,1511.0112582474208,sanctuary
13,they,1313.346898245803,sanctuary
14,and,1264.907835944654,sanctuary
15,in,1116.008652148928,sanctuary
16,know,1091.2919979541934,sanctuary
17,get,1055.48060252398,sanctuary
18,he,989.6638613647136,sanctuary
19,will,988.7432334276614,sanctuary
20,go,937.0206420898578,sanctuary
21,can,917.9759395601494,sanctuary
22,for,908.0931603181738,sanctuary
23,your,867.0675023725868,sanctuary
24,she,821.4934876181155,sanctuary
25,on,819.0,sanctuary
26,just,811.9582701122482,sanctuary
27,my,722.0949670190619,sanctuary
28,so,719.0125445882187,sanctuary
29,all,710.566548345251,sanctuary
30,there,708.3342251503703,sanctuary
31,would,698.4750205978517,sanctuary
32,with,676.9878399499288,sanctuary
33,right,646.4458014505238,sanctuary
34,ve,637.271963551391,sanctuary
35,if,635.5326189235348,sanctuary
36,here,634.4682660386974,sanctuary
37,think,607.85463215116,sanctuary
38,but,605.8080256429129,sanctuary
39,no,603.4184221464153,sanctuary
40,like,596.7104906182509,sanctuary
41,come,577.0582419531618,sanctuary
42,see,558.9677110181099,sanctuary
43,out,554.8368475916404,sanctuary
44,magnus,532.5823667154792,sanctuary
45,about,522.9009965512473,sanctuary
46,well,506.285092074488,sanctuary
47,how,494.68077755992994,sanctuary
48,now,473.6479323203212,sanctuary
49,want,454.366024296502,sanctuary
50,say,454.2467747502887,sanctuary
51,abnormal,452.1788242943377,sanctuary
52,one,450.5807793493217,sanctuary
53,from,434.46157751584275,sanctuary
54,at,433.0600885561142,sanctuary
55,find,426.9382397763023,sanctuary
56,why,424.6896215987288,sanctuary
57,need,414.0912018510473,sanctuary
58,okay,402.3638709969526,sanctuary
59,something,398.46511876232853,sanctuary
60,make,394.91354600908846,sanctuary
61,take,393.18894966544866,sanctuary
62,our,392.75785099949087,sanctuary
63,up,391.0593406921904,sanctuary
64,could,389.26721861956975,sanctuary
65,more,372.64514067873995,sanctuary
66,tell,370.52286645709967,sanctuary
67,thing,366.86986421237833,sanctuary
68,sanctuary,358.0399009173984,sanctuary
69,work,345.1764828602867,sanctuary
70,time,341.49380063811867,sanctuary
71,as,340.0,sanctuary
72,yeah,337.44540737165096,sanctuary
73,look,335.89489156035495,sanctuary
74,cabal,334.23002241842113,sanctuary
75,his,333.0388045634647,sanctuary
76,good,329.30183122005843,sanctuary
77,some,322.0174053880471,sanctuary
78,mean,314.8452530329921,sanctuary
79,who,310.35973251416283,sanctuary
80,let,302.656669559396,sanctuary
81,when,296.1984604032764,sanctuary
82,try,290.8722642233734,sanctuary
83,should,286.1431669092553,sanctuary
84,any,278.3218467999292,sanctuary
85,where,269.96298531471786,sanctuary
86,guy,266.5484188548141,sanctuary
87,help,261.7310460931002,sanctuary
88,back,259.48240194151407,sanctuary
89,their,258.3464021237848,sanctuary
90,or,257.90176952955386,sanctuary
91,down,253.66950171086302,sanctuary
92,then,253.142546037244,sanctuary
93,way,250.5403463699052,sanctuary
94,happen,249.6829545149028,sanctuary
95,by,245.87141882957698,sanctuary
96,really,244.52448585811064,sanctuary
97,an,243.0,sanctuary
98,into,241.23403645930318,sanctuary
99,very,238.69411190256835,sanctuary
100,bertha,232.64519559907964,sanctuary
101,kill,229.7351012960937,sanctuary
102,before,227.12338737514435,sanctuary
103,give,224.4565010588648,sanctuary
104,than,222.7370608401529,sanctuary
105,only,218.80954949756875,sanctuary
106,still,217.20255493319084,sanctuary
107,never,216.8206875395693,sanctuary
108,her,216.44051688447618,sanctuary
109,ashley,212.7678454648538,sanctuary
110,too,211.72171097825657,sanctuary
111,keep,204.31155663139987,sanctuary
112,because,203.45164239760905,sanctuary
113,henry,202.88955730390225,sanctuary
114,leave,202.0543337621387,sanctuary
115,these,197.39501794355445,sanctuary
116,use,196.94118984088556,sanctuary
117,hell,192.3818409195121,sanctuary
118,sorry,189.77939583202271,sanctuary
119,other,187.73552270812888,sanctuary
120,please,182.13820940008515,sanctuary
121,nikola,179.87055023041628,sanctuary
122,anything,176.58962146040494,sanctuary
123,sg,176.48603327888966,sanctuary
124,blood,175.68397293940438,sanctuary
125,people,175.1861199660656,sanctuary
126,even,172.6353463009503,sanctuary
127,off,165.35350944843097,sanctuary
128,much,164.9775559643089,sanctuary
129,nothing,164.89780179291301,sanctuary
130,year,164.50540144636466,sanctuary
131,makri,162.80521951391023,sanctuary
132,two,160.91436967152987,sanctuary
133,talk,160.05900479895402,sanctuary
134,thank,159.50608763972548,sanctuary
135,kind,158.22172614348335,sanctuary
136,man,158.16057799329764,sanctuary
137,believe,156.96996584736291,sanctuary
138,god,156.42063886783214,sanctuary
139,die,155.34182953863655,sanctuary
140,feel,152.6427854249213,sanctuary
141,bring,151.6030170191988,sanctuary
142,over,148.8195139303797,sanctuary
143,zimmerman,147.6895838030227,sanctuary
144,must,146.23012611824362,sanctuary
145,its,145.95397135733552,sanctuary
146,call,144.68563854342472,sanctuary
147,stay,142.23973360373756,sanctuary
148,little,141.79120739320183,sanctuary
149,first,140.43435898606242,sanctuary
150,move,137.34872011644254,sanctuary
151,creature,136.48284759568494,sanctuary
152,nubbins,135.67101626159186,sanctuary
153,which,135.09189055201242,sanctuary
154,yes,132.13837280912466,sanctuary
155,bad,131.4599913497668,sanctuary
156,ask,130.8083048728024,sanctuary
157,may,128.07878053106762,sanctuary
158,life,127.90269472957738,sanctuary
159,maybe,127.53809725098236,sanctuary
160,sure,126.98415398232196,sanctuary
161,oh,126.50299467996172,sanctuary
162,stop,126.47901980214559,sanctuary
163,turn,124.65954181001719,sanctuary
164,day,124.21594769316893,sanctuary
165,hear,123.62134502438175,sanctuary
166,idea,122.11891557886679,sanctuary
167,most,121.55617522436057,sanctuary
168,old,121.4132175061578,sanctuary
169,put,120.12579346284059,sanctuary
170,everything,119.32342545008191,sanctuary
171,wait,117.71221269601031,sanctuary
172,dead,116.06736356889459,sanctuary
173,again,115.63450412216068,sanctuary
174,away,114.11950378969857,sanctuary
175,those,113.86763749921363,sanctuary
176,human,113.2635563643676,sanctuary
177,father,112.89586373770123,sanctuary
178,mom,111.59791582959748,sanctuary
179,run,111.1917402093437,sanctuary
180,power,110.71495850025379,sanctuary
181,control,110.03332790647215,sanctuary
182,guess,109.93227529482738,sanctuary
183,us,109.76576863131146,sanctuary
184,far,109.47108853706477,sanctuary
185,understand,109.4226202526293,sanctuary
186,helen,108.95536426916699,sanctuary
187,without,108.55193676645474,sanctuary
188,mind,108.41034376978465,sanctuary
189,last,107.64108127723308,sanctuary
190,long,105.0,sanctuary
191,big,103.7678706903781,sanctuary
192,enough,103.48701404236103,sanctuary
193,hold,102.83443315403265,sanctuary
194,every,102.485048168985,sanctuary
195,ever,100.23167737806881,sanctuary
196,after,99.47433761512755,sanctuary
197,start,99.33564324889846,sanctuary
198,ago,99.01533695583794,sanctuary
199,else,98.8308678022946,sanctuary
200,druitt,97.68313170834614,sanctuary
201,head,97.38939750422828,sanctuary
202,system,96.76788320374392,sanctuary
203,world,96.46557640001417,sanctuary
204,around,96.44965765245855,sanctuary
205,own,96.17827597397054,sanctuary
206,nomad,96.1634936016571,sanctuary
207,whatever,96.15927234321968,sanctuary
208,actually,96.15927234321968,sanctuary
209,dr,95.24173231589334,sanctuary
210,exactly,94.1508877496988,sanctuary
211,great,93.91869399220275,sanctuary
212,someone,93.86776135406444,sanctuary
213,lose,93.54228709695246,sanctuary
214,through,92.92315180267255,sanctuary
215,check,92.66312323499305,sanctuary
216,fine,92.41110858054685,sanctuary
217,five,92.19389022344072,sanctuary
218,yet,92.03824713666916,sanctuary
219,tesla,91.77273730502262,sanctuary
220,specie,91.65385738138099,sanctuary
221,place,90.0,sanctuary
222,seem,88.70315489345231,sanctuary
223,fight,88.59277267884494,sanctuary
224,always,88.27894834281592,sanctuary
225,friend,87.82151986637113,sanctuary
226,alive,87.09109488336952,sanctuary
227,hour,87.06021898105256,sanctuary
228,real,86.71087102888221,sanctuary
229,ready,86.21176141116248,sanctuary
230,close,85.965866832061,sanctuary
231,kali,85.50070340936355,sanctuary
232,reason,84.9476672732757,sanctuary
233,once,84.65117149690101,sanctuary
234,projet,84.4585516090153,sanctuary
235,name,84.38084867908134,sanctuary
236,remember,84.32188731805789,sanctuary
237,three,83.68286482524786,sanctuary
238,able,81.99771108539616,sanctuary
239,vampire,81.08020954465468,sanctuary
240,lot,81.00800922033135,sanctuary
241,kid,80.99675526448644,sanctuary
242,same,79.75304381986274,sanctuary
243,both,79.58008745645768,sanctuary
244,listen,79.38872987397436,sanctuary
245,many,79.21226956467035,sanctuary
246,live,77.97862300395532,sanctuary
247,wrong,77.95797129405352,sanctuary
248,new,77.04949131173393,sanctuary
249,freelander,75.97576910649144,sanctuary
250,tpg,75.8199748614339,sanctuary
251,anyone,75.8015085095994,sanctuary
252,nitrogenc,75.73909551845966,sanctuary
253,love,75.56097956724545,sanctuary
254,dna,75.32200996074764,sanctuary
255,few,75.3040203845475,sanctuary
256,attack,74.87020440232013,sanctuary
257,since,74.26150271687845,sanctuary
258,until,74.26150271687845,sanctuary
259,nice,73.77241643193459,sanctuary
260,hand,73.46035668917379,sanctuary
261,hey,72.99396859779768,sanctuary
262,squid,72.74469651379883,sanctuary
263,teleport,72.53065202256191,sanctuary
264,watch,71.61497812395838,sanctuary
265,dude,71.22083243074135,sanctuary
266,salomon,71.18913318725532,sanctuary
267,level,70.94518335157285,sanctuary
268,easy,70.63316466887353,sanctuary
269,inside,70.30946386913129,sanctuary
270,safe,70.30946386913129,sanctuary
271,fact,70.283752358911,sanctuary
272,might,69.98736498477751,sanctuary
273,weapon,69.5827072750088,sanctuary
274,hope,69.55586579632896,sanctuary
