,mots,poids,serie
0,etre,8057.791580164629,sanctuary
1,le,7475.0772587778565,sanctuary
2,avoir,5400.315279180103,sanctuary
3,de,4811.312679688274,sanctuary
4,je,4550.472144093813,sanctuary
5,ce,4186.268495749934,sanctuary
6,que,3335.2662269755215,sanctuary
7,un,3303.4601754795276,sanctuary
8,vous,2913.9172201477872,sanctuary
9,pas,2654.487553155902,sanctuary
10,il,2558.392489423821,sanctuary
11,ne,2136.7785895729166,sanctuary
12,cela,1890.1823850097624,sanctuary
13,pouvoir,1568.6210405440888,sanctuary
14,et,1381.7546547292993,sanctuary
15,on,1370.0,sanctuary
16,aller,1348.3752138439006,sanctuary
17,en,1267.374879833018,sanctuary
18,faire,1069.3175860576139,sanctuary
19,lui,1054.5819526221553,sanctuary
20,tu,1029.334971351793,sanctuary
21,tout,1020.7885343147766,sanctuary
22,mais,975.3472527373992,sanctuary
23,se,944.1093998992845,sanctuary
24,devoir,934.1115807957092,sanctuary
25,me,885.6101787298993,sanctuary
26,dans,870.7730294617667,sanctuary
27,savoir,865.1595230846901,sanctuary
28,pour,838.2692669441325,sanctuary
29,qui,835.6473158394163,sanctuary
30,mon,796.9028598209402,sanctuary
31,bien,750.4975389051529,sanctuary
32,dire,734.7447245925933,sanctuary
33,nous,722.3860627965098,sanctuary
34,te,686.9346624435694,sanctuary
35,moi,686.2185951564769,sanctuary
36,sur,684.7170227381914,sanctuary
37,voir,672.9187760471251,sanctuary
38,si,657.8796251244447,sanctuary
39,vouloir,638.5066501641556,sanctuary
40,ou,579.352599324916,sanctuary
41,quoi,559.8989198782201,sanctuary
42,plus,542.3888667120592,sanctuary
43,son,542.1556914855503,sanctuary
44,avec,524.2550444311947,sanctuary
45,quelque,517.0876066405594,sanctuary
46,chose,502.7493658963451,sanctuary
47,votre,482.93939886435146,sanctuary
48,comme,475.2197159378831,sanctuary
49,au,473.0930806123641,sanctuary
50,magnus,459.48282618590366,sanctuary
51,pourquoi,389.75988513620615,sanctuary
52,ici,387.95292635023117,sanctuary
53,taire,383.32861440948795,sanctuary
54,trouver,378.3743112083885,sanctuary
55,cabale,361.78388041604114,sanctuary
56,par,360.5767457801915,sanctuary
57,notre,354.7883183382436,sanctuary
58,anormal,351.24525028177413,sanctuary
59,rien,339.8732901786213,sanctuary
60,passer,336.74345839180967,sanctuary
61,autre,326.4655448149419,sanctuary
62,quand,318.1373421410913,sanctuary
63,croire,312.4966409533566,sanctuary
64,la,307.04031514045636,sanctuary
65,peu,304.5629268886143,sanctuary
66,tres,301.58340361227215,sanctuary
67,bon,301.1441159425956,sanctuary
68,temps,299.8152962586201,sanctuary
69,penser,298.98327269591414,sanctuary
70,arriver,290.53741753501265,sanctuary
71,luire,280.4023913419308,sanctuary
72,meme,273.06233642197503,sanctuary
73,toi,270.950072970483,sanctuary
74,juste,269.33727491708726,sanctuary
75,non,266.40653940110417,sanctuary
76,vraiment,261.50556395890754,sanctuary
77,ton,253.84982506146798,sanctuary
78,falloir,244.92979966614436,sanctuary
79,venir,244.31971058097633,sanctuary
80,comment,243.3424594475758,sanctuary
81,parler,242.10228278493975,sanctuary
82,jamais,239.28706430994168,sanctuary
83,sang,234.89909536599407,sanctuary
84,donc,232.60575185449116,sanctuary
85,aussi,231.52403433304553,sanctuary
86,sanctuaire,227.3684042322165,sanctuary
87,nitrogenc,227.217286555379,sanctuary
88,bertha,218.10487087413716,sanctuary
89,tuer,215.20202914216867,sanctuary
90,aucun,214.52472108689886,sanctuary
91,sans,213.21732123269427,sanctuary
92,toujours,207.76803695817765,sanctuary
93,oui,201.08766615824922,sanctuary
94,deux,198.66332414295556,sanctuary
95,seul,198.38937061543675,sanctuary
96,avant,197.84756112011365,sanctuary
97,fait,195.47547096890415,sanctuary
98,ashley,189.59510982016675,sanctuary
99,prendre,186.6205096467244,sanctuary
100,salomon,186.44772977614488,sanctuary
101,essayer,185.80881353983366,sanctuary
102,allez,184.82862898423082,sanctuary
103,sg,176.48603327888966,sanctuary
104,depuis,172.2954452823912,sanctuary
105,trop,169.97632844085513,sanctuary
106,aider,169.80785111999248,sanctuary
107,nouveau,165.9077526710867,sanctuary
108,maintenant,165.02556159306323,sanctuary
109,nubbin,164.4530744963806,sanctuary
110,nikola,164.4530744963806,sanctuary
111,henry,163.97923124561964,sanctuary
112,fois,160.81809340159154,sanctuary
113,mourir,160.648576820368,sanctuary
114,alors,158.9751541451558,sanctuary
115,mort,158.94172931706225,sanctuary
116,aimer,158.0389901512801,sanctuary
117,dieu,157.69449758835967,sanctuary
118,vie,157.4087885328699,sanctuary
119,makri,157.37837886344656,sanctuary
120,encore,154.69822257831578,sanctuary
121,celui,154.67645844593372,sanctuary
122,monde,152.99519259326053,sanctuary
123,entrer,150.33622186404722,sanctuary
124,apres,149.4812425056326,sanctuary
125,merci,148.0992302016382,sanctuary
126,pere,147.26119541867067,sanctuary
127,will,146.4804790263202,sanctuary
128,personne,142.24092739303416,sanctuary
129,reste,141.22633162454818,sanctuary
130,partir,141.22633162454818,sanctuary
131,connaitre,141.22633162454818,sanctuary
132,besoin,140.567504717822,sanctuary
133,zimmerman,140.3051046128716,sanctuary
134,heure,138.24816438591927,sanctuary
135,dernier,135.13368257442448,sanctuary
136,appeler,130.06616947788356,sanctuary
137,arreter,128.37699844570326,sanctuary
138,utiliser,128.37699844570326,sanctuary
139,comprendre,128.37699844570326,sanctuary
140,raison,127.994074694775,sanctuary
141,deja,125.26386227763756,sanctuary
142,moins,124.99865638134264,sanctuary
143,quel,124.92304010775838,sanctuary
144,sortir,124.41367309781626,sanctuary
145,ouai,123.35533803067437,sanctuary
146,rester,122.73240724514307,sanctuary
147,endroit,122.19402253172277,sanctuary
148,homme,119.92611850344805,sanctuary
149,laisser,119.36987553979668,sanctuary
150,probleme,117.71221269601031,sanctuary
151,petit,117.20197822266348,sanctuary
152,accord,113.34670961228181,sanctuary
153,humain,113.07572652811818,sanctuary
154,parce,110.96354627643072,sanctuary
155,gens,109.79611709171989,sanctuary
156,creature,109.72150492986438,sanctuary
157,truc,107.60101457108433,sanctuary
158,perdre,107.60101457108433,sanctuary
159,kujathemas,106.70427353884676,sanctuary
160,as,106.0,sanctuary
161,idee,105.4256285383665,sanctuary
162,fai,104.93535369051705,sanctuary
163,mal,104.84554958479444,sanctuary
164,projet,104.72860399517897,sanctuary
165,jour,103.59530818101452,sanctuary
166,mettre,103.03943296299866,sanctuary
167,peur,102.07878318794216,sanctuary
168,donner,102.07122412368132,sanctuary
169,veux,101.60407262097682,sanctuary
170,mieux,101.60407262097682,sanctuary
171,espece,101.56448176951312,sanctuary
172,sou,99.01533695583794,sanctuary
173,tesla,98.83217863617821,sanctuary
174,assez,97.97191986645774,sanctuary
175,arme,97.51341945504518,sanctuary
176,nomad,96.1634936016571,sanctuary
177,druitt,92.25629105788246,sanctuary
178,maman,91.64551689879207,sanctuary
179,vampire,89.52606470555621,sanctuary
180,an,89.0,sanctuary
181,sanctuary,88.85661774592369,sanctuary
182,sai,88.70315489345231,sanctuary
183,sentir,87.83689367337591,sanctuary
184,chercher,87.83689367337591,sanctuary
185,devenir,87.83689367337591,sanctuary
186,travailler,87.42582433900603,sanctuary
187,cas,86.69548871839758,sanctuary
188,dr,86.68067772570068,sanctuary
189,attendre,86.1477226411956,sanctuary
190,mec,86.07159471992637,sanctuary
191,helen,85.34836867751415,sanctuary
192,beaucoup,83.94195737569142,sanctuary
193,souvenir,83.70184202267431,sanctuary
194,arrow,83.59362587385819,sanctuary
195,mere,82.49670248331742,sanctuary
196,monstre,82.30570657391526,sanctuary
197,gars,81.46268168781518,sanctuary
198,entendre,81.38065695904362,sanctuary
199,bouclier,80.90434627928066,sanctuary
200,systeme,80.71934247464148,sanctuary
201,rendre,80.70076092831326,sanctuary
202,nom,80.63990266978661,sanctuary
203,ami,80.41134548643439,sanctuary
204,aide,80.11018053013538,sanctuary
205,grand,80.04185217498349,sanctuary
206,vite,79.90996269872896,sanctuary
207,regarder,79.39103851247438,sanctuary
208,tant,79.39103851247438,sanctuary
209,demander,79.39103851247438,sanctuary
210,marche,79.02710461639087,sanctuary
211,longtemps,79.01949507564005,sanctuary
212,premier,78.63416218859582,sanctuary
213,cacher,78.0684032841562,sanctuary
214,pret,77.92216896778147,sanctuary
215,commencer,77.33822922296686,sanctuary
216,securite,76.73271180870361,sanctuary
217,fou,76.497817541501,sanctuary
218,controle,76.37126408232673,sanctuary
219,finir,76.01269644811377,sanctuary
220,desoler,76.01269644811377,sanctuary
221,pto,75.8199748614339,sanctuary
222,trois,75.561946761089,sanctuary
223,calme,75.3040203845475,sanctuary
