,mots,poids,serie
0,be,50291.91043458931,scrubs
1,you,29089.248748097725,scrubs
2,to,17345.319963281898,scrubs
3,not,15070.17506546961,scrubs
4,the,13396.164242301556,scrubs
5,it,12572.127034141957,scrubs
6,that,12286.822695830677,scrubs
7,do,12096.601110494174,scrubs
8,have,8938.083102103725,scrubs
9,and,8925.601826774106,scrubs
10,get,7153.646859882782,scrubs
11,my,6953.604165159968,scrubs
12,we,6728.707099078731,scrubs
13,what,6668.893699896885,scrubs
14,go,6665.652930265741,scrubs
15,this,6085.361747082386,scrubs
16,of,6035.413599969326,scrubs
17,know,5858.745913949792,scrubs
18,in,5409.202970057826,scrubs
19,your,5324.169123365004,scrubs
20,he,5162.694443985641,scrubs
21,just,5063.383128479702,scrubs
22,for,5049.34297284108,scrubs
23,so,4854.70683731511,scrubs
24,with,4636.170363399305,scrubs
25,can,4351.12362383443,scrubs
26,like,4155.405585269265,scrubs
27,she,3810.3314957606212,scrubs
28,on,3735.0,scrubs
29,here,3624.2288002498253,scrubs
30,turk,3599.142402205012,scrubs
31,think,3534.6199946681845,scrubs
32,will,3483.9624278760125,scrubs
33,would,3459.2645489654324,scrubs
34,about,3320.9311201583396,scrubs
35,no,3311.4148439447345,scrubs
36,if,3271.1237738711347,scrubs
37,say,3171.949225054242,scrubs
38,there,3111.5603637867976,scrubs
39,all,3037.29931941283,scrubs
40,how,2918.3149529831235,scrubs
41,out,2895.672215873302,scrubs
42,right,2892.959579540997,scrubs
43,want,2836.717611148432,scrubs
44,but,2828.448119723816,scrubs
45,they,2725.156943418915,scrubs
46,see,2661.534602327423,scrubs
47,well,2581.42892625634,scrubs
48,make,2554.1746835036483,scrubs
49,one,2553.2910829794896,scrubs
50,up,2538.4351909048946,scrubs
51,tell,2473.8313934944226,scrubs
52,now,2469.3230617919185,scrubs
53,come,2409.5700249361294,scrubs
54,oh,2371.4291542386477,scrubs
55,at,2361.5088971425644,scrubs
56,why,2324.12562149634,scrubs
57,cox,2280.4485625535826,scrubs
58,ve,2271.9486514518194,scrubs
59,look,2231.3017796509293,scrubs
60,when,2227.23987944017,scrubs
61,good,2163.0074639890145,scrubs
62,kelso,2139.6294483964857,scrubs
63,because,2109.3866283784105,scrubs
64,thing,2087.6276792001445,scrubs
65,take,1970.4297933804612,scrubs
66,really,1967.383281642707,scrubs
67,guy,1957.6015024091264,scrubs
68,yeah,1934.8684245261597,scrubs
69,could,1918.0828272302992,scrubs
70,who,1876.6611863239566,scrubs
71,elliot,1832.761258394319,scrubs
72,dr,1766.78764105101,scrubs
73,hey,1744.4321308965207,scrubs
74,his,1733.035260783955,scrubs
