,mots,poids,serie
0,etre,41216.06176160913,scrubs
1,je,33920.40545005268,scrubs
2,le,33860.54112801906,scrubs
3,avoir,25954.75588454717,scrubs
4,de,24859.162266271935,scrubs
5,ce,22916.020352131294,scrubs
6,que,21213.341617309536,scrubs
7,un,17968.459681693254,scrubs
8,pas,14541.729471175677,scrubs
9,vous,13915.071169585051,scrubs
10,ne,13728.505112599276,scrubs
11,et,9895.621257315337,scrubs
12,il,9399.42740645606,scrubs
13,tu,8940.19450352133,scrubs
14,cela,8913.755536815475,scrubs
15,faire,8876.956142438888,scrubs
16,aller,8214.66495616122,scrubs
17,mon,7939.091281471943,scrubs
18,me,7380.5006021757945,scrubs
19,pouvoir,6894.871261812764,scrubs
20,en,6611.03139404358,scrubs
21,te,5645.497513185657,scrubs
22,tout,5628.919632078625,scrubs
23,dire,5331.572287258975,scrubs
24,pour,5202.901238242393,scrubs
25,mais,5192.671005022201,scrubs
26,on,5009.0,scrubs
27,qui,4909.822153818759,scrubs
28,moi,4554.269144659944,scrubs
29,savoir,4417.8358625601195,scrubs
30,si,4235.591530681684,scrubs
31,lui,4083.6304271318972,scrubs
32,avec,4082.5969178608907,scrubs
33,dans,3982.7693515755946,scrubs
34,vouloir,3927.322649819211,scrubs
35,se,3909.3582651092743,scrubs
36,bien,3878.06895601587,scrubs
37,taire,3651.7094320061747,scrubs
38,devoir,3567.529219964806,scrubs
39,turk,3292.9653575729885,scrubs
40,sur,3195.34610611156,scrubs
41,voir,3129.73856483304,scrubs
42,comme,3116.2211778224023,scrubs
43,votre,2868.0686748882913,scrubs
44,quoi,2646.4989643080985,scrubs
45,quand,2625.0494827976963,scrubs
46,au,2594.2137057754912,scrubs
47,nous,2561.9134041212506,scrubs
48,plus,2477.0846883626473,scrubs
49,luire,2437.4737994361817,scrubs
50,non,2392.221986458894,scrubs
51,ou,2340.6391571782574,scrubs
52,pourquoi,2336.8936702824667,scrubs
53,cox,2328.530309354411,scrubs
54,toi,2311.139610516084,scrubs
55,son,2278.0578962605805,scrubs
56,quelque,2272.5079929381222,scrubs
57,kelso,2172.7653026858115,scrubs
58,alors,2143.6544469467854,scrubs
59,meme,2101.108397019389,scrubs
60,bon,1998.7441323623602,scrubs
61,parce,1983.8937061543675,scrubs
62,chose,1886.9011011172954,scrubs
63,parler,1877.9739574359562,scrubs
64,vraiment,1850.5266341295942,scrubs
65,peu,1835.7446747077468,scrubs
66,ton,1832.862833813859,scrubs
67,penser,1820.9263726903698,scrubs
68,aimer,1773.7354745702182,scrubs
69,elliot,1756.302506510384,scrubs
70,oui,1752.99324238718,scrubs
71,dr,1731.4732908664655,scrubs
72,la,1699.1765110281885,scrubs
73,jd,1671.1501120921057,scrubs
74,juste,1619.249245609315,scrubs
75,ici,1614.8126079706203,scrubs
76,carla,1578.5020937999986,scrubs
77,croire,1559.1048627024225,scrubs
78,prendre,1528.2706600799322,scrubs
79,passer,1524.3801433541435,scrubs
80,jamais,1486.8803099534998,scrubs
81,rien,1485.4949658538765,scrubs
82,autre,1460.766748993388,scrubs
83,petit,1439.683759518934,scrubs
84,toujours,1410.4578118705554,scrubs
85,par,1379.7163027211857,scrubs
86,fait,1369.9709477988745,scrubs
87,venir,1358.8192122722792,scrubs
88,arriver,1349.6476547120644,scrubs
89,fois,1346.2298128050757,scrubs
90,aussi,1302.5308981902274,scrubs
91,merci,1256.6866718080755,scrubs
92,oh,1244.9501063742264,scrubs
93,maintenant,1212.9378777090146,scrubs
94,temps,1212.5863093126413,scrubs
95,trouver,1173.9738673653126,scrubs
96,deux,1166.7528560776755,scrubs
97,encore,1151.642323638573,scrubs
98,nouveau,1131.7865503997896,scrubs
99,falloir,1131.744591560805,scrubs
100,dorian,1124.840883555343,scrubs
101,dieu,1092.3629260026996,scrubs
102,tres,1089.1379912836978,scrubs
103,bebe,1085.5193676645474,scrubs
104,besoin,1081.0310481870597,scrubs
105,notre,1072.319850044736,scrubs
106,comment,1063.915869212657,scrubs
107,mec,1048.3520236887032,scrubs
108,trop,1044.6118048840904,scrubs
109,monde,1033.9784993940136,scrubs
110,ok,1005.8206079429442,scrubs
111,seul,996.9906506352033,scrubs
112,veux,967.737150701435,scrubs
113,scrubs,943.553782871433,scrubs
114,fai,931.0930589364925,scrubs
115,truc,929.7400165282755,scrubs
116,femme,928.112962682173,scrubs
117,mettre,918.9090415060864,scrubs
118,sai,918.2419182488859,scrubs
119,personne,910.3419353154186,scrubs
120,appeler,907.0848442808243,scrubs
121,salut,903.1669099016099,scrubs
122,donc,893.6077085632969,scrubs
123,patient,882.8294339477391,scrubs
124,vrai,870.8957116847139,scrubs
125,ca,867.027532151338,scrubs
126,vie,852.7582912751592,scrubs
127,hopital,829.7301731000902,scrubs
128,regarder,827.6938057683499,scrubs
129,ouai,827.508725955774,scrubs
130,jour,809.9269548697499,scrubs
131,depuis,809.1129244143666,scrubs
132,demander,798.9778982212847,scrubs
133,heure,797.8418161548835,scrubs
134,apres,785.1871859087074,scrubs
135,sortir,781.7886214930346,scrubs
136,essayer,780.3970168673013,scrubs
137,docteur,779.2633177017234,scrubs
138,fille,777.8541297376422,scrubs
139,probleme,770.9320972344337,scrubs
140,as,758.0,scrubs
141,partir,751.5258361449171,scrubs
142,avant,740.7020263422437,scrubs
143,gens,739.8569120949741,scrubs
144,medecin,738.6973556665677,scrubs
145,sentir,738.1677410627937,scrubs
146,sans,732.4259126313925,scrubs
147,mal,721.5840765541735,scrubs
148,soir,721.2223515554584,scrubs
149,ami,717.395337182895,scrubs
150,homme,706.2315867425274,scrubs
151,laisser,697.7253288593749,scrubs
152,voila,695.6858017294405,scrubs
153,donner,693.4362527767556,scrubs
154,finir,692.5601231939254,scrubs
155,quel,687.9095408600562,scrubs
156,bizut,675.6802846312346,scrubs
157,deja,671.3580034430687,scrubs
158,interne,666.7060153793931,scrubs
159,aider,659.0562142478916,scrubs
160,entendre,654.3004819507107,scrubs
161,dernier,652.0200184215981,scrubs
162,allez,641.949434597016,scrubs
163,gars,638.1243398878855,scrubs
164,raison,625.3887700276348,scrubs
165,tete,623.796622821779,scrubs
166,meilleur,619.9257688101723,scrubs
167,premier,599.7782174777211,scrubs
168,mieux,599.6305925172402,scrubs
169,arreter,584.4531771343859,scrubs
170,commencer,583.3992508775979,scrubs
171,ecoute,577.6964930056646,scrubs
172,reid,575.0547265954131,scrubs
173,perry,569.9393631123659,scrubs
174,vieux,568.2678582035392,scrubs
175,genial,566.3510932571155,scrubs
176,ncolas,564.3914276482221,scrubs
177,connaitre,554.8177313821536,scrubs
178,celui,554.8177313821536,scrubs
179,enfant,553.7447752178513,scrubs
180,jouer,538.8455592655176,scrubs
181,beaucoup,533.7441440680757,scrubs
182,chez,525.7190439554217,scrubs
183,enfin,525.3321910080751,scrubs
184,keith,524.6416066195933,scrubs
185,est,523.6242156809657,scrubs
186,entrer,521.9538489437145,scrubs
187,monsieur,515.7668383906239,scrubs
188,tellement,514.9617548050776,scrubs
189,laverne,510.96700938266633,scrubs
190,an,509.0,scrubs
191,nom,506.41858876625986,scrubs
192,mourir,497.00653453801345,scrubs
193,rendre,490.92962898057226,scrubs
194,desole,489.69831722241287,scrubs
195,moins,488.1704283001084,scrubs
196,occuper,488.1704283001084,scrubs
197,jordan,484.71658054433345,scrubs
198,super,484.47943109838565,scrubs
199,adorer,481.9875333195731,scrubs
200,peur,481.94573046110395,scrubs
201,infirmier,481.8332642752151,scrubs
202,amour,479.65409683126063,scrubs
203,ted,475.6571582221368,scrubs
204,pendant,473.188562920947,scrubs
205,attendre,467.90037591394474,scrubs
206,rester,467.39190704314757,scrubs
207,scrub,460.82612804705497,scrubs
208,tant,456.0761786886826,scrubs
209,dur,454.3870076565023,scrubs
210,pere,453.4975449824971,scrubs
211,perdre,452.26051436908887,scrubs
