,mots,poids,serie
0,etre,22324.072330354644,sexandthecity
1,je,17156.93366358679,sexandthecity
2,le,16652.52232756537,sexandthecity
3,avoir,13309.803387100297,sexandthecity
4,de,12523.752733628087,sexandthecity
5,ce,11638.03300175528,sexandthecity
6,un,9962.654062067086,sexandthecity
7,ne,8409.683948077947,sexandthecity
8,que,8332.268240121952,sexandthecity
9,pas,8029.895521554143,sexandthecity
10,il,4899.588116464266,sexandthecity
11,tu,4736.043234988103,sexandthecity
12,et,4665.569446963406,sexandthecity
13,pouvoir,3623.1279125107303,sexandthecity
14,faire,3536.8489247935922,sexandthecity
15,me,3502.525889962757,sexandthecity
16,mon,3482.7078471244313,sexandthecity
17,aller,3481.9015808861823,sexandthecity
18,cela,3407.0579719076773,sexandthecity
19,en,3293.491267421856,sexandthecity
20,vous,3225.1258121463297,sexandthecity
21,lui,2987.9821990961063,sexandthecity
22,te,2796.4294208670212,sexandthecity
23,on,2631.0,sexandthecity
24,tout,2465.242685878994,sexandthecity
25,avec,2418.793483438536,sexandthecity
26,se,2416.174714215932,sexandthecity
27,moi,2381.493855400815,sexandthecity
28,mais,2355.739045648137,sexandthecity
29,dire,2355.209117187217,sexandthecity
30,pour,2336.106988111749,sexandthecity
31,dans,2277.0307817140406,sexandthecity
32,qui,2231.020663986366,sexandthecity
33,taire,1962.037250069616,sexandthecity
34,vouloir,1934.1008318464503,sexandthecity
35,bien,1765.6127359501704,sexandthecity
36,devoir,1728.0219659204529,sexandthecity
37,savoir,1680.1163659130152,sexandthecity
38,si,1644.6990628111118,sexandthecity
39,au,1598.6387064648568,sexandthecity
40,sur,1512.083425213506,sexandthecity
41,miranda,1493.0413479192066,sexandthecity
42,son,1477.876255308759,sexandthecity
43,voir,1452.4385463195374,sexandthecity
44,charlotte,1354.1419924876445,sexandthecity
45,plus,1339.6478416655132,sexandthecity
46,samantha,1286.0557826747413,sexandthecity
47,nous,1268.970207655816,sexandthecity
48,ou,1265.2842145633779,sexandthecity
49,comme,1196.076649911226,sexandthecity
50,toi,1188.6321653526545,sexandthecity
51,non,1173.276146995067,sexandthecity
52,luire,1060.799408209232,sexandthecity
53,aimer,1008.7595116039156,sexandthecity
54,autre,999.384320862067,sexandthecity
55,quoi,981.4507229260661,sexandthecity
56,quand,971.0684317709752,sexandthecity
57,oui,957.8526998683017,sexandthecity
58,carrie,943.2715277785577,sexandthecity
59,quelque,932.0964300931768,sexandthecity
60,homme,926.0961373321821,sexandthecity
61,croire,918.9090415060864,sexandthecity
62,femme,918.6100995830382,sexandthecity
63,la,895.8093782234104,sexandthecity
64,parler,874.2582433900602,sexandthecity
65,passer,864.0344347028873,sexandthecity
66,chose,860.7196422465909,sexandthecity
67,bon,848.8000082098823,sexandthecity
68,vraiment,822.8264241764352,sexandthecity
69,ton,808.5172842266138,sexandthecity
70,pourquoi,796.1761756201134,sexandthecity
71,jamais,780.5709063351891,sexandthecity
72,alors,774.7946986232331,sexandthecity
73,venir,761.4073172215358,sexandthecity
74,meme,748.8775453967938,sexandthecity
75,tres,748.4893799496289,sexandthecity
76,prendre,731.3506459128388,sexandthecity
77,rien,731.1420535062049,sexandthecity
78,penser,704.3843204191876,sexandthecity
79,deux,701.6284066953589,sexandthecity
80,falloir,689.1817811295648,sexandthecity
81,juste,687.0519707465818,sexandthecity
82,aussi,682.9126192557458,sexandthecity
83,peu,676.0627607857153,sexandthecity
84,temps,662.9249328385044,sexandthecity
85,appeler,650.3308473894178,sexandthecity
86,petit,633.5242066089918,sexandthecity
87,bradshaw,629.7200694855693,sexandthecity
88,aidan,607.9640031365044,sexandthecity
89,toujours,601.3448874561889,sexandthecity
90,soir,591.3023898433896,sexandthecity
91,fois,588.5610634800515,sexandthecity
92,merci,585.2076377870558,sexandthecity
93,ici,576.9556340593181,sexandthecity
94,veux,576.3116250304587,sexandthecity
95,par,574.2014593178899,sexandthecity
96,arriver,569.2506378447631,sexandthecity
97,trouver,555.7372695873206,sexandthecity
98,apres,555.2160435923496,sexandthecity
99,heure,546.3300954045967,sexandthecity
100,votre,543.7174864765317,sexandthecity
101,chez,541.9951753472305,sexandthecity
102,trop,537.9833307933861,sexandthecity
103,mec,526.7581596859494,sexandthecity
104,connaitre,521.1924143286898,sexandthecity
105,vie,516.545344894272,sexandthecity
106,comment,501.3986490012841,sexandthecity
107,trey,501.340003346183,sexandthecity
108,sans,498.04962058934694,sexandthecity
109,seul,495.97342653859187,sexandthecity
110,sexe,481.8814522724108,sexandthecity
111,notre,474.1117437883255,sexandthecity
112,nouveau,468.1555397154427,sexandthecity
113,besoin,460.19123568334584,sexandthecity
114,demander,456.0761786886826,sexandthecity
115,dieu,448.4437275168978,sexandthecity
116,ami,446.2041327972732,sexandthecity
117,jour,433.2167433024244,sexandthecity
118,encore,432.8425015575098,sexandthecity
119,vrai,430.40405828433734,sexandthecity
120,probleme,424.4271331011076,sexandthecity
121,depuis,423.9819290772568,sexandthecity
122,maintenant,419.1649264463806,sexandthecity
123,sortir,415.2726656102786,sexandthecity
124,mettre,413.84690288417494,sexandthecity
125,fille,413.0788526229877,sexandthecity
126,adorer,403.9191300354169,sexandthecity
127,personne,401.62144205092,sexandthecity
128,as,400.0,sexandthecity
129,amour,392.5935929543537,sexandthecity
130,entrer,390.19850843365066,sexandthecity
131,nuit,386.4286040666659,sexandthecity
132,ca,385.34556984503917,sexandthecity
133,avant,382.61429175294705,sexandthecity
134,marier,382.3514631969424,sexandthecity
135,fait,381.09503583853586,sexandthecity
136,amie,373.43253080235763,sexandthecity
137,fai,373.103479788505,sexandthecity
138,peur,369.8264112218888,sexandthecity
139,truc,366.51595588275603,sexandthecity
140,new,362.77468825941395,sexandthecity
141,premier,362.33388459451015,sexandthecity
142,tard,361.35794221111667,sexandthecity
143,quel,358.112714975574,sexandthecity
144,celibataire,357.1116214644809,sexandthecity
145,sentir,349.65840366132335,sexandthecity
146,an,347.0,sexandthecity
147,mal,345.37357510285227,sexandthecity
148,bebe,345.09794822768447,sexandthecity
149,coucher,344.5908905647824,sexandthecity
150,essayer,339.5233774682415,sexandthecity
151,monde,336.25317053463857,sexandthecity
152,york,332.58669436918683,sexandthecity
153,attendre,327.69918024297937,sexandthecity
154,trois,326.88755229253724,sexandthecity
155,semaine,324.64399899116034,sexandthecity
156,moins,322.6316671464384,sexandthecity
157,mariage,315.4567041024482,sexandthecity
158,big,314.88181450873356,sexandthecity
159,steve,311.58873400032604,sexandthecity
160,oh,310.23353457228706,sexandthecity
161,mieux,309.8091394672408,sexandthecity
162,rencontrer,308.6360186083412,sexandthecity
163,lit,306.64640094881946,sexandthecity
164,desolee,305.22567586128775,sexandthecity
165,finir,304.0507857924551,sexandthecity
166,voila,303.24765716411514,sexandthecity
167,relation,301.87056367495893,sexandthecity
168,parce,300.9465876285015,sexandthecity
169,celui,300.9465876285015,sexandthecity
170,regarder,297.29410166373384,sexandthecity
171,salut,295.14204377141897,sexandthecity
172,soiree,292.470463477348,sexandthecity
173,ll,290.1082146638047,sexandthecity
174,laisser,287.49646080711597,sexandthecity
175,beaucoup,285.0858929740463,sexandthecity
176,gens,282.0915623741111,sexandthecity
177,baiser,280.07788051468685,sexandthecity
178,bonjour,265.7783180365348,sexandthecity
179,comprendre,263.5106810201277,sexandthecity
180,ie,260.4893024792161,sexandthecity
181,deja,258.9724793155653,sexandthecity
182,ville,257.83037096385965,sexandthecity
183,partir,253.8711437536521,sexandthecity
184,rester,248.82734619563251,sexandthecity
185,maison,248.0403034983574,sexandthecity
186,pendant,248.00558120937094,sexandthecity
187,donner,246.26708042538985,sexandthecity
188,arreter,241.55145760178374,sexandthecity
189,enfant,240.39818085804922,sexandthecity
190,devenir,239.86228656960344,sexandthecity
191,dernier,238.17311553742314,sexandthecity
192,ies,236.48059938371335,sexandthecity
193,ensembl,235.3136495466911,sexandthecity
194,gros,232.0146876689006,sexandthecity
195,brady,231.08486663580433,sexandthecity
196,accord,226.69341922456363,sexandthecity
197,rentrer,225.28962425820782,sexandthecity
198,verre,225.0826213055306,sexandthecity
199,oublier,224.02237464149175,sexandthecity
200,entendre,222.9830000677795,sexandthecity
201,cheri,222.56613136861102,sexandthecity
202,idee,222.56521580321817,sexandthecity
203,grand,222.22145801212523,sexandthecity
204,diner,220.56141227503457,sexandthecity
205,vivre,217.54494777758165,sexandthecity
206,cote,215.8715251023695,sexandthecity
207,ii,215.39823024705723,sexandthecity
208,coup,210.33598615962686,sexandthecity
209,chaussure,205.76426643478814,sexandthecity
210,combien,204.15756637588433,sexandthecity
211,raison,204.14244824736264,sexandthecity
212,ia,203.84753482888377,sexandthecity
213,decider,199.4826649310237,sexandthecity
214,donc,199.13729835024782,sexandthecity
215,jusque,197.6330107650958,sexandthecity
216,allez,196.38041829574524,sexandthecity
217,meilleur,195.94383973291548,sexandthecity
218,jouer,195.94383973291548,sexandthecity
219,sai,195.47547096890415,sexandthecity
220,perdre,195.02683891009036,sexandthecity
221,genial,194.5218040670336,sexandthecity
222,revoir,193.412564396484,sexandthecity
