,mots,poids,serie
0,be,33704.79665200583,sixfeetunder
1,you,19262.347082847078,sixfeetunder
2,to,10185.467515056347,sixfeetunder
3,it,9677.707271649222,sixfeetunder
4,do,8115.441251344193,sixfeetunder
5,the,7897.836801912922,sixfeetunder
6,have,7886.543913620934,sixfeetunder
7,that,7202.010246847372,sixfeetunder
8,we,5842.107526750719,sixfeetunder
9,and,5122.109460458724,sixfeetunder
10,what,4732.947217541184,sixfeetunder
11,of,4530.60538335499,sixfeetunder
12,this,4488.765866785795,sixfeetunder
13,know,4088.6878475629637,sixfeetunder
14,just,3940.55272348182,sixfeetunder
15,get,3873.5839109626518,sixfeetunder
16,not,3706.7943248526526,sixfeetunder
17,in,3616.489270383206,sixfeetunder
18,so,3564.8751733591453,sixfeetunder
19,he,3549.6776352418906,sixfeetunder
20,my,3522.670183933282,sixfeetunder
21,she,3454.933603954202,sixfeetunder
22,like,3371.7737361440927,sixfeetunder
23,for,3351.4428711878327,sixfeetunder
24,think,3175.220083627653,sixfeetunder
25,with,2985.220807762576,sixfeetunder
26,your,2963.8187002396294,sixfeetunder
27,go,2866.8520592221494,sixfeetunder
28,they,2658.504967037352,sixfeetunder
29,want,2657.120229923125,sixfeetunder
30,fuck,2509.4116888200324,sixfeetunder
31,gon,2486.545989926214,sixfeetunder
32,no,2479.5837987259474,sixfeetunder
33,would,2238.904129230134,sixfeetunder
34,fucking,2215.2676399527845,sixfeetunder
35,all,2213.6880929217436,sixfeetunder
36,well,2164.212507787549,sixfeetunder
37,yeah,2121.2797987596928,sixfeetunder
38,can,2022.5658219905235,sixfeetunder
39,about,1994.0152208319153,sixfeetunder
40,there,1912.0765556664307,sixfeetunder
41,here,1903.4047981160923,sixfeetunder
42,really,1892.2679167059018,sixfeetunder
43,ll,1886.4041397945946,sixfeetunder
44,if,1862.0243020497228,sixfeetunder
45,right,1861.3971304178206,sixfeetunder
46,on,1854.0,sixfeetunder
47,but,1804.3200763740667,sixfeetunder
48,at,1688.7941964728725,sixfeetunder
49,how,1677.0884897763478,sixfeetunder
50,did,1629.8314363743232,sixfeetunder
51,come,1625.615291355858,sixfeetunder
52,make,1599.1746254740654,sixfeetunder
53,up,1591.8415515235044,sixfeetunder
54,out,1585.605979799135,sixfeetunder
55,say,1572.7516755908969,sixfeetunder
56,na,1512.7665933724713,sixfeetunder
57,good,1512.602187388401,sixfeetunder
58,see,1473.917568619569,sixfeetunder
59,nate,1422.3947298878688,sixfeetunder
60,now,1403.6152140711959,sixfeetunder
61,take,1396.3440265685515,sixfeetunder
62,some,1381.4079999255355,sixfeetunder
63,tell,1376.4530315619063,sixfeetunder
64,when,1376.0287699317257,sixfeetunder
