,mots,poids,serie
0,etre,8288.341217502943,skins
1,je,6395.181089725828,skins
2,le,5679.9205056354085,skins
3,avoir,4481.350708144721,skins
4,ce,4255.6215515484,skins
5,de,3752.952305975707,skins
6,pas,3347.08547703577,skins
7,que,3063.9891704003026,skins
8,te,2934.6059334275096,skins
9,un,2813.6798742646406,skins
10,tu,2553.357030675867,skins
11,cela,2217.881565252742,skins
12,aller,1938.4995281321912,skins
13,et,1828.4320031497832,skins
14,il,1784.212262155467,skins
15,faire,1430.6173158922318,skins
16,me,1419.4709625276414,skins
17,lui,1307.550209170149,skins
18,mon,1307.2628308690557,skins
19,on,1203.0,skins
20,tout,1195.7808544830239,skins
21,en,1148.3330267936738,skins
22,vous,1124.8167047122206,skins
23,pouvoir,1079.3726774161898,skins
24,moi,1055.6054100547117,skins
25,quoi,1035.161956519035,skins
26,dire,1025.191758580272,skins
27,toi,885.4261313142568,skins
28,se,838.518217015812,skins
29,vouloir,820.9371216396287,skins
30,ne,811.3679987617629,skins
31,mais,797.1276550611303,skins
32,bien,781.8928542776792,skins
33,devoir,778.707845835121,skins
34,taire,738.0757093235316,skins
35,pour,728.8827088545235,skins
36,qui,717.395337182895,skins
37,voir,709.5628678120676,skins
38,savoir,704.5109462643221,skins
39,putain,639.1565772434132,skins
40,avec,620.0022232045566,skins
41,effy,607.8061528519315,skins
42,aimer,578.3554533195783,skins
43,dans,563.1541461565819,skins
44,si,558.280319328712,skins
45,non,549.1236832553371,skins
46,ton,537.8932416500709,skins
47,oui,532.6520622665074,skins
48,comme,512.1455722438673,skins
49,ou,504.20072912946705,skins
50,rien,470.84885078404125,skins
51,sid,469.9997750834044,skins
52,bon,459.7111504433429,skins
53,sur,448.9701530673667,skins
54,pourquoi,448.0573038531601,skins
55,plus,429.6983643078061,skins
56,a3,414.9542629410083,skins
57,jal,411.8313318816244,skins
58,nous,405.94261050954316,skins
59,veux,393.0911662057464,skins
60,luire,390.19850843365066,skins
61,peu,379.8669472731618,skins
62,la,368.6684787528777,skins
63,au,366.51716684804035,skins
64,alors,366.4795658714645,skins
65,son,359.4291436144944,skins
66,croire,351.34757469350365,skins
67,quelque,341.378225743282,skins
68,fai,329.79682588448213,skins
69,merde,329.6642670167968,skins
70,quand,321.46862321063156,skins
71,vraiment,319.8029826758615,skins
72,venir,312.93004026467514,skins
73,ici,303.39908342774487,skins
74,parler,295.9027900704819,skins
75,juste,291.91644766462747,skins
76,merci,289.0091773837794,skins
77,tony,281.8668938014401,skins
78,trop,275.5926878604156,skins
79,allez,268.99166539669307,skins
80,jj,268.0316486084438,skins
81,truc,265.64000472236444,skins
82,anwar,265.46481144167495,skins
83,meme,264.8868173674249,skins
84,petit,262.9125457427316,skins
85,maxxie,260.48835122225637,skins
86,passer,259.5388606141753,skins
87,hein,250.34569179010643,skins
88,parce,245.46481449028613,skins
89,as,245.0,skins
90,arriver,243.24062863396406,skins
91,fait,239.82704841563032,skins
92,chris,238.10068389991412,skins
93,jamais,237.63680869401105,skins
94,autre,233.18967486781565,skins
95,prendre,228.6521559635542,skins
96,maintenant,227.73527499842726,skins
97,chose,225.9190188521551,skins
98,fille,224.86147219396508,skins
99,toujours,214.52472108689886,skins
100,monde,213.52076328949548,skins
101,sai,206.97402808472205,skins
102,aussi,204.87378577672374,skins
103,penser,204.38969489381702,skins
104,maman,203.65670421953794,skins
105,cassie,203.50818242193432,skins
106,freddie,199.3087404677284,skins
107,fois,195.63438166379177,skins
108,encore,195.32603860898456,skins
109,tres,190.63821368236893,skins
110,votre,190.54751791926793,skins
111,salut,190.31017030069637,skins
112,falloir,182.43047147547304,skins
113,comment,182.22388823748702,skins
114,vrai,181.57671208870482,skins
115,michelle,179.663288541529,skins
116,mec,177.3074851230483,skins
117,par,175.52603851186683,skins
