,mots,poids,serie
0,be,83990.95566017955,smallville
1,you,51424.34330469451,smallville
2,to,30655.716627515398,smallville
3,not,29565.20748937946,smallville
4,the,27189.0419682461,smallville
5,do,21833.26042544407,smallville
6,it,20317.298739574697,smallville
7,that,18219.330664138735,smallville
8,have,16550.178371223286,smallville
9,what,12747.594584112428,smallville
10,of,11503.422811451812,smallville
11,and,10953.400350602189,smallville
12,this,10755.626036489697,smallville
13,he,10731.244730171322,smallville
14,know,10460.896886555547,smallville
15,clark,10322.691856328023,smallville
16,your,10095.716520680813,smallville
17,we,10059.70894056814,smallville
18,get,9455.969987201379,smallville
19,in,9285.280734082035,smallville
20,lex,9151.448652550687,smallville
21,my,9072.710447682333,smallville
22,go,8859.219521355664,smallville
23,lana,8679.805889076493,smallville
24,for,7926.408819982106,smallville
25,just,7372.921774410869,smallville
26,can,7290.293224040469,smallville
27,think,7238.001686694532,smallville
28,she,7188.068016658511,smallville
29,would,6842.847831590691,smallville
30,with,6684.023392769672,smallville
31,will,6149.654593604995,smallville
32,they,6081.992844817646,smallville
33,on,5887.0,smallville
34,about,5846.5866299629715,smallville
35,but,5566.176235607595,smallville
36,want,5515.3281260045,smallville
37,if,5394.837977830548,smallville
38,well,5290.991733840174,smallville
39,there,5243.660576564064,smallville
40,like,5173.408060830041,smallville
41,here,5151.821459968895,smallville
42,all,5111.855500770468,smallville
43,out,5018.580695936124,smallville
44,so,4961.7354221965625,smallville
45,ve,4920.3323697456235,smallville
46,see,4785.308940667233,smallville
47,chloe,4681.068824930026,smallville
48,no,4680.7542011696505,smallville
49,right,4425.784966904769,smallville
50,come,4323.714437268568,smallville
51,how,4301.309687807684,smallville
52,tell,4296.488557853602,smallville
53,luthor,3896.143188442294,smallville
54,smallville,3878.092612168826,smallville
55,could,3831.456776816007,smallville
56,say,3795.760720516111,smallville
57,one,3761.2583575313747,smallville
58,why,3671.3095493516485,smallville
59,now,3664.9952811859002,smallville
60,from,3629.8564056968794,smallville
61,find,3617.987656927856,smallville
62,at,3576.5998252271957,smallville
63,look,3559.7281928896264,smallville
64,up,3547.1382549844566,smallville
65,take,3544.680607059995,smallville
66,need,3331.4809145148406,smallville
67,make,3322.979761665828,smallville
68,who,3289.2330530005665,smallville
69,when,3243.8044983970462,smallville
70,his,3203.956647605924,smallville
71,okay,2873.0433939337195,smallville
72,lois,2864.335509674801,smallville
73,let,2848.7926324061596,smallville
74,yeah,2836.990622459243,smallville
75,really,2672.1891526454965,smallville
76,thing,2649.44512816136,smallville
77,time,2648.981840865407,smallville
78,help,2601.5435304434654,smallville
79,happen,2569.1061898770263,smallville
80,never,2553.837955376784,smallville
81,kent,2527.3336492679978,smallville
82,good,2504.6068739683283,smallville
83,some,2495.2459818474763,smallville
84,back,2415.283165546517,smallville
85,something,2382.977671029612,smallville
86,mean,2365.334895882377,smallville
87,where,2358.7827320235683,smallville
88,more,2287.3746440036475,smallville
89,give,2277.527154100789,smallville
90,try,2240.6753540723603,smallville
91,sorry,2128.829744550516,smallville
92,luthorcorp,2111.0410130303694,smallville
93,dad,2068.097629830675,smallville
94,thank,2045.9097159503565,smallville
95,should,2042.2446598266276,smallville
96,only,2037.756960967154,smallville
97,metropolis,2034.6756593697628,smallville
98,as,1998.0,smallville
99,life,1947.1144272130343,smallville
