,mots,poids,serie
0,etre,66553.63041547097,smallville
1,le,51204.65037840085,smallville
2,je,49774.35304230434,smallville
3,avoir,47643.917960236184,smallville
4,de,37942.59394373387,smallville
5,que,37483.41242591508,smallville
6,ce,35001.1592242469,smallville
7,ne,27837.586745790388,smallville
8,pas,25062.150588395794,smallville
9,un,23719.684982037903,smallville
10,tu,19214.252798566806,smallville
11,il,18332.481182027568,smallville
12,vous,14731.470390747147,smallville
13,pouvoir,13621.615938358207,smallville
14,et,11764.548734360384,smallville
15,te,11162.03028131486,smallville
16,faire,11137.104676606117,smallville
17,me,10624.82746819899,smallville
18,cela,10118.134482760033,smallville
19,aller,9895.930808834413,smallville
20,en,9084.456562749954,smallville
21,mon,9016.834684020478,smallville
22,mais,8698.73654476262,smallville
23,taire,8661.88167297229,smallville
24,tout,8651.374705861776,smallville
25,qui,8309.172366931554,smallville
26,pour,8226.735596521487,smallville
27,clark,7880.91942279842,smallville
28,lex,7813.803751464847,smallville
29,savoir,7286.0823278737735,smallville
30,devoir,6910.398692649632,smallville
31,lui,6904.062222540371,smallville
32,dire,6868.640996827433,smallville
33,y1,6744.772616629222,smallville
34,lana,6701.493015785244,smallville
35,dans,6700.883294007652,smallville
36,x2,6494.627440707916,smallville
37,moi,6432.736239935114,smallville
38,vouloir,6331.0130286117865,smallville
39,x1,6283.132707984917,smallville
40,se,6265.905017226304,smallville
41,bien,6122.086497642632,smallville
42,nous,5598.4919866729515,smallville
43,419,5595.299896132504,smallville
44,si,5586.734744831689,smallville
45,voir,5380.018927307461,smallville
46,sur,5342.594664259836,smallville
47,y2,5332.134776256672,smallville
48,quelque,5324.830952525114,smallville
49,avec,5149.942517301646,smallville
50,on,4742.0,smallville
51,toi,4733.562286716474,smallville
52,chose,4238.36807198691,smallville
53,ton,4229.339376134238,smallville
54,penser,4119.888147487766,smallville
55,ou,3947.5227817209493,smallville
56,plus,3896.774382203144,smallville
57,comme,3891.6641602480695,smallville
58,son,3746.898223377914,smallville
59,luthor,3606.081057685101,smallville
60,au,3593.687823882381,smallville
61,chloe,3588.050784035034,smallville
62,votre,3244.235757677191,smallville
63,croire,3199.2899349494996,smallville
64,luire,3184.0873956598766,smallville
65,ici,3173.25598732625,smallville
66,pourquoi,3166.3826565979825,smallville
67,smallville,3129.309105578193,smallville
68,passer,3045.474984675196,smallville
69,quand,2856.5735171307415,smallville
70,trouver,2831.0506499341927,smallville
71,venir,2719.3118472197707,smallville
72,quoi,2709.9758767361523,smallville
73,rien,2627.8008045517795,smallville
74,juste,2625.6352309282515,smallville
75,parler,2560.5678936212726,smallville
76,meme,2549.126841208737,smallville
77,autre,2535.10489392011,smallville
78,non,2502.046723109962,smallville
79,jamais,2486.9352132074628,smallville
80,lois,2465.7303896843737,smallville
81,vraiment,2425.1726186252827,smallville
82,peu,2332.75120924576,smallville
83,alors,2299.2827557415167,smallville
84,arriver,2255.0433279607087,smallville
85,toujours,2150.3147239655295,smallville
86,kent,2137.2553503514027,smallville
87,la,2118.468124176984,smallville
88,seul,2103.2635816941643,smallville
89,vie,2092.1614708883385,smallville
90,352,2082.42313162262,smallville
91,bon,2050.7114798037815,smallville
92,ca,2044.6320907449465,smallville
93,prendre,2041.056745145256,smallville
94,pere,2036.5553957332068,smallville
95,par,2004.2624397517816,smallville
96,personne,1971.2919113999321,smallville
97,maintenant,1902.7447251680192,smallville
98,as,1852.0,smallville
99,temps,1808.8856207603415,smallville
100,comment,1764.5157873431194,smallville
101,oui,1763.7383848536515,smallville
102,aussi,1743.925639904307,smallville
103,aimer,1743.4726892221008,smallville
104,metropolis,1721.6486348513379,smallville
105,besoin,1703.5442833659856,smallville
106,notre,1697.5745994031654,smallville
107,essayer,1660.4551246332408,smallville
108,kaiser66,1592.7888686500496,smallville
109,luthorcorp,1579.2106292849292,smallville
110,laisser,1568.6210405440888,smallville
111,fait,1562.1611167346878,smallville
112,lionel,1559.5280555481238,smallville
113,veux,1517.3985271755719,smallville
114,sai,1509.5962842052347,smallville
115,tres,1496.9787598992577,smallville
116,fois,1478.8632918991718,smallville
117,merci,1473.803018996885,smallville
118,monde,1471.1076210890437,smallville
