,mots,poids,serie
0,le,6451.924512500253,sonsofanarchy
1,etre,6290.244360570886,sonsofanarchy
2,je,4593.23973943304,sonsofanarchy
3,avoir,4295.959594683669,sonsofanarchy
4,de,3994.8020981486497,sonsofanarchy
5,ce,3731.784640730202,sonsofanarchy
6,que,2839.8907323599037,sonsofanarchy
7,un,2592.0855384481606,sonsofanarchy
8,pas,2299.7078003113165,sonsofanarchy
9,il,1984.086675391703,sonsofanarchy
10,cela,1908.7632663637457,sonsofanarchy
11,te,1627.850914641179,sonsofanarchy
12,aller,1624.1028136823043,sonsofanarchy
13,faire,1359.3294768217243,sonsofanarchy
14,on,1308.0,sonsofanarchy
15,tu,1284.2572868806842,sonsofanarchy
16,et,1243.088335027336,sonsofanarchy
17,vous,1148.5411265237688,sonsofanarchy
18,pour,1027.8004319508807,sonsofanarchy
19,en,958.3470391147205,sonsofanarchy
20,mon,952.2917895534671,sonsofanarchy
21,pouvoir,933.102548233622,sonsofanarchy
22,savoir,898.6279765889335,sonsofanarchy
23,me,853.1793834524664,sonsofanarchy
24,tout,822.7709088612335,sonsofanarchy
25,se,756.5297691298214,sonsofanarchy
26,devoir,749.9919382880558,sonsofanarchy
27,dans,724.2878469354882,sonsofanarchy
28,avec,722.0279055040406,sonsofanarchy
29,vouloir,709.4518335157285,sonsofanarchy
30,qui,693.7449414515908,sonsofanarchy
31,zobelle,678.3550813079593,sonsofanarchy
32,lui,638.9912454361657,sonsofanarchy
33,moi,620.1494087519146,sonsofanarchy
34,dire,583.7697811831563,sonsofanarchy
35,son,553.1996037195152,sonsofanarchy
36,jax,545.6776679634429,sonsofanarchy
37,quoi,543.6227884864114,sonsofanarchy
38,clay,531.7516695912601,sonsofanarchy
39,voir,528.0080495221255,sonsofanarchy
40,bien,520.2652261732933,sonsofanarchy
41,sur,512.036194635358,sonsofanarchy
42,nous,503.4327650019925,sonsofanarchy
43,si,503.2385977047545,sonsofanarchy
44,toi,501.58019460607267,sonsofanarchy
45,opie,499.02345129045113,sonsofanarchy
46,ne,477.0420969918509,sonsofanarchy
47,luire,471.27871797830534,sonsofanarchy
48,mais,468.2314884403794,sonsofanarchy
49,ton,455.1404352423677,sonsofanarchy
50,ou,438.6136424134388,sonsofanarchy
51,taire,396.7787412308735,sonsofanarchy
52,au,387.31246709473766,sonsofanarchy
53,rien,373.03165995214533,sonsofanarchy
54,quelque,364.8061431962523,sonsofanarchy
55,bon,343.783990766326,sonsofanarchy
56,mayan,338.9958723202634,sonsofanarchy
57,passer,325.2449012759918,sonsofanarchy
58,la,318.0453443569602,sonsofanarchy
59,chose,313.42286418221516,sonsofanarchy
60,votre,312.1036931436285,sonsofanarchy
61,plus,305.4228569834896,sonsofanarchy
62,parler,299.2653217758283,sonsofanarchy
63,crow,287.06565194452173,sonsofanarchy
64,notre,283.1942630681944,sonsofanarchy
65,ici,276.87238760892564,sonsofanarchy
66,prendre,269.0025364277108,sonsofanarchy
67,luann,267.2362460566185,sonsofanarchy
68,falloir,266.8890230844883,sonsofanarchy
69,deux,263.3077391418538,sonsofanarchy
70,ope,262.63550880734596,sonsofanarchy
71,croire,255.0648258592262,sonsofanarchy
72,merde,251.013401281825,sonsofanarchy
73,besoin,249.33997860661282,sonsofanarchy
74,venir,249.33997860661282,sonsofanarchy
75,atf,248.3735209685549,sonsofanarchy
76,arme,247.14608034295932,sonsofanarchy
77,autre,246.51479914597655,sonsofanarchy
78,gemma,241.5907184818851,sonsofanarchy
79,trouver,239.86228656960344,sonsofanarchy
80,unser,238.78098862040167,sonsofanarchy
81,veux,236.52095593735586,sonsofanarchy
82,merci,235.80848303950157,sonsofanarchy
83,darby,233.90715190098177,sonsofanarchy
84,pourquoi,231.52403433304553,sonsofanarchy
85,putain,230.5154868746736,sonsofanarchy
86,comme,229.58249790242326,sonsofanarchy
87,tuer,225.28962425820782,sonsofanarchy
88,petit,221.73347231314716,sonsofanarchy
89,peu,220.891793128006,sonsofanarchy
90,arriver,219.59223418343979,sonsofanarchy
91,quand,218.19891005488464,sonsofanarchy
92,club,207.36199571425408,sonsofanarchy
93,penser,201.0113528294564,sonsofanarchy
94,charming,198.3627718461916,sonsofanarchy
95,juste,195.14856446088356,sonsofanarchy
96,aimer,195.02683891009036,sonsofanarchy
97,meme,188.03693825465348,sonsofanarchy
98,comment,187.88301520138413,sonsofanarchy
99,gars,183.29103379758413,sonsofanarchy
100,stahl,178.60216881298234,sonsofanarchy
101,temps,178.22353722040197,sonsofanarchy
102,otto,171.94200994170632,sonsofanarchy
103,pere,170.689112871641,sonsofanarchy
104,fai,169.8953345465514,sonsofanarchy
105,appeler,168.9171032180306,sonsofanarchy
106,non,166.36816542191403,sonsofanarchy
107,mec,165.25746186225862,sonsofanarchy
108,seul,164.7640535619729,sonsofanarchy
109,ja,164.57459684653026,sonsofanarchy
110,sans,162.76131391808724,sonsofanarchy
111,encore,162.51126412267516,sonsofanarchy
112,par,161.91936885978413,sonsofanarchy
113,hale,160.5341050162611,sonsofanarchy
114,aussi,158.23585080316062,sonsofanarchy
115,fille,158.23585080316062,sonsofanarchy
116,famille,158.0389901512801,sonsofanarchy
117,donna,157.7185370608606,sonsofanarchy
118,toujours,157.09290599276846,sonsofanarchy
119,vraiment,156.5702102683905,sonsofanarchy
120,santiag,156.21188450682305,sonsofanarchy
121,truc,152.99519259326053,sonsofanarchy
122,chib,151.95153821298288,sonsofanarchy
123,allez,150.17326104968754,sonsofanarchy
124,avant,147.1593429819027,sonsofanarchy
125,arreter,146.95787979968662,sonsofanarchy
126,caracara,146.5246975625192,sonsofanarchy
127,alors,145.5877727434585,sonsofanarchy
128,depuis,145.26870876750633,sonsofanarchy
129,laroy,142.56443577423283,sonsofanarchy
130,as,142.0,sonsofanarchy
131,jamais,141.92198297003438,sonsofanarchy
132,fait,141.26798742290552,sonsofanarchy
133,dieu,141.26798742290552,sonsofanarchy
134,kohn,141.09785691205553,sonsofanarchy
135,aider,137.8637999192018,sonsofanarchy
136,faut,136.8719285439573,sonsofanarchy
137,personne,135.5472366921855,sonsofanarchy
138,maintenant,135.32096050631185,sonsofanarchy
139,tig,134.1750792156625,sonsofanarchy
140,sortir,132.82000236118222,sonsofanarchy
141,anarchy,130.54856524256968,sonsofanarchy
142,sam,130.0416789708639,sonsofanarchy
143,partir,129.45747065583583,sonsofanarchy
144,mettre,126.68782741352295,sonsofanarchy
145,probleme,126.00180513939131,sonsofanarchy
146,enfant,126.00180513939131,sonsofanarchy
147,weston,125.96188140965616,sonsofanarchy
148,flingue,125.34587641651436,sonsofanarchy
149,occuper,123.30948534916233,sonsofanarchy
150,tres,121.88344809200638,sonsofanarchy
151,nouveau,121.55617522436057,sonsofanarchy
152,reste,121.05114139246987,sonsofanarchy
153,laisser,121.05114139246987,sonsofanarchy
154,essayer,119.93114328480172,sonsofanarchy
155,sai,119.91352420781516,sonsofanarchy
156,oui,119.73158748353771,sonsofanarchy
157,vieux,119.36987553979668,sonsofanarchy
158,bobby,118.22861260623952,sonsofanarchy
159,heure,114.92919689913771,sonsofanarchy
160,piney,113.6086432776895,sonsofanarchy
161,soir,113.2635563643676,sonsofanarchy
162,desole,113.2635563643676,sonsofanarchy
163,finir,113.1744591560805,sonsofanarchy
164,mieux,111.59791582959748,sonsofanarchy
165,proteger,110.83613927923857,sonsofanarchy
166,entrer,109.79611709171989,sonsofanarchy
167,attendre,109.79611709171989,sonsofanarchy
168,irlandais,109.58663778605154,sonsofanarchy
169,hefner,109.42134063291158,sonsofanarchy
170,chez,109.05008032511844,sonsofanarchy
