,mots,poids,serie
0,le,36685.0365569813,southpark
1,etre,35481.75269674766,southpark
2,de,22742.4415188468,southpark
3,avoir,22270.906604135762,southpark
4,je,21007.442830628577,southpark
5,ce,19814.31560131481,southpark
6,un,15053.641879799554,southpark
7,que,14352.784172037687,southpark
8,pas,11077.326386625562,southpark
9,vous,10844.851876325889,southpark
10,il,9837.818619487538,southpark
11,et,8461.099772964937,southpark
12,ne,7940.570528598426,southpark
13,aller,7871.686722215888,southpark
14,on,7465.0,southpark
15,faire,6807.988631233475,southpark
16,pouvoir,5928.143396525677,southpark
17,tu,5853.567547928269,southpark
18,cela,5650.277102643124,southpark
19,tout,5456.997352615083,southpark
20,nous,5320.405316481374,southpark
21,mon,5214.795458363147,southpark
22,en,4992.543169892496,southpark
23,te,4849.337607479988,southpark
24,pour,4260.660589351702,southpark
25,dans,4090.1918187615324,southpark
26,mais,4032.623441965759,southpark
27,qui,4011.1071160291976,southpark
28,se,3996.3157098368397,southpark
29,me,3911.652845770372,southpark
30,devoir,3758.405546601181,southpark
31,dire,3630.5879248459846,southpark
32,vouloir,3496.5840366132334,southpark
33,moi,3319.976616829257,southpark
34,quoi,3208.0254973254996,southpark
35,voir,3174.710859271833,southpark
36,bien,3096.1761017381905,southpark
37,sur,3027.169995263583,southpark
38,cartman,2848.475615427564,southpark
39,avec,2815.9088314657583,southpark
40,si,2613.17125995646,southpark
41,notre,2483.518228367705,southpark
42,savoir,2411.402074980732,southpark
43,taire,2340.322066921084,southpark
44,plus,2338.064629321886,southpark
45,votre,2312.8526312959416,southpark
46,lui,2284.9275640146698,southpark
47,au,2236.7944827853808,southpark
48,butters,2222.300459139081,southpark
49,non,2194.319985760931,southpark
50,ou,2130.2139206310003,southpark
51,comme,1977.941520390108,southpark
52,son,1965.8163776457543,southpark
53,toi,1956.324038769023,southpark
54,kyle,1831.7467010300686,southpark
55,enfant,1777.288619860888,southpark
56,pourquoi,1648.9841294224107,southpark
57,dieu,1619.6539023137773,southpark
58,ici,1593.2596676178296,southpark
59,ca,1587.3936907049374,southpark
60,bon,1564.3504075956073,southpark
61,ton,1563.3570724049878,southpark
62,ouai,1543.654993967189,southpark
63,oui,1511.9950470677518,southpark
64,venir,1496.039871639677,southpark
65,rien,1493.7845582972575,southpark
66,alors,1474.2853768619188,southpark
67,monde,1466.0638235310241,southpark
68,luire,1425.6603511601782,southpark
69,maintenant,1419.2198297003438,southpark
70,00,1410.5059920034455,southpark
71,croire,1376.6743912269494,southpark
72,stan,1371.360492978628,southpark
73,quelque,1352.1255215714307,southpark
74,mec,1328.9454224756632,southpark
75,petit,1306.6436761310456,southpark
76,falloir,1300.6616947788357,southpark
77,juste,1299.91523103696,southpark
78,autre,1245.8991200080436,southpark
79,tres,1226.647522464423,southpark
80,la,1155.5280677329004,southpark
81,passer,1139.9998054825166,southpark
82,par,1133.4355820184887,southpark
83,kenny,1128.7621986885824,southpark
84,trouver,1114.8528812390018,southpark
85,parler,1094.5040700902484,southpark
86,prendre,1086.0977408268825,southpark
87,aussi,1085.9976286701128,southpark
88,quand,1084.3319881353427,southpark
89,penser,1077.6911185310353,southpark
90,vraiment,1077.6694259962624,southpark
91,chose,1075.5018080567384,southpark
92,gens,1069.2452633701337,southpark
93,oh,1050.175654247936,southpark
94,jamais,1034.7102711885063,southpark
95,south,1030.260080755401,southpark
96,aimer,1018.8471067199548,southpark
97,merde,1009.0738731529365,southpark
98,peu,1005.7270278025121,southpark
99,putain,1002.3931020156261,southpark
100,temps,981.0622749795958,southpark
101,meme,938.5495874623573,southpark
102,gros,902.8397628855045,southpark
103,park,900.1472159379351,southpark
104,salut,898.3285157414227,southpark
105,arriver,883.4364498303,southpark
106,encore,879.7484778948665,southpark
107,nouveau,872.2476897856144,southpark
108,trop,851.5318978202063,southpark
109,comment,840.9462668351108,southpark
110,merci,838.2704000733501,southpark
111,vrai,827.1827995152108,southpark
112,tuer,807.0076092831325,southpark
113,parce,807.0076092831325,southpark
114,mettre,797.2887271891044,southpark
115,jouer,795.5995561569241,southpark
116,fait,763.8327226936171,southpark
117,ami,759.9660494992427,southpark
118,cul,755.2359703529818,southpark
119,eric,751.040838677099,southpark
120,personne,748.0199358198385,southpark
121,chez,738.936365188116,southpark
122,fois,724.5103795515,southpark
123,allez,716.2109373138944,southpark
124,ecole,714.4329994276558,southpark
125,jour,709.4708984517964,southpark
126,bordel,696.922439736245,southpark
127,garrison,691.8252504532475,southpark
128,sortir,684.2752020379894,southpark
129,homme,682.9126192557458,southpark
130,seul,679.2314044799699,southpark
131,fai,667.9218544428148,southpark
132,besoin,661.0019567088058,southpark
133,regarder,660.4658735824996,southpark
134,veux,659.5936517689643,southpark
135,super,658.7604934165832,southpark
136,quel,656.2623706994241,southpark
137,fils,641.8849922285162,southpark
138,pere,637.5740392558355,southpark
139,mourir,635.9006165806233,southpark
140,avant,631.1500710112716,southpark
141,truc,630.4746947524472,southpark
142,arreter,630.0607950032542,southpark
