,mots,poids,serie
0,be,28357.407942103964,stargateatlantis
1,you,12078.695440941823,stargateatlantis
2,the,11170.72304196756,stargateatlantis
3,to,10645.083849635988,stargateatlantis
4,we,9157.823168717232,stargateatlantis
5,not,8595.506778110612,stargateatlantis
6,it,7822.823815027959,stargateatlantis
7,do,6109.666055131225,stargateatlantis
8,that,6022.311988011803,stargateatlantis
9,have,5401.087649934337,stargateatlantis
10,they,4600.501187972899,stargateatlantis
11,of,4597.48574853785,stargateatlantis
12,what,4405.062319940439,stargateatlantis
13,this,4013.6236547197113,stargateatlantis
14,and,3485.621246363951,stargateatlantis
15,get,3398.1691353215388,stargateatlantis
16,go,3185.109408565254,stargateatlantis
17,wraith,2908.4697680913023,stargateatlantis
18,in,2834.3957318494145,stargateatlantis
19,know,2681.4185418901297,stargateatlantis
20,well,2557.989801623262,stargateatlantis
21,will,2531.8393142049313,stargateatlantis
22,he,2499.6557255499915,stargateatlantis
23,can,2465.773936307307,stargateatlantis
24,there,2259.8558846480755,stargateatlantis
25,just,2198.8170636431337,stargateatlantis
26,would,2156.916090694946,stargateatlantis
27,for,2145.1698671830945,stargateatlantis
28,no,2093.2141875587513,stargateatlantis
29,sheppard,1992.6842292514375,stargateatlantis
30,with,1981.7024504147605,stargateatlantis
31,here,1974.9156098758494,stargateatlantis
32,on,1929.0,stargateatlantis
33,right,1917.9420350364244,stargateatlantis
34,if,1892.2192907316103,stargateatlantis
35,think,1864.1917124841486,stargateatlantis
36,ve,1834.750443899121,stargateatlantis
37,so,1815.3694589507886,stargateatlantis
38,your,1750.191810344666,stargateatlantis
39,but,1748.8800740273775,stargateatlantis
40,all,1747.8446390240701,stargateatlantis
41,my,1635.5254425404523,stargateatlantis
42,out,1586.858433179703,stargateatlantis
43,she,1541.0285636524225,stargateatlantis
44,one,1474.9781067588906,stargateatlantis
45,how,1462.927909247354,stargateatlantis
46,need,1436.0370358532546,stargateatlantis
47,rodney,1408.3334527692382,stargateatlantis
48,ronon,1378.4175252177733,stargateatlantis
49,atlantis,1359.6683667866585,stargateatlantis
50,come,1359.6055164067177,stargateatlantis
51,now,1350.185416827745,stargateatlantis
52,about,1348.7641303800974,stargateatlantis
53,take,1296.1780203800151,stargateatlantis
54,like,1286.8816604899628,stargateatlantis
55,mckay,1275.2821532978196,stargateatlantis
56,our,1273.0244742512682,stargateatlantis
57,teyla,1263.8961564642957,stargateatlantis
58,say,1252.2899098424055,stargateatlantis
59,could,1199.1941734893196,stargateatlantis
60,up,1176.628545670914,stargateatlantis
61,from,1161.834347614947,stargateatlantis
62,see,1116.4206043911843,stargateatlantis
63,good,1110.8812812527283,stargateatlantis
64,back,1090.350295026968,stargateatlantis
65,make,1075.1258514924234,stargateatlantis
66,yes,1072.1227066558524,stargateatlantis
67,look,1068.297286691956,stargateatlantis
68,time,1024.4814019143562,stargateatlantis
69,as,1019.0,stargateatlantis
70,colonel,1004.6461781304126,stargateatlantis
71,ship,999.6149898775654,stargateatlantis
72,work,992.1817042216613,stargateatlantis
73,mean,987.68713895629,stargateatlantis
74,why,984.7198918388108,stargateatlantis
75,at,975.4363159710533,stargateatlantis
76,want,963.9927812777138,stargateatlantis
77,yeah,949.7455417153724,stargateatlantis
78,let,937.3541513538576,stargateatlantis
79,should,925.4687569750771,stargateatlantis
80,tell,923.9421265696187,stargateatlantis
81,thing,905.662007888298,stargateatlantis
82,way,888.5016185898588,stargateatlantis
83,some,885.1589549072406,stargateatlantis
84,more,874.0497811854998,stargateatlantis
85,any,838.2207666781493,stargateatlantis
86,find,795.8003219359751,stargateatlantis
87,then,790.6798042891695,stargateatlantis
88,try,775.126638177671,stargateatlantis
89,when,772.1289962939777,stargateatlantis
