,mots,poids,serie
0,etre,31395.62827328349,stargateatlantis
1,le,30838.095953706863,stargateatlantis
2,avoir,22160.63085561152,stargateatlantis
3,de,19764.264653283528,stargateatlantis
4,je,18889.021274825507,stargateatlantis
5,vous,16801.077305248666,stargateatlantis
6,ce,15012.72318496998,stargateatlantis
7,que,14219.111419522362,stargateatlantis
8,un,12830.88023437886,stargateatlantis
9,pas,11676.635610554264,stargateatlantis
10,il,11307.561804817993,stargateatlantis
11,ne,10995.75426334956,stargateatlantis
12,nous,8524.794820700406,stargateatlantis
13,pouvoir,7607.727983346197,stargateatlantis
14,cela,6925.601231939255,stargateatlantis
15,et,6206.851726128593,stargateatlantis
16,aller,5551.539845526882,stargateatlantis
17,en,5497.569213089713,stargateatlantis
18,on,5288.0,stargateatlantis
19,faire,4982.047844132065,stargateatlantis
20,mais,4264.308918944908,stargateatlantis
21,bien,4214.447335007223,stargateatlantis
22,wraith,4064.351946894039,stargateatlantis
23,devoir,4015.159543492587,stargateatlantis
24,tout,3882.066471100857,stargateatlantis
25,sur,3482.146438004092,stargateatlantis
26,savoir,3475.69889641567,stargateatlantis
27,se,3429.8500698972693,stargateatlantis
28,pour,3389.9002655492695,stargateatlantis
29,dire,3298.4430493452232,stargateatlantis
30,qui,3177.036493238535,stargateatlantis
31,dans,3105.4858695571043,stargateatlantis
32,si,3078.4048593970533,stargateatlantis
33,lui,3042.1896826421053,stargateatlantis
34,me,3023.5479904806703,stargateatlantis
35,sheppard,2966.121927448979,stargateatlantis
36,votre,2823.7170974415653,stargateatlantis
37,vouloir,2741.5245852286366,stargateatlantis
38,mon,2570.3324798875765,stargateatlantis
39,oui,2494.408072573702,stargateatlantis
40,ici,2390.7184606710825,stargateatlantis
41,moi,2289.8979378853987,stargateatlantis
42,teyla,2243.7707047343674,stargateatlantis
43,quoi,2237.9680663736995,stargateatlantis
44,atlantis,2199.3685457997967,stargateatlantis
45,mckay,2142.6324376836037,stargateatlantis
46,ou,2105.61876311249,stargateatlantis
47,avec,2084.4631706725345,stargateatlantis
48,quelque,2068.3504265622378,stargateatlantis
49,non,2057.310908354649,stargateatlantis
50,penser,2042.2077779059898,stargateatlantis
51,notre,2039.6350856934002,stargateatlantis
52,plus,2026.3226787456347,stargateatlantis
53,voir,2025.4188902804558,stargateatlantis
54,rodney,1979.2794471351458,stargateatlantis
55,vaisseau,1886.7781399492849,stargateatlantis
56,autre,1877.1768826859159,stargateatlantis
57,ronon,1817.991617905331,stargateatlantis
58,au,1796.1940588084813,stargateatlantis
59,chose,1748.4859275952003,stargateatlantis
60,son,1737.9101888175694,stargateatlantis
61,tu,1736.2276625210968,stargateatlantis
62,tres,1551.6700507097735,stargateatlantis
63,temps,1514.0672461060317,stargateatlantis
64,trouver,1494.9163634795707,stargateatlantis
65,comme,1457.7685880797223,stargateatlantis
66,est,1442.7225100472922,stargateatlantis
67,pourquoi,1440.7790625761468,stargateatlantis
68,sg,1426.0071488934284,stargateatlantis
69,meme,1366.9467859207853,stargateatlantis
70,bon,1361.8110021828882,stargateatlantis
71,passer,1323.9767193356029,stargateatlantis
72,venir,1315.3102227167628,stargateatlantis
73,rien,1299.808095122142,stargateatlantis
74,par,1272.2236124697324,stargateatlantis
75,arriver,1265.189103103049,stargateatlantis
76,replicateur,1248.1733496066452,stargateatlantis
77,la,1230.362266405126,stargateatlantis
78,wraiths,1226.4659870047903,stargateatlantis
79,juste,1214.4369342069863,stargateatlantis
80,colonel,1210.1822569013614,stargateatlantis
81,porte,1200.33298580157,stargateatlantis
82,weir,1192.8641655703564,stargateatlantis
83,luire,1143.5687887860672,stargateatlantis
84,quand,1135.9668447132162,stargateatlantis
85,croire,1135.1229336251656,stargateatlantis
86,alors,1112.8260790160907,stargateatlantis
87,peu,1107.8058109904543,stargateatlantis
88,vraiment,1100.9883934830439,stargateatlantis
89,parler,1097.8666017955948,stargateatlantis
90,jumper,1075.4727456435335,stargateatlantis
91,prendre,1072.647614005497,stargateatlantis
92,falloir,1047.2860399517897,stargateatlantis
93,donc,1019.1144092042094,stargateatlantis
94,maintenant,1003.3554144858244,stargateatlantis
95,fait,983.9479589107025,stargateatlantis
96,aussi,974.3997128405153,stargateatlantis
97,comment,965.4470600408473,stargateatlantis
98,te,956.7078536330939,stargateatlantis
99,bouclier,946.5808514675838,stargateatlantis
100,qu,945.4565505180914,stargateatlantis
101,avant,922.198549353257,stargateatlantis
102,deux,916.0586613258506,stargateatlantis
103,besoin,898.6279765889335,stargateatlantis
104,encore,896.9371692924572,stargateatlantis
105,essayer,888.5039629268409,stargateatlantis
106,zpm,850.4705996186993,stargateatlantis
107,planete,844.5968559556947,stargateatlantis
108,aucun,829.3829768005302,stargateatlantis
109,sans,813.8065695904362,stargateatlantis
110,seul,790.1949507564005,stargateatlantis
111,aerofrance,787.3612774071983,stargateatlantis
112,toujours,782.0861878994816,stargateatlantis
113,partir,768.3384946716491,stargateatlantis
114,projet,753.3702803524164,stargateatlantis
115,fois,746.0633199042907,stargateatlantis
116,genii,743.4771691135234,stargateatlantis
117,merci,743.3718642159897,stargateatlantis
118,http,738.6973556665677,stargateatlantis
119,jamais,731.0632378572701,stargateatlantis
120,trop,722.811959777617,stargateatlantis
121,tuer,716.2192532387801,stargateatlantis
122,ruche,709.8543524290374,stargateatlantis
123,vie,707.5754280652307,stargateatlantis
124,energie,691.8665631092103,stargateatlantis
125,aider,679.2314044799699,stargateatlantis
126,equipe,666.1941431322301,stargateatlantis
127,dr,651.7102806784162,stargateatlantis
128,cite,645.5053782305802,stargateatlantis
129,ancien,637.7340936990034,stargateatlantis
130,taire,637.19975816314,stargateatlantis
131,probleme,636.6406996516614,stargateatlantis
132,laisser,628.7934288997741,stargateatlantis
133,zelenka,624.0866748033226,stargateatlantis
134,mourir,614.1461218028651,stargateatlantis
135,sortir,608.6182386676958,stargateatlantis
136,beckett,606.8026114532715,stargateatlantis
137,ai,604.1785555731591,stargateatlantis
138,celui,596.8493776989834,stargateatlantis
139,entrer,596.277374359648,stargateatlantis
140,systeme,593.1116903571483,stargateatlantis
141,heure,592.9680303781598,stargateatlantis
142,deja,592.540292347027,stargateatlantis
143,rester,591.8055801409638,stargateatlantis
144,depuis,591.2098612631071,stargateatlantis
145,hyperespace,589.9218032037221,stargateatlantis
146,galaxie,582.5029321337834,stargateatlantis
147,attendre,569.2506378447631,stargateatlantis
148,pret,568.6660416159372,stargateatlantis
149,arme,566.586592350866,stargateatlantis
150,assez,564.1831247482222,stargateatlantis
151,nouveau,558.5013456254404,stargateatlantis
152,oh,558.2195638258628,stargateatlantis
153,idee,557.2497508456514,stargateatlantis
154,beaucoup,541.6631966506881,stargateatlantis
155,personne,538.8421014183176,stargateatlantis
156,moins,533.7780461689766,stargateatlantis
157,celer,531.2045701726281,stargateatlantis
158,peuple,518.1733795373551,stargateatlantis
159,raison,516.83683326118,stargateatlantis
160,allez,514.8797521703573,stargateatlantis
161,perdre,512.7860850653237,stargateatlantis
162,monde,512.7860850653237,stargateatlantis
163,dernier,511.8188227506327,stargateatlantis
164,mettre,506.7513096540918,stargateatlantis
165,docteur,499.6152124433369,stargateatlantis
166,detruire,497.9100410698101,stargateatlantis
167,monsieur,492.74153310532824,stargateatlantis
168,mieux,489.69831722241287,stargateatlantis
169,apres,489.5100029305331,stargateatlantis
170,entendre,488.2839417542617,stargateatlantis
171,revenir,484.79208623574783,stargateatlantis
172,donner,484.43327004731293,stargateatlantis
173,connaitre,482.5232997172063,stargateatlantis
174,ouai,479.7152034526226,stargateatlantis
175,gens,478.0354021070266,stargateatlantis
176,accord,476.6633948873637,stargateatlantis
177,combien,473.57861708504316,stargateatlantis
178,quel,473.04191187471173,stargateatlantis
179,comprendre,472.9678890104857,stargateatlantis
180,ok,470.83278188031875,stargateatlantis
181,sembler,469.58954694612504,stargateatlantis
182,major,467.08847956881726,stargateatlantis
183,terre,464.71370920086116,stargateatlantis
184,ca,457.23840004000914,stargateatlantis
185,nanite,449.903785630342,stargateatlantis
186,jour,448.9130021177296,stargateatlantis
187,envoyer,448.8979826637425,stargateatlantis
188,aimer,447.21671681106926,stargateatlantis
189,ecoutez,444.65047087932453,stargateatlantis
190,reste,440.4916534003765,stargateatlantis
191,homme,436.39782010976927,stargateatlantis
192,daedalus,435.70911695029093,stargateatlantis
193,petit,432.38027101063693,stargateatlantis
194,e2pz,431.5906261343161,stargateatlantis
195,arreter,430.738613205978,stargateatlantis
196,appeler,423.9819290772568,stargateatlantis
197,premier,422.46589097402466,stargateatlantis
